pos:C,name:Jason Kendall,age:36,games:118,plate_appearances:490,at_bats:434,runs:39,hits:111,doubles:18,triples:0,home_runs:0,runs_batted_in:37,stolen_bases:12,caught_stealing:7,walks:37,strikeouts:45,batting_avg:.256,onbase:.318,slugging:.297,ops:erc">.297,ops+:lugging">.615,bases:129,double_plays:12,hit_by_pitch:6,sac_hits:6,sac_flies:7,intentional_walks:2
pos:1B,name:Billy Butler,age:24,games:158,plate_appearances:678,at_bats:595,runs:77,hits:189,doubles:45,triples:0,home_runs:15,runs_batted_in:78,stolen_bases:0,caught_stealing:0,walks:69,strikeouts:78,batting_avg:.318,onbase:.388,slugging:.469,ops:erc">.469,ops+:lugging">.857,bases:279,double_plays:32,hit_by_pitch:5,sac_hits:0,sac_flies:9,intentional_walks:8
pos:2B,name:Mike Aviles,age:29,games:110,plate_appearances:448,at_bats:424,runs:63,hits:129,doubles:16,triples:3,home_runs:8,runs_batted_in:32,stolen_bases:14,caught_stealing:5,walks:20,strikeouts:49,batting_avg:.304,onbase:.335,slugging:.413,ops:erc">.413,ops+:lugging">.748,bases:175,double_plays:13,hit_by_pitch:1,sac_hits:0,sac_flies:3,intentional_walks:0
pos:SS,name:Yuniesky Betancourt,age:28,games:151,plate_appearances:588,at_bats:556,runs:60,hits:144,doubles:29,triples:2,home_runs:16,runs_batted_in:78,stolen_bases:2,caught_stealing:3,walks:23,strikeouts:64,batting_avg:.259,onbase:.288,slugging:.405,ops:erc">.405,ops+:lugging">.692,bases:225,double_plays:13,hit_by_pitch:1,sac_hits:4,sac_flies:4,intentional_walks:1
pos:3B,name:Alberto Callaspo,age:27,games:88,plate_appearances:373,at_bats:349,runs:40,hits:96,doubles:19,triples:2,home_runs:8,runs_batted_in:43,stolen_bases:3,caught_stealing:1,walks:19,strikeouts:29,batting_avg:.275,onbase:.308,slugging:.410,ops:erc">.410,ops+:lugging">.718,bases:143,double_plays:14,hit_by_pitch:0,sac_hits:0,sac_flies:5,intentional_walks:2
pos:LF,name:Scott Podsednik,age:34,games:95,plate_appearances:435,at_bats:390,runs:46,hits:121,doubles:8,triples:6,home_runs:5,runs_batted_in:44,stolen_bases:30,caught_stealing:12,walks:29,strikeouts:57,batting_avg:.310,onbase:.353,slugging:.400,ops:erc">.400,ops+:lugging">.753,bases:156,double_plays:5,hit_by_pitch:0,sac_hits:10,sac_flies:6,intentional_walks:1
pos:CF,name:Mitch Maier,age:28,games:117,plate_appearances:421,at_bats:373,runs:41,hits:98,doubles:15,triples:6,home_runs:5,runs_batted_in:39,stolen_bases:3,caught_stealing:2,walks:41,strikeouts:68,batting_avg:.263,onbase:.333,slugging:.375,ops:erc">.375,ops+:lugging">.709,bases:140,double_plays:3,hit_by_pitch:0,sac_hits:4,sac_flies:3,intentional_walks:2
pos:RF,name:David DeJesus,age:30,games:91,plate_appearances:394,at_bats:352,runs:46,hits:112,doubles:23,triples:3,home_runs:5,runs_batted_in:37,stolen_bases:3,caught_stealing:3,walks:34,strikeouts:47,batting_avg:.318,onbase:.384,slugging:.443,ops:erc">.443,ops+:lugging">.827,bases:156,double_plays:10,hit_by_pitch:4,sac_hits:3,sac_flies:1,intentional_walks:2
pos:DH,name:Jose Guillen,age:34,games:106,plate_appearances:438,at_bats:396,runs:46,hits:101,doubles:17,triples:2,home_runs:16,runs_batted_in:62,stolen_bases:1,caught_stealing:0,walks:27,strikeouts:84,batting_avg:.255,onbase:.314,slugging:.429,ops:erc">.429,ops+:lugging">.743,bases:170,double_plays:9,hit_by_pitch:9,sac_hits:0,sac_flies:5,intentional_walks:1
pos:3B,name:Wilson Betemit,age:28,games:84,plate_appearances:315,at_bats:276,runs:36,hits:82,doubles:20,triples:0,home_runs:13,runs_batted_in:43,stolen_bases:0,caught_stealing:0,walks:36,strikeouts:74,batting_avg:.297,onbase:.378,slugging:.511,ops:erc">.511,ops+:lugging">.889,bases:141,double_plays:3,hit_by_pitch:1,sac_hits:0,sac_flies:2,intentional_walks:2
pos:LF,name:Alex Gordon,age:26,games:74,plate_appearances:281,at_bats:242,runs:34,hits:52,doubles:10,triples:0,home_runs:8,runs_batted_in:20,stolen_bases:1,caught_stealing:5,walks:34,strikeouts:62,batting_avg:.215,onbase:.315,slugging:.355,ops:erc">.355,ops+:lugging">.671,bases:86,double_plays:9,hit_by_pitch:2,sac_hits:2,sac_flies:1,intentional_walks:1
