pos:C,name:Martin Maldonado,age:32,games:74,plate_appearances:263,at_bats:238,runs:26,hits:54,doubles:15,triples:0,home_runs:6,runs_batted_in:17,stolen_bases:0,caught_stealing:0,walks:17,strikeouts:55,batting_avg:.227,onbase:.291,slugging:.366,ops:erc">.366,ops+:lugging">.657,bases:87,double_plays:9,hit_by_pitch:5,sac_hits:2,sac_flies:1,intentional_walks:0
pos:1B,name:Ryan O'Hearn,age:25,games:105,plate_appearances:370,at_bats:328,runs:32,hits:64,doubles:13,triples:1,home_runs:14,runs_batted_in:38,stolen_bases:0,caught_stealing:1,walks:39,strikeouts:99,batting_avg:.195,onbase:.281,slugging:.369,ops:erc">.369,ops+:lugging">.650,bases:121,double_plays:7,hit_by_pitch:1,sac_hits:0,sac_flies:2,intentional_walks:1
pos:2B,name:Whit Merrifield,age:30,games:162,plate_appearances:735,at_bats:681,runs:105,hits:206,doubles:41,triples:10,home_runs:16,runs_batted_in:74,stolen_bases:20,caught_stealing:10,walks:45,strikeouts:126,batting_avg:.302,onbase:.348,slugging:.463,ops:erc">.463,ops+:lugging">.811,bases:315,double_plays:8,hit_by_pitch:5,sac_hits:0,sac_flies:4,intentional_walks:5
pos:SS,name:Adalberto Mondesi,age:23,games:102,plate_appearances:443,at_bats:415,runs:58,hits:109,doubles:20,triples:10,home_runs:9,runs_batted_in:62,stolen_bases:43,caught_stealing:7,walks:19,strikeouts:132,batting_avg:.263,onbase:.291,slugging:.424,ops:erc">.424,ops+:lugging">.715,bases:176,double_plays:6,hit_by_pitch:0,sac_hits:3,sac_flies:6,intentional_walks:0
pos:3B,name:Hunter Dozier,age:27,games:139,plate_appearances:586,at_bats:523,runs:75,hits:146,doubles:29,triples:10,home_runs:26,runs_batted_in:84,stolen_bases:2,caught_stealing:2,walks:55,strikeouts:148,batting_avg:.279,onbase:.348,slugging:.522,ops:erc">.522,ops+:lugging">.870,bases:273,double_plays:9,hit_by_pitch:3,sac_hits:0,sac_flies:5,intentional_walks:2
pos:LF,name:Alex Gordon,age:35,games:150,plate_appearances:633,at_bats:556,runs:77,hits:148,doubles:31,triples:1,home_runs:13,runs_batted_in:76,stolen_bases:5,caught_stealing:3,walks:51,strikeouts:100,batting_avg:.266,onbase:.345,slugging:.396,ops:erc">.396,ops+:lugging">.741,bases:220,double_plays:13,hit_by_pitch:19,sac_hits:1,sac_flies:6,intentional_walks:4
pos:CF,name:Billy Hamilton,age:28,games:93,plate_appearances:305,at_bats:275,runs:32,hits:58,doubles:12,triples:2,home_runs:0,runs_batted_in:12,stolen_bases:18,caught_stealing:5,walks:25,strikeouts:74,batting_avg:.211,onbase:.275,slugging:.269,ops:erc">.269,ops+:lugging">.544,bases:74,double_plays:1,hit_by_pitch:0,sac_hits:3,sac_flies:2,intentional_walks:0
pos:RF,name:Bubba Starling,age:26,games:56,plate_appearances:197,at_bats:186,runs:26,hits:40,doubles:7,triples:0,home_runs:4,runs_batted_in:12,stolen_bases:2,caught_stealing:0,walks:9,strikeouts:56,batting_avg:.215,onbase:.255,slugging:.317,ops:erc">.317,ops+:lugging">.572,bases:59,double_plays:4,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:0
pos:DH,name:Jorge Soler,age:27,games:162,plate_appearances:679,at_bats:589,runs:95,hits:156,doubles:33,triples:1,home_runs:48,runs_batted_in:117,stolen_bases:3,caught_stealing:1,walks:73,strikeouts:178,batting_avg:.265,onbase:.354,slugging:.569,ops:erc">.569,ops+:lugging">.922,bases:335,double_plays:16,hit_by_pitch:10,sac_hits:0,sac_flies:4,intentional_walks:3
pos:MI,name:Nicky Lopez,age:24,games:103,plate_appearances:402,at_bats:379,runs:44,hits:91,doubles:22,triples:2,home_runs:2,runs_batted_in:30,stolen_bases:1,caught_stealing:1,walks:18,strikeouts:51,batting_avg:.240,onbase:.276,slugging:.325,ops:erc">.325,ops+:lugging">.601,bases:123,double_plays:5,hit_by_pitch:1,sac_hits:4,sac_flies:0,intentional_walks:0
pos:CI,name:Cheslor Cuthbert,age:26,games:87,plate_appearances:330,at_bats:309,runs:24,hits:76,doubles:14,triples:0,home_runs:9,runs_batted_in:40,stolen_bases:1,caught_stealing:0,walks:19,strikeouts:67,batting_avg:.246,onbase:.294,slugging:.379,ops:erc">.379,ops+:lugging">.673,bases:117,double_plays:14,hit_by_pitch:2,sac_hits:0,sac_flies:0,intentional_walks:1
pos:C,name:Meibrys Viloria,age:22,games:42,plate_appearances:148,at_bats:133,runs:7,hits:28,doubles:7,triples:0,home_runs:1,runs_batted_in:15,stolen_bases:0,caught_stealing:1,walks:10,strikeouts:44,batting_avg:.211,onbase:.259,slugging:.286,ops:erc">.286,ops+:lugging">.544,bases:38,double_plays:4,hit_by_pitch:0,sac_hits:1,sac_flies:4,intentional_walks:0
pos:UT,name:Chris Owings,age:27,games:40,plate_appearances:145,at_bats:135,runs:9,hits:18,doubles:4,triples:1,home_runs:2,runs_batted_in:9,stolen_bases:4,caught_stealing:1,walks:8,strikeouts:55,batting_avg:.133,onbase:.193,slugging:.222,ops:erc">.222,ops+:lugging">.415,bases:30,double_plays:1,hit_by_pitch:2,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Cam Gallagher,age:26,games:45,plate_appearances:142,at_bats:126,runs:14,hits:30,doubles:7,triples:0,home_runs:3,runs_batted_in:12,stolen_bases:0,caught_stealing:1,walks:11,strikeouts:28,batting_avg:.238,onbase:.312,slugging:.365,ops:erc">.365,ops+:lugging">.677,bases:46,double_plays:3,hit_by_pitch:3,sac_hits:1,sac_flies:1,intentional_walks:0
pos:SS,name:Humberto Arteaga,age:25,games:41,plate_appearances:135,at_bats:122,runs:11,hits:24,doubles:4,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:1,caught_stealing:1,walks:8,strikeouts:28,batting_avg:.197,onbase:.258,slugging:.230,ops:erc">.230,ops+:lugging">.487,bases:28,double_plays:2,hit_by_pitch:2,sac_hits:3,sac_flies:0,intentional_walks:0
pos:1B,name:Lucas Duda,age:33,games:39,plate_appearances:119,at_bats:105,runs:7,hits:18,doubles:4,triples:0,home_runs:4,runs_batted_in:15,stolen_bases:0,caught_stealing:0,walks:11,strikeouts:32,batting_avg:.171,onbase:.252,slugging:.324,ops:erc">.324,ops+:lugging">.576,bases:34,double_plays:3,hit_by_pitch:1,sac_hits:0,sac_flies:2,intentional_walks:1
pos:UT,name:Ryan McBroom,age:27,games:23,plate_appearances:83,at_bats:75,runs:8,hits:22,doubles:5,triples:0,home_runs:0,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:7,strikeouts:25,batting_avg:.293,onbase:.361,slugging:.360,ops:erc">.360,ops+:lugging">.721,bases:27,double_plays:3,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:3B,name:Kelvin Gutierrez,age:24,games:20,plate_appearances:79,at_bats:73,runs:4,hits:19,doubles:2,triples:1,home_runs:1,runs_batted_in:11,stolen_bases:1,caught_stealing:0,walks:5,strikeouts:24,batting_avg:.260,onbase:.304,slugging:.356,ops:erc">.356,ops+:lugging">.660,bases:26,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:CF,name:Brett Phillips,age:25,games:30,plate_appearances:79,at_bats:65,runs:7,hits:9,doubles:2,triples:0,home_runs:2,runs_batted_in:6,stolen_bases:3,caught_stealing:0,walks:10,strikeouts:23,batting_avg:.138,onbase:.247,slugging:.262,ops:erc">.262,ops+:lugging">.508,bases:17,double_plays:1,hit_by_pitch:0,sac_hits:2,sac_flies:2,intentional_walks:0
pos:C,name:Nick Dini,age:25,games:20,plate_appearances:64,at_bats:56,runs:11,hits:11,doubles:3,triples:0,home_runs:2,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:18,batting_avg:.196,onbase:.270,slugging:.357,ops:erc">.357,ops+:lugging">.627,bases:20,double_plays:1,hit_by_pitch:2,sac_hits:1,sac_flies:1,intentional_walks:0
pos:OF,name:Terrance Gore,age:28,games:37,plate_appearances:58,at_bats:51,runs:13,hits:14,doubles:2,triples:1,home_runs:0,runs_batted_in:1,stolen_bases:13,caught_stealing:5,walks:6,strikeouts:18,batting_avg:.275,onbase:.362,slugging:.353,ops:erc">.353,ops+:lugging">.715,bases:18,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Erick Mejia,age:24,games:9,plate_appearances:27,at_bats:22,runs:3,hits:5,doubles:1,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:7,batting_avg:.227,onbase:.333,slugging:.273,ops:erc">.273,ops+:lugging">.606,bases:6,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:OF,name:Jorge Bonifacio,age:26,games:5,plate_appearances:21,at_bats:20,runs:3,hits:7,doubles:3,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:7,batting_avg:.350,onbase:.381,slugging:.500,ops:erc">.500,ops+:lugging">.881,bases:10,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:1B,name:Frank Schwindel,age:27,games:6,plate_appearances:15,at_bats:15,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.067,onbase:.067,slugging:.067,ops:erc">.067,ops+:lugging">.133,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Brad Keller,age:23,games:3,plate_appearances:10,at_bats:8,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:5,batting_avg:.125,onbase:.222,slugging:.125,ops:erc">.125,ops+:lugging">.347,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Danny Duffy,age:30,games:2,plate_appearances:4,at_bats:4,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.250,onbase:.250,slugging:.250,ops:erc">.250,ops+:lugging">.500,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Glenn Sparkman,age:27,games:3,plate_appearances:2,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jorge Lopez,age:26,games:3,plate_appearances:2,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Jakob Junis,age:26,games:1,plate_appearances:2,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Homer Bailey,age:33,games:1,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Mike Montgomery,age:29,games:1,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jake Newberry,age:24,games:1,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Tim Hill,age:29,games:3,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Wily Peralta,age:30,games:2,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Scott Barlow,age:26,games:3,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Gabe Speier,age:24,games:1,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Brad Boxberger,age:31,games:2,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Brian Flynn,age:29,games:1,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jesse Hahn,age:29,games:1,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jake Diekman,age:32,games:4,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Kyle Zimmer,age:27,games:1,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Richard Lovelady,age:23,games:1,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Ian Kennedy,age:34,games:4,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Heath Fillmyer,age:25,games:1,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Kevin McCarthy,age:27,games:4,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Eric Skoglund,age:26,games:1,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jacob Barnes,age:29,games:1,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
