pos:C,name:Mike Scioscia,age:26,games:141,plate_appearances:526,at_bats:429,runs:47,hits:127,doubles:26,triples:3,home_runs:7,runs_batted_in:53,stolen_bases:3,caught_stealing:3,walks:77,strikeouts:21,batting_avg:.296,onbase:.407,slugging:.420,ops:erc">.420,ops+:lugging">.826,bases:180,double_plays:10,hit_by_pitch:5,sac_hits:11,sac_flies:3,intentional_walks:9
pos:1B,name:Greg Brock,age:28,games:129,plate_appearances:496,at_bats:438,runs:64,hits:110,doubles:19,triples:0,home_runs:21,runs_batted_in:66,stolen_bases:4,caught_stealing:2,walks:54,strikeouts:72,batting_avg:.251,onbase:.332,slugging:.438,ops:erc">.438,ops+:lugging">.770,bases:192,double_plays:9,hit_by_pitch:0,sac_hits:2,sac_flies:2,intentional_walks:4
pos:2B,name:Steve Sax,age:25,games:136,plate_appearances:551,at_bats:488,runs:62,hits:136,doubles:8,triples:4,home_runs:1,runs_batted_in:42,stolen_bases:27,caught_stealing:11,walks:54,strikeouts:43,batting_avg:.279,onbase:.352,slugging:.318,ops:erc">.318,ops+:lugging">.670,bases:155,double_plays:15,hit_by_pitch:3,sac_hits:3,sac_flies:3,intentional_walks:12
pos:SS,name:Mariano Duncan,age:22,games:142,plate_appearances:620,at_bats:562,runs:74,hits:137,doubles:24,triples:6,home_runs:6,runs_batted_in:39,stolen_bases:38,caught_stealing:8,walks:38,strikeouts:113,batting_avg:.244,onbase:.293,slugging:.340,ops:erc">.340,ops+:lugging">.633,bases:191,double_plays:9,hit_by_pitch:3,sac_hits:13,sac_flies:4,intentional_walks:4
pos:3B,name:Dave Anderson,age:24,games:77,plate_appearances:262,at_bats:221,runs:24,hits:44,doubles:6,triples:0,home_runs:4,runs_batted_in:18,stolen_bases:5,caught_stealing:4,walks:35,strikeouts:42,batting_avg:.199,onbase:.310,slugging:.281,ops:erc">.281,ops+:lugging">.591,bases:62,double_plays:4,hit_by_pitch:1,sac_hits:4,sac_flies:1,intentional_walks:3
pos:LF,name:Pedro Guerrero,age:29,games:137,plate_appearances:581,at_bats:487,runs:99,hits:156,doubles:22,triples:2,home_runs:33,runs_batted_in:87,stolen_bases:12,caught_stealing:4,walks:83,strikeouts:68,batting_avg:.320,onbase:.422,slugging:.577,ops:erc">.577,ops+:lugging">.999,bases:281,double_plays:13,hit_by_pitch:6,sac_hits:0,sac_flies:5,intentional_walks:14
pos:CF,name:Ken Landreaux,age:30,games:147,plate_appearances:527,at_bats:482,runs:70,hits:129,doubles:26,triples:2,home_runs:12,runs_batted_in:50,stolen_bases:15,caught_stealing:5,walks:33,strikeouts:37,batting_avg:.268,onbase:.311,slugging:.405,ops:erc">.405,ops+:lugging">.716,bases:195,double_plays:9,hit_by_pitch:1,sac_hits:3,sac_flies:8,intentional_walks:2
pos:RF,name:Mike Marshall,age:25,games:135,plate_appearances:564,at_bats:518,runs:72,hits:152,doubles:27,triples:2,home_runs:28,runs_batted_in:95,stolen_bases:3,caught_stealing:10,walks:37,strikeouts:137,batting_avg:.293,onbase:.342,slugging:.515,ops:erc">.515,ops+:lugging">.857,bases:267,double_plays:8,hit_by_pitch:3,sac_hits:2,sac_flies:4,intentional_walks:6
pos:CF,name:Candy Maldonado,age:24,games:121,plate_appearances:235,at_bats:213,runs:20,hits:48,doubles:7,triples:1,home_runs:5,runs_batted_in:19,stolen_bases:1,caught_stealing:1,walks:19,strikeouts:40,batting_avg:.225,onbase:.288,slugging:.338,ops:erc">.338,ops+:lugging">.626,bases:72,double_plays:3,hit_by_pitch:0,sac_hits:2,sac_flies:1,intentional_walks:4
pos:OF,name:R.J. Reynolds,age:26,games:73,plate_appearances:230,at_bats:207,runs:22,hits:55,doubles:10,triples:4,home_runs:0,runs_batted_in:25,stolen_bases:6,caught_stealing:3,walks:13,strikeouts:31,batting_avg:.266,onbase:.308,slugging:.353,ops:erc">.353,ops+:lugging">.661,bases:73,double_plays:3,hit_by_pitch:1,sac_hits:5,sac_flies:3,intentional_walks:0
pos:3B,name:Enos Cabell,age:35,games:57,plate_appearances:208,at_bats:192,runs:20,hits:56,doubles:11,triples:0,home_runs:0,runs_batted_in:22,stolen_bases:6,caught_stealing:2,walks:14,strikeouts:21,batting_avg:.292,onbase:.340,slugging:.349,ops:erc">.349,ops+:lugging">.689,bases:67,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:1
pos:UT,name:Bill Russell,age:36,games:76,plate_appearances:192,at_bats:169,runs:19,hits:44,doubles:6,triples:1,home_runs:0,runs_batted_in:13,stolen_bases:4,caught_stealing:0,walks:18,strikeouts:9,batting_avg:.260,onbase:.333,slugging:.308,ops:erc">.308,ops+:lugging">.641,bases:52,double_plays:2,hit_by_pitch:1,sac_hits:3,sac_flies:1,intentional_walks:1
