pos:C,name:Mike Piazza,age:24,games:149,plate_appearances:602,at_bats:547,runs:81,hits:174,doubles:24,triples:2,home_runs:35,runs_batted_in:112,stolen_bases:3,caught_stealing:4,walks:46,strikeouts:86,batting_avg:.318,onbase:.370,slugging:.561,ops:erc">.561,ops+:lugging">.932,bases:307,double_plays:10,hit_by_pitch:3,sac_hits:0,sac_flies:6,intentional_walks:6
pos:1B,name:Eric Karros,age:25,games:158,plate_appearances:658,at_bats:619,runs:74,hits:153,doubles:27,triples:2,home_runs:23,runs_batted_in:80,stolen_bases:0,caught_stealing:1,walks:34,strikeouts:82,batting_avg:.247,onbase:.287,slugging:.409,ops:erc">.409,ops+:lugging">.696,bases:253,double_plays:17,hit_by_pitch:2,sac_hits:0,sac_flies:3,intentional_walks:1
pos:2B,name:Jody Reed,age:30,games:132,plate_appearances:504,at_bats:445,runs:48,hits:123,doubles:21,triples:2,home_runs:2,runs_batted_in:31,stolen_bases:1,caught_stealing:3,walks:38,strikeouts:40,batting_avg:.276,onbase:.333,slugging:.346,ops:erc">.346,ops+:lugging">.679,bases:154,double_plays:16,hit_by_pitch:1,sac_hits:17,sac_flies:3,intentional_walks:10
pos:SS,name:Jose Offerman,age:24,games:158,plate_appearances:696,at_bats:590,runs:77,hits:159,doubles:21,triples:6,home_runs:1,runs_batted_in:62,stolen_bases:30,caught_stealing:13,walks:71,strikeouts:75,batting_avg:.269,onbase:.346,slugging:.331,ops:erc">.331,ops+:lugging">.676,bases:195,double_plays:12,hit_by_pitch:2,sac_hits:25,sac_flies:8,intentional_walks:7
pos:3B,name:Tim Wallach,age:35,games:133,plate_appearances:522,at_bats:477,runs:42,hits:106,doubles:19,triples:1,home_runs:12,runs_batted_in:62,stolen_bases:0,caught_stealing:2,walks:32,strikeouts:70,batting_avg:.222,onbase:.271,slugging:.342,ops:erc">.342,ops+:lugging">.612,bases:163,double_plays:10,hit_by_pitch:3,sac_hits:1,sac_flies:9,intentional_walks:2
pos:LF,name:Eric Davis,age:31,games:108,plate_appearances:422,at_bats:376,runs:57,hits:88,doubles:17,triples:0,home_runs:14,runs_batted_in:53,stolen_bases:33,caught_stealing:5,walks:41,strikeouts:88,batting_avg:.234,onbase:.308,slugging:.391,ops:erc">.391,ops+:lugging">.699,bases:147,double_plays:8,hit_by_pitch:1,sac_hits:0,sac_flies:4,intentional_walks:6
pos:CF,name:Brett Butler,age:36,games:156,plate_appearances:716,at_bats:607,runs:80,hits:181,doubles:21,triples:10,home_runs:1,runs_batted_in:42,stolen_bases:39,caught_stealing:19,walks:86,strikeouts:69,batting_avg:.298,onbase:.387,slugging:.371,ops:erc">.371,ops+:lugging">.758,bases:225,double_plays:6,hit_by_pitch:5,sac_hits:14,sac_flies:4,intentional_walks:1
pos:RF,name:Cory Snyder,age:30,games:143,plate_appearances:570,at_bats:516,runs:61,hits:137,doubles:33,triples:1,home_runs:11,runs_batted_in:56,stolen_bases:4,caught_stealing:1,walks:47,strikeouts:147,batting_avg:.266,onbase:.331,slugging:.397,ops:erc">.397,ops+:lugging">.728,bases:205,double_plays:8,hit_by_pitch:4,sac_hits:2,sac_flies:1,intentional_walks:3
pos:LF,name:Mitch Webster,age:34,games:88,plate_appearances:192,at_bats:172,runs:26,hits:42,doubles:6,triples:2,home_runs:2,runs_batted_in:14,stolen_bases:4,caught_stealing:6,walks:11,strikeouts:24,batting_avg:.244,onbase:.293,slugging:.337,ops:erc">.337,ops+:lugging">.630,bases:58,double_plays:3,hit_by_pitch:2,sac_hits:4,sac_flies:3,intentional_walks:2
pos:OF,name:Henry Rodriguez,age:25,games:76,plate_appearances:188,at_bats:176,runs:20,hits:39,doubles:10,triples:0,home_runs:8,runs_batted_in:23,stolen_bases:1,caught_stealing:0,walks:11,strikeouts:39,batting_avg:.222,onbase:.266,slugging:.415,ops:erc">.415,ops+:lugging">.681,bases:73,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:2
pos:2B,name:Lenny Harris,age:28,games:107,plate_appearances:176,at_bats:160,runs:20,hits:38,doubles:6,triples:1,home_runs:2,runs_batted_in:11,stolen_bases:3,caught_stealing:1,walks:15,strikeouts:15,batting_avg:.238,onbase:.303,slugging:.325,ops:erc">.325,ops+:lugging">.628,bases:52,double_plays:4,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:4
