pos:C,name:Charles Johnson,age:26,games:102,plate_appearances:376,at_bats:346,runs:31,hits:75,doubles:13,triples:0,home_runs:12,runs_batted_in:35,stolen_bases:0,caught_stealing:1,walks:29,strikeouts:99,batting_avg:.217,onbase:.279,slugging:.358,ops:erc">.358,ops+:lugging">.638,bases:124,double_plays:9,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:1
pos:1B,name:Eric Karros,age:30,games:139,plate_appearances:564,at_bats:507,runs:59,hits:150,doubles:20,triples:1,home_runs:23,runs_batted_in:87,stolen_bases:7,caught_stealing:2,walks:47,strikeouts:93,batting_avg:.296,onbase:.355,slugging:.475,ops:erc">.475,ops+:lugging">.830,bases:241,double_plays:7,hit_by_pitch:3,sac_hits:0,sac_flies:7,intentional_walks:1
pos:2B,name:Eric Young Sr.,age:31,games:117,plate_appearances:513,at_bats:452,runs:78,hits:129,doubles:24,triples:1,home_runs:8,runs_batted_in:43,stolen_bases:42,caught_stealing:13,walks:45,strikeouts:32,batting_avg:.285,onbase:.355,slugging:.396,ops:erc">.396,ops+:lugging">.751,bases:179,double_plays:4,hit_by_pitch:5,sac_hits:9,sac_flies:2,intentional_walks:0
pos:SS,name:Jose Vizcaino,age:30,games:67,plate_appearances:267,at_bats:237,runs:30,hits:62,doubles:9,triples:0,home_runs:3,runs_batted_in:29,stolen_bases:7,caught_stealing:3,walks:17,strikeouts:35,batting_avg:.262,onbase:.311,slugging:.338,ops:erc">.338,ops+:lugging">.649,bases:80,double_plays:4,hit_by_pitch:1,sac_hits:10,sac_flies:2,intentional_walks:0
pos:3B,name:Adrian Beltre,age:19,games:77,plate_appearances:214,at_bats:195,runs:18,hits:42,doubles:9,triples:0,home_runs:7,runs_batted_in:22,stolen_bases:3,caught_stealing:1,walks:14,strikeouts:37,batting_avg:.215,onbase:.278,slugging:.369,ops:erc">.369,ops+:lugging">.648,bases:72,double_plays:4,hit_by_pitch:3,sac_hits:2,sac_flies:0,intentional_walks:0
pos:LF,name:Matt Luke,age:27,games:102,plate_appearances:257,at_bats:237,runs:34,hits:56,doubles:12,triples:1,home_runs:12,runs_batted_in:34,stolen_bases:2,caught_stealing:1,walks:17,strikeouts:60,batting_avg:.236,onbase:.289,slugging:.447,ops:erc">.447,ops+:lugging">.736,bases:106,double_plays:4,hit_by_pitch:1,sac_hits:1,sac_flies:1,intentional_walks:2
pos:CF,name:Raul Mondesi,age:27,games:148,plate_appearances:617,at_bats:580,runs:85,hits:162,doubles:26,triples:5,home_runs:30,runs_batted_in:90,stolen_bases:16,caught_stealing:10,walks:30,strikeouts:112,batting_avg:.279,onbase:.316,slugging:.497,ops:erc">.497,ops+:lugging">.813,bases:288,double_plays:8,hit_by_pitch:3,sac_hits:0,sac_flies:4,intentional_walks:4
pos:RF,name:Gary Sheffield,age:29,games:90,plate_appearances:383,at_bats:301,runs:52,hits:95,doubles:16,triples:1,home_runs:16,runs_batted_in:57,stolen_bases:18,caught_stealing:5,walks:69,strikeouts:30,batting_avg:.316,onbase:.444,slugging:.535,ops:erc">.535,ops+:lugging">.979,bases:161,double_plays:4,hit_by_pitch:6,sac_hits:0,sac_flies:7,intentional_walks:11
pos:OF,name:Roger Cedeno,age:23,games:105,plate_appearances:271,at_bats:240,runs:33,hits:58,doubles:11,triples:1,home_runs:2,runs_batted_in:17,stolen_bases:8,caught_stealing:2,walks:27,strikeouts:57,batting_avg:.242,onbase:.317,slugging:.321,ops:erc">.321,ops+:lugging">.638,bases:77,double_plays:1,hit_by_pitch:0,sac_hits:3,sac_flies:1,intentional_walks:2
pos:3B,name:Bobby Bonilla,age:35,games:72,plate_appearances:271,at_bats:236,runs:28,hits:56,doubles:6,triples:1,home_runs:7,runs_batted_in:30,stolen_bases:1,caught_stealing:1,walks:29,strikeouts:37,batting_avg:.237,onbase:.315,slugging:.360,ops:erc">.360,ops+:lugging">.675,bases:85,double_plays:10,hit_by_pitch:0,sac_hits:0,sac_flies:5,intentional_walks:3
pos:MI,name:Juan Castro,age:26,games:89,plate_appearances:246,at_bats:220,runs:25,hits:43,doubles:7,triples:0,home_runs:2,runs_batted_in:14,stolen_bases:0,caught_stealing:0,walks:15,strikeouts:37,batting_avg:.195,onbase:.245,slugging:.255,ops:erc">.255,ops+:lugging">.499,bases:56,double_plays:5,hit_by_pitch:0,sac_hits:9,sac_flies:2,intentional_walks:0
pos:OF,name:Trent Hubbard,age:34,games:94,plate_appearances:235,at_bats:208,runs:29,hits:62,doubles:9,triples:1,home_runs:7,runs_batted_in:18,stolen_bases:9,caught_stealing:5,walks:18,strikeouts:46,batting_avg:.298,onbase:.358,slugging:.452,ops:erc">.452,ops+:lugging">.810,bases:94,double_plays:5,hit_by_pitch:3,sac_hits:3,sac_flies:3,intentional_walks:0
pos:SS,name:Mark Grudzielanek,age:28,games:51,plate_appearances:206,at_bats:193,runs:11,hits:51,doubles:6,triples:0,home_runs:2,runs_batted_in:21,stolen_bases:7,caught_stealing:0,walks:5,strikeouts:23,batting_avg:.264,onbase:.286,slugging:.326,ops:erc">.326,ops+:lugging">.612,bases:63,double_plays:7,hit_by_pitch:2,sac_hits:3,sac_flies:3,intentional_walks:1
pos:2B,name:Wilton Guerrero,age:23,games:64,plate_appearances:190,at_bats:180,runs:21,hits:51,doubles:4,triples:3,home_runs:0,runs_batted_in:7,stolen_bases:5,caught_stealing:2,walks:4,strikeouts:33,batting_avg:.283,onbase:.299,slugging:.339,ops:erc">.339,ops+:lugging">.638,bases:61,double_plays:3,hit_by_pitch:1,sac_hits:3,sac_flies:2,intentional_walks:0
pos:LF,name:Todd Hollandsworth,age:25,games:55,plate_appearances:187,at_bats:175,runs:23,hits:47,doubles:6,triples:4,home_runs:3,runs_batted_in:20,stolen_bases:4,caught_stealing:3,walks:9,strikeouts:42,batting_avg:.269,onbase:.308,slugging:.400,ops:erc">.400,ops+:lugging">.708,bases:70,double_plays:2,hit_by_pitch:1,sac_hits:2,sac_flies:0,intentional_walks:0
pos:3B,name:Todd Zeile,age:32,games:40,plate_appearances:170,at_bats:158,runs:22,hits:40,doubles:6,triples:1,home_runs:7,runs_batted_in:27,stolen_bases:1,caught_stealing:1,walks:10,strikeouts:24,batting_avg:.253,onbase:.300,slugging:.437,ops:erc">.437,ops+:lugging">.737,bases:69,double_plays:5,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:0
pos:C,name:Mike Piazza,age:29,games:37,plate_appearances:161,at_bats:149,runs:20,hits:42,doubles:5,triples:0,home_runs:9,runs_batted_in:30,stolen_bases:0,caught_stealing:0,walks:11,strikeouts:27,batting_avg:.282,onbase:.329,slugging:.497,ops:erc">.497,ops+:lugging">.826,bases:74,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:4
pos:1B,name:Paul Konerko,age:22,games:49,plate_appearances:158,at_bats:144,runs:14,hits:31,doubles:1,triples:0,home_runs:4,runs_batted_in:16,stolen_bases:0,caught_stealing:1,walks:10,strikeouts:30,batting_avg:.215,onbase:.272,slugging:.306,ops:erc">.306,ops+:lugging">.578,bases:44,double_plays:5,hit_by_pitch:2,sac_hits:0,sac_flies:2,intentional_walks:0
pos:LF,name:Jim Eisenreich,age:39,games:75,plate_appearances:140,at_bats:127,runs:12,hits:25,doubles:2,triples:2,home_runs:0,runs_batted_in:6,stolen_bases:4,caught_stealing:0,walks:12,strikeouts:22,batting_avg:.197,onbase:.266,slugging:.244,ops:erc">.244,ops+:lugging">.510,bases:31,double_plays:2,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:1
pos:C,name:Tom Prince,age:33,games:37,plate_appearances:92,at_bats:81,runs:7,hits:15,doubles:5,triples:1,home_runs:0,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:7,strikeouts:24,batting_avg:.185,onbase:.267,slugging:.272,ops:erc">.272,ops+:lugging">.538,bases:22,double_plays:0,hit_by_pitch:2,sac_hits:2,sac_flies:0,intentional_walks:1
pos:OF,name:Thomas Howard,age:33,games:47,plate_appearances:79,at_bats:76,runs:9,hits:14,doubles:4,triples:0,home_runs:2,runs_batted_in:4,stolen_bases:1,caught_stealing:0,walks:3,strikeouts:15,batting_avg:.184,onbase:.215,slugging:.316,ops:erc">.316,ops+:lugging">.531,bases:24,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:MI,name:Alex Cora,age:22,games:29,plate_appearances:38,at_bats:33,runs:1,hits:4,doubles:0,triples:1,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:8,batting_avg:.121,onbase:.194,slugging:.182,ops:erc">.182,ops+:lugging">.376,bases:6,double_plays:0,hit_by_pitch:1,sac_hits:2,sac_flies:0,intentional_walks:0
pos:OF,name:Mike Devereaux,age:35,games:9,plate_appearances:16,at_bats:13,runs:0,hits:4,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:1,walks:3,strikeouts:2,batting_avg:.308,onbase:.438,slugging:.385,ops:erc">.385,ops+:lugging">.822,bases:5,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Paul Lo Duca,age:26,games:6,plate_appearances:14,at_bats:14,runs:2,hits:4,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.286,onbase:.286,slugging:.357,ops:erc">.357,ops+:lugging">.643,bases:5,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Angel Pena,age:23,games:6,plate_appearances:13,at_bats:13,runs:1,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:6,batting_avg:.231,onbase:.231,slugging:.231,ops:erc">.231,ops+:lugging">.462,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Damon Hollins,age:24,games:5,plate_appearances:9,at_bats:9,runs:1,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:1,walks:0,strikeouts:2,batting_avg:.222,onbase:.222,slugging:.222,ops:erc">.222,ops+:lugging">.444,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos: ,name:Tripp Cromer,age:30,games:6,plate_appearances:6,at_bats:6,runs:1,hits:1,doubles:0,triples:0,home_runs:1,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.167,onbase:.167,slugging:.667,ops:erc">.667,ops+:lugging">.833,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:2B,name:Mike Metcalfe,age:25,games:4,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:2,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Chan Ho Park,age:25,games:33,plate_appearances:80,at_bats:72,runs:2,hits:14,doubles:2,triples:1,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:30,batting_avg:.194,onbase:.216,slugging:.250,ops:erc">.250,ops+:lugging">.466,bases:18,double_plays:0,hit_by_pitch:0,sac_hits:6,sac_flies:0,intentional_walks:0
pos:P,name:Ismael Valdez,age:24,games:25,plate_appearances:59,at_bats:48,runs:3,hits:8,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:6,batting_avg:.167,onbase:.216,slugging:.188,ops:erc">.188,ops+:lugging">.403,bases:9,double_plays:0,hit_by_pitch:0,sac_hits:8,sac_flies:0,intentional_walks:0
pos:P,name:Darren Dreifort,age:26,games:31,plate_appearances:56,at_bats:49,runs:10,hits:11,doubles:0,triples:0,home_runs:1,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:22,batting_avg:.224,onbase:.255,slugging:.286,ops:erc">.286,ops+:lugging">.541,bases:14,double_plays:0,hit_by_pitch:0,sac_hits:5,sac_flies:0,intentional_walks:0
pos:P,name:Dave Mlicki,age:30,games:18,plate_appearances:43,at_bats:34,runs:1,hits:2,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:10,batting_avg:.059,onbase:.111,slugging:.088,ops:erc">.088,ops+:lugging">.199,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:7,sac_flies:0,intentional_walks:0
pos:P,name:Ramon Martinez,age:30,games:15,plate_appearances:39,at_bats:34,runs:3,hits:6,doubles:1,triples:1,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:16,batting_avg:.176,onbase:.176,slugging:.265,ops:erc">.265,ops+:lugging">.441,bases:9,double_plays:0,hit_by_pitch:0,sac_hits:5,sac_flies:0,intentional_walks:0
pos:P,name:Brian Bohanon,age:29,games:14,plate_appearances:35,at_bats:29,runs:0,hits:6,doubles:1,triples:1,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:9,batting_avg:.207,onbase:.258,slugging:.310,ops:erc">.310,ops+:lugging">.568,bases:9,double_plays:2,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:0
pos:P,name:Carlos Perez,age:27,games:11,plate_appearances:30,at_bats:24,runs:2,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:13,batting_avg:.083,onbase:.185,slugging:.083,ops:erc">.083,ops+:lugging">.269,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Hideo Nomo,age:29,games:12,plate_appearances:22,at_bats:20,runs:1,hits:1,doubles:0,triples:0,home_runs:1,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:6,batting_avg:.050,onbase:.050,slugging:.200,ops:erc">.200,ops+:lugging">.250,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:P,name:Dennys Reyes,age:21,games:9,plate_appearances:6,at_bats:5,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Jim Bruske,age:33,games:32,plate_appearances:3,at_bats:3,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Antonio Osuna,age:25,games:50,plate_appearances:2,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Brad Clontz,age:27,games:18,plate_appearances:2,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Frank Lankford,age:27,games:12,plate_appearances:2,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Mark Guthrie,age:32,games:50,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Mike Judd,age:23,games:7,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Sean Maloney,age:27,games:11,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
