pos:C,name:Paul Lo Duca,age:32,games:91,plate_appearances:381,at_bats:349,runs:41,hits:105,doubles:18,triples:1,home_runs:10,runs_batted_in:49,stolen_bases:2,caught_stealing:4,walks:22,strikeouts:27,batting_avg:.301,onbase:.351,slugging:.444,ops:erc">.444,ops+:lugging">.795,bases:155,double_plays:15,hit_by_pitch:6,sac_hits:2,sac_flies:2,intentional_walks:0
pos:1B,name:Shawn Green,age:31,games:157,plate_appearances:671,at_bats:590,runs:92,hits:157,doubles:28,triples:1,home_runs:28,runs_batted_in:86,stolen_bases:5,caught_stealing:2,walks:71,strikeouts:114,batting_avg:.266,onbase:.352,slugging:.459,ops:erc">.459,ops+:lugging">.811,bases:271,double_plays:17,hit_by_pitch:8,sac_hits:0,sac_flies:2,intentional_walks:6
pos:2B,name:Alex Cora,age:28,games:138,plate_appearances:484,at_bats:405,runs:47,hits:107,doubles:9,triples:4,home_runs:10,runs_batted_in:47,stolen_bases:3,caught_stealing:4,walks:47,strikeouts:41,batting_avg:.264,onbase:.364,slugging:.380,ops:erc">.380,ops+:lugging">.745,bases:154,double_plays:9,hit_by_pitch:18,sac_hits:12,sac_flies:2,intentional_walks:10
pos:SS,name:Cesar Izturis,age:24,games:159,plate_appearances:728,at_bats:670,runs:90,hits:193,doubles:32,triples:9,home_runs:4,runs_batted_in:62,stolen_bases:25,caught_stealing:9,walks:43,strikeouts:70,batting_avg:.288,onbase:.330,slugging:.381,ops:erc">.381,ops+:lugging">.710,bases:255,double_plays:6,hit_by_pitch:0,sac_hits:12,sac_flies:3,intentional_walks:2
pos:3B,name:Adrian Beltre,age:25,games:156,plate_appearances:657,at_bats:598,runs:104,hits:200,doubles:32,triples:0,home_runs:48,runs_batted_in:121,stolen_bases:7,caught_stealing:2,walks:53,strikeouts:87,batting_avg:.334,onbase:.388,slugging:.629,ops:erc">.629,ops+:lugging">1.017,bases:376,double_plays:15,hit_by_pitch:2,sac_hits:0,sac_flies:4,intentional_walks:9
pos:LF,name:Jayson Werth,age:25,games:89,plate_appearances:326,at_bats:290,runs:56,hits:76,doubles:11,triples:3,home_runs:16,runs_batted_in:47,stolen_bases:4,caught_stealing:1,walks:30,strikeouts:85,batting_avg:.262,onbase:.338,slugging:.486,ops:erc">.486,ops+:lugging">.825,bases:141,double_plays:1,hit_by_pitch:4,sac_hits:1,sac_flies:1,intentional_walks:0
pos:CF,name:Milton Bradley,age:26,games:141,plate_appearances:597,at_bats:516,runs:72,hits:138,doubles:24,triples:0,home_runs:19,runs_batted_in:67,stolen_bases:15,caught_stealing:11,walks:71,strikeouts:123,batting_avg:.267,onbase:.362,slugging:.424,ops:erc">.424,ops+:lugging">.786,bases:219,double_plays:12,hit_by_pitch:6,sac_hits:3,sac_flies:1,intentional_walks:3
pos:RF,name:Juan Encarnacion,age:28,games:86,plate_appearances:350,at_bats:324,runs:42,hits:76,doubles:18,triples:1,home_runs:13,runs_batted_in:43,stolen_bases:3,caught_stealing:3,walks:21,strikeouts:53,batting_avg:.235,onbase:.289,slugging:.417,ops:erc">.417,ops+:lugging">.705,bases:135,double_plays:9,hit_by_pitch:4,sac_hits:0,sac_flies:1,intentional_walks:0
pos:LF,name:Dave Roberts,age:32,games:68,plate_appearances:270,at_bats:233,runs:45,hits:59,doubles:4,triples:7,home_runs:2,runs_batted_in:21,stolen_bases:33,caught_stealing:1,walks:28,strikeouts:31,batting_avg:.253,onbase:.340,slugging:.356,ops:erc">.356,ops+:lugging">.696,bases:83,double_plays:2,hit_by_pitch:4,sac_hits:2,sac_flies:3,intentional_walks:0
pos:CF,name:Steve Finley,age:39,games:58,plate_appearances:250,at_bats:224,runs:31,hits:59,doubles:12,triples:0,home_runs:13,runs_batted_in:46,stolen_bases:1,caught_stealing:3,walks:21,strikeouts:30,batting_avg:.263,onbase:.324,slugging:.491,ops:erc">.491,ops+:lugging">.815,bases:110,double_plays:5,hit_by_pitch:0,sac_hits:3,sac_flies:2,intentional_walks:0
pos:2B,name:Jose Hernandez,age:34,games:95,plate_appearances:238,at_bats:211,runs:32,hits:61,doubles:12,triples:1,home_runs:13,runs_batted_in:29,stolen_bases:3,caught_stealing:1,walks:26,strikeouts:61,batting_avg:.289,onbase:.370,slugging:.540,ops:erc">.540,ops+:lugging">.910,bases:114,double_plays:3,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:6
pos:LF,name:Jason Grabowski,age:28,games:113,plate_appearances:192,at_bats:173,runs:18,hits:38,doubles:7,triples:0,home_runs:7,runs_batted_in:20,stolen_bases:0,caught_stealing:0,walks:19,strikeouts:50,batting_avg:.220,onbase:.297,slugging:.382,ops:erc">.382,ops+:lugging">.678,bases:66,double_plays:4,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:David Ross,age:27,games:70,plate_appearances:190,at_bats:165,runs:13,hits:28,doubles:3,triples:1,home_runs:5,runs_batted_in:15,stolen_bases:0,caught_stealing:0,walks:15,strikeouts:62,batting_avg:.170,onbase:.253,slugging:.291,ops:erc">.291,ops+:lugging">.544,bases:48,double_plays:3,hit_by_pitch:5,sac_hits:0,sac_flies:5,intentional_walks:1
pos:1B,name:Robin Ventura,age:36,games:102,plate_appearances:175,at_bats:152,runs:19,hits:37,doubles:3,triples:0,home_runs:5,runs_batted_in:28,stolen_bases:0,caught_stealing:0,walks:22,strikeouts:31,batting_avg:.243,onbase:.337,slugging:.362,ops:erc">.362,ops+:lugging">.699,bases:55,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:1
pos:1B,name:Olmedo Saenz,age:33,games:77,plate_appearances:128,at_bats:111,runs:17,hits:31,doubles:1,triples:0,home_runs:8,runs_batted_in:22,stolen_bases:0,caught_stealing:0,walks:12,strikeouts:33,batting_avg:.279,onbase:.352,slugging:.505,ops:erc">.505,ops+:lugging">.856,bases:56,double_plays:4,hit_by_pitch:2,sac_hits:0,sac_flies:3,intentional_walks:1
pos:C,name:Brent Mayne,age:36,games:47,plate_appearances:113,at_bats:96,runs:5,hits:18,doubles:0,triples:0,home_runs:0,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:14,strikeouts:24,batting_avg:.188,onbase:.286,slugging:.188,ops:erc">.188,ops+:lugging">.473,bases:18,double_plays:2,hit_by_pitch:0,sac_hits:1,sac_flies:2,intentional_walks:4
pos:1B,name:Hee-Seop Choi,age:25,games:31,plate_appearances:76,at_bats:62,runs:5,hits:10,doubles:5,triples:0,home_runs:0,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:11,strikeouts:18,batting_avg:.161,onbase:.289,slugging:.242,ops:erc">.242,ops+:lugging">.531,bases:15,double_plays:2,hit_by_pitch:1,sac_hits:0,sac_flies:2,intentional_walks:2
pos:2B,name:Joe Thurston,age:24,games:17,plate_appearances:18,at_bats:17,runs:1,hits:3,doubles:1,triples:1,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:5,batting_avg:.176,onbase:.167,slugging:.353,ops:erc">.353,ops+:lugging">.520,bases:6,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:MI,name:Antonio Perez,age:24,games:13,plate_appearances:14,at_bats:13,runs:5,hits:3,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:1,caught_stealing:0,walks:0,strikeouts:5,batting_avg:.231,onbase:.286,slugging:.308,ops:erc">.308,ops+:lugging">.593,bases:4,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:LF,name:Chin-Feng Chen,age:26,games:8,plate_appearances:10,at_bats:8,runs:1,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:3,batting_avg:.000,onbase:.200,slugging:.000,ops:erc">.000,ops+:lugging">.200,bases:0,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Tom Wilson,age:33,games:9,plate_appearances:8,at_bats:8,runs:1,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.125,onbase:.125,slugging:.125,ops:erc">.125,ops+:lugging">.250,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:IF,name:Jose Flores,age:31,games:9,plate_appearances:5,at_bats:4,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:2,batting_avg:.250,onbase:.400,slugging:.250,ops:erc">.250,ops+:lugging">.650,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jeff Weaver,age:27,games:33,plate_appearances:78,at_bats:70,runs:3,hits:15,doubles:2,triples:1,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:26,batting_avg:.214,onbase:.225,slugging:.271,ops:erc">.271,ops+:lugging">.497,bases:19,double_plays:0,hit_by_pitch:0,sac_hits:7,sac_flies:0,intentional_walks:0
pos:P,name:Odalis Perez,age:26,games:30,plate_appearances:70,at_bats:62,runs:5,hits:7,doubles:2,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:17,batting_avg:.113,onbase:.141,slugging:.145,ops:erc">.145,ops+:lugging">.286,bases:9,double_plays:2,hit_by_pitch:0,sac_hits:6,sac_flies:0,intentional_walks:0
pos:P,name:Kazuhisa Ishii,age:30,games:29,plate_appearances:62,at_bats:55,runs:7,hits:7,doubles:0,triples:0,home_runs:1,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:24,batting_avg:.127,onbase:.143,slugging:.182,ops:erc">.182,ops+:lugging">.325,bases:10,double_plays:1,hit_by_pitch:0,sac_hits:6,sac_flies:0,intentional_walks:0
pos:P,name:Jose Lima,age:31,games:37,plate_appearances:57,at_bats:48,runs:1,hits:9,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:19,batting_avg:.188,onbase:.204,slugging:.188,ops:erc">.188,ops+:lugging">.392,bases:9,double_plays:2,hit_by_pitch:0,sac_hits:8,sac_flies:0,intentional_walks:0
pos:P,name:Wilson Alvarez,age:34,games:39,plate_appearances:34,at_bats:31,runs:4,hits:5,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:14,batting_avg:.161,onbase:.188,slugging:.161,ops:erc">.161,ops+:lugging">.349,bases:5,double_plays:2,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:P,name:Hideo Nomo,age:35,games:16,plate_appearances:27,at_bats:26,runs:2,hits:3,doubles:0,triples:0,home_runs:1,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:17,batting_avg:.115,onbase:.115,slugging:.231,ops:erc">.231,ops+:lugging">.346,bases:6,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Edwin Jackson,age:20,games:7,plate_appearances:6,at_bats:4,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.250,onbase:.250,slugging:.250,ops:erc">.250,ops+:lugging">.500,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:P,name:Guillermo Mota,age:30,games:49,plate_appearances:6,at_bats:6,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:5,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Duaner Sanchez,age:24,games:63,plate_appearances:5,at_bats:4,runs:1,hits:1,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.250,onbase:.250,slugging:.500,ops:erc">.500,ops+:lugging">.750,bases:2,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
