pos:C,name:A.J. Ellis,age:31,games:133,plate_appearances:505,at_bats:423,runs:44,hits:114,doubles:20,triples:1,home_runs:13,runs_batted_in:52,stolen_bases:0,caught_stealing:0,walks:65,strikeouts:107,batting_avg:.270,onbase:.373,slugging:.414,ops:erc">.414,ops+:lugging">.786,bases:175,double_plays:17,hit_by_pitch:7,sac_hits:6,sac_flies:4,intentional_walks:11
pos:1B,name:James Loney,age:28,games:114,plate_appearances:359,at_bats:334,runs:32,hits:85,doubles:18,triples:0,home_runs:4,runs_batted_in:33,stolen_bases:0,caught_stealing:3,walks:23,strikeouts:39,batting_avg:.254,onbase:.302,slugging:.344,ops:erc">.344,ops+:lugging">.646,bases:115,double_plays:16,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:7
pos:2B,name:Mark Ellis,age:35,games:110,plate_appearances:464,at_bats:415,runs:62,hits:107,doubles:21,triples:1,home_runs:7,runs_batted_in:31,stolen_bases:5,caught_stealing:0,walks:40,strikeouts:70,batting_avg:.258,onbase:.333,slugging:.364,ops:erc">.364,ops+:lugging">.697,bases:151,double_plays:5,hit_by_pitch:7,sac_hits:2,sac_flies:0,intentional_walks:0
pos:SS,name:Dee Gordon,age:24,games:87,plate_appearances:330,at_bats:303,runs:38,hits:69,doubles:9,triples:2,home_runs:1,runs_batted_in:17,stolen_bases:32,caught_stealing:10,walks:20,strikeouts:62,batting_avg:.228,onbase:.280,slugging:.281,ops:erc">.281,ops+:lugging">.561,bases:85,double_plays:5,hit_by_pitch:3,sac_hits:2,sac_flies:2,intentional_walks:0
pos:3B,name:Luis Cruz,age:28,games:78,plate_appearances:296,at_bats:283,runs:26,hits:84,doubles:20,triples:0,home_runs:6,runs_batted_in:40,stolen_bases:2,caught_stealing:1,walks:9,strikeouts:34,batting_avg:.297,onbase:.322,slugging:.431,ops:erc">.431,ops+:lugging">.753,bases:122,double_plays:7,hit_by_pitch:2,sac_hits:1,sac_flies:1,intentional_walks:1
pos:LF,name:Shane Victorino,age:31,games:53,plate_appearances:235,at_bats:208,runs:26,hits:51,doubles:12,triples:2,home_runs:2,runs_batted_in:15,stolen_bases:15,caught_stealing:2,walks:18,strikeouts:31,batting_avg:.245,onbase:.316,slugging:.351,ops:erc">.351,ops+:lugging">.667,bases:73,double_plays:1,hit_by_pitch:4,sac_hits:4,sac_flies:1,intentional_walks:0
pos:CF,name:Matt Kemp,age:27,games:106,plate_appearances:449,at_bats:403,runs:74,hits:122,doubles:22,triples:2,home_runs:23,runs_batted_in:69,stolen_bases:9,caught_stealing:4,walks:40,strikeouts:103,batting_avg:.303,onbase:.367,slugging:.538,ops:erc">.538,ops+:lugging">.906,bases:217,double_plays:10,hit_by_pitch:3,sac_hits:0,sac_flies:3,intentional_walks:8
pos:RF,name:Andre Ethier,age:30,games:149,plate_appearances:618,at_bats:556,runs:79,hits:158,doubles:36,triples:1,home_runs:20,runs_batted_in:89,stolen_bases:2,caught_stealing:2,walks:50,strikeouts:124,batting_avg:.284,onbase:.351,slugging:.460,ops:erc">.460,ops+:lugging">.812,bases:256,double_plays:13,hit_by_pitch:9,sac_hits:0,sac_flies:3,intentional_walks:6
pos:UT,name:Juan Rivera,age:33,games:109,plate_appearances:339,at_bats:312,runs:30,hits:76,doubles:14,triples:0,home_runs:9,runs_batted_in:47,stolen_bases:1,caught_stealing:3,walks:18,strikeouts:35,batting_avg:.244,onbase:.286,slugging:.375,ops:erc">.375,ops+:lugging">.661,bases:117,double_plays:15,hit_by_pitch:3,sac_hits:0,sac_flies:6,intentional_walks:1
pos:OF,name:Tony Gwynn,age:29,games:103,plate_appearances:277,at_bats:259,runs:29,hits:60,doubles:8,triples:4,home_runs:0,runs_batted_in:17,stolen_bases:13,caught_stealing:6,walks:16,strikeouts:52,batting_avg:.232,onbase:.276,slugging:.293,ops:erc">.293,ops+:lugging">.570,bases:76,double_plays:6,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:2
pos:SS,name:Hanley Ramirez,age:28,games:64,plate_appearances:272,at_bats:251,runs:30,hits:68,doubles:11,triples:2,home_runs:10,runs_batted_in:44,stolen_bases:7,caught_stealing:3,walks:17,strikeouts:60,batting_avg:.271,onbase:.324,slugging:.450,ops:erc">.450,ops+:lugging">.774,bases:113,double_plays:6,hit_by_pitch:3,sac_hits:0,sac_flies:1,intentional_walks:3
pos:IF,name:Jerry Hairston,age:36,games:78,plate_appearances:267,at_bats:238,runs:19,hits:65,doubles:13,triples:1,home_runs:4,runs_batted_in:26,stolen_bases:1,caught_stealing:2,walks:23,strikeouts:27,batting_avg:.273,onbase:.342,slugging:.387,ops:erc">.387,ops+:lugging">.729,bases:92,double_plays:7,hit_by_pitch:3,sac_hits:1,sac_flies:2,intentional_walks:2
pos:LF,name:Bobby Abreu,age:38,games:92,plate_appearances:230,at_bats:195,runs:28,hits:48,doubles:8,triples:1,home_runs:3,runs_batted_in:19,stolen_bases:6,caught_stealing:2,walks:35,strikeouts:51,batting_avg:.246,onbase:.361,slugging:.344,ops:erc">.344,ops+:lugging">.704,bases:67,double_plays:6,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:3
pos:UT,name:Elian Herrera,age:27,games:67,plate_appearances:214,at_bats:187,runs:26,hits:47,doubles:10,triples:1,home_runs:1,runs_batted_in:17,stolen_bases:4,caught_stealing:2,walks:23,strikeouts:50,batting_avg:.251,onbase:.340,slugging:.332,ops:erc">.332,ops+:lugging">.671,bases:62,double_plays:5,hit_by_pitch:2,sac_hits:2,sac_flies:0,intentional_walks:0
pos:3B,name:Adam Kennedy,age:36,games:86,plate_appearances:201,at_bats:168,runs:22,hits:44,doubles:8,triples:1,home_runs:2,runs_batted_in:16,stolen_bases:1,caught_stealing:1,walks:23,strikeouts:33,batting_avg:.262,onbase:.345,slugging:.357,ops:erc">.357,ops+:lugging">.702,bases:60,double_plays:5,hit_by_pitch:1,sac_hits:4,sac_flies:5,intentional_walks:1
pos:3B,name:Juan Uribe,age:33,games:66,plate_appearances:179,at_bats:162,runs:15,hits:31,doubles:9,triples:0,home_runs:2,runs_batted_in:17,stolen_bases:0,caught_stealing:1,walks:13,strikeouts:37,batting_avg:.191,onbase:.258,slugging:.284,ops:erc">.284,ops+:lugging">.542,bases:46,double_plays:6,hit_by_pitch:2,sac_hits:1,sac_flies:1,intentional_walks:0
pos:1B,name:Adrian Gonzalez,age:30,games:36,plate_appearances:157,at_bats:145,runs:12,hits:43,doubles:10,triples:1,home_runs:3,runs_batted_in:22,stolen_bases:2,caught_stealing:0,walks:11,strikeouts:29,batting_avg:.297,onbase:.344,slugging:.441,ops:erc">.441,ops+:lugging">.785,bases:64,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:1
pos:C,name:Matt Treanor,age:36,games:36,plate_appearances:122,at_bats:103,runs:11,hits:18,doubles:3,triples:1,home_runs:2,runs_batted_in:10,stolen_bases:1,caught_stealing:1,walks:14,strikeouts:29,batting_avg:.175,onbase:.281,slugging:.282,ops:erc">.282,ops+:lugging">.563,bases:29,double_plays:2,hit_by_pitch:2,sac_hits:1,sac_flies:2,intentional_walks:2
pos:UT,name:Scott Van Slyke,age:25,games:27,plate_appearances:57,at_bats:54,runs:4,hits:9,doubles:2,triples:0,home_runs:2,runs_batted_in:7,stolen_bases:1,caught_stealing:0,walks:2,strikeouts:14,batting_avg:.167,onbase:.196,slugging:.315,ops:erc">.315,ops+:lugging">.511,bases:17,double_plays:2,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:IF,name:Justin Sellers,age:26,games:19,plate_appearances:50,at_bats:44,runs:6,hits:9,doubles:3,triples:1,home_runs:1,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:14,batting_avg:.205,onbase:.286,slugging:.386,ops:erc">.386,ops+:lugging">.672,bases:17,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:1
pos:IF,name:Nick Punto,age:34,games:22,plate_appearances:43,at_bats:35,runs:6,hits:10,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:1,caught_stealing:0,walks:6,strikeouts:9,batting_avg:.286,onbase:.390,slugging:.314,ops:erc">.314,ops+:lugging">.705,bases:11,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:IF,name:Ivan De Jesus,age:25,games:23,plate_appearances:37,at_bats:33,runs:5,hits:9,doubles:3,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:1,caught_stealing:1,walks:3,strikeouts:7,batting_avg:.273,onbase:.324,slugging:.364,ops:erc">.364,ops+:lugging">.688,bases:12,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
