pos:C,name:Yasmani Grandal,age:29,games:140,plate_appearances:518,at_bats:440,runs:65,hits:106,doubles:23,triples:2,home_runs:24,runs_batted_in:68,stolen_bases:2,caught_stealing:1,walks:72,strikeouts:124,batting_avg:.241,onbase:.349,slugging:.466,ops:erc">.466,ops+:lugging">.815,bases:205,double_plays:12,hit_by_pitch:3,sac_hits:0,sac_flies:3,intentional_walks:1
pos:1B,name:Cody Bellinger,age:22,games:162,plate_appearances:632,at_bats:557,runs:84,hits:145,doubles:28,triples:7,home_runs:25,runs_batted_in:76,stolen_bases:14,caught_stealing:1,walks:69,strikeouts:151,batting_avg:.260,onbase:.343,slugging:.470,ops:erc">.470,ops+:lugging">.814,bases:262,double_plays:7,hit_by_pitch:3,sac_hits:0,sac_flies:3,intentional_walks:9
pos:2B,name:Logan Forsythe,age:31,games:70,plate_appearances:211,at_bats:193,runs:18,hits:40,doubles:10,triples:0,home_runs:2,runs_batted_in:13,stolen_bases:2,caught_stealing:0,walks:17,strikeouts:43,batting_avg:.207,onbase:.270,slugging:.290,ops:erc">.290,ops+:lugging">.560,bases:56,double_plays:5,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:1
pos:SS,name:Chris Taylor,age:27,games:155,plate_appearances:604,at_bats:536,runs:85,hits:136,doubles:35,triples:8,home_runs:17,runs_batted_in:63,stolen_bases:9,caught_stealing:6,walks:55,strikeouts:178,batting_avg:.254,onbase:.331,slugging:.444,ops:erc">.444,ops+:lugging">.775,bases:238,double_plays:5,hit_by_pitch:9,sac_hits:0,sac_flies:4,intentional_walks:0
pos:3B,name:Justin Turner,age:33,games:103,plate_appearances:426,at_bats:365,runs:62,hits:114,doubles:31,triples:1,home_runs:14,runs_batted_in:52,stolen_bases:2,caught_stealing:1,walks:47,strikeouts:54,batting_avg:.312,onbase:.406,slugging:.518,ops:erc">.518,ops+:lugging">.924,bases:189,double_plays:10,hit_by_pitch:12,sac_hits:0,sac_flies:2,intentional_walks:3
pos:LF,name:Joc Pederson,age:26,games:148,plate_appearances:443,at_bats:395,runs:65,hits:98,doubles:27,triples:3,home_runs:25,runs_batted_in:56,stolen_bases:1,caught_stealing:5,walks:40,strikeouts:85,batting_avg:.248,onbase:.321,slugging:.522,ops:erc">.522,ops+:lugging">.843,bases:206,double_plays:6,hit_by_pitch:4,sac_hits:1,sac_flies:3,intentional_walks:3
pos:CF,name:Enrique Hernandez,age:26,games:145,plate_appearances:462,at_bats:402,runs:67,hits:103,doubles:17,triples:3,home_runs:21,runs_batted_in:52,stolen_bases:3,caught_stealing:0,walks:50,strikeouts:78,batting_avg:.256,onbase:.336,slugging:.470,ops:erc">.470,ops+:lugging">.806,bases:189,double_plays:3,hit_by_pitch:1,sac_hits:4,sac_flies:5,intentional_walks:5
pos:RF,name:Yasiel Puig,age:27,games:125,plate_appearances:444,at_bats:405,runs:60,hits:108,doubles:21,triples:1,home_runs:23,runs_batted_in:63,stolen_bases:15,caught_stealing:5,walks:36,strikeouts:87,batting_avg:.267,onbase:.327,slugging:.494,ops:erc">.494,ops+:lugging">.820,bases:200,double_plays:15,hit_by_pitch:1,sac_hits:0,sac_flies:2,intentional_walks:2
pos:OF,name:Matt Kemp,age:33,games:146,plate_appearances:506,at_bats:462,runs:62,hits:134,doubles:25,triples:0,home_runs:21,runs_batted_in:85,stolen_bases:0,caught_stealing:0,walks:36,strikeouts:115,batting_avg:.290,onbase:.338,slugging:.481,ops:erc">.481,ops+:lugging">.818,bases:222,double_plays:14,hit_by_pitch:1,sac_hits:0,sac_flies:7,intentional_walks:2
pos:CI,name:Max Muncy,age:27,games:137,plate_appearances:481,at_bats:395,runs:75,hits:104,doubles:17,triples:2,home_runs:35,runs_batted_in:79,stolen_bases:3,caught_stealing:0,walks:79,strikeouts:131,batting_avg:.263,onbase:.391,slugging:.582,ops:erc">.582,ops+:lugging">.973,bases:230,double_plays:4,hit_by_pitch:5,sac_hits:0,sac_flies:2,intentional_walks:6
pos:IF,name:Manny Machado,age:25,games:66,plate_appearances:296,at_bats:267,runs:36,hits:73,doubles:14,triples:2,home_runs:13,runs_batted_in:42,stolen_bases:6,caught_stealing:1,walks:25,strikeouts:53,batting_avg:.273,onbase:.338,slugging:.487,ops:erc">.487,ops+:lugging">.825,bases:130,double_plays:12,hit_by_pitch:2,sac_hits:0,sac_flies:2,intentional_walks:6
pos:C,name:Austin Barnes,age:28,games:100,plate_appearances:238,at_bats:200,runs:32,hits:41,doubles:5,triples:0,home_runs:4,runs_batted_in:14,stolen_bases:4,caught_stealing:3,walks:31,strikeouts:67,batting_avg:.205,onbase:.329,slugging:.290,ops:erc">.290,ops+:lugging">.619,bases:58,double_plays:7,hit_by_pitch:6,sac_hits:1,sac_flies:0,intentional_walks:4
pos:2B,name:Chase Utley,age:39,games:87,plate_appearances:187,at_bats:164,runs:18,hits:35,doubles:10,triples:1,home_runs:1,runs_batted_in:14,stolen_bases:3,caught_stealing:1,walks:17,strikeouts:34,batting_avg:.213,onbase:.305,slugging:.305,ops:erc">.305,ops+:lugging">.610,bases:50,double_plays:3,hit_by_pitch:5,sac_hits:0,sac_flies:1,intentional_walks:2
pos:2B,name:Brian Dozier,age:31,games:47,plate_appearances:170,at_bats:143,runs:16,hits:26,doubles:9,triples:0,home_runs:5,runs_batted_in:20,stolen_bases:4,caught_stealing:0,walks:24,strikeouts:33,batting_avg:.182,onbase:.300,slugging:.350,ops:erc">.350,ops+:lugging">.650,bases:50,double_plays:5,hit_by_pitch:1,sac_hits:0,sac_flies:2,intentional_walks:0
