pos:C,name:Ellie Rodriguez,age:26,games:116,plate_appearances:422,at_bats:355,runs:31,hits:101,doubles:14,triples:2,home_runs:2,runs_batted_in:35,stolen_bases:1,caught_stealing:4,walks:52,strikeouts:43,batting_avg:.285,onbase:.382,slugging:.352,ops:erc">.352,ops+:lugging">.734,bases:125,double_plays:7,hit_by_pitch:7,sac_hits:3,sac_flies:5,intentional_walks:5
pos:1B,name:George Scott,age:28,games:152,plate_appearances:629,at_bats:578,runs:71,hits:154,doubles:24,triples:4,home_runs:20,runs_batted_in:88,stolen_bases:16,caught_stealing:4,walks:43,strikeouts:130,batting_avg:.266,onbase:.321,slugging:.426,ops:erc">.426,ops+:lugging">.746,bases:246,double_plays:19,hit_by_pitch:4,sac_hits:2,sac_flies:2,intentional_walks:4
pos:2B,name:Ron Theobald,age:28,games:125,plate_appearances:474,at_bats:391,runs:45,hits:86,doubles:11,triples:0,home_runs:1,runs_batted_in:19,stolen_bases:0,caught_stealing:7,walks:68,strikeouts:38,batting_avg:.220,onbase:.342,slugging:.256,ops:erc">.256,ops+:lugging">.598,bases:100,double_plays:11,hit_by_pitch:5,sac_hits:9,sac_flies:1,intentional_walks:2
pos:SS,name:Rick Auerbach,age:22,games:153,plate_appearances:605,at_bats:554,runs:50,hits:121,doubles:16,triples:3,home_runs:2,runs_batted_in:30,stolen_bases:24,caught_stealing:8,walks:43,strikeouts:62,batting_avg:.218,onbase:.277,slugging:.269,ops:erc">.269,ops+:lugging">.546,bases:149,double_plays:14,hit_by_pitch:2,sac_hits:5,sac_flies:1,intentional_walks:5
pos:3B,name:Mike Ferraro,age:27,games:124,plate_appearances:406,at_bats:381,runs:19,hits:97,doubles:18,triples:1,home_runs:2,runs_batted_in:29,stolen_bases:0,caught_stealing:5,walks:17,strikeouts:41,batting_avg:.255,onbase:.284,slugging:.323,ops:erc">.323,ops+:lugging">.606,bases:123,double_plays:18,hit_by_pitch:0,sac_hits:4,sac_flies:4,intentional_walks:1
pos:LF,name:John Briggs,age:28,games:135,plate_appearances:481,at_bats:418,runs:58,hits:111,doubles:14,triples:1,home_runs:21,runs_batted_in:65,stolen_bases:1,caught_stealing:2,walks:54,strikeouts:67,batting_avg:.266,onbase:.347,slugging:.455,ops:erc">.455,ops+:lugging">.801,bases:190,double_plays:8,hit_by_pitch:1,sac_hits:2,sac_flies:6,intentional_walks:4
pos:CF,name:Dave May,age:28,games:143,plate_appearances:556,at_bats:500,runs:49,hits:119,doubles:20,triples:2,home_runs:9,runs_batted_in:45,stolen_bases:11,caught_stealing:13,walks:47,strikeouts:56,batting_avg:.238,onbase:.306,slugging:.340,ops:erc">.340,ops+:lugging">.646,bases:170,double_plays:12,hit_by_pitch:3,sac_hits:4,sac_flies:2,intentional_walks:8
pos:RF,name:Joe Lahoud,age:25,games:111,plate_appearances:363,at_bats:316,runs:35,hits:75,doubles:9,triples:3,home_runs:12,runs_batted_in:34,stolen_bases:3,caught_stealing:4,walks:45,strikeouts:54,batting_avg:.237,onbase:.331,slugging:.399,ops:erc">.399,ops+:lugging">.730,bases:126,double_plays:8,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:7
pos:IF,name:Bob Heise,age:25,games:95,plate_appearances:293,at_bats:271,runs:23,hits:72,doubles:10,triples:1,home_runs:0,runs_batted_in:12,stolen_bases:1,caught_stealing:1,walks:12,strikeouts:14,batting_avg:.266,onbase:.301,slugging:.310,ops:erc">.310,ops+:lugging">.611,bases:84,double_plays:7,hit_by_pitch:2,sac_hits:7,sac_flies:1,intentional_walks:1
pos:RF,name:Billy Conigliaro,age:24,games:52,plate_appearances:201,at_bats:191,runs:22,hits:44,doubles:6,triples:2,home_runs:7,runs_batted_in:16,stolen_bases:1,caught_stealing:0,walks:8,strikeouts:54,batting_avg:.230,onbase:.261,slugging:.393,ops:erc">.393,ops+:lugging">.654,bases:75,double_plays:5,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:RF,name:Ollie Brown,age:28,games:66,plate_appearances:200,at_bats:179,runs:21,hits:50,doubles:8,triples:0,home_runs:3,runs_batted_in:25,stolen_bases:0,caught_stealing:2,walks:17,strikeouts:24,batting_avg:.279,onbase:.342,slugging:.374,ops:erc">.374,ops+:lugging">.716,bases:67,double_plays:10,hit_by_pitch:1,sac_hits:1,sac_flies:2,intentional_walks:3
pos:OF,name:Brock Davis,age:28,games:85,plate_appearances:168,at_bats:154,runs:17,hits:49,doubles:2,triples:0,home_runs:0,runs_batted_in:12,stolen_bases:6,caught_stealing:4,walks:12,strikeouts:23,batting_avg:.318,onbase:.365,slugging:.331,ops:erc">.331,ops+:lugging">.696,bases:51,double_plays:4,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:0
pos:LF,name:Tommie Reynolds,age:30,games:72,plate_appearances:141,at_bats:130,runs:13,hits:26,doubles:5,triples:1,home_runs:2,runs_batted_in:13,stolen_bases:0,caught_stealing:0,walks:10,strikeouts:25,batting_avg:.200,onbase:.262,slugging:.300,ops:erc">.300,ops+:lugging">.562,bases:39,double_plays:4,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:John Felske,age:30,games:37,plate_appearances:89,at_bats:80,runs:6,hits:11,doubles:3,triples:0,home_runs:1,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:8,strikeouts:23,batting_avg:.138,onbase:.216,slugging:.213,ops:erc">.213,ops+:lugging">.428,bases:17,double_plays:2,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:IF,name:Syd O'Brien,age:28,games:31,plate_appearances:64,at_bats:58,runs:5,hits:12,doubles:2,triples:0,home_runs:1,runs_batted_in:5,stolen_bases:0,caught_stealing:1,walks:2,strikeouts:13,batting_avg:.207,onbase:.230,slugging:.293,ops:erc">.293,ops+:lugging">.523,bases:17,double_plays:2,hit_by_pitch:0,sac_hits:3,sac_flies:1,intentional_walks:0
pos:C,name:Darrell Porter,age:20,games:18,plate_appearances:63,at_bats:56,runs:2,hits:7,doubles:1,triples:0,home_runs:1,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:21,batting_avg:.125,onbase:.210,slugging:.196,ops:erc">.196,ops+:lugging">.406,bases:11,double_plays:1,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:0
pos:IF,name:Ron Clark,age:29,games:22,plate_appearances:61,at_bats:54,runs:8,hits:10,doubles:1,triples:1,home_runs:2,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:11,batting_avg:.185,onbase:.250,slugging:.352,ops:erc">.352,ops+:lugging">.602,bases:19,double_plays:2,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:0
pos:C,name:Paul Ratliff,age:28,games:22,plate_appearances:45,at_bats:42,runs:1,hits:3,doubles:0,triples:0,home_runs:1,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:23,batting_avg:.071,onbase:.114,slugging:.143,ops:erc">.143,ops+:lugging">.256,bases:6,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:1
pos:OF,name:Bill Voss,age:28,games:27,plate_appearances:42,at_bats:36,runs:1,hits:3,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:1,walks:5,strikeouts:4,batting_avg:.083,onbase:.195,slugging:.111,ops:erc">.111,ops+:lugging">.306,bases:4,double_plays:3,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
