pos:C,name:Charlie Moore,age:27,games:111,plate_appearances:356,at_bats:320,runs:42,hits:93,doubles:13,triples:2,home_runs:2,runs_batted_in:30,stolen_bases:10,caught_stealing:5,walks:24,strikeouts:28,batting_avg:.291,onbase:.336,slugging:.363,ops:erc">.363,ops+:lugging">.699,bases:116,double_plays:7,hit_by_pitch:0,sac_hits:8,sac_flies:4,intentional_walks:2
pos:1B,name:Cecil Cooper,age:30,games:153,plate_appearances:678,at_bats:622,runs:96,hits:219,doubles:33,triples:4,home_runs:25,runs_batted_in:122,stolen_bases:17,caught_stealing:6,walks:39,strikeouts:42,batting_avg:.352,onbase:.387,slugging:.539,ops:erc">.539,ops+:lugging">.926,bases:335,double_plays:16,hit_by_pitch:2,sac_hits:7,sac_flies:8,intentional_walks:15
pos:2B,name:Paul Molitor,age:23,games:111,plate_appearances:512,at_bats:450,runs:81,hits:137,doubles:29,triples:2,home_runs:9,runs_batted_in:37,stolen_bases:34,caught_stealing:7,walks:48,strikeouts:48,batting_avg:.304,onbase:.372,slugging:.438,ops:erc">.438,ops+:lugging">.809,bases:197,double_plays:9,hit_by_pitch:3,sac_hits:6,sac_flies:5,intentional_walks:4
pos:SS,name:Robin Yount,age:24,games:143,plate_appearances:647,at_bats:611,runs:121,hits:179,doubles:49,triples:10,home_runs:23,runs_batted_in:87,stolen_bases:20,caught_stealing:5,walks:26,strikeouts:67,batting_avg:.293,onbase:.321,slugging:.519,ops:erc">.519,ops+:lugging">.840,bases:317,double_plays:8,hit_by_pitch:1,sac_hits:6,sac_flies:3,intentional_walks:1
pos:3B,name:Jim Gantner,age:27,games:132,plate_appearances:457,at_bats:415,runs:47,hits:117,doubles:21,triples:3,home_runs:4,runs_batted_in:40,stolen_bases:11,caught_stealing:10,walks:30,strikeouts:29,batting_avg:.282,onbase:.330,slugging:.376,ops:erc">.376,ops+:lugging">.706,bases:156,double_plays:8,hit_by_pitch:1,sac_hits:8,sac_flies:3,intentional_walks:5
pos:LF,name:Ben Oglivie,age:31,games:156,plate_appearances:660,at_bats:592,runs:94,hits:180,doubles:26,triples:2,home_runs:41,runs_batted_in:118,stolen_bases:11,caught_stealing:9,walks:54,strikeouts:71,batting_avg:.304,onbase:.362,slugging:.563,ops:erc">.563,ops+:lugging">.925,bases:333,double_plays:5,hit_by_pitch:5,sac_hits:0,sac_flies:9,intentional_walks:19
pos:CF,name:Gorman Thomas,age:29,games:162,plate_appearances:697,at_bats:628,runs:78,hits:150,doubles:26,triples:3,home_runs:38,runs_batted_in:105,stolen_bases:8,caught_stealing:5,walks:58,strikeouts:170,batting_avg:.239,onbase:.303,slugging:.471,ops:erc">.471,ops+:lugging">.774,bases:296,double_plays:7,hit_by_pitch:2,sac_hits:3,sac_flies:6,intentional_walks:4
pos:RF,name:Sixto Lezcano,age:26,games:112,plate_appearances:460,at_bats:411,runs:51,hits:94,doubles:19,triples:3,home_runs:18,runs_batted_in:55,stolen_bases:1,caught_stealing:1,walks:39,strikeouts:75,batting_avg:.229,onbase:.298,slugging:.421,ops:erc">.421,ops+:lugging">.719,bases:173,double_plays:6,hit_by_pitch:3,sac_hits:3,sac_flies:4,intentional_walks:3
pos:DH,name:Dick Davis,age:26,games:106,plate_appearances:381,at_bats:365,runs:50,hits:99,doubles:26,triples:2,home_runs:4,runs_batted_in:30,stolen_bases:5,caught_stealing:3,walks:11,strikeouts:43,batting_avg:.271,onbase:.297,slugging:.386,ops:erc">.386,ops+:lugging">.683,bases:141,double_plays:8,hit_by_pitch:3,sac_hits:0,sac_flies:2,intentional_walks:0
pos:3B,name:Don Money,age:33,games:86,plate_appearances:336,at_bats:289,runs:39,hits:74,doubles:17,triples:1,home_runs:17,runs_batted_in:46,stolen_bases:0,caught_stealing:0,walks:40,strikeouts:36,batting_avg:.256,onbase:.348,slugging:.498,ops:erc">.498,ops+:lugging">.847,bases:144,double_plays:4,hit_by_pitch:1,sac_hits:6,sac_flies:0,intentional_walks:0
pos:3B,name:Sal Bando,age:36,games:78,plate_appearances:291,at_bats:254,runs:28,hits:50,doubles:12,triples:1,home_runs:5,runs_batted_in:31,stolen_bases:5,caught_stealing:3,walks:29,strikeouts:35,batting_avg:.197,onbase:.278,slugging:.311,ops:erc">.311,ops+:lugging">.589,bases:79,double_plays:7,hit_by_pitch:1,sac_hits:3,sac_flies:4,intentional_walks:2
pos:C,name:Buck Martinez,age:31,games:76,plate_appearances:238,at_bats:219,runs:16,hits:49,doubles:9,triples:0,home_runs:3,runs_batted_in:17,stolen_bases:1,caught_stealing:0,walks:12,strikeouts:33,batting_avg:.224,onbase:.266,slugging:.306,ops:erc">.306,ops+:lugging">.572,bases:67,double_plays:3,hit_by_pitch:1,sac_hits:5,sac_flies:1,intentional_walks:0
pos:DH,name:Mark Brouhard,age:24,games:45,plate_appearances:133,at_bats:125,runs:17,hits:29,doubles:6,triples:0,home_runs:5,runs_batted_in:16,stolen_bases:1,caught_stealing:0,walks:7,strikeouts:24,batting_avg:.232,onbase:.278,slugging:.400,ops:erc">.400,ops+:lugging">.678,bases:50,double_plays:3,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:MI,name:Ed Romero,age:22,games:42,plate_appearances:115,at_bats:104,runs:20,hits:27,doubles:7,triples:0,home_runs:1,runs_batted_in:10,stolen_bases:2,caught_stealing:0,walks:9,strikeouts:11,batting_avg:.260,onbase:.319,slugging:.356,ops:erc">.356,ops+:lugging">.674,bases:37,double_plays:3,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:RF,name:Vic Harris,age:30,games:34,plate_appearances:103,at_bats:89,runs:8,hits:19,doubles:4,triples:1,home_runs:1,runs_batted_in:7,stolen_bases:4,caught_stealing:1,walks:12,strikeouts:13,batting_avg:.213,onbase:.304,slugging:.315,ops:erc">.315,ops+:lugging">.619,bases:28,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:0
pos:DH,name:Larry Hisle,age:33,games:17,plate_appearances:76,at_bats:60,runs:16,hits:17,doubles:0,triples:0,home_runs:6,runs_batted_in:16,stolen_bases:1,caught_stealing:1,walks:14,strikeouts:7,batting_avg:.283,onbase:.421,slugging:.583,ops:erc">.583,ops+:lugging">1.004,bases:35,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:2
pos:UT,name:John Poff,age:27,games:19,plate_appearances:71,at_bats:68,runs:7,hits:17,doubles:1,triples:2,home_runs:1,runs_batted_in:7,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:7,batting_avg:.250,onbase:.282,slugging:.368,ops:erc">.368,ops+:lugging">.649,bases:25,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:2
pos:C,name:Ned Yost,age:25,games:15,plate_appearances:31,at_bats:31,runs:0,hits:5,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:6,batting_avg:.161,onbase:.161,slugging:.161,ops:erc">.161,ops+:lugging">.323,bases:5,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Mike Caldwell,age:31,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Bob McClure,age:28,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:John Flinn,age:25,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
