pos:C,name:B.J. Surhoff,age:24,games:126,plate_appearances:477,at_bats:436,runs:42,hits:108,doubles:17,triples:4,home_runs:5,runs_batted_in:55,stolen_bases:14,caught_stealing:12,walks:25,strikeouts:29,batting_avg:.248,onbase:.287,slugging:.339,ops:erc">.339,ops+:lugging">.626,bases:148,double_plays:8,hit_by_pitch:3,sac_hits:3,sac_flies:10,intentional_walks:1
pos:1B,name:Greg Brock,age:32,games:107,plate_appearances:422,at_bats:373,runs:40,hits:99,doubles:16,triples:0,home_runs:12,runs_batted_in:52,stolen_bases:6,caught_stealing:1,walks:43,strikeouts:49,batting_avg:.265,onbase:.345,slugging:.405,ops:erc">.405,ops+:lugging">.750,bases:151,double_plays:10,hit_by_pitch:3,sac_hits:2,sac_flies:1,intentional_walks:8
pos:2B,name:Jim Gantner,age:36,games:116,plate_appearances:455,at_bats:409,runs:51,hits:112,doubles:18,triples:3,home_runs:0,runs_batted_in:34,stolen_bases:20,caught_stealing:6,walks:21,strikeouts:33,batting_avg:.274,onbase:.321,slugging:.333,ops:erc">.333,ops+:lugging">.654,bases:136,double_plays:10,hit_by_pitch:10,sac_hits:8,sac_flies:5,intentional_walks:2
pos:SS,name:Bill Spiers,age:23,games:114,plate_appearances:373,at_bats:345,runs:44,hits:88,doubles:9,triples:3,home_runs:4,runs_batted_in:33,stolen_bases:10,caught_stealing:2,walks:21,strikeouts:63,batting_avg:.255,onbase:.298,slugging:.333,ops:erc">.333,ops+:lugging">.631,bases:115,double_plays:2,hit_by_pitch:1,sac_hits:4,sac_flies:2,intentional_walks:1
pos:3B,name:Paul Molitor,age:32,games:155,plate_appearances:696,at_bats:615,runs:84,hits:194,doubles:35,triples:4,home_runs:11,runs_batted_in:56,stolen_bases:27,caught_stealing:11,walks:64,strikeouts:67,batting_avg:.315,onbase:.379,slugging:.439,ops:erc">.439,ops+:lugging">.818,bases:270,double_plays:11,hit_by_pitch:4,sac_hits:4,sac_flies:9,intentional_walks:4
pos:LF,name:Glenn Braggs,age:26,games:144,plate_appearances:570,at_bats:514,runs:77,hits:127,doubles:12,triples:3,home_runs:15,runs_batted_in:66,stolen_bases:17,caught_stealing:5,walks:42,strikeouts:111,batting_avg:.247,onbase:.305,slugging:.370,ops:erc">.370,ops+:lugging">.675,bases:190,double_plays:13,hit_by_pitch:4,sac_hits:3,sac_flies:7,intentional_walks:4
pos:CF,name:Robin Yount,age:33,games:160,plate_appearances:690,at_bats:614,runs:101,hits:195,doubles:38,triples:9,home_runs:21,runs_batted_in:103,stolen_bases:19,caught_stealing:3,walks:63,strikeouts:71,batting_avg:.318,onbase:.384,slugging:.511,ops:erc">.511,ops+:lugging">.896,bases:314,double_plays:9,hit_by_pitch:6,sac_hits:3,sac_flies:4,intentional_walks:9
pos:RF,name:Rob Deer,age:28,games:130,plate_appearances:532,at_bats:466,runs:72,hits:98,doubles:18,triples:2,home_runs:26,runs_batted_in:65,stolen_bases:4,caught_stealing:8,walks:60,strikeouts:158,batting_avg:.210,onbase:.305,slugging:.425,ops:erc">.425,ops+:lugging">.729,bases:198,double_plays:8,hit_by_pitch:4,sac_hits:0,sac_flies:2,intentional_walks:5
pos:DH,name:Joey Meyer,age:27,games:53,plate_appearances:164,at_bats:147,runs:13,hits:33,doubles:6,triples:0,home_runs:7,runs_batted_in:29,stolen_bases:1,caught_stealing:0,walks:12,strikeouts:36,batting_avg:.224,onbase:.274,slugging:.408,ops:erc">.408,ops+:lugging">.683,bases:60,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:5,intentional_walks:1
pos:IF,name:Gary Sheffield,age:20,games:95,plate_appearances:405,at_bats:368,runs:34,hits:91,doubles:18,triples:0,home_runs:5,runs_batted_in:32,stolen_bases:10,caught_stealing:6,walks:27,strikeouts:33,batting_avg:.247,onbase:.303,slugging:.337,ops:erc">.337,ops+:lugging">.640,bases:124,double_plays:4,hit_by_pitch:4,sac_hits:3,sac_flies:3,intentional_walks:0
pos:OF,name:Mike Felder,age:27,games:117,plate_appearances:345,at_bats:315,runs:50,hits:76,doubles:11,triples:3,home_runs:3,runs_batted_in:23,stolen_bases:26,caught_stealing:5,walks:23,strikeouts:38,batting_avg:.241,onbase:.293,slugging:.324,ops:erc">.324,ops+:lugging">.617,bases:102,double_plays:4,hit_by_pitch:0,sac_hits:7,sac_flies:0,intentional_walks:2
