pos:C,name:Joe Oliver,age:29,games:97,plate_appearances:369,at_bats:337,runs:43,hits:92,doubles:20,triples:0,home_runs:12,runs_batted_in:51,stolen_bases:2,caught_stealing:4,walks:27,strikeouts:66,batting_avg:.273,onbase:.332,slugging:.439,ops:erc">.439,ops+:lugging">.772,bases:148,double_plays:11,hit_by_pitch:3,sac_hits:2,sac_flies:0,intentional_walks:1
pos:1B,name:John Jaha,age:29,games:88,plate_appearances:357,at_bats:316,runs:59,hits:99,doubles:20,triples:2,home_runs:20,runs_batted_in:65,stolen_bases:2,caught_stealing:1,walks:36,strikeouts:66,batting_avg:.313,onbase:.389,slugging:.579,ops:erc">.579,ops+:lugging">.968,bases:183,double_plays:8,hit_by_pitch:4,sac_hits:0,sac_flies:1,intentional_walks:0
pos:2B,name:Fernando Vina,age:26,games:113,plate_appearances:325,at_bats:288,runs:46,hits:74,doubles:7,triples:7,home_runs:3,runs_batted_in:29,stolen_bases:6,caught_stealing:3,walks:22,strikeouts:28,batting_avg:.257,onbase:.327,slugging:.361,ops:erc">.361,ops+:lugging">.688,bases:104,double_plays:6,hit_by_pitch:9,sac_hits:4,sac_flies:2,intentional_walks:0
pos:SS,name:Jose Valentin,age:25,games:112,plate_appearances:386,at_bats:338,runs:62,hits:74,doubles:23,triples:3,home_runs:11,runs_batted_in:49,stolen_bases:16,caught_stealing:8,walks:37,strikeouts:83,batting_avg:.219,onbase:.293,slugging:.402,ops:erc">.402,ops+:lugging">.695,bases:136,double_plays:0,hit_by_pitch:0,sac_hits:7,sac_flies:4,intentional_walks:0
pos:3B,name:Kevin Seitzer,age:33,games:132,plate_appearances:570,at_bats:492,runs:56,hits:153,doubles:33,triples:3,home_runs:5,runs_batted_in:69,stolen_bases:2,caught_stealing:0,walks:64,strikeouts:57,batting_avg:.311,onbase:.395,slugging:.421,ops:erc">.421,ops+:lugging">.815,bases:207,double_plays:13,hit_by_pitch:6,sac_hits:5,sac_flies:3,intentional_walks:2
pos:LF,name:B.J. Surhoff,age:30,games:117,plate_appearances:462,at_bats:415,runs:72,hits:133,doubles:26,triples:3,home_runs:13,runs_batted_in:73,stolen_bases:7,caught_stealing:3,walks:37,strikeouts:43,batting_avg:.320,onbase:.378,slugging:.492,ops:erc">.492,ops+:lugging">.870,bases:204,double_plays:7,hit_by_pitch:4,sac_hits:2,sac_flies:4,intentional_walks:4
pos:CF,name:Darryl Hamilton,age:30,games:112,plate_appearances:459,at_bats:398,runs:54,hits:108,doubles:20,triples:6,home_runs:5,runs_batted_in:44,stolen_bases:11,caught_stealing:1,walks:47,strikeouts:35,batting_avg:.271,onbase:.350,slugging:.389,ops:erc">.389,ops+:lugging">.740,bases:155,double_plays:9,hit_by_pitch:3,sac_hits:8,sac_flies:3,intentional_walks:3
pos:RF,name:Matt Mieske,age:27,games:117,plate_appearances:303,at_bats:267,runs:42,hits:67,doubles:13,triples:1,home_runs:12,runs_batted_in:48,stolen_bases:2,caught_stealing:4,walks:27,strikeouts:45,batting_avg:.251,onbase:.323,slugging:.442,ops:erc">.442,ops+:lugging">.765,bases:118,double_plays:8,hit_by_pitch:4,sac_hits:0,sac_flies:5,intentional_walks:0
pos:DH,name:Greg Vaughn,age:29,games:108,plate_appearances:451,at_bats:392,runs:67,hits:88,doubles:19,triples:1,home_runs:17,runs_batted_in:59,stolen_bases:10,caught_stealing:4,walks:55,strikeouts:89,batting_avg:.224,onbase:.317,slugging:.408,ops:erc">.408,ops+:lugging">.725,bases:160,double_plays:10,hit_by_pitch:0,sac_hits:0,sac_flies:4,intentional_walks:3
pos:IF,name:Jeff Cirillo,age:25,games:125,plate_appearances:384,at_bats:328,runs:57,hits:91,doubles:19,triples:4,home_runs:9,runs_batted_in:39,stolen_bases:7,caught_stealing:2,walks:47,strikeouts:42,batting_avg:.277,onbase:.371,slugging:.442,ops:erc">.442,ops+:lugging">.813,bases:145,double_plays:8,hit_by_pitch:4,sac_hits:1,sac_flies:4,intentional_walks:0
pos:MI,name:Pat Listach,age:27,games:101,plate_appearances:369,at_bats:334,runs:35,hits:73,doubles:8,triples:2,home_runs:0,runs_batted_in:25,stolen_bases:13,caught_stealing:3,walks:25,strikeouts:61,batting_avg:.219,onbase:.276,slugging:.254,ops:erc">.254,ops+:lugging">.531,bases:85,double_plays:6,hit_by_pitch:2,sac_hits:7,sac_flies:1,intentional_walks:0
pos:OF,name:David Hulse,age:27,games:119,plate_appearances:364,at_bats:339,runs:46,hits:85,doubles:11,triples:6,home_runs:3,runs_batted_in:47,stolen_bases:15,caught_stealing:3,walks:18,strikeouts:60,batting_avg:.251,onbase:.285,slugging:.345,ops:erc">.345,ops+:lugging">.630,bases:117,double_plays:3,hit_by_pitch:0,sac_hits:2,sac_flies:5,intentional_walks:2
pos:RF,name:Dave Nilsson,age:25,games:81,plate_appearances:294,at_bats:263,runs:41,hits:73,doubles:12,triples:1,home_runs:12,runs_batted_in:53,stolen_bases:2,caught_stealing:0,walks:24,strikeouts:41,batting_avg:.278,onbase:.337,slugging:.468,ops:erc">.468,ops+:lugging">.804,bases:123,double_plays:9,hit_by_pitch:2,sac_hits:0,sac_flies:5,intentional_walks:4
pos:C,name:Mike Matheny,age:24,games:80,plate_appearances:181,at_bats:166,runs:13,hits:41,doubles:9,triples:1,home_runs:0,runs_batted_in:21,stolen_bases:2,caught_stealing:1,walks:12,strikeouts:28,batting_avg:.247,onbase:.306,slugging:.313,ops:erc">.313,ops+:lugging">.619,bases:52,double_plays:3,hit_by_pitch:2,sac_hits:1,sac_flies:0,intentional_walks:0
pos:OF,name:Turner Ward,age:30,games:44,plate_appearances:146,at_bats:129,runs:19,hits:34,doubles:3,triples:1,home_runs:4,runs_batted_in:16,stolen_bases:6,caught_stealing:1,walks:14,strikeouts:21,batting_avg:.264,onbase:.338,slugging:.395,ops:erc">.395,ops+:lugging">.733,bases:51,double_plays:2,hit_by_pitch:1,sac_hits:1,sac_flies:1,intentional_walks:1
pos:LF,name:Derrick May,age:26,games:32,plate_appearances:119,at_bats:113,runs:15,hits:28,doubles:3,triples:1,home_runs:1,runs_batted_in:9,stolen_bases:0,caught_stealing:1,walks:5,strikeouts:18,batting_avg:.248,onbase:.286,slugging:.319,ops:erc">.319,ops+:lugging">.604,bases:36,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:MI,name:Mark Loretta,age:23,games:19,plate_appearances:56,at_bats:50,runs:13,hits:13,doubles:3,triples:0,home_runs:1,runs_batted_in:3,stolen_bases:1,caught_stealing:1,walks:4,strikeouts:7,batting_avg:.260,onbase:.327,slugging:.380,ops:erc">.380,ops+:lugging">.707,bases:19,double_plays:1,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:0
pos:OF,name:Duane Singleton,age:22,games:13,plate_appearances:32,at_bats:31,runs:0,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:1,caught_stealing:0,walks:1,strikeouts:10,batting_avg:.065,onbase:.094,slugging:.065,ops:erc">.065,ops+:lugging">.158,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:1B,name:Tim Unroe,age:24,games:2,plate_appearances:4,at_bats:4,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.250,onbase:.250,slugging:.250,ops:erc">.250,ops+:lugging">.500,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Kevin Wickander,age:30,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Cal Eldred,age:27,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Mike Ignasiak,age:29,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
