pos:C,name:Mike Matheny,age:26,games:123,plate_appearances:356,at_bats:320,runs:29,hits:78,doubles:16,triples:1,home_runs:4,runs_batted_in:32,stolen_bases:0,caught_stealing:1,walks:17,strikeouts:68,batting_avg:.244,onbase:.294,slugging:.338,ops:erc">.338,ops+:lugging">.631,bases:108,double_plays:9,hit_by_pitch:7,sac_hits:9,sac_flies:3,intentional_walks:0
pos:1B,name:Dave Nilsson,age:27,games:156,plate_appearances:629,at_bats:554,runs:71,hits:154,doubles:33,triples:0,home_runs:20,runs_batted_in:81,stolen_bases:2,caught_stealing:3,walks:65,strikeouts:88,batting_avg:.278,onbase:.352,slugging:.446,ops:erc">.446,ops+:lugging">.798,bases:247,double_plays:7,hit_by_pitch:2,sac_hits:1,sac_flies:7,intentional_walks:8
pos:2B,name:Fernando Vina,age:28,games:79,plate_appearances:348,at_bats:324,runs:37,hits:89,doubles:12,triples:2,home_runs:4,runs_batted_in:28,stolen_bases:8,caught_stealing:7,walks:12,strikeouts:23,batting_avg:.275,onbase:.312,slugging:.361,ops:erc">.361,ops+:lugging">.673,bases:117,double_plays:4,hit_by_pitch:7,sac_hits:2,sac_flies:3,intentional_walks:1
pos:SS,name:Jose Valentin,age:27,games:136,plate_appearances:546,at_bats:494,runs:58,hits:125,doubles:23,triples:1,home_runs:17,runs_batted_in:58,stolen_bases:19,caught_stealing:8,walks:39,strikeouts:109,batting_avg:.253,onbase:.310,slugging:.407,ops:erc">.407,ops+:lugging">.717,bases:201,double_plays:5,hit_by_pitch:4,sac_hits:4,sac_flies:5,intentional_walks:4
pos:3B,name:Jeff Cirillo,age:27,games:154,plate_appearances:661,at_bats:580,runs:74,hits:167,doubles:46,triples:2,home_runs:10,runs_batted_in:82,stolen_bases:4,caught_stealing:3,walks:60,strikeouts:74,batting_avg:.288,onbase:.367,slugging:.426,ops:erc">.426,ops+:lugging">.793,bases:247,double_plays:13,hit_by_pitch:14,sac_hits:4,sac_flies:3,intentional_walks:0
pos:LF,name:Jack Voigt,age:31,games:72,plate_appearances:174,at_bats:151,runs:20,hits:37,doubles:9,triples:2,home_runs:8,runs_batted_in:22,stolen_bases:1,caught_stealing:2,walks:19,strikeouts:36,batting_avg:.245,onbase:.331,slugging:.490,ops:erc">.490,ops+:lugging">.821,bases:74,double_plays:5,hit_by_pitch:1,sac_hits:2,sac_flies:1,intentional_walks:2
pos:CF,name:Gerald Williams,age:30,games:155,plate_appearances:601,at_bats:566,runs:73,hits:143,doubles:32,triples:2,home_runs:10,runs_batted_in:41,stolen_bases:23,caught_stealing:9,walks:19,strikeouts:90,batting_avg:.253,onbase:.282,slugging:.369,ops:erc">.369,ops+:lugging">.651,bases:209,double_plays:9,hit_by_pitch:6,sac_hits:5,sac_flies:5,intentional_walks:1
pos:RF,name:Jeromy Burnitz,age:28,games:153,plate_appearances:577,at_bats:494,runs:85,hits:139,doubles:37,triples:8,home_runs:27,runs_batted_in:85,stolen_bases:20,caught_stealing:13,walks:75,strikeouts:111,batting_avg:.281,onbase:.382,slugging:.553,ops:erc">.553,ops+:lugging">.934,bases:273,double_plays:8,hit_by_pitch:5,sac_hits:3,sac_flies:0,intentional_walks:8
pos:DH,name:Julio Franco,age:38,games:42,plate_appearances:177,at_bats:141,runs:22,hits:34,doubles:3,triples:0,home_runs:4,runs_batted_in:19,stolen_bases:7,caught_stealing:1,walks:31,strikeouts:41,batting_avg:.241,onbase:.373,slugging:.348,ops:erc">.348,ops+:lugging">.720,bases:49,double_plays:4,hit_by_pitch:1,sac_hits:0,sac_flies:4,intentional_walks:2
pos:IF,name:Mark Loretta,age:25,games:132,plate_appearances:482,at_bats:418,runs:56,hits:120,doubles:17,triples:5,home_runs:5,runs_batted_in:47,stolen_bases:5,caught_stealing:5,walks:47,strikeouts:60,batting_avg:.287,onbase:.354,slugging:.388,ops:erc">.388,ops+:lugging">.742,bases:162,double_plays:15,hit_by_pitch:2,sac_hits:5,sac_flies:10,intentional_walks:2
pos:OF,name:Matt Mieske,age:29,games:84,plate_appearances:273,at_bats:253,runs:39,hits:63,doubles:15,triples:3,home_runs:5,runs_batted_in:21,stolen_bases:1,caught_stealing:0,walks:19,strikeouts:50,batting_avg:.249,onbase:.300,slugging:.391,ops:erc">.391,ops+:lugging">.692,bases:99,double_plays:12,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:2
pos:C,name:Jesse Levis,age:29,games:99,plate_appearances:232,at_bats:200,runs:19,hits:57,doubles:7,triples:0,home_runs:1,runs_batted_in:19,stolen_bases:1,caught_stealing:0,walks:24,strikeouts:17,batting_avg:.285,onbase:.361,slugging:.335,ops:erc">.335,ops+:lugging">.696,bases:67,double_plays:4,hit_by_pitch:1,sac_hits:5,sac_flies:2,intentional_walks:0
pos:1B,name:John Jaha,age:31,games:46,plate_appearances:192,at_bats:162,runs:25,hits:40,doubles:7,triples:0,home_runs:11,runs_batted_in:26,stolen_bases:1,caught_stealing:0,walks:25,strikeouts:40,batting_avg:.247,onbase:.354,slugging:.494,ops:erc">.494,ops+:lugging">.848,bases:80,double_plays:6,hit_by_pitch:3,sac_hits:0,sac_flies:2,intentional_walks:1
pos:LF,name:Marc Newfield,age:24,games:50,plate_appearances:176,at_bats:157,runs:14,hits:36,doubles:8,triples:0,home_runs:1,runs_batted_in:18,stolen_bases:0,caught_stealing:0,walks:14,strikeouts:27,batting_avg:.229,onbase:.295,slugging:.299,ops:erc">.299,ops+:lugging">.595,bases:47,double_plays:4,hit_by_pitch:2,sac_hits:0,sac_flies:3,intentional_walks:0
pos:2B,name:Jeff Huson,age:32,games:84,plate_appearances:154,at_bats:143,runs:12,hits:29,doubles:3,triples:0,home_runs:0,runs_batted_in:11,stolen_bases:3,caught_stealing:0,walks:5,strikeouts:15,batting_avg:.203,onbase:.238,slugging:.224,ops:erc">.224,ops+:lugging">.462,bases:32,double_plays:7,hit_by_pitch:2,sac_hits:2,sac_flies:1,intentional_walks:0
pos:LF,name:Todd Dunn,age:26,games:44,plate_appearances:120,at_bats:118,runs:17,hits:27,doubles:5,triples:0,home_runs:3,runs_batted_in:9,stolen_bases:3,caught_stealing:0,walks:2,strikeouts:39,batting_avg:.229,onbase:.242,slugging:.347,ops:erc">.347,ops+:lugging">.589,bases:41,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Darrin Jackson,age:33,games:26,plate_appearances:85,at_bats:81,runs:7,hits:22,doubles:7,triples:0,home_runs:2,runs_batted_in:15,stolen_bases:2,caught_stealing:1,walks:2,strikeouts:10,batting_avg:.272,onbase:.289,slugging:.432,ops:erc">.432,ops+:lugging">.721,bases:35,double_plays:3,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:LF,name:Brian Banks,age:26,games:28,plate_appearances:75,at_bats:68,runs:9,hits:14,doubles:1,triples:0,home_runs:1,runs_batted_in:8,stolen_bases:0,caught_stealing:1,walks:6,strikeouts:17,batting_avg:.206,onbase:.267,slugging:.265,ops:erc">.265,ops+:lugging">.531,bases:18,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:1B,name:Antone Williamson,age:23,games:24,plate_appearances:60,at_bats:54,runs:2,hits:11,doubles:3,triples:0,home_runs:0,runs_batted_in:6,stolen_bases:0,caught_stealing:1,walks:4,strikeouts:8,batting_avg:.204,onbase:.254,slugging:.259,ops:erc">.259,ops+:lugging">.513,bases:14,double_plays:2,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:0
pos:2B,name:Eddy Diaz,age:25,games:16,plate_appearances:51,at_bats:50,runs:4,hits:11,doubles:2,triples:1,home_runs:0,runs_batted_in:7,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:5,batting_avg:.220,onbase:.235,slugging:.300,ops:erc">.300,ops+:lugging">.535,bases:15,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:CF,name:Chuck Carr,age:29,games:26,plate_appearances:50,at_bats:46,runs:3,hits:6,doubles:3,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:1,caught_stealing:0,walks:2,strikeouts:11,batting_avg:.130,onbase:.184,slugging:.196,ops:erc">.196,ops+:lugging">.379,bases:9,double_plays:0,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:0
pos:C,name:Kelly Stinnett,age:27,games:30,plate_appearances:39,at_bats:36,runs:2,hits:9,doubles:4,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:9,batting_avg:.250,onbase:.308,slugging:.361,ops:erc">.361,ops+:lugging">.669,bases:13,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:CI,name:Tim Unroe,age:26,games:32,plate_appearances:18,at_bats:16,runs:3,hits:4,doubles:1,triples:0,home_runs:2,runs_batted_in:5,stolen_bases:2,caught_stealing:0,walks:2,strikeouts:9,batting_avg:.250,onbase:.333,slugging:.688,ops:erc">.688,ops+:lugging">1.021,bases:11,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jeff D'Amico,age:21,games:2,plate_appearances:5,at_bats:4,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Cal Eldred,age:29,games:2,plate_appearances:4,at_bats:3,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Scott Karl,age:25,games:2,plate_appearances:4,at_bats:4,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Joel Adamson,age:25,games:4,plate_appearances:3,at_bats:3,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jose Mercedes,age:26,games:1,plate_appearances:2,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Ben McDonald,age:29,games:1,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Doug Jones,age:40,games:8,plate_appearances:1,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:0,batting_avg:,onbase:1.000,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Ron Villone,age:27,games:4,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Pete Harnisch,age:30,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Alberto Reyes,age:27,games:1,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Mike Misuraca,age:28,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Mike Fetters,age:32,games:6,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Paul Wagner,age:29,games:1,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Sean Maloney,age:26,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Bob Wickman,age:28,games:2,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Angel Miranda,age:27,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Bryce Florie,age:27,games:3,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jamie McAndrew,age:29,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Mark Davis,age:36,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Steve Woodard,age:22,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Greg Hansell,age:26,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
