pos:C,name:Eddie Perez,age:35,games:107,plate_appearances:375,at_bats:350,runs:26,hits:95,doubles:17,triples:1,home_runs:11,runs_batted_in:45,stolen_bases:0,caught_stealing:1,walks:17,strikeouts:47,batting_avg:.271,onbase:.304,slugging:.420,ops:erc">.420,ops+:lugging">.724,bases:147,double_plays:16,hit_by_pitch:0,sac_hits:6,sac_flies:2,intentional_walks:3
pos:1B,name:Richie Sexson,age:28,games:162,plate_appearances:718,at_bats:606,runs:97,hits:165,doubles:28,triples:2,home_runs:45,runs_batted_in:124,stolen_bases:2,caught_stealing:3,walks:98,strikeouts:151,batting_avg:.272,onbase:.379,slugging:.548,ops:erc">.548,ops+:lugging">.927,bases:332,double_plays:18,hit_by_pitch:9,sac_hits:0,sac_flies:5,intentional_walks:7
pos:2B,name:Eric Young Sr.,age:36,games:109,plate_appearances:459,at_bats:404,runs:71,hits:105,doubles:18,triples:1,home_runs:15,runs_batted_in:31,stolen_bases:25,caught_stealing:7,walks:48,strikeouts:34,batting_avg:.260,onbase:.344,slugging:.421,ops:erc">.421,ops+:lugging">.764,bases:170,double_plays:9,hit_by_pitch:4,sac_hits:2,sac_flies:1,intentional_walks:2
pos:SS,name:Royce Clayton,age:33,games:146,plate_appearances:543,at_bats:483,runs:49,hits:110,doubles:16,triples:1,home_runs:11,runs_batted_in:39,stolen_bases:5,caught_stealing:2,walks:49,strikeouts:92,batting_avg:.228,onbase:.301,slugging:.333,ops:erc">.333,ops+:lugging">.634,bases:161,double_plays:25,hit_by_pitch:3,sac_hits:4,sac_flies:4,intentional_walks:10
pos:3B,name:Wes Helms,age:27,games:134,plate_appearances:536,at_bats:476,runs:56,hits:124,doubles:21,triples:0,home_runs:23,runs_batted_in:67,stolen_bases:0,caught_stealing:1,walks:43,strikeouts:131,batting_avg:.261,onbase:.330,slugging:.450,ops:erc">.450,ops+:lugging">.780,bases:214,double_plays:10,hit_by_pitch:10,sac_hits:0,sac_flies:7,intentional_walks:3
pos:LF,name:Geoff Jenkins,age:28,games:124,plate_appearances:554,at_bats:487,runs:81,hits:144,doubles:30,triples:2,home_runs:28,runs_batted_in:95,stolen_bases:0,caught_stealing:0,walks:58,strikeouts:120,batting_avg:.296,onbase:.375,slugging:.538,ops:erc">.538,ops+:lugging">.913,bases:262,double_plays:12,hit_by_pitch:6,sac_hits:0,sac_flies:3,intentional_walks:10
pos:CF,name:Scott Podsednik,age:27,games:154,plate_appearances:628,at_bats:558,runs:100,hits:175,doubles:29,triples:8,home_runs:9,runs_batted_in:58,stolen_bases:43,caught_stealing:10,walks:56,strikeouts:91,batting_avg:.314,onbase:.379,slugging:.443,ops:erc">.443,ops+:lugging">.822,bases:247,double_plays:11,hit_by_pitch:4,sac_hits:8,sac_flies:2,intentional_walks:2
pos:RF,name:John Vander Wal,age:37,games:117,plate_appearances:374,at_bats:327,runs:50,hits:84,doubles:25,triples:1,home_runs:14,runs_batted_in:45,stolen_bases:1,caught_stealing:2,walks:46,strikeouts:104,batting_avg:.257,onbase:.350,slugging:.468,ops:erc">.468,ops+:lugging">.818,bases:153,double_plays:5,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:3
pos:IF,name:Keith Ginter,age:27,games:127,plate_appearances:415,at_bats:358,runs:51,hits:92,doubles:15,triples:2,home_runs:14,runs_batted_in:44,stolen_bases:1,caught_stealing:1,walks:37,strikeouts:87,batting_avg:.257,onbase:.352,slugging:.427,ops:erc">.427,ops+:lugging">.779,bases:153,double_plays:8,hit_by_pitch:17,sac_hits:0,sac_flies:3,intentional_walks:1
pos:OF,name:Brady Clark,age:30,games:128,plate_appearances:356,at_bats:315,runs:33,hits:86,doubles:21,triples:1,home_runs:6,runs_batted_in:40,stolen_bases:13,caught_stealing:2,walks:21,strikeouts:40,batting_avg:.273,onbase:.330,slugging:.403,ops:erc">.403,ops+:lugging">.733,bases:127,double_plays:12,hit_by_pitch:9,sac_hits:2,sac_flies:7,intentional_walks:0
pos:C,name:Keith Osik,age:34,games:80,plate_appearances:275,at_bats:241,runs:22,hits:60,doubles:12,triples:0,home_runs:2,runs_batted_in:21,stolen_bases:0,caught_stealing:1,walks:31,strikeouts:44,batting_avg:.249,onbase:.342,slugging:.324,ops:erc">.324,ops+:lugging">.665,bases:78,double_plays:7,hit_by_pitch:3,sac_hits:0,sac_flies:0,intentional_walks:0
