pos:C,name:Chad Moeller,age:29,games:101,plate_appearances:349,at_bats:317,runs:25,hits:66,doubles:13,triples:1,home_runs:5,runs_batted_in:27,stolen_bases:0,caught_stealing:1,walks:21,strikeouts:74,batting_avg:.208,onbase:.265,slugging:.303,ops:erc">.303,ops+:lugging">.568,bases:96,double_plays:12,hit_by_pitch:4,sac_hits:6,sac_flies:1,intentional_walks:1
pos:1B,name:Lyle Overbay,age:27,games:159,plate_appearances:668,at_bats:579,runs:83,hits:174,doubles:53,triples:1,home_runs:16,runs_batted_in:87,stolen_bases:2,caught_stealing:1,walks:81,strikeouts:128,batting_avg:.301,onbase:.385,slugging:.478,ops:erc">.478,ops+:lugging">.863,bases:277,double_plays:11,hit_by_pitch:2,sac_hits:0,sac_flies:6,intentional_walks:9
pos:2B,name:Junior Spivey,age:29,games:59,plate_appearances:263,at_bats:228,runs:33,hits:62,doubles:13,triples:0,home_runs:7,runs_batted_in:28,stolen_bases:5,caught_stealing:3,walks:25,strikeouts:48,batting_avg:.272,onbase:.359,slugging:.421,ops:erc">.421,ops+:lugging">.780,bases:96,double_plays:7,hit_by_pitch:7,sac_hits:1,sac_flies:2,intentional_walks:0
pos:SS,name:Craig Counsell,age:33,games:140,plate_appearances:551,at_bats:473,runs:59,hits:114,doubles:19,triples:5,home_runs:2,runs_batted_in:23,stolen_bases:17,caught_stealing:4,walks:59,strikeouts:88,batting_avg:.241,onbase:.330,slugging:.315,ops:erc">.315,ops+:lugging">.645,bases:149,double_plays:5,hit_by_pitch:5,sac_hits:5,sac_flies:3,intentional_walks:9
pos:3B,name:Wes Helms,age:28,games:92,plate_appearances:306,at_bats:274,runs:24,hits:72,doubles:13,triples:1,home_runs:4,runs_batted_in:28,stolen_bases:0,caught_stealing:1,walks:24,strikeouts:60,batting_avg:.263,onbase:.331,slugging:.361,ops:erc">.361,ops+:lugging">.692,bases:99,double_plays:10,hit_by_pitch:5,sac_hits:1,sac_flies:2,intentional_walks:1
pos:LF,name:Geoff Jenkins,age:29,games:157,plate_appearances:681,at_bats:617,runs:88,hits:163,doubles:36,triples:6,home_runs:27,runs_batted_in:93,stolen_bases:3,caught_stealing:1,walks:46,strikeouts:152,batting_avg:.264,onbase:.325,slugging:.473,ops:erc">.473,ops+:lugging">.798,bases:292,double_plays:19,hit_by_pitch:12,sac_hits:0,sac_flies:6,intentional_walks:10
pos:CF,name:Scott Podsednik,age:28,games:154,plate_appearances:713,at_bats:640,runs:85,hits:156,doubles:27,triples:7,home_runs:12,runs_batted_in:39,stolen_bases:70,caught_stealing:13,walks:58,strikeouts:105,batting_avg:.244,onbase:.313,slugging:.364,ops:erc">.364,ops+:lugging">.677,bases:233,double_plays:7,hit_by_pitch:7,sac_hits:6,sac_flies:1,intentional_walks:2
pos:RF,name:Brady Clark,age:31,games:138,plate_appearances:420,at_bats:353,runs:41,hits:99,doubles:18,triples:1,home_runs:7,runs_batted_in:46,stolen_bases:15,caught_stealing:8,walks:53,strikeouts:48,batting_avg:.280,onbase:.385,slugging:.397,ops:erc">.397,ops+:lugging">.782,bases:140,double_plays:9,hit_by_pitch:9,sac_hits:1,sac_flies:3,intentional_walks:2
pos:IF,name:Keith Ginter,age:28,games:113,plate_appearances:437,at_bats:386,runs:47,hits:101,doubles:23,triples:2,home_runs:19,runs_batted_in:60,stolen_bases:8,caught_stealing:1,walks:37,strikeouts:100,batting_avg:.262,onbase:.333,slugging:.479,ops:erc">.479,ops+:lugging">.812,bases:185,double_plays:9,hit_by_pitch:6,sac_hits:4,sac_flies:4,intentional_walks:2
pos:MI,name:Bill Hall,age:24,games:126,plate_appearances:415,at_bats:390,runs:43,hits:93,doubles:20,triples:3,home_runs:9,runs_batted_in:53,stolen_bases:12,caught_stealing:6,walks:20,strikeouts:119,batting_avg:.238,onbase:.276,slugging:.374,ops:erc">.374,ops+:lugging">.650,bases:146,double_plays:4,hit_by_pitch:1,sac_hits:2,sac_flies:2,intentional_walks:1
pos:RF,name:Ben Grieve,age:28,games:108,plate_appearances:275,at_bats:234,runs:28,hits:61,doubles:15,triples:0,home_runs:7,runs_batted_in:29,stolen_bases:0,caught_stealing:0,walks:39,strikeouts:65,batting_avg:.261,onbase:.364,slugging:.415,ops:erc">.415,ops+:lugging">.778,bases:97,double_plays:4,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:5
pos:C,name:Gary Bennett,age:32,games:75,plate_appearances:246,at_bats:219,runs:18,hits:49,doubles:14,triples:0,home_runs:3,runs_batted_in:20,stolen_bases:1,caught_stealing:0,walks:22,strikeouts:32,batting_avg:.224,onbase:.297,slugging:.329,ops:erc">.329,ops+:lugging">.626,bases:72,double_plays:9,hit_by_pitch:2,sac_hits:0,sac_flies:3,intentional_walks:3
pos:3B,name:Russell Branyan,age:28,games:51,plate_appearances:182,at_bats:158,runs:21,hits:37,doubles:11,triples:1,home_runs:11,runs_batted_in:27,stolen_bases:1,caught_stealing:0,walks:20,strikeouts:68,batting_avg:.234,onbase:.324,slugging:.525,ops:erc">.525,ops+:lugging">.849,bases:83,double_plays:1,hit_by_pitch:2,sac_hits:0,sac_flies:2,intentional_walks:0
pos:OF,name:Chris Magruder,age:27,games:56,plate_appearances:101,at_bats:89,runs:11,hits:21,doubles:6,triples:1,home_runs:2,runs_batted_in:10,stolen_bases:0,caught_stealing:1,walks:8,strikeouts:21,batting_avg:.236,onbase:.310,slugging:.393,ops:erc">.393,ops+:lugging">.703,bases:35,double_plays:3,hit_by_pitch:2,sac_hits:1,sac_flies:1,intentional_walks:2
pos:IF,name:Trent Durrington,age:28,games:53,plate_appearances:87,at_bats:82,runs:13,hits:19,doubles:2,triples:3,home_runs:2,runs_batted_in:4,stolen_bases:4,caught_stealing:0,walks:4,strikeouts:23,batting_avg:.232,onbase:.267,slugging:.402,ops:erc">.402,ops+:lugging">.670,bases:33,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:OF,name:Dave Krynzel,age:22,games:16,plate_appearances:47,at_bats:41,runs:6,hits:9,doubles:1,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:15,batting_avg:.220,onbase:.319,slugging:.244,ops:erc">.244,ops+:lugging">.563,bases:10,double_plays:0,hit_by_pitch:3,sac_hits:0,sac_flies:0,intentional_walks:0
pos:DH,name:Jeff Liefer,age:29,games:16,plate_appearances:31,at_bats:28,runs:2,hits:6,doubles:2,triples:0,home_runs:1,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:8,batting_avg:.214,onbase:.258,slugging:.393,ops:erc">.393,ops+:lugging">.651,bases:11,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:C,name:Mark Johnson,age:28,games:7,plate_appearances:15,at_bats:11,runs:1,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:2,batting_avg:.091,onbase:.267,slugging:.091,ops:erc">.091,ops+:lugging">.358,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:1
pos:MI,name:Matt Erickson,age:28,games:4,plate_appearances:6,at_bats:6,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.167,onbase:.167,slugging:.167,ops:erc">.167,ops+:lugging">.333,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos: ,name:Corey Hart,age:22,games:1,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Ben Sheets,age:25,games:33,plate_appearances:81,at_bats:67,runs:2,hits:9,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:22,batting_avg:.134,onbase:.194,slugging:.134,ops:erc">.134,ops+:lugging">.329,bases:9,double_plays:2,hit_by_pitch:0,sac_hits:9,sac_flies:0,intentional_walks:0
pos:P,name:Doug Davis,age:28,games:33,plate_appearances:71,at_bats:64,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:43,batting_avg:.016,onbase:.031,slugging:.016,ops:erc">.016,ops+:lugging">.046,bases:1,double_plays:1,hit_by_pitch:0,sac_hits:6,sac_flies:0,intentional_walks:0
pos:P,name:Brooks Kieschnick,age:32,games:75,plate_appearances:68,at_bats:63,runs:2,hits:17,doubles:3,triples:0,home_runs:1,runs_batted_in:7,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:16,batting_avg:.270,onbase:.324,slugging:.365,ops:erc">.365,ops+:lugging">.689,bases:23,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:P,name:Victor Santos,age:27,games:29,plate_appearances:47,at_bats:39,runs:0,hits:2,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:20,batting_avg:.051,onbase:.098,slugging:.077,ops:erc">.077,ops+:lugging">.174,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:6,sac_flies:0,intentional_walks:0
pos:P,name:Wes Obermueller,age:27,games:24,plate_appearances:42,at_bats:39,runs:2,hits:15,doubles:3,triples:0,home_runs:0,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:14,batting_avg:.385,onbase:.400,slugging:.462,ops:erc">.462,ops+:lugging">.862,bases:18,double_plays:1,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
