pos:C,name:Manny Pina,age:31,games:98,plate_appearances:337,at_bats:306,runs:39,hits:77,doubles:13,triples:2,home_runs:9,runs_batted_in:28,stolen_bases:2,caught_stealing:0,walks:21,strikeouts:62,batting_avg:.252,onbase:.307,slugging:.395,ops:erc">.395,ops+:lugging">.702,bases:121,double_plays:13,hit_by_pitch:5,sac_hits:1,sac_flies:4,intentional_walks:3
pos:1B,name:Jesus Aguilar,age:28,games:149,plate_appearances:566,at_bats:492,runs:80,hits:135,doubles:25,triples:0,home_runs:35,runs_batted_in:108,stolen_bases:0,caught_stealing:0,walks:58,strikeouts:143,batting_avg:.274,onbase:.352,slugging:.539,ops:erc">.539,ops+:lugging">.890,bases:265,double_plays:19,hit_by_pitch:6,sac_hits:0,sac_flies:10,intentional_walks:3
pos:2B,name:Jonathan Villar,age:27,games:87,plate_appearances:279,at_bats:257,runs:26,hits:67,doubles:10,triples:1,home_runs:6,runs_batted_in:22,stolen_bases:14,caught_stealing:2,walks:19,strikeouts:80,batting_avg:.261,onbase:.315,slugging:.377,ops:erc">.377,ops+:lugging">.693,bases:97,double_plays:9,hit_by_pitch:2,sac_hits:0,sac_flies:1,intentional_walks:0
pos:SS,name:Orlando Arcia,age:23,games:119,plate_appearances:366,at_bats:348,runs:32,hits:82,doubles:16,triples:0,home_runs:3,runs_batted_in:30,stolen_bases:7,caught_stealing:4,walks:15,strikeouts:87,batting_avg:.236,onbase:.268,slugging:.307,ops:erc">.307,ops+:lugging">.576,bases:107,double_plays:9,hit_by_pitch:1,sac_hits:1,sac_flies:1,intentional_walks:0
pos:3B,name:Travis Shaw,age:28,games:152,plate_appearances:587,at_bats:498,runs:73,hits:120,doubles:23,triples:0,home_runs:32,runs_batted_in:86,stolen_bases:5,caught_stealing:2,walks:78,strikeouts:108,batting_avg:.241,onbase:.345,slugging:.480,ops:erc">.480,ops+:lugging">.825,bases:239,double_plays:7,hit_by_pitch:4,sac_hits:1,sac_flies:6,intentional_walks:6
pos:LF,name:Ryan Braun,age:34,games:125,plate_appearances:447,at_bats:405,runs:59,hits:103,doubles:25,triples:1,home_runs:20,runs_batted_in:64,stolen_bases:11,caught_stealing:5,walks:34,strikeouts:85,batting_avg:.254,onbase:.313,slugging:.469,ops:erc">.469,ops+:lugging">.782,bases:190,double_plays:8,hit_by_pitch:2,sac_hits:0,sac_flies:3,intentional_walks:5
pos:CF,name:Lorenzo Cain,age:32,games:141,plate_appearances:620,at_bats:539,runs:90,hits:166,doubles:25,triples:2,home_runs:10,runs_batted_in:38,stolen_bases:30,caught_stealing:7,walks:71,strikeouts:94,batting_avg:.308,onbase:.395,slugging:.417,ops:erc">.417,ops+:lugging">.813,bases:225,double_plays:10,hit_by_pitch:8,sac_hits:0,sac_flies:2,intentional_walks:1
pos:RF,name:Christian Yelich,age:26,games:147,plate_appearances:651,at_bats:574,runs:118,hits:187,doubles:34,triples:7,home_runs:36,runs_batted_in:110,stolen_bases:22,caught_stealing:4,walks:68,strikeouts:135,batting_avg:.326,onbase:.402,slugging:.598,ops:erc">.598,ops+:lugging">1.000,bases:343,double_plays:14,hit_by_pitch:7,sac_hits:0,sac_flies:2,intentional_walks:2
pos:2B,name:Hernan Perez,age:27,games:132,plate_appearances:334,at_bats:316,runs:36,hits:80,doubles:11,triples:2,home_runs:9,runs_batted_in:29,stolen_bases:11,caught_stealing:3,walks:17,strikeouts:71,batting_avg:.253,onbase:.290,slugging:.386,ops:erc">.386,ops+:lugging">.676,bases:122,double_plays:6,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:1
pos:UT,name:Eric Thames,age:31,games:96,plate_appearances:278,at_bats:247,runs:41,hits:54,doubles:10,triples:3,home_runs:16,runs_batted_in:37,stolen_bases:7,caught_stealing:0,walks:29,strikeouts:97,batting_avg:.219,onbase:.306,slugging:.478,ops:erc">.478,ops+:lugging">.783,bases:118,double_plays:3,hit_by_pitch:2,sac_hits:0,sac_flies:0,intentional_walks:4
pos:RF,name:Domingo Santana,age:25,games:85,plate_appearances:235,at_bats:211,runs:21,hits:56,doubles:14,triples:1,home_runs:5,runs_batted_in:20,stolen_bases:1,caught_stealing:1,walks:20,strikeouts:77,batting_avg:.265,onbase:.328,slugging:.412,ops:erc">.412,ops+:lugging">.740,bases:87,double_plays:3,hit_by_pitch:1,sac_hits:0,sac_flies:3,intentional_walks:1
