pos:C,name:Tim Laudner,age:30,games:117,plate_appearances:418,at_bats:375,runs:38,hits:94,doubles:18,triples:1,home_runs:13,runs_batted_in:54,stolen_bases:0,caught_stealing:0,walks:36,strikeouts:89,batting_avg:.251,onbase:.316,slugging:.408,ops:erc">.408,ops+:lugging">.724,bases:153,double_plays:14,hit_by_pitch:1,sac_hits:3,sac_flies:3,intentional_walks:0
pos:1B,name:Kent Hrbek,age:28,games:143,plate_appearances:586,at_bats:510,runs:75,hits:159,doubles:31,triples:0,home_runs:25,runs_batted_in:76,stolen_bases:0,caught_stealing:3,walks:67,strikeouts:54,batting_avg:.312,onbase:.387,slugging:.520,ops:erc">.520,ops+:lugging">.907,bases:265,double_plays:9,hit_by_pitch:0,sac_hits:2,sac_flies:7,intentional_walks:7
pos:2B,name:Steve Lombardozzi,age:28,games:103,plate_appearances:335,at_bats:287,runs:34,hits:60,doubles:15,triples:2,home_runs:3,runs_batted_in:27,stolen_bases:2,caught_stealing:5,walks:35,strikeouts:48,batting_avg:.209,onbase:.295,slugging:.307,ops:erc">.307,ops+:lugging">.601,bases:88,double_plays:2,hit_by_pitch:2,sac_hits:6,sac_flies:5,intentional_walks:2
pos:SS,name:Greg Gagne,age:26,games:149,plate_appearances:508,at_bats:461,runs:70,hits:109,doubles:20,triples:6,home_runs:14,runs_batted_in:48,stolen_bases:15,caught_stealing:7,walks:27,strikeouts:110,batting_avg:.236,onbase:.288,slugging:.397,ops:erc">.397,ops+:lugging">.685,bases:183,double_plays:13,hit_by_pitch:7,sac_hits:11,sac_flies:1,intentional_walks:2
pos:3B,name:Gary Gaetti,age:29,games:133,plate_appearances:516,at_bats:468,runs:66,hits:141,doubles:29,triples:2,home_runs:28,runs_batted_in:88,stolen_bases:7,caught_stealing:4,walks:36,strikeouts:85,batting_avg:.301,onbase:.353,slugging:.551,ops:erc">.551,ops+:lugging">.905,bases:258,double_plays:10,hit_by_pitch:5,sac_hits:1,sac_flies:6,intentional_walks:5
pos:LF,name:Dan Gladden,age:30,games:141,plate_appearances:633,at_bats:576,runs:91,hits:155,doubles:32,triples:6,home_runs:11,runs_batted_in:62,stolen_bases:28,caught_stealing:8,walks:46,strikeouts:74,batting_avg:.269,onbase:.325,slugging:.403,ops:erc">.403,ops+:lugging">.728,bases:232,double_plays:9,hit_by_pitch:4,sac_hits:2,sac_flies:5,intentional_walks:4
pos:CF,name:Kirby Puckett,age:28,games:158,plate_appearances:691,at_bats:657,runs:109,hits:234,doubles:42,triples:5,home_runs:24,runs_batted_in:121,stolen_bases:6,caught_stealing:7,walks:23,strikeouts:83,batting_avg:.356,onbase:.375,slugging:.545,ops:erc">.545,ops+:lugging">.920,bases:358,double_plays:17,hit_by_pitch:2,sac_hits:0,sac_flies:9,intentional_walks:4
pos:RF,name:Randy Bush,age:29,games:136,plate_appearances:466,at_bats:394,runs:51,hits:103,doubles:20,triples:3,home_runs:14,runs_batted_in:51,stolen_bases:8,caught_stealing:6,walks:58,strikeouts:49,batting_avg:.261,onbase:.365,slugging:.434,ops:erc">.434,ops+:lugging">.799,bases:171,double_plays:8,hit_by_pitch:9,sac_hits:0,sac_flies:5,intentional_walks:14
pos:DH,name:Gene Larkin,age:25,games:149,plate_appearances:594,at_bats:505,runs:56,hits:135,doubles:30,triples:2,home_runs:8,runs_batted_in:70,stolen_bases:3,caught_stealing:2,walks:68,strikeouts:55,batting_avg:.267,onbase:.368,slugging:.382,ops:erc">.382,ops+:lugging">.750,bases:193,double_plays:12,hit_by_pitch:15,sac_hits:1,sac_flies:5,intentional_walks:8
pos:2B,name:Tom Herr,age:32,games:86,plate_appearances:345,at_bats:304,runs:42,hits:80,doubles:16,triples:0,home_runs:1,runs_batted_in:21,stolen_bases:10,caught_stealing:3,walks:40,strikeouts:47,batting_avg:.263,onbase:.349,slugging:.326,ops:erc">.326,ops+:lugging">.674,bases:99,double_plays:9,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:1
pos:IF,name:Al Newman,age:28,games:105,plate_appearances:295,at_bats:260,runs:35,hits:58,doubles:7,triples:0,home_runs:0,runs_batted_in:19,stolen_bases:12,caught_stealing:3,walks:29,strikeouts:34,batting_avg:.223,onbase:.301,slugging:.250,ops:erc">.250,ops+:lugging">.551,bases:65,double_plays:4,hit_by_pitch:0,sac_hits:6,sac_flies:0,intentional_walks:0
