pos:C,name:Greg Myers,age:30,games:97,plate_appearances:353,at_bats:329,runs:37,hits:94,doubles:22,triples:3,home_runs:6,runs_batted_in:47,stolen_bases:0,caught_stealing:0,walks:19,strikeouts:52,batting_avg:.286,onbase:.320,slugging:.426,ops:erc">.426,ops+:lugging">.746,bases:140,double_plays:11,hit_by_pitch:0,sac_hits:0,sac_flies:5,intentional_walks:3
pos:1B,name:Scott Stahoviak,age:26,games:130,plate_appearances:469,at_bats:405,runs:72,hits:115,doubles:30,triples:3,home_runs:13,runs_batted_in:61,stolen_bases:3,caught_stealing:3,walks:59,strikeouts:114,batting_avg:.284,onbase:.376,slugging:.469,ops:erc">.469,ops+:lugging">.845,bases:190,double_plays:9,hit_by_pitch:2,sac_hits:1,sac_flies:2,intentional_walks:7
pos:2B,name:Chuck Knoblauch,age:27,games:153,plate_appearances:701,at_bats:578,runs:140,hits:197,doubles:35,triples:14,home_runs:13,runs_batted_in:72,stolen_bases:45,caught_stealing:14,walks:98,strikeouts:74,batting_avg:.341,onbase:.448,slugging:.517,ops:erc">.517,ops+:lugging">.965,bases:299,double_plays:9,hit_by_pitch:19,sac_hits:0,sac_flies:6,intentional_walks:6
pos:SS,name:Pat Meares,age:27,games:152,plate_appearances:554,at_bats:517,runs:66,hits:138,doubles:26,triples:7,home_runs:8,runs_batted_in:67,stolen_bases:9,caught_stealing:4,walks:17,strikeouts:90,batting_avg:.267,onbase:.298,slugging:.391,ops:erc">.391,ops+:lugging">.689,bases:202,double_plays:19,hit_by_pitch:9,sac_hits:4,sac_flies:7,intentional_walks:1
pos:3B,name:Dave Hollins,age:30,games:121,plate_appearances:503,at_bats:422,runs:71,hits:102,doubles:26,triples:0,home_runs:13,runs_batted_in:53,stolen_bases:6,caught_stealing:4,walks:71,strikeouts:102,batting_avg:.242,onbase:.364,slugging:.396,ops:erc">.396,ops+:lugging">.760,bases:167,double_plays:9,hit_by_pitch:10,sac_hits:0,sac_flies:0,intentional_walks:5
pos:LF,name:Marty Cordova,age:26,games:145,plate_appearances:640,at_bats:569,runs:97,hits:176,doubles:46,triples:1,home_runs:16,runs_batted_in:111,stolen_bases:11,caught_stealing:5,walks:53,strikeouts:96,batting_avg:.309,onbase:.371,slugging:.478,ops:erc">.478,ops+:lugging">.849,bases:272,double_plays:18,hit_by_pitch:8,sac_hits:0,sac_flies:9,intentional_walks:4
pos:CF,name:Rich Becker,age:24,games:148,plate_appearances:606,at_bats:525,runs:92,hits:153,doubles:31,triples:4,home_runs:12,runs_batted_in:71,stolen_bases:19,caught_stealing:5,walks:68,strikeouts:118,batting_avg:.291,onbase:.372,slugging:.434,ops:erc">.434,ops+:lugging">.807,bases:228,double_plays:14,hit_by_pitch:2,sac_hits:5,sac_flies:4,intentional_walks:1
pos:RF,name:Matt Lawton,age:24,games:79,plate_appearances:286,at_bats:252,runs:34,hits:65,doubles:7,triples:1,home_runs:6,runs_batted_in:42,stolen_bases:4,caught_stealing:4,walks:28,strikeouts:28,batting_avg:.258,onbase:.339,slugging:.365,ops:erc">.365,ops+:lugging">.704,bases:92,double_plays:6,hit_by_pitch:4,sac_hits:0,sac_flies:2,intentional_walks:1
pos:DH,name:Paul Molitor,age:39,games:161,plate_appearances:729,at_bats:660,runs:99,hits:225,doubles:41,triples:8,home_runs:9,runs_batted_in:113,stolen_bases:18,caught_stealing:6,walks:56,strikeouts:72,batting_avg:.341,onbase:.390,slugging:.468,ops:erc">.468,ops+:lugging">.858,bases:309,double_plays:21,hit_by_pitch:3,sac_hits:0,sac_flies:9,intentional_walks:10
pos:OF,name:Roberto Kelly,age:31,games:98,plate_appearances:359,at_bats:322,runs:41,hits:104,doubles:17,triples:4,home_runs:6,runs_batted_in:47,stolen_bases:10,caught_stealing:2,walks:23,strikeouts:53,batting_avg:.323,onbase:.375,slugging:.457,ops:erc">.457,ops+:lugging">.832,bases:147,double_plays:17,hit_by_pitch:7,sac_hits:0,sac_flies:5,intentional_walks:0
pos:IF,name:Jeff Reboulet,age:32,games:107,plate_appearances:266,at_bats:234,runs:20,hits:52,doubles:9,triples:0,home_runs:0,runs_batted_in:23,stolen_bases:4,caught_stealing:2,walks:25,strikeouts:34,batting_avg:.222,onbase:.298,slugging:.261,ops:erc">.261,ops+:lugging">.558,bases:61,double_plays:10,hit_by_pitch:1,sac_hits:4,sac_flies:2,intentional_walks:1
