pos:C,name:Joe Mauer,age:30,games:113,plate_appearances:508,at_bats:445,runs:62,hits:144,doubles:35,triples:0,home_runs:11,runs_batted_in:47,stolen_bases:0,caught_stealing:1,walks:61,strikeouts:89,batting_avg:.324,onbase:.404,slugging:.476,ops:erc">.476,ops+:lugging">.880,bases:212,double_plays:7,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:7
pos:1B,name:Justin Morneau,age:32,games:127,plate_appearances:543,at_bats:495,runs:56,hits:128,doubles:32,triples:0,home_runs:17,runs_batted_in:74,stolen_bases:0,caught_stealing:0,walks:37,strikeouts:98,batting_avg:.259,onbase:.315,slugging:.426,ops:erc">.426,ops+:lugging">.741,bases:211,double_plays:9,hit_by_pitch:6,sac_hits:0,sac_flies:5,intentional_walks:3
pos:2B,name:Brian Dozier,age:26,games:147,plate_appearances:623,at_bats:558,runs:72,hits:136,doubles:33,triples:4,home_runs:18,runs_batted_in:66,stolen_bases:14,caught_stealing:7,walks:51,strikeouts:120,batting_avg:.244,onbase:.312,slugging:.414,ops:erc">.414,ops+:lugging">.726,bases:231,double_plays:14,hit_by_pitch:6,sac_hits:3,sac_flies:4,intentional_walks:0
pos:SS,name:Pedro Florimon,age:26,games:134,plate_appearances:446,at_bats:403,runs:44,hits:89,doubles:17,triples:0,home_runs:9,runs_batted_in:44,stolen_bases:15,caught_stealing:6,walks:33,strikeouts:115,batting_avg:.221,onbase:.281,slugging:.330,ops:erc">.330,ops+:lugging">.611,bases:133,double_plays:7,hit_by_pitch:2,sac_hits:5,sac_flies:3,intentional_walks:1
pos:3B,name:Trevor Plouffe,age:27,games:129,plate_appearances:522,at_bats:477,runs:44,hits:121,doubles:22,triples:1,home_runs:14,runs_batted_in:52,stolen_bases:2,caught_stealing:1,walks:34,strikeouts:112,batting_avg:.254,onbase:.309,slugging:.392,ops:erc">.392,ops+:lugging">.701,bases:187,double_plays:11,hit_by_pitch:6,sac_hits:1,sac_flies:4,intentional_walks:1
pos:LF,name:Josh Willingham,age:34,games:111,plate_appearances:471,at_bats:389,runs:42,hits:81,doubles:20,triples:0,home_runs:14,runs_batted_in:48,stolen_bases:1,caught_stealing:0,walks:66,strikeouts:128,batting_avg:.208,onbase:.342,slugging:.368,ops:erc">.368,ops+:lugging">.709,bases:143,double_plays:8,hit_by_pitch:14,sac_hits:0,sac_flies:2,intentional_walks:2
pos:CF,name:Aaron Hicks,age:23,games:81,plate_appearances:313,at_bats:281,runs:37,hits:54,doubles:11,triples:3,home_runs:8,runs_batted_in:27,stolen_bases:9,caught_stealing:3,walks:24,strikeouts:84,batting_avg:.192,onbase:.259,slugging:.338,ops:erc">.338,ops+:lugging">.597,bases:95,double_plays:0,hit_by_pitch:2,sac_hits:4,sac_flies:2,intentional_walks:0
pos:RF,name:Chris Parmelee,age:25,games:101,plate_appearances:333,at_bats:294,runs:21,hits:67,doubles:13,triples:0,home_runs:8,runs_batted_in:24,stolen_bases:1,caught_stealing:1,walks:33,strikeouts:81,batting_avg:.228,onbase:.309,slugging:.354,ops:erc">.354,ops+:lugging">.663,bases:104,double_plays:6,hit_by_pitch:3,sac_hits:0,sac_flies:3,intentional_walks:0
pos:DH,name:Ryan Doumit,age:32,games:135,plate_appearances:538,at_bats:485,runs:49,hits:120,doubles:28,triples:1,home_runs:14,runs_batted_in:55,stolen_bases:1,caught_stealing:0,walks:48,strikeouts:99,batting_avg:.247,onbase:.314,slugging:.396,ops:erc">.396,ops+:lugging">.710,bases:192,double_plays:13,hit_by_pitch:1,sac_hits:0,sac_flies:4,intentional_walks:4
pos:OF,name:Oswaldo Arcia,age:22,games:97,plate_appearances:378,at_bats:351,runs:34,hits:88,doubles:17,triples:2,home_runs:14,runs_batted_in:43,stolen_bases:1,caught_stealing:2,walks:23,strikeouts:117,batting_avg:.251,onbase:.304,slugging:.430,ops:erc">.430,ops+:lugging">.734,bases:151,double_plays:4,hit_by_pitch:4,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Clete Thomas,age:29,games:92,plate_appearances:322,at_bats:290,runs:39,hits:62,doubles:15,triples:0,home_runs:4,runs_batted_in:13,stolen_bases:1,caught_stealing:3,walks:30,strikeouts:92,batting_avg:.214,onbase:.290,slugging:.307,ops:erc">.307,ops+:lugging">.597,bases:89,double_plays:4,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:1
pos:IF,name:Jamey Carroll,age:39,games:58,plate_appearances:206,at_bats:191,runs:21,hits:44,doubles:6,triples:0,home_runs:0,runs_batted_in:9,stolen_bases:2,caught_stealing:0,walks:13,strikeouts:35,batting_avg:.230,onbase:.283,slugging:.262,ops:erc">.262,ops+:lugging">.545,bases:50,double_plays:2,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:0
pos:1B,name:Chris Colabello,age:29,games:55,plate_appearances:181,at_bats:160,runs:14,hits:31,doubles:3,triples:0,home_runs:7,runs_batted_in:17,stolen_bases:0,caught_stealing:1,walks:20,strikeouts:58,batting_avg:.194,onbase:.287,slugging:.344,ops:erc">.344,ops+:lugging">.631,bases:55,double_plays:5,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:IF,name:Eduardo Escobar,age:24,games:66,plate_appearances:179,at_bats:165,runs:23,hits:39,doubles:5,triples:2,home_runs:3,runs_batted_in:10,stolen_bases:0,caught_stealing:2,walks:11,strikeouts:34,batting_avg:.236,onbase:.282,slugging:.345,ops:erc">.345,ops+:lugging">.628,bases:57,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:1,intentional_walks:0
pos:UT,name:Chris Herrmann,age:25,games:57,plate_appearances:178,at_bats:157,runs:16,hits:32,doubles:7,triples:0,home_runs:4,runs_batted_in:18,stolen_bases:0,caught_stealing:1,walks:18,strikeouts:49,batting_avg:.204,onbase:.286,slugging:.325,ops:erc">.325,ops+:lugging">.611,bases:51,double_plays:3,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:CF,name:Alex Presley,age:27,games:28,plate_appearances:122,at_bats:113,runs:9,hits:32,doubles:4,triples:1,home_runs:1,runs_batted_in:11,stolen_bases:1,caught_stealing:3,walks:8,strikeouts:21,batting_avg:.283,onbase:.336,slugging:.363,ops:erc">.363,ops+:lugging">.699,bases:41,double_plays:2,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Wilkin Ramirez,age:27,games:35,plate_appearances:87,at_bats:81,runs:5,hits:22,doubles:6,triples:1,home_runs:0,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:23,batting_avg:.272,onbase:.302,slugging:.370,ops:erc">.370,ops+:lugging">.673,bases:30,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:0
