pos:C,name:Jerry Grote,age:32,games:119,plate_appearances:428,at_bats:386,runs:28,hits:114,doubles:14,triples:5,home_runs:2,runs_batted_in:39,stolen_bases:0,caught_stealing:1,walks:38,strikeouts:23,batting_avg:.295,onbase:.357,slugging:.373,ops:erc">.373,ops+:lugging">.731,bases:144,double_plays:11,hit_by_pitch:1,sac_hits:0,sac_flies:3,intentional_walks:8
pos:1B,name:Ed Kranepool,age:30,games:106,plate_appearances:357,at_bats:325,runs:42,hits:105,doubles:16,triples:0,home_runs:4,runs_batted_in:43,stolen_bases:1,caught_stealing:1,walks:27,strikeouts:21,batting_avg:.323,onbase:.370,slugging:.409,ops:erc">.409,ops+:lugging">.779,bases:133,double_plays:12,hit_by_pitch:0,sac_hits:0,sac_flies:5,intentional_walks:6
pos:2B,name:Felix Millan,age:31,games:162,plate_appearances:743,at_bats:676,runs:81,hits:191,doubles:37,triples:2,home_runs:1,runs_batted_in:56,stolen_bases:1,caught_stealing:6,walks:36,strikeouts:28,batting_avg:.283,onbase:.329,slugging:.348,ops:erc">.348,ops+:lugging">.677,bases:235,double_plays:17,hit_by_pitch:12,sac_hits:17,sac_flies:2,intentional_walks:2
pos:SS,name:Mike Phillips,age:24,games:116,plate_appearances:417,at_bats:383,runs:31,hits:98,doubles:10,triples:7,home_runs:1,runs_batted_in:28,stolen_bases:3,caught_stealing:0,walks:25,strikeouts:47,batting_avg:.256,onbase:.300,slugging:.326,ops:erc">.326,ops+:lugging">.627,bases:125,double_plays:8,hit_by_pitch:1,sac_hits:2,sac_flies:4,intentional_walks:5
pos:3B,name:Wayne Garrett,age:27,games:107,plate_appearances:328,at_bats:274,runs:49,hits:73,doubles:8,triples:3,home_runs:6,runs_batted_in:34,stolen_bases:3,caught_stealing:2,walks:50,strikeouts:45,batting_avg:.266,onbase:.379,slugging:.383,ops:erc">.383,ops+:lugging">.762,bases:105,double_plays:3,hit_by_pitch:1,sac_hits:1,sac_flies:2,intentional_walks:4
pos:LF,name:Dave Kingman,age:26,games:134,plate_appearances:543,at_bats:502,runs:65,hits:116,doubles:22,triples:1,home_runs:36,runs_batted_in:88,stolen_bases:7,caught_stealing:5,walks:34,strikeouts:153,batting_avg:.231,onbase:.284,slugging:.494,ops:erc">.494,ops+:lugging">.778,bases:248,double_plays:13,hit_by_pitch:4,sac_hits:1,sac_flies:2,intentional_walks:5
pos:CF,name:Del Unser,age:30,games:147,plate_appearances:580,at_bats:531,runs:65,hits:156,doubles:18,triples:2,home_runs:10,runs_batted_in:53,stolen_bases:4,caught_stealing:3,walks:37,strikeouts:76,batting_avg:.294,onbase:.337,slugging:.392,ops:erc">.392,ops+:lugging">.729,bases:208,double_plays:8,hit_by_pitch:0,sac_hits:8,sac_flies:4,intentional_walks:6
pos:RF,name:Rusty Staub,age:31,games:155,plate_appearances:670,at_bats:574,runs:93,hits:162,doubles:30,triples:4,home_runs:19,runs_batted_in:105,stolen_bases:2,caught_stealing:0,walks:77,strikeouts:55,batting_avg:.282,onbase:.371,slugging:.448,ops:erc">.448,ops+:lugging">.818,bases:257,double_plays:18,hit_by_pitch:9,sac_hits:1,sac_flies:9,intentional_walks:14
pos:CI,name:Joe Torre,age:34,games:114,plate_appearances:400,at_bats:361,runs:33,hits:89,doubles:16,triples:3,home_runs:6,runs_batted_in:35,stolen_bases:0,caught_stealing:0,walks:35,strikeouts:55,batting_avg:.247,onbase:.317,slugging:.357,ops:erc">.357,ops+:lugging">.674,bases:129,double_plays:22,hit_by_pitch:2,sac_hits:2,sac_flies:0,intentional_walks:3
pos:UT,name:John Milner,age:25,games:91,plate_appearances:255,at_bats:220,runs:24,hits:42,doubles:11,triples:0,home_runs:7,runs_batted_in:29,stolen_bases:1,caught_stealing:1,walks:33,strikeouts:22,batting_avg:.191,onbase:.302,slugging:.336,ops:erc">.336,ops+:lugging">.638,bases:74,double_plays:5,hit_by_pitch:2,sac_hits:0,sac_flies:0,intentional_walks:4
pos:OF,name:Gene Clines,age:28,games:82,plate_appearances:216,at_bats:203,runs:25,hits:46,doubles:6,triples:3,home_runs:0,runs_batted_in:10,stolen_bases:4,caught_stealing:4,walks:11,strikeouts:21,batting_avg:.227,onbase:.269,slugging:.286,ops:erc">.286,ops+:lugging">.554,bases:58,double_plays:4,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:1
pos:C,name:John Stearns,age:23,games:59,plate_appearances:193,at_bats:169,runs:25,hits:32,doubles:5,triples:1,home_runs:3,runs_batted_in:10,stolen_bases:4,caught_stealing:1,walks:17,strikeouts:15,batting_avg:.189,onbase:.268,slugging:.284,ops:erc">.284,ops+:lugging">.552,bases:48,double_plays:6,hit_by_pitch:2,sac_hits:3,sac_flies:2,intentional_walks:4
pos:LF,name:Mike Vail,age:23,games:38,plate_appearances:171,at_bats:162,runs:17,hits:49,doubles:8,triples:1,home_runs:3,runs_batted_in:17,stolen_bases:0,caught_stealing:0,walks:9,strikeouts:37,batting_avg:.302,onbase:.339,slugging:.420,ops:erc">.420,ops+:lugging">.759,bases:68,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
