pos:C,name:Jerry Grote,age:33,games:101,plate_appearances:366,at_bats:323,runs:30,hits:88,doubles:14,triples:2,home_runs:4,runs_batted_in:28,stolen_bases:1,caught_stealing:2,walks:38,strikeouts:19,batting_avg:.272,onbase:.350,slugging:.365,ops:erc">.365,ops+:lugging">.715,bases:118,double_plays:15,hit_by_pitch:1,sac_hits:3,sac_flies:1,intentional_walks:4
pos:1B,name:Ed Kranepool,age:31,games:123,plate_appearances:455,at_bats:415,runs:47,hits:121,doubles:17,triples:1,home_runs:10,runs_batted_in:49,stolen_bases:1,caught_stealing:0,walks:35,strikeouts:38,batting_avg:.292,onbase:.344,slugging:.410,ops:erc">.410,ops+:lugging">.754,bases:170,double_plays:10,hit_by_pitch:0,sac_hits:2,sac_flies:3,intentional_walks:4
pos:2B,name:Felix Millan,age:32,games:139,plate_appearances:587,at_bats:531,runs:55,hits:150,doubles:25,triples:2,home_runs:1,runs_batted_in:35,stolen_bases:2,caught_stealing:4,walks:41,strikeouts:19,batting_avg:.282,onbase:.341,slugging:.343,ops:erc">.343,ops+:lugging">.684,bases:182,double_plays:15,hit_by_pitch:7,sac_hits:6,sac_flies:2,intentional_walks:5
pos:SS,name:Bud Harrelson,age:32,games:118,plate_appearances:432,at_bats:359,runs:34,hits:84,doubles:12,triples:4,home_runs:1,runs_batted_in:26,stolen_bases:9,caught_stealing:3,walks:63,strikeouts:56,batting_avg:.234,onbase:.351,slugging:.298,ops:erc">.298,ops+:lugging">.649,bases:107,double_plays:1,hit_by_pitch:2,sac_hits:8,sac_flies:0,intentional_walks:5
pos:3B,name:Roy Staiger,age:26,games:95,plate_appearances:335,at_bats:304,runs:23,hits:67,doubles:8,triples:1,home_runs:2,runs_batted_in:26,stolen_bases:3,caught_stealing:3,walks:25,strikeouts:35,batting_avg:.220,onbase:.278,slugging:.273,ops:erc">.273,ops+:lugging">.551,bases:83,double_plays:8,hit_by_pitch:1,sac_hits:1,sac_flies:4,intentional_walks:6
pos:LF,name:John Milner,age:26,games:127,plate_appearances:511,at_bats:443,runs:56,hits:120,doubles:25,triples:4,home_runs:15,runs_batted_in:78,stolen_bases:0,caught_stealing:7,walks:65,strikeouts:53,batting_avg:.271,onbase:.362,slugging:.447,ops:erc">.447,ops+:lugging">.809,bases:198,double_plays:12,hit_by_pitch:0,sac_hits:0,sac_flies:3,intentional_walks:1
pos:CF,name:Del Unser,age:31,games:77,plate_appearances:303,at_bats:276,runs:28,hits:63,doubles:13,triples:2,home_runs:5,runs_batted_in:25,stolen_bases:4,caught_stealing:4,walks:18,strikeouts:40,batting_avg:.228,onbase:.275,slugging:.344,ops:erc">.344,ops+:lugging">.619,bases:95,double_plays:4,hit_by_pitch:1,sac_hits:5,sac_flies:3,intentional_walks:1
pos:RF,name:Dave Kingman,age:27,games:123,plate_appearances:510,at_bats:474,runs:70,hits:113,doubles:14,triples:1,home_runs:37,runs_batted_in:86,stolen_bases:7,caught_stealing:4,walks:28,strikeouts:135,batting_avg:.238,onbase:.286,slugging:.506,ops:erc">.506,ops+:lugging">.793,bases:240,double_plays:11,hit_by_pitch:5,sac_hits:0,sac_flies:3,intentional_walks:4
pos:1B,name:Joe Torre,age:35,games:114,plate_appearances:340,at_bats:310,runs:36,hits:95,doubles:10,triples:3,home_runs:5,runs_batted_in:31,stolen_bases:1,caught_stealing:3,walks:21,strikeouts:35,batting_avg:.306,onbase:.358,slugging:.406,ops:erc">.406,ops+:lugging">.764,bases:126,double_plays:16,hit_by_pitch:5,sac_hits:2,sac_flies:2,intentional_walks:1
pos:OF,name:Bruce Boisclair,age:23,games:110,plate_appearances:320,at_bats:286,runs:42,hits:82,doubles:13,triples:3,home_runs:2,runs_batted_in:13,stolen_bases:9,caught_stealing:5,walks:28,strikeouts:55,batting_avg:.287,onbase:.350,slugging:.374,ops:erc">.374,ops+:lugging">.724,bases:107,double_plays:3,hit_by_pitch:0,sac_hits:6,sac_flies:0,intentional_walks:5
pos:3B,name:Wayne Garrett,age:28,games:80,plate_appearances:305,at_bats:251,runs:36,hits:56,doubles:8,triples:1,home_runs:4,runs_batted_in:26,stolen_bases:7,caught_stealing:5,walks:52,strikeouts:26,batting_avg:.223,onbase:.359,slugging:.311,ops:erc">.311,ops+:lugging">.669,bases:78,double_plays:5,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:5
pos:MI,name:Mike Phillips,age:25,games:87,plate_appearances:296,at_bats:262,runs:30,hits:67,doubles:4,triples:6,home_runs:4,runs_batted_in:29,stolen_bases:2,caught_stealing:2,walks:25,strikeouts:29,batting_avg:.256,onbase:.315,slugging:.363,ops:erc">.363,ops+:lugging">.678,bases:95,double_plays:2,hit_by_pitch:0,sac_hits:3,sac_flies:5,intentional_walks:8
pos:C,name:Ron Hodges,age:27,games:56,plate_appearances:184,at_bats:155,runs:21,hits:35,doubles:6,triples:0,home_runs:4,runs_batted_in:24,stolen_bases:2,caught_stealing:0,walks:27,strikeouts:16,batting_avg:.226,onbase:.339,slugging:.342,ops:erc">.342,ops+:lugging">.681,bases:53,double_plays:4,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:2
