pos:C,name:John Stearns,age:27,games:155,plate_appearances:602,at_bats:538,runs:58,hits:131,doubles:29,triples:2,home_runs:9,runs_batted_in:66,stolen_bases:15,caught_stealing:15,walks:52,strikeouts:57,batting_avg:.243,onbase:.312,slugging:.355,ops:erc">.355,ops+:lugging">.667,bases:191,double_plays:21,hit_by_pitch:4,sac_hits:3,sac_flies:5,intentional_walks:5
pos:1B,name:Willie Montanez,age:31,games:109,plate_appearances:442,at_bats:410,runs:36,hits:96,doubles:19,triples:0,home_runs:5,runs_batted_in:47,stolen_bases:0,caught_stealing:1,walks:25,strikeouts:48,batting_avg:.234,onbase:.277,slugging:.317,ops:erc">.317,ops+:lugging">.594,bases:130,double_plays:15,hit_by_pitch:1,sac_hits:1,sac_flies:5,intentional_walks:7
pos:2B,name:Doug Flynn,age:28,games:157,plate_appearances:580,at_bats:555,runs:35,hits:135,doubles:19,triples:5,home_runs:4,runs_batted_in:61,stolen_bases:0,caught_stealing:3,walks:17,strikeouts:46,batting_avg:.243,onbase:.265,slugging:.317,ops:erc">.317,ops+:lugging">.582,bases:176,double_plays:15,hit_by_pitch:0,sac_hits:6,sac_flies:2,intentional_walks:7
pos:SS,name:Frank Taveras,age:29,games:153,plate_appearances:680,at_bats:635,runs:89,hits:167,doubles:26,triples:9,home_runs:1,runs_batted_in:33,stolen_bases:42,caught_stealing:19,walks:33,strikeouts:72,batting_avg:.263,onbase:.301,slugging:.337,ops:erc">.337,ops+:lugging">.639,bases:214,double_plays:11,hit_by_pitch:2,sac_hits:10,sac_flies:0,intentional_walks:1
pos:3B,name:Richie Hebner,age:31,games:136,plate_appearances:550,at_bats:473,runs:54,hits:127,doubles:25,triples:2,home_runs:10,runs_batted_in:79,stolen_bases:3,caught_stealing:1,walks:59,strikeouts:59,batting_avg:.268,onbase:.354,slugging:.393,ops:erc">.393,ops+:lugging">.747,bases:186,double_plays:7,hit_by_pitch:8,sac_hits:1,sac_flies:8,intentional_walks:6
pos:LF,name:Steve Henderson,age:26,games:98,plate_appearances:393,at_bats:350,runs:42,hits:107,doubles:16,triples:8,home_runs:5,runs_batted_in:39,stolen_bases:13,caught_stealing:5,walks:38,strikeouts:58,batting_avg:.306,onbase:.380,slugging:.440,ops:erc">.440,ops+:lugging">.820,bases:154,double_plays:7,hit_by_pitch:4,sac_hits:1,sac_flies:0,intentional_walks:6
pos:CF,name:Lee Mazzilli,age:24,games:158,plate_appearances:693,at_bats:597,runs:78,hits:181,doubles:34,triples:4,home_runs:15,runs_batted_in:79,stolen_bases:34,caught_stealing:12,walks:93,strikeouts:74,batting_avg:.303,onbase:.395,slugging:.449,ops:erc">.449,ops+:lugging">.844,bases:268,double_plays:6,hit_by_pitch:0,sac_hits:0,sac_flies:3,intentional_walks:5
pos:RF,name:Joel Youngblood,age:27,games:158,plate_appearances:665,at_bats:590,runs:90,hits:162,doubles:37,triples:5,home_runs:16,runs_batted_in:60,stolen_bases:18,caught_stealing:13,walks:60,strikeouts:84,batting_avg:.275,onbase:.346,slugging:.436,ops:erc">.436,ops+:lugging">.782,bases:257,double_plays:7,hit_by_pitch:7,sac_hits:4,sac_flies:4,intentional_walks:7
pos:OF,name:Elliott Maddox,age:31,games:86,plate_appearances:249,at_bats:224,runs:21,hits:60,doubles:13,triples:0,home_runs:1,runs_batted_in:12,stolen_bases:3,caught_stealing:2,walks:20,strikeouts:27,batting_avg:.268,onbase:.335,slugging:.339,ops:erc">.339,ops+:lugging">.674,bases:76,double_plays:3,hit_by_pitch:3,sac_hits:1,sac_flies:1,intentional_walks:0
pos:UT,name:Alex Trevino,age:21,games:79,plate_appearances:232,at_bats:207,runs:24,hits:56,doubles:11,triples:1,home_runs:0,runs_batted_in:20,stolen_bases:2,caught_stealing:2,walks:20,strikeouts:27,batting_avg:.271,onbase:.338,slugging:.333,ops:erc">.333,ops+:lugging">.671,bases:69,double_plays:8,hit_by_pitch:1,sac_hits:4,sac_flies:0,intentional_walks:2
pos:1B,name:Ed Kranepool,age:34,games:82,plate_appearances:174,at_bats:155,runs:7,hits:36,doubles:5,triples:0,home_runs:2,runs_batted_in:17,stolen_bases:0,caught_stealing:1,walks:13,strikeouts:18,batting_avg:.232,onbase:.287,slugging:.303,ops:erc">.303,ops+:lugging">.591,bases:47,double_plays:6,hit_by_pitch:1,sac_hits:0,sac_flies:5,intentional_walks:2
pos:RF,name:Dan Norman,age:24,games:44,plate_appearances:122,at_bats:110,runs:9,hits:27,doubles:3,triples:1,home_runs:3,runs_batted_in:11,stolen_bases:2,caught_stealing:0,walks:10,strikeouts:26,batting_avg:.245,onbase:.311,slugging:.373,ops:erc">.373,ops+:lugging">.684,bases:41,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:2
pos:C,name:Ron Hodges,age:30,games:59,plate_appearances:106,at_bats:86,runs:4,hits:14,doubles:4,triples:0,home_runs:0,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:19,strikeouts:16,batting_avg:.163,onbase:.311,slugging:.209,ops:erc">.209,ops+:lugging">.521,bases:18,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:3
pos:OF,name:Bruce Boisclair,age:26,games:59,plate_appearances:106,at_bats:98,runs:7,hits:18,doubles:5,triples:1,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:2,walks:3,strikeouts:24,batting_avg:.184,onbase:.210,slugging:.255,ops:erc">.255,ops+:lugging">.465,bases:25,double_plays:2,hit_by_pitch:1,sac_hits:1,sac_flies:3,intentional_walks:0
pos:RF,name:Gil Flores,age:26,games:70,plate_appearances:106,at_bats:93,runs:9,hits:18,doubles:1,triples:1,home_runs:1,runs_batted_in:10,stolen_bases:2,caught_stealing:0,walks:8,strikeouts:17,batting_avg:.194,onbase:.262,slugging:.258,ops:erc">.258,ops+:lugging">.520,bases:24,double_plays:1,hit_by_pitch:1,sac_hits:3,sac_flies:1,intentional_walks:0
pos:2B,name:Kelvin Chapman,age:23,games:35,plate_appearances:87,at_bats:80,runs:7,hits:12,doubles:1,triples:2,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:15,batting_avg:.150,onbase:.198,slugging:.213,ops:erc">.213,ops+:lugging">.410,bases:17,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:0
pos:UT,name:Jose Cardenal,age:35,games:11,plate_appearances:44,at_bats:37,runs:8,hits:11,doubles:4,triples:0,home_runs:2,runs_batted_in:4,stolen_bases:1,caught_stealing:0,walks:6,strikeouts:3,batting_avg:.297,onbase:.409,slugging:.568,ops:erc">.568,ops+:lugging">.977,bases:21,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:IF,name:Sergio Ferrer,age:28,games:32,plate_appearances:9,at_bats:7,runs:7,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:2,walks:2,strikeouts:3,batting_avg:.000,onbase:.222,slugging:.000,ops:erc">.000,ops+:lugging">.222,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:SS,name:Tim Foli,age:28,games:3,plate_appearances:7,at_bats:7,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Craig Swan,age:28,games:35,plate_appearances:91,at_bats:81,runs:3,hits:10,doubles:2,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:1,walks:6,strikeouts:38,batting_avg:.123,onbase:.184,slugging:.148,ops:erc">.148,ops+:lugging">.332,bases:12,double_plays:0,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:0
pos:P,name:Pete Falcone,age:25,games:33,plate_appearances:59,at_bats:52,runs:1,hits:9,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:19,batting_avg:.173,onbase:.204,slugging:.173,ops:erc">.173,ops+:lugging">.377,bases:9,double_plays:2,hit_by_pitch:0,sac_hits:5,sac_flies:0,intentional_walks:0
pos:P,name:Kevin Kobel,age:25,games:30,plate_appearances:55,at_bats:46,runs:1,hits:9,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:18,batting_avg:.196,onbase:.196,slugging:.217,ops:erc">.217,ops+:lugging">.413,bases:10,double_plays:1,hit_by_pitch:0,sac_hits:9,sac_flies:0,intentional_walks:0
pos:P,name:Dock Ellis,age:34,games:17,plate_appearances:28,at_bats:26,runs:2,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:7,batting_avg:.077,onbase:.111,slugging:.077,ops:erc">.077,ops+:lugging">.188,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Tom Hausman,age:26,games:19,plate_appearances:27,at_bats:26,runs:0,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:4,batting_avg:.115,onbase:.115,slugging:.115,ops:erc">.115,ops+:lugging">.231,bases:3,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Andy Hassler,age:27,games:29,plate_appearances:23,at_bats:22,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:17,batting_avg:.000,onbase:.043,slugging:.000,ops:erc">.000,ops+:lugging">.043,bases:0,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Pat Zachry,age:27,games:7,plate_appearances:16,at_bats:16,runs:0,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:7,batting_avg:.125,onbase:.125,slugging:.125,ops:erc">.125,ops+:lugging">.250,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Neil Allen,age:21,games:50,plate_appearances:14,at_bats:14,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:6,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
