pos:C,name:Mike Fitzgerald,age:23,games:112,plate_appearances:394,at_bats:360,runs:20,hits:87,doubles:15,triples:1,home_runs:2,runs_batted_in:33,stolen_bases:1,caught_stealing:0,walks:24,strikeouts:71,batting_avg:.242,onbase:.288,slugging:.306,ops:erc">.306,ops+:lugging">.593,bases:110,double_plays:17,hit_by_pitch:1,sac_hits:5,sac_flies:4,intentional_walks:7
pos:1B,name:Keith Hernandez,age:30,games:154,plate_appearances:657,at_bats:550,runs:83,hits:171,doubles:31,triples:0,home_runs:15,runs_batted_in:94,stolen_bases:2,caught_stealing:3,walks:97,strikeouts:89,batting_avg:.311,onbase:.409,slugging:.449,ops:erc">.449,ops+:lugging">.859,bases:247,double_plays:9,hit_by_pitch:1,sac_hits:0,sac_flies:9,intentional_walks:12
pos:2B,name:Wally Backman,age:24,games:128,plate_appearances:499,at_bats:436,runs:68,hits:122,doubles:19,triples:2,home_runs:1,runs_batted_in:26,stolen_bases:32,caught_stealing:9,walks:56,strikeouts:63,batting_avg:.280,onbase:.360,slugging:.339,ops:erc">.339,ops+:lugging">.700,bases:148,double_plays:13,hit_by_pitch:0,sac_hits:5,sac_flies:2,intentional_walks:2
pos:SS,name:Jose Oquendo,age:20,games:81,plate_appearances:211,at_bats:189,runs:23,hits:42,doubles:5,triples:0,home_runs:0,runs_batted_in:10,stolen_bases:10,caught_stealing:1,walks:15,strikeouts:26,batting_avg:.222,onbase:.284,slugging:.249,ops:erc">.249,ops+:lugging">.532,bases:47,double_plays:2,hit_by_pitch:2,sac_hits:3,sac_flies:2,intentional_walks:2
pos:3B,name:Hubie Brooks,age:27,games:153,plate_appearances:613,at_bats:561,runs:61,hits:159,doubles:23,triples:2,home_runs:16,runs_batted_in:73,stolen_bases:6,caught_stealing:5,walks:48,strikeouts:79,batting_avg:.283,onbase:.341,slugging:.417,ops:erc">.417,ops+:lugging">.758,bases:234,double_plays:17,hit_by_pitch:2,sac_hits:0,sac_flies:2,intentional_walks:15
pos:LF,name:George Foster,age:35,games:146,plate_appearances:595,at_bats:553,runs:67,hits:149,doubles:22,triples:1,home_runs:24,runs_batted_in:86,stolen_bases:2,caught_stealing:2,walks:30,strikeouts:122,batting_avg:.269,onbase:.311,slugging:.443,ops:erc">.443,ops+:lugging">.754,bases:245,double_plays:14,hit_by_pitch:6,sac_hits:0,sac_flies:6,intentional_walks:9
pos:CF,name:Mookie Wilson,age:28,games:154,plate_appearances:619,at_bats:587,runs:88,hits:162,doubles:28,triples:10,home_runs:10,runs_batted_in:54,stolen_bases:46,caught_stealing:9,walks:26,strikeouts:90,batting_avg:.276,onbase:.308,slugging:.409,ops:erc">.409,ops+:lugging">.717,bases:240,double_plays:5,hit_by_pitch:2,sac_hits:2,sac_flies:2,intentional_walks:2
pos:RF,name:Darryl Strawberry,age:22,games:147,plate_appearances:602,at_bats:522,runs:75,hits:131,doubles:27,triples:4,home_runs:26,runs_batted_in:97,stolen_bases:27,caught_stealing:8,walks:75,strikeouts:131,batting_avg:.251,onbase:.343,slugging:.467,ops:erc">.467,ops+:lugging">.810,bases:244,double_plays:8,hit_by_pitch:0,sac_hits:1,sac_flies:4,intentional_walks:15
pos:OF,name:Danny Heep,age:26,games:99,plate_appearances:233,at_bats:199,runs:36,hits:46,doubles:9,triples:2,home_runs:1,runs_batted_in:12,stolen_bases:3,caught_stealing:1,walks:27,strikeouts:22,batting_avg:.231,onbase:.319,slugging:.312,ops:erc">.312,ops+:lugging">.631,bases:62,double_plays:9,hit_by_pitch:1,sac_hits:1,sac_flies:5,intentional_walks:3
pos:2B,name:Kelvin Chapman,age:28,games:75,plate_appearances:223,at_bats:197,runs:27,hits:57,doubles:13,triples:0,home_runs:3,runs_batted_in:23,stolen_bases:8,caught_stealing:7,walks:19,strikeouts:30,batting_avg:.289,onbase:.356,slugging:.401,ops:erc">.401,ops+:lugging">.757,bases:79,double_plays:7,hit_by_pitch:2,sac_hits:4,sac_flies:1,intentional_walks:0
pos:SS,name:Ron Gardenhire,age:26,games:74,plate_appearances:218,at_bats:207,runs:20,hits:51,doubles:7,triples:1,home_runs:1,runs_batted_in:10,stolen_bases:6,caught_stealing:1,walks:9,strikeouts:43,batting_avg:.246,onbase:.276,slugging:.304,ops:erc">.304,ops+:lugging">.581,bases:63,double_plays:7,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:1
