pos:C,name:Gary Carter,age:32,games:132,plate_appearances:573,at_bats:490,runs:81,hits:125,doubles:14,triples:2,home_runs:24,runs_batted_in:105,stolen_bases:1,caught_stealing:0,walks:62,strikeouts:63,batting_avg:.255,onbase:.337,slugging:.439,ops:erc">.439,ops+:lugging">.776,bases:215,double_plays:21,hit_by_pitch:6,sac_hits:0,sac_flies:15,intentional_walks:9
pos:1B,name:Keith Hernandez,age:32,games:149,plate_appearances:652,at_bats:551,runs:94,hits:171,doubles:34,triples:1,home_runs:13,runs_batted_in:83,stolen_bases:2,caught_stealing:1,walks:94,strikeouts:69,batting_avg:.310,onbase:.413,slugging:.446,ops:erc">.446,ops+:lugging">.859,bases:246,double_plays:14,hit_by_pitch:4,sac_hits:0,sac_flies:3,intentional_walks:9
pos:2B,name:Wally Backman,age:26,games:124,plate_appearances:440,at_bats:387,runs:67,hits:124,doubles:18,triples:2,home_runs:1,runs_batted_in:27,stolen_bases:13,caught_stealing:7,walks:36,strikeouts:32,batting_avg:.320,onbase:.376,slugging:.385,ops:erc">.385,ops+:lugging">.761,bases:149,double_plays:3,hit_by_pitch:0,sac_hits:14,sac_flies:3,intentional_walks:1
pos:SS,name:Rafael Santana,age:28,games:139,plate_appearances:436,at_bats:394,runs:38,hits:86,doubles:11,triples:0,home_runs:1,runs_batted_in:28,stolen_bases:0,caught_stealing:0,walks:36,strikeouts:43,batting_avg:.218,onbase:.285,slugging:.254,ops:erc">.254,ops+:lugging">.539,bases:100,double_plays:15,hit_by_pitch:2,sac_hits:1,sac_flies:3,intentional_walks:12
pos:3B,name:Ray Knight,age:33,games:137,plate_appearances:541,at_bats:486,runs:51,hits:145,doubles:24,triples:2,home_runs:11,runs_batted_in:76,stolen_bases:2,caught_stealing:1,walks:40,strikeouts:63,batting_avg:.298,onbase:.351,slugging:.424,ops:erc">.424,ops+:lugging">.775,bases:206,double_plays:19,hit_by_pitch:4,sac_hits:3,sac_flies:8,intentional_walks:2
pos:LF,name:George Foster,age:37,games:72,plate_appearances:256,at_bats:233,runs:28,hits:53,doubles:6,triples:1,home_runs:13,runs_batted_in:38,stolen_bases:1,caught_stealing:1,walks:21,strikeouts:53,batting_avg:.227,onbase:.289,slugging:.429,ops:erc">.429,ops+:lugging">.718,bases:100,double_plays:7,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:1
pos:CF,name:Lenny Dykstra,age:23,games:147,plate_appearances:498,at_bats:431,runs:77,hits:127,doubles:27,triples:7,home_runs:8,runs_batted_in:45,stolen_bases:31,caught_stealing:7,walks:58,strikeouts:55,batting_avg:.295,onbase:.377,slugging:.445,ops:erc">.445,ops+:lugging">.822,bases:192,double_plays:4,hit_by_pitch:0,sac_hits:7,sac_flies:2,intentional_walks:1
pos:RF,name:Darryl Strawberry,age:24,games:136,plate_appearances:562,at_bats:475,runs:76,hits:123,doubles:27,triples:5,home_runs:27,runs_batted_in:93,stolen_bases:28,caught_stealing:12,walks:72,strikeouts:141,batting_avg:.259,onbase:.358,slugging:.507,ops:erc">.507,ops+:lugging">.865,bases:241,double_plays:4,hit_by_pitch:6,sac_hits:0,sac_flies:9,intentional_walks:9
pos:OF,name:Mookie Wilson,age:30,games:123,plate_appearances:416,at_bats:381,runs:61,hits:110,doubles:17,triples:5,home_runs:9,runs_batted_in:45,stolen_bases:25,caught_stealing:7,walks:32,strikeouts:72,batting_avg:.289,onbase:.345,slugging:.430,ops:erc">.430,ops+:lugging">.775,bases:164,double_plays:5,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:5
pos:UT,name:Kevin Mitchell,age:24,games:108,plate_appearances:364,at_bats:328,runs:51,hits:91,doubles:22,triples:2,home_runs:12,runs_batted_in:43,stolen_bases:3,caught_stealing:3,walks:33,strikeouts:61,batting_avg:.277,onbase:.344,slugging:.466,ops:erc">.466,ops+:lugging">.811,bases:153,double_plays:6,hit_by_pitch:1,sac_hits:1,sac_flies:1,intentional_walks:0
pos:2B,name:Tim Teufel,age:27,games:93,plate_appearances:318,at_bats:279,runs:35,hits:69,doubles:20,triples:1,home_runs:4,runs_batted_in:31,stolen_bases:1,caught_stealing:2,walks:32,strikeouts:42,batting_avg:.247,onbase:.324,slugging:.369,ops:erc">.369,ops+:lugging">.693,bases:103,double_plays:6,hit_by_pitch:1,sac_hits:3,sac_flies:3,intentional_walks:1
pos:IF,name:Howard Johnson,age:25,games:88,plate_appearances:253,at_bats:220,runs:30,hits:54,doubles:14,triples:0,home_runs:10,runs_batted_in:39,stolen_bases:8,caught_stealing:1,walks:31,strikeouts:64,batting_avg:.245,onbase:.341,slugging:.445,ops:erc">.445,ops+:lugging">.787,bases:98,double_plays:2,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:8
pos:LF,name:Danny Heep,age:28,games:86,plate_appearances:227,at_bats:195,runs:24,hits:55,doubles:8,triples:2,home_runs:5,runs_batted_in:33,stolen_bases:1,caught_stealing:4,walks:30,strikeouts:31,batting_avg:.282,onbase:.379,slugging:.421,ops:erc">.421,ops+:lugging">.799,bases:82,double_plays:3,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:5
pos:C,name:Ed Hearn,age:25,games:49,plate_appearances:151,at_bats:136,runs:16,hits:36,doubles:5,triples:0,home_runs:4,runs_batted_in:10,stolen_bases:0,caught_stealing:1,walks:12,strikeouts:19,batting_avg:.265,onbase:.322,slugging:.390,ops:erc">.390,ops+:lugging">.712,bases:53,double_plays:4,hit_by_pitch:0,sac_hits:2,sac_flies:1,intentional_walks:0
pos:UT,name:Lee Mazzilli,age:31,games:39,plate_appearances:72,at_bats:58,runs:10,hits:16,doubles:3,triples:0,home_runs:2,runs_batted_in:7,stolen_bases:1,caught_stealing:1,walks:12,strikeouts:11,batting_avg:.276,onbase:.417,slugging:.431,ops:erc">.431,ops+:lugging">.848,bases:25,double_plays:1,hit_by_pitch:2,sac_hits:0,sac_flies:0,intentional_walks:1
pos:SS,name:Kevin Elster,age:21,games:19,plate_appearances:33,at_bats:30,runs:3,hits:5,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:8,batting_avg:.167,onbase:.242,slugging:.200,ops:erc">.200,ops+:lugging">.442,bases:6,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:OF,name:Stan Jefferson,age:23,games:14,plate_appearances:27,at_bats:24,runs:6,hits:5,doubles:1,triples:0,home_runs:1,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:8,batting_avg:.208,onbase:.296,slugging:.375,ops:erc">.375,ops+:lugging">.671,bases:9,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:John Gibbons,age:24,games:8,plate_appearances:22,at_bats:19,runs:4,hits:9,doubles:4,triples:0,home_runs:1,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:5,batting_avg:.474,onbase:.545,slugging:.842,ops:erc">.842,ops+:lugging">1.388,bases:16,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:1B,name:Dave Magadan,age:23,games:10,plate_appearances:21,at_bats:18,runs:3,hits:8,doubles:0,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:1,batting_avg:.444,onbase:.524,slugging:.444,ops:erc">.444,ops+:lugging">.968,bases:8,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Barry Lyons,age:26,games:6,plate_appearances:10,at_bats:9,runs:1,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:2,batting_avg:.000,onbase:.100,slugging:.000,ops:erc">.000,ops+:lugging">.100,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:1B,name:Tim Corcoran,age:33,games:6,plate_appearances:9,at_bats:7,runs:1,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:0,batting_avg:.000,onbase:.222,slugging:.000,ops:erc">.000,ops+:lugging">.222,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:P,name:Dwight Gooden,age:21,games:33,plate_appearances:97,at_bats:81,runs:5,hits:7,doubles:0,triples:1,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:16,batting_avg:.086,onbase:.119,slugging:.111,ops:erc">.111,ops+:lugging">.230,bases:9,double_plays:3,hit_by_pitch:1,sac_hits:13,sac_flies:0,intentional_walks:0
pos:P,name:Ron Darling,age:25,games:34,plate_appearances:94,at_bats:81,runs:4,hits:8,doubles:2,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:29,batting_avg:.099,onbase:.131,slugging:.123,ops:erc">.123,ops+:lugging">.254,bases:10,double_plays:0,hit_by_pitch:0,sac_hits:10,sac_flies:0,intentional_walks:0
pos:P,name:Bob Ojeda,age:28,games:32,plate_appearances:80,at_bats:71,runs:3,hits:8,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:30,batting_avg:.113,onbase:.125,slugging:.113,ops:erc">.113,ops+:lugging">.238,bases:8,double_plays:0,hit_by_pitch:0,sac_hits:8,sac_flies:0,intentional_walks:0
pos:P,name:Sid Fernandez,age:23,games:32,plate_appearances:77,at_bats:68,runs:6,hits:11,doubles:3,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:1,caught_stealing:0,walks:3,strikeouts:23,batting_avg:.162,onbase:.197,slugging:.206,ops:erc">.206,ops+:lugging">.403,bases:14,double_plays:2,hit_by_pitch:0,sac_hits:6,sac_flies:0,intentional_walks:0
pos:P,name:Rick Aguilera,age:24,games:32,plate_appearances:57,at_bats:51,runs:4,hits:8,doubles:0,triples:0,home_runs:2,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:12,batting_avg:.157,onbase:.204,slugging:.275,ops:erc">.275,ops+:lugging">.478,bases:14,double_plays:0,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Roger McDowell,age:25,games:75,plate_appearances:20,at_bats:18,runs:1,hits:5,doubles:0,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:4,batting_avg:.278,onbase:.316,slugging:.278,ops:erc">.278,ops+:lugging">.594,bases:5,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Rick Anderson,age:29,games:15,plate_appearances:12,at_bats:11,runs:1,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:4,batting_avg:.091,onbase:.091,slugging:.091,ops:erc">.091,ops+:lugging">.182,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Bruce Berenyi,age:31,games:14,plate_appearances:12,at_bats:11,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Randy Niemann,age:30,games:31,plate_appearances:7,at_bats:6,runs:1,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:1,batting_avg:.333,onbase:.429,slugging:.333,ops:erc">.333,ops+:lugging">.762,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jesse Orosco,age:29,games:58,plate_appearances:6,at_bats:3,runs:1,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:0,batting_avg:.000,onbase:.333,slugging:.000,ops:erc">.000,ops+:lugging">.333,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:P,name:Doug Sisk,age:28,games:41,plate_appearances:4,at_bats:4,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:John Mitchell,age:20,games:4,plate_appearances:2,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Randy Myers,age:23,games:10,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
