pos:C,name:Rick Cerone,age:37,games:90,plate_appearances:258,at_bats:227,runs:18,hits:62,doubles:13,triples:0,home_runs:2,runs_batted_in:16,stolen_bases:1,caught_stealing:1,walks:30,strikeouts:24,batting_avg:.273,onbase:.360,slugging:.357,ops:erc">.357,ops+:lugging">.717,bases:81,double_plays:9,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:2
pos:1B,name:Dave Magadan,age:28,games:124,plate_appearances:517,at_bats:418,runs:58,hits:108,doubles:23,triples:0,home_runs:4,runs_batted_in:51,stolen_bases:1,caught_stealing:1,walks:83,strikeouts:50,batting_avg:.258,onbase:.378,slugging:.342,ops:erc">.342,ops+:lugging">.721,bases:143,double_plays:5,hit_by_pitch:2,sac_hits:7,sac_flies:7,intentional_walks:3
pos:2B,name:Gregg Jefferies,age:23,games:136,plate_appearances:539,at_bats:486,runs:59,hits:132,doubles:19,triples:2,home_runs:9,runs_batted_in:62,stolen_bases:26,caught_stealing:5,walks:47,strikeouts:38,batting_avg:.272,onbase:.336,slugging:.374,ops:erc">.374,ops+:lugging">.711,bases:182,double_plays:12,hit_by_pitch:2,sac_hits:1,sac_flies:3,intentional_walks:2
pos:SS,name:Kevin Elster,age:26,games:115,plate_appearances:394,at_bats:348,runs:33,hits:84,doubles:16,triples:2,home_runs:6,runs_batted_in:36,stolen_bases:2,caught_stealing:3,walks:40,strikeouts:53,batting_avg:.241,onbase:.318,slugging:.351,ops:erc">.351,ops+:lugging">.669,bases:122,double_plays:4,hit_by_pitch:1,sac_hits:1,sac_flies:4,intentional_walks:6
pos:3B,name:Howard Johnson,age:30,games:156,plate_appearances:658,at_bats:564,runs:108,hits:146,doubles:34,triples:4,home_runs:38,runs_batted_in:117,stolen_bases:30,caught_stealing:16,walks:78,strikeouts:120,batting_avg:.259,onbase:.342,slugging:.535,ops:erc">.535,ops+:lugging">.877,bases:302,double_plays:4,hit_by_pitch:1,sac_hits:0,sac_flies:15,intentional_walks:12
pos:LF,name:Kevin McReynolds,age:31,games:143,plate_appearances:578,at_bats:522,runs:65,hits:135,doubles:32,triples:1,home_runs:16,runs_batted_in:74,stolen_bases:6,caught_stealing:6,walks:49,strikeouts:46,batting_avg:.259,onbase:.322,slugging:.416,ops:erc">.416,ops+:lugging">.738,bases:217,double_plays:8,hit_by_pitch:2,sac_hits:1,sac_flies:4,intentional_walks:7
pos:CF,name:Vince Coleman,age:29,games:72,plate_appearances:318,at_bats:278,runs:45,hits:71,doubles:7,triples:5,home_runs:1,runs_batted_in:17,stolen_bases:37,caught_stealing:14,walks:39,strikeouts:47,batting_avg:.255,onbase:.347,slugging:.327,ops:erc">.327,ops+:lugging">.674,bases:91,double_plays:3,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:RF,name:Hubie Brooks,age:34,games:103,plate_appearances:407,at_bats:357,runs:48,hits:85,doubles:11,triples:1,home_runs:16,runs_batted_in:50,stolen_bases:3,caught_stealing:1,walks:44,strikeouts:62,batting_avg:.238,onbase:.324,slugging:.409,ops:erc">.409,ops+:lugging">.733,bases:146,double_plays:7,hit_by_pitch:3,sac_hits:0,sac_flies:3,intentional_walks:8
pos:2B,name:Keith Miller,age:28,games:98,plate_appearances:304,at_bats:275,runs:41,hits:77,doubles:22,triples:1,home_runs:4,runs_batted_in:23,stolen_bases:14,caught_stealing:4,walks:23,strikeouts:44,batting_avg:.280,onbase:.345,slugging:.411,ops:erc">.411,ops+:lugging">.756,bases:113,double_plays:2,hit_by_pitch:5,sac_hits:0,sac_flies:1,intentional_walks:0
pos:CF,name:Daryl Boston,age:28,games:137,plate_appearances:286,at_bats:255,runs:40,hits:70,doubles:16,triples:4,home_runs:4,runs_batted_in:21,stolen_bases:15,caught_stealing:8,walks:30,strikeouts:42,batting_avg:.275,onbase:.350,slugging:.416,ops:erc">.416,ops+:lugging">.765,bases:106,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:LF,name:Mark Carreon,age:27,games:106,plate_appearances:270,at_bats:254,runs:18,hits:66,doubles:6,triples:0,home_runs:4,runs_batted_in:21,stolen_bases:2,caught_stealing:1,walks:12,strikeouts:26,batting_avg:.260,onbase:.297,slugging:.331,ops:erc">.331,ops+:lugging">.628,bases:84,double_plays:13,hit_by_pitch:2,sac_hits:1,sac_flies:1,intentional_walks:2
