pos:C,name:Vance Wilson,age:30,games:96,plate_appearances:292,at_bats:268,runs:28,hits:65,doubles:9,triples:1,home_runs:8,runs_batted_in:39,stolen_bases:1,caught_stealing:2,walks:15,strikeouts:56,batting_avg:.243,onbase:.293,slugging:.373,ops:erc">.373,ops+:lugging">.666,bases:100,double_plays:6,hit_by_pitch:5,sac_hits:2,sac_flies:2,intentional_walks:1
pos:1B,name:Jason Phillips,age:26,games:119,plate_appearances:453,at_bats:403,runs:45,hits:120,doubles:25,triples:0,home_runs:11,runs_batted_in:58,stolen_bases:0,caught_stealing:1,walks:39,strikeouts:50,batting_avg:.298,onbase:.373,slugging:.442,ops:erc">.442,ops+:lugging">.815,bases:178,double_plays:21,hit_by_pitch:10,sac_hits:0,sac_flies:1,intentional_walks:3
pos:2B,name:Roberto Alomar,age:35,games:73,plate_appearances:302,at_bats:263,runs:34,hits:69,doubles:17,triples:1,home_runs:2,runs_batted_in:22,stolen_bases:6,caught_stealing:0,walks:29,strikeouts:40,batting_avg:.262,onbase:.336,slugging:.357,ops:erc">.357,ops+:lugging">.693,bases:94,double_plays:8,hit_by_pitch:2,sac_hits:4,sac_flies:4,intentional_walks:2
pos:SS,name:Jose Reyes,age:20,games:69,plate_appearances:292,at_bats:274,runs:47,hits:84,doubles:12,triples:4,home_runs:5,runs_batted_in:32,stolen_bases:13,caught_stealing:3,walks:13,strikeouts:36,batting_avg:.307,onbase:.334,slugging:.434,ops:erc">.434,ops+:lugging">.769,bases:119,double_plays:1,hit_by_pitch:0,sac_hits:2,sac_flies:3,intentional_walks:0
pos:3B,name:Ty Wigginton,age:25,games:156,plate_appearances:633,at_bats:573,runs:73,hits:146,doubles:36,triples:6,home_runs:11,runs_batted_in:71,stolen_bases:12,caught_stealing:2,walks:46,strikeouts:124,batting_avg:.255,onbase:.318,slugging:.396,ops:erc">.396,ops+:lugging">.714,bases:227,double_plays:15,hit_by_pitch:9,sac_hits:1,sac_flies:4,intentional_walks:2
pos:LF,name:Cliff Floyd,age:30,games:108,plate_appearances:425,at_bats:365,runs:57,hits:106,doubles:25,triples:2,home_runs:18,runs_batted_in:68,stolen_bases:3,caught_stealing:0,walks:51,strikeouts:66,batting_avg:.290,onbase:.376,slugging:.518,ops:erc">.518,ops+:lugging">.894,bases:189,double_plays:10,hit_by_pitch:3,sac_hits:0,sac_flies:6,intentional_walks:2
pos:CF,name:Jeff Duncan,age:24,games:56,plate_appearances:166,at_bats:139,runs:13,hits:27,doubles:0,triples:2,home_runs:1,runs_batted_in:10,stolen_bases:4,caught_stealing:2,walks:17,strikeouts:41,batting_avg:.194,onbase:.291,slugging:.245,ops:erc">.245,ops+:lugging">.536,bases:34,double_plays:1,hit_by_pitch:2,sac_hits:8,sac_flies:0,intentional_walks:3
pos:RF,name:Roger Cedeno,age:28,games:148,plate_appearances:527,at_bats:484,runs:70,hits:129,doubles:25,triples:4,home_runs:7,runs_batted_in:37,stolen_bases:14,caught_stealing:9,walks:38,strikeouts:86,batting_avg:.267,onbase:.320,slugging:.378,ops:erc">.378,ops+:lugging">.698,bases:183,double_plays:8,hit_by_pitch:1,sac_hits:2,sac_flies:2,intentional_walks:3
pos:OF,name:Timo Perez,age:28,games:127,plate_appearances:382,at_bats:346,runs:32,hits:93,doubles:21,triples:0,home_runs:4,runs_batted_in:42,stolen_bases:5,caught_stealing:6,walks:18,strikeouts:29,batting_avg:.269,onbase:.301,slugging:.364,ops:erc">.364,ops+:lugging">.665,bases:126,double_plays:5,hit_by_pitch:2,sac_hits:7,sac_flies:9,intentional_walks:1
pos:MI,name:Joe McEwing,age:30,games:119,plate_appearances:313,at_bats:278,runs:31,hits:67,doubles:11,triples:0,home_runs:1,runs_batted_in:16,stolen_bases:3,caught_stealing:0,walks:25,strikeouts:57,batting_avg:.241,onbase:.309,slugging:.291,ops:erc">.291,ops+:lugging">.601,bases:81,double_plays:6,hit_by_pitch:3,sac_hits:6,sac_flies:1,intentional_walks:4
pos:1B,name:Tony Clark,age:31,games:125,plate_appearances:280,at_bats:254,runs:29,hits:59,doubles:13,triples:0,home_runs:16,runs_batted_in:43,stolen_bases:0,caught_stealing:0,walks:24,strikeouts:73,batting_avg:.232,onbase:.300,slugging:.472,ops:erc">.472,ops+:lugging">.772,bases:120,double_plays:8,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:2
pos:C,name:Mike Piazza,age:34,games:68,plate_appearances:273,at_bats:234,runs:37,hits:67,doubles:13,triples:0,home_runs:11,runs_batted_in:34,stolen_bases:0,caught_stealing:0,walks:35,strikeouts:40,batting_avg:.286,onbase:.377,slugging:.483,ops:erc">.483,ops+:lugging">.860,bases:113,double_plays:11,hit_by_pitch:1,sac_hits:0,sac_flies:3,intentional_walks:3
pos:OF,name:Jeromy Burnitz,age:34,games:65,plate_appearances:259,at_bats:234,runs:38,hits:64,doubles:18,triples:0,home_runs:18,runs_batted_in:45,stolen_bases:1,caught_stealing:4,walks:21,strikeouts:55,batting_avg:.274,onbase:.344,slugging:.581,ops:erc">.581,ops+:lugging">.925,bases:136,double_plays:4,hit_by_pitch:4,sac_hits:0,sac_flies:0,intentional_walks:6
pos:OF,name:Raul Gonzalez,age:29,games:107,plate_appearances:246,at_bats:217,runs:28,hits:50,doubles:12,triples:2,home_runs:2,runs_batted_in:21,stolen_bases:3,caught_stealing:0,walks:27,strikeouts:34,batting_avg:.230,onbase:.317,slugging:.332,ops:erc">.332,ops+:lugging">.649,bases:72,double_plays:8,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:1
pos:SS,name:Rey Sanchez,age:35,games:56,plate_appearances:183,at_bats:174,runs:11,hits:36,doubles:3,triples:1,home_runs:0,runs_batted_in:12,stolen_bases:1,caught_stealing:1,walks:8,strikeouts:18,batting_avg:.207,onbase:.240,slugging:.236,ops:erc">.236,ops+:lugging">.476,bases:41,double_plays:7,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:2
pos:IF,name:Jay Bell,age:37,games:72,plate_appearances:142,at_bats:116,runs:11,hits:21,doubles:1,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:22,strikeouts:38,batting_avg:.181,onbase:.319,slugging:.190,ops:erc">.190,ops+:lugging">.509,bases:22,double_plays:4,hit_by_pitch:2,sac_hits:1,sac_flies:1,intentional_walks:1
pos:CF,name:Tsuyoshi Shinjo,age:31,games:62,plate_appearances:124,at_bats:114,runs:10,hits:22,doubles:3,triples:0,home_runs:1,runs_batted_in:7,stolen_bases:0,caught_stealing:1,walks:6,strikeouts:12,batting_avg:.193,onbase:.238,slugging:.246,ops:erc">.246,ops+:lugging">.483,bases:28,double_plays:0,hit_by_pitch:1,sac_hits:2,sac_flies:1,intentional_walks:1
pos:1B,name:Mo Vaughn,age:35,games:27,plate_appearances:96,at_bats:79,runs:10,hits:15,doubles:2,triples:0,home_runs:3,runs_batted_in:15,stolen_bases:0,caught_stealing:0,walks:14,strikeouts:22,batting_avg:.190,onbase:.323,slugging:.329,ops:erc">.329,ops+:lugging">.652,bases:26,double_plays:2,hit_by_pitch:2,sac_hits:0,sac_flies:1,intentional_walks:2
pos:2B,name:Marco Scutaro,age:27,games:48,plate_appearances:91,at_bats:75,runs:10,hits:16,doubles:4,triples:0,home_runs:2,runs_batted_in:6,stolen_bases:2,caught_stealing:0,walks:13,strikeouts:14,batting_avg:.213,onbase:.333,slugging:.347,ops:erc">.347,ops+:lugging">.680,bases:26,double_plays:1,hit_by_pitch:1,sac_hits:1,sac_flies:1,intentional_walks:2
pos:SS,name:Jorge Velandia,age:28,games:23,plate_appearances:72,at_bats:58,runs:6,hits:11,doubles:3,triples:1,home_runs:0,runs_batted_in:8,stolen_bases:0,caught_stealing:0,walks:10,strikeouts:15,batting_avg:.190,onbase:.304,slugging:.276,ops:erc">.276,ops+:lugging">.580,bases:16,double_plays:1,hit_by_pitch:0,sac_hits:3,sac_flies:1,intentional_walks:1
pos:2B,name:Daniel Garcia,age:23,games:19,plate_appearances:63,at_bats:56,runs:5,hits:12,doubles:2,triples:0,home_runs:2,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:11,batting_avg:.214,onbase:.274,slugging:.357,ops:erc">.357,ops+:lugging">.631,bases:20,double_plays:2,hit_by_pitch:3,sac_hits:1,sac_flies:1,intentional_walks:0
pos:OF,name:Prentice Redman,age:23,games:15,plate_appearances:27,at_bats:24,runs:3,hits:3,doubles:1,triples:0,home_runs:1,runs_batted_in:2,stolen_bases:2,caught_stealing:0,walks:1,strikeouts:9,batting_avg:.125,onbase:.192,slugging:.292,ops:erc">.292,ops+:lugging">.484,bases:7,double_plays:1,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:0
