pos:C,name:Mike Piazza,age:36,games:113,plate_appearances:442,at_bats:398,runs:41,hits:100,doubles:23,triples:0,home_runs:19,runs_batted_in:62,stolen_bases:0,caught_stealing:0,walks:41,strikeouts:67,batting_avg:.251,onbase:.326,slugging:.452,ops:erc">.452,ops+:lugging">.778,bases:180,double_plays:7,hit_by_pitch:3,sac_hits:0,sac_flies:0,intentional_walks:6
pos:1B,name:Doug Mientkiewicz,age:31,games:87,plate_appearances:313,at_bats:275,runs:36,hits:66,doubles:13,triples:0,home_runs:11,runs_batted_in:29,stolen_bases:0,caught_stealing:1,walks:32,strikeouts:39,batting_avg:.240,onbase:.322,slugging:.407,ops:erc">.407,ops+:lugging">.729,bases:112,double_plays:11,hit_by_pitch:2,sac_hits:2,sac_flies:2,intentional_walks:7
pos:2B,name:Miguel Cairo,age:31,games:100,plate_appearances:367,at_bats:327,runs:31,hits:82,doubles:18,triples:0,home_runs:2,runs_batted_in:19,stolen_bases:13,caught_stealing:3,walks:19,strikeouts:31,batting_avg:.251,onbase:.296,slugging:.324,ops:erc">.324,ops+:lugging">.620,bases:106,double_plays:5,hit_by_pitch:4,sac_hits:12,sac_flies:5,intentional_walks:2
pos:SS,name:Jose Reyes,age:22,games:161,plate_appearances:733,at_bats:696,runs:99,hits:190,doubles:24,triples:17,home_runs:7,runs_batted_in:58,stolen_bases:60,caught_stealing:15,walks:27,strikeouts:78,batting_avg:.273,onbase:.300,slugging:.386,ops:erc">.386,ops+:lugging">.687,bases:269,double_plays:7,hit_by_pitch:2,sac_hits:4,sac_flies:4,intentional_walks:0
pos:3B,name:David Wright,age:22,games:160,plate_appearances:657,at_bats:575,runs:99,hits:176,doubles:42,triples:1,home_runs:27,runs_batted_in:102,stolen_bases:17,caught_stealing:7,walks:72,strikeouts:113,batting_avg:.306,onbase:.388,slugging:.523,ops:erc">.523,ops+:lugging">.912,bases:301,double_plays:16,hit_by_pitch:7,sac_hits:0,sac_flies:3,intentional_walks:2
pos:LF,name:Cliff Floyd,age:32,games:150,plate_appearances:626,at_bats:550,runs:85,hits:150,doubles:22,triples:2,home_runs:34,runs_batted_in:98,stolen_bases:12,caught_stealing:2,walks:63,strikeouts:98,batting_avg:.273,onbase:.358,slugging:.505,ops:erc">.505,ops+:lugging">.863,bases:278,double_plays:5,hit_by_pitch:11,sac_hits:0,sac_flies:2,intentional_walks:13
pos:CF,name:Carlos Beltran,age:28,games:151,plate_appearances:650,at_bats:582,runs:83,hits:155,doubles:34,triples:2,home_runs:16,runs_batted_in:78,stolen_bases:17,caught_stealing:6,walks:56,strikeouts:96,batting_avg:.266,onbase:.330,slugging:.414,ops:erc">.414,ops+:lugging">.744,bases:241,double_plays:9,hit_by_pitch:2,sac_hits:4,sac_flies:6,intentional_walks:5
pos:RF,name:Victor Diaz,age:23,games:89,plate_appearances:313,at_bats:280,runs:41,hits:72,doubles:17,triples:3,home_runs:12,runs_batted_in:38,stolen_bases:6,caught_stealing:2,walks:30,strikeouts:82,batting_avg:.257,onbase:.329,slugging:.468,ops:erc">.468,ops+:lugging">.797,bases:131,double_plays:13,hit_by_pitch:1,sac_hits:0,sac_flies:2,intentional_walks:7
pos:RF,name:Mike Cameron,age:32,games:76,plate_appearances:343,at_bats:308,runs:47,hits:84,doubles:23,triples:2,home_runs:12,runs_batted_in:39,stolen_bases:13,caught_stealing:1,walks:29,strikeouts:85,batting_avg:.273,onbase:.342,slugging:.477,ops:erc">.477,ops+:lugging">.819,bases:147,double_plays:5,hit_by_pitch:4,sac_hits:1,sac_flies:1,intentional_walks:0
pos:2B,name:Kazuo Matsui,age:29,games:87,plate_appearances:295,at_bats:267,runs:31,hits:68,doubles:9,triples:4,home_runs:3,runs_batted_in:24,stolen_bases:6,caught_stealing:1,walks:14,strikeouts:43,batting_avg:.255,onbase:.300,slugging:.352,ops:erc">.352,ops+:lugging">.652,bases:94,double_plays:2,hit_by_pitch:5,sac_hits:5,sac_flies:4,intentional_walks:1
pos:UT,name:Marlon Anderson,age:31,games:123,plate_appearances:260,at_bats:235,runs:31,hits:62,doubles:9,triples:0,home_runs:7,runs_batted_in:19,stolen_bases:6,caught_stealing:1,walks:18,strikeouts:45,batting_avg:.264,onbase:.316,slugging:.391,ops:erc">.391,ops+:lugging">.708,bases:92,double_plays:2,hit_by_pitch:1,sac_hits:4,sac_flies:2,intentional_walks:0
