pos:C,name:John Buck,age:32,games:101,plate_appearances:407,at_bats:368,runs:38,hits:79,doubles:11,triples:0,home_runs:15,runs_batted_in:60,stolen_bases:2,caught_stealing:1,walks:29,strikeouts:99,batting_avg:.215,onbase:.285,slugging:.367,ops:erc">.367,ops+:lugging">.652,bases:135,double_plays:12,hit_by_pitch:8,sac_hits:0,sac_flies:2,intentional_walks:4
pos:1B,name:Ike Davis,age:26,games:103,plate_appearances:377,at_bats:317,runs:37,hits:65,doubles:14,triples:0,home_runs:9,runs_batted_in:33,stolen_bases:4,caught_stealing:0,walks:57,strikeouts:101,batting_avg:.205,onbase:.326,slugging:.334,ops:erc">.334,ops+:lugging">.661,bases:106,double_plays:9,hit_by_pitch:1,sac_hits:0,sac_flies:2,intentional_walks:5
pos:2B,name:Daniel Murphy,age:28,games:161,plate_appearances:697,at_bats:658,runs:92,hits:188,doubles:38,triples:4,home_runs:13,runs_batted_in:78,stolen_bases:23,caught_stealing:3,walks:32,strikeouts:95,batting_avg:.286,onbase:.319,slugging:.415,ops:erc">.415,ops+:lugging">.733,bases:273,double_plays:13,hit_by_pitch:2,sac_hits:0,sac_flies:5,intentional_walks:2
pos:SS,name:Omar Quintanilla,age:31,games:95,plate_appearances:359,at_bats:315,runs:28,hits:70,doubles:9,triples:2,home_runs:2,runs_batted_in:21,stolen_bases:2,caught_stealing:0,walks:38,strikeouts:70,batting_avg:.222,onbase:.306,slugging:.283,ops:erc">.283,ops+:lugging">.589,bases:89,double_plays:10,hit_by_pitch:1,sac_hits:3,sac_flies:2,intentional_walks:7
pos:3B,name:David Wright,age:30,games:112,plate_appearances:492,at_bats:430,runs:63,hits:132,doubles:23,triples:6,home_runs:18,runs_batted_in:58,stolen_bases:17,caught_stealing:3,walks:55,strikeouts:79,batting_avg:.307,onbase:.390,slugging:.514,ops:erc">.514,ops+:lugging">.904,bases:221,double_plays:11,hit_by_pitch:5,sac_hits:0,sac_flies:2,intentional_walks:5
pos:LF,name:Eric Young Jr.,age:28,games:91,plate_appearances:418,at_bats:374,runs:48,hits:94,doubles:18,triples:4,home_runs:1,runs_batted_in:26,stolen_bases:38,caught_stealing:7,walks:35,strikeouts:67,batting_avg:.251,onbase:.318,slugging:.329,ops:erc">.329,ops+:lugging">.647,bases:123,double_plays:5,hit_by_pitch:2,sac_hits:6,sac_flies:1,intentional_walks:1
pos:CF,name:Juan Lagares,age:24,games:121,plate_appearances:421,at_bats:392,runs:35,hits:95,doubles:21,triples:5,home_runs:4,runs_batted_in:34,stolen_bases:6,caught_stealing:3,walks:20,strikeouts:96,batting_avg:.242,onbase:.281,slugging:.352,ops:erc">.352,ops+:lugging">.633,bases:138,double_plays:6,hit_by_pitch:2,sac_hits:5,sac_flies:2,intentional_walks:4
pos:RF,name:Marlon Byrd,age:35,games:117,plate_appearances:464,at_bats:425,runs:61,hits:121,doubles:26,triples:5,home_runs:21,runs_batted_in:71,stolen_bases:2,caught_stealing:4,walks:25,strikeouts:124,batting_avg:.285,onbase:.330,slugging:.518,ops:erc">.518,ops+:lugging">.848,bases:220,double_plays:6,hit_by_pitch:7,sac_hits:1,sac_flies:6,intentional_walks:2
pos:UT,name:Lucas Duda,age:27,games:100,plate_appearances:384,at_bats:318,runs:42,hits:71,doubles:16,triples:0,home_runs:15,runs_batted_in:33,stolen_bases:0,caught_stealing:3,walks:55,strikeouts:102,batting_avg:.223,onbase:.352,slugging:.415,ops:erc">.415,ops+:lugging">.767,bases:132,double_plays:1,hit_by_pitch:9,sac_hits:0,sac_flies:2,intentional_walks:4
pos:SS,name:Ruben Tejada,age:23,games:57,plate_appearances:227,at_bats:208,runs:20,hits:42,doubles:12,triples:0,home_runs:0,runs_batted_in:10,stolen_bases:2,caught_stealing:1,walks:15,strikeouts:24,batting_avg:.202,onbase:.259,slugging:.260,ops:erc">.260,ops+:lugging">.519,bases:54,double_plays:3,hit_by_pitch:1,sac_hits:3,sac_flies:0,intentional_walks:0
pos:1B,name:Josh Satin,age:28,games:75,plate_appearances:221,at_bats:190,runs:23,hits:53,doubles:15,triples:0,home_runs:3,runs_batted_in:17,stolen_bases:1,caught_stealing:1,walks:30,strikeouts:56,batting_avg:.279,onbase:.376,slugging:.405,ops:erc">.405,ops+:lugging">.781,bases:77,double_plays:4,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:2
pos:IF,name:Justin Turner,age:28,games:86,plate_appearances:214,at_bats:200,runs:12,hits:56,doubles:13,triples:1,home_runs:2,runs_batted_in:16,stolen_bases:0,caught_stealing:1,walks:11,strikeouts:34,batting_avg:.280,onbase:.319,slugging:.385,ops:erc">.385,ops+:lugging">.704,bases:77,double_plays:6,hit_by_pitch:1,sac_hits:1,sac_flies:1,intentional_walks:1
pos:OF,name:Andrew Brown,age:28,games:68,plate_appearances:165,at_bats:150,runs:16,hits:34,doubles:5,triples:0,home_runs:7,runs_batted_in:24,stolen_bases:1,caught_stealing:0,walks:13,strikeouts:44,batting_avg:.227,onbase:.288,slugging:.400,ops:erc">.400,ops+:lugging">.688,bases:60,double_plays:3,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:RF,name:Mike Baxter,age:28,games:74,plate_appearances:155,at_bats:132,runs:14,hits:25,doubles:6,triples:1,home_runs:0,runs_batted_in:4,stolen_bases:5,caught_stealing:2,walks:17,strikeouts:28,batting_avg:.189,onbase:.303,slugging:.250,ops:erc">.250,ops+:lugging">.553,bases:33,double_plays:1,hit_by_pitch:5,sac_hits:0,sac_flies:1,intentional_walks:0
pos:C,name:Anthony Recker,age:29,games:50,plate_appearances:151,at_bats:135,runs:17,hits:29,doubles:7,triples:0,home_runs:6,runs_batted_in:19,stolen_bases:0,caught_stealing:1,walks:13,strikeouts:49,batting_avg:.215,onbase:.280,slugging:.400,ops:erc">.400,ops+:lugging">.680,bases:54,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:2,intentional_walks:1
pos:UT,name:Jordany Valdespin,age:25,games:66,plate_appearances:144,at_bats:133,runs:16,hits:25,doubles:3,triples:1,home_runs:4,runs_batted_in:16,stolen_bases:4,caught_stealing:3,walks:8,strikeouts:28,batting_avg:.188,onbase:.250,slugging:.316,ops:erc">.316,ops+:lugging">.566,bases:42,double_plays:1,hit_by_pitch:3,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Travis d'Arnaud,age:24,games:31,plate_appearances:112,at_bats:99,runs:4,hits:20,doubles:3,triples:0,home_runs:1,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:12,strikeouts:21,batting_avg:.202,onbase:.286,slugging:.263,ops:erc">.263,ops+:lugging">.548,bases:26,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:CF,name:Kirk Nieuwenhuis,age:25,games:47,plate_appearances:108,at_bats:95,runs:10,hits:18,doubles:3,triples:1,home_runs:3,runs_batted_in:14,stolen_bases:2,caught_stealing:0,walks:12,strikeouts:32,batting_avg:.189,onbase:.278,slugging:.337,ops:erc">.337,ops+:lugging">.615,bases:32,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:1
pos:3B,name:Wilmer Flores,age:21,games:27,plate_appearances:101,at_bats:95,runs:8,hits:20,doubles:5,triples:0,home_runs:1,runs_batted_in:13,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:23,batting_avg:.211,onbase:.248,slugging:.295,ops:erc">.295,ops+:lugging">.542,bases:28,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
