pos:C,name:Wilson Ramos,age:31,games:141,plate_appearances:524,at_bats:473,runs:52,hits:136,doubles:19,triples:0,home_runs:14,runs_batted_in:73,stolen_bases:1,caught_stealing:0,walks:44,strikeouts:69,batting_avg:.288,onbase:.351,slugging:.416,ops:erc">.416,ops+:lugging">.768,bases:197,double_plays:16,hit_by_pitch:4,sac_hits:0,sac_flies:3,intentional_walks:5
pos:1B,name:Pete Alonso,age:24,games:161,plate_appearances:693,at_bats:597,runs:103,hits:155,doubles:30,triples:2,home_runs:53,runs_batted_in:120,stolen_bases:1,caught_stealing:0,walks:72,strikeouts:183,batting_avg:.260,onbase:.358,slugging:.583,ops:erc">.583,ops+:lugging">.941,bases:348,double_plays:13,hit_by_pitch:21,sac_hits:0,sac_flies:3,intentional_walks:6
pos:2B,name:Robinson Cano,age:36,games:107,plate_appearances:423,at_bats:390,runs:46,hits:100,doubles:28,triples:0,home_runs:13,runs_batted_in:39,stolen_bases:0,caught_stealing:0,walks:25,strikeouts:69,batting_avg:.256,onbase:.307,slugging:.428,ops:erc">.428,ops+:lugging">.736,bases:167,double_plays:16,hit_by_pitch:5,sac_hits:0,sac_flies:3,intentional_walks:3
pos:SS,name:Amed Rosario,age:23,games:157,plate_appearances:655,at_bats:616,runs:75,hits:177,doubles:30,triples:7,home_runs:15,runs_batted_in:72,stolen_bases:19,caught_stealing:10,walks:31,strikeouts:124,batting_avg:.287,onbase:.323,slugging:.432,ops:erc">.432,ops+:lugging">.755,bases:266,double_plays:13,hit_by_pitch:3,sac_hits:2,sac_flies:3,intentional_walks:2
pos:3B,name:Todd Frazier,age:33,games:133,plate_appearances:499,at_bats:447,runs:63,hits:112,doubles:19,triples:2,home_runs:21,runs_batted_in:67,stolen_bases:1,caught_stealing:2,walks:40,strikeouts:106,batting_avg:.251,onbase:.329,slugging:.443,ops:erc">.443,ops+:lugging">.772,bases:198,double_plays:9,hit_by_pitch:12,sac_hits:0,sac_flies:0,intentional_walks:1
pos:LF,name:J.D. Davis,age:26,games:140,plate_appearances:453,at_bats:410,runs:65,hits:126,doubles:22,triples:1,home_runs:22,runs_batted_in:57,stolen_bases:3,caught_stealing:0,walks:38,strikeouts:97,batting_avg:.307,onbase:.369,slugging:.527,ops:erc">.527,ops+:lugging">.895,bases:216,double_plays:14,hit_by_pitch:3,sac_hits:0,sac_flies:2,intentional_walks:2
pos:CF,name:Juan Lagares,age:30,games:133,plate_appearances:285,at_bats:258,runs:38,hits:55,doubles:12,triples:1,home_runs:5,runs_batted_in:27,stolen_bases:4,caught_stealing:1,walks:22,strikeouts:75,batting_avg:.213,onbase:.279,slugging:.326,ops:erc">.326,ops+:lugging">.605,bases:84,double_plays:8,hit_by_pitch:2,sac_hits:2,sac_flies:1,intentional_walks:4
pos:RF,name:Michael Conforto,age:26,games:151,plate_appearances:648,at_bats:549,runs:90,hits:141,doubles:29,triples:1,home_runs:33,runs_batted_in:92,stolen_bases:7,caught_stealing:2,walks:84,strikeouts:149,batting_avg:.257,onbase:.363,slugging:.494,ops:erc">.494,ops+:lugging">.856,bases:271,double_plays:11,hit_by_pitch:10,sac_hits:0,sac_flies:5,intentional_walks:5
pos:UT,name:Jeff McNeil,age:27,games:133,plate_appearances:567,at_bats:510,runs:83,hits:162,doubles:38,triples:1,home_runs:23,runs_batted_in:75,stolen_bases:5,caught_stealing:6,walks:35,strikeouts:75,batting_avg:.318,onbase:.384,slugging:.531,ops:erc">.531,ops+:lugging">.916,bases:271,double_plays:5,hit_by_pitch:21,sac_hits:0,sac_flies:1,intentional_walks:2
pos:OF,name:Brandon Nimmo,age:26,games:69,plate_appearances:254,at_bats:199,runs:34,hits:44,doubles:11,triples:1,home_runs:8,runs_batted_in:29,stolen_bases:3,caught_stealing:0,walks:46,strikeouts:71,batting_avg:.221,onbase:.375,slugging:.407,ops:erc">.407,ops+:lugging">.783,bases:81,double_plays:1,hit_by_pitch:5,sac_hits:1,sac_flies:3,intentional_walks:2
pos:LF,name:Dominic Smith,age:24,games:89,plate_appearances:197,at_bats:177,runs:35,hits:50,doubles:10,triples:0,home_runs:11,runs_batted_in:25,stolen_bases:1,caught_stealing:2,walks:19,strikeouts:44,batting_avg:.282,onbase:.355,slugging:.525,ops:erc">.525,ops+:lugging">.881,bases:93,double_plays:5,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
