pos:C,name:Matt Nokes,age:27,games:135,plate_appearances:493,at_bats:456,runs:52,hits:122,doubles:20,triples:0,home_runs:24,runs_batted_in:77,stolen_bases:3,caught_stealing:2,walks:25,strikeouts:49,batting_avg:.268,onbase:.308,slugging:.469,ops:erc">.469,ops+:lugging">.778,bases:214,double_plays:6,hit_by_pitch:5,sac_hits:0,sac_flies:7,intentional_walks:5
pos:1B,name:Don Mattingly,age:30,games:152,plate_appearances:646,at_bats:587,runs:64,hits:169,doubles:35,triples:0,home_runs:9,runs_batted_in:68,stolen_bases:2,caught_stealing:0,walks:46,strikeouts:42,batting_avg:.288,onbase:.339,slugging:.394,ops:erc">.394,ops+:lugging">.733,bases:231,double_plays:21,hit_by_pitch:4,sac_hits:0,sac_flies:9,intentional_walks:11
pos:2B,name:Steve Sax,age:31,games:158,plate_appearances:707,at_bats:652,runs:85,hits:198,doubles:38,triples:2,home_runs:10,runs_batted_in:56,stolen_bases:31,caught_stealing:11,walks:41,strikeouts:38,batting_avg:.304,onbase:.345,slugging:.414,ops:erc">.414,ops+:lugging">.759,bases:270,double_plays:15,hit_by_pitch:3,sac_hits:5,sac_flies:6,intentional_walks:2
pos:SS,name:Alvaro Espinoza,age:29,games:148,plate_appearances:509,at_bats:480,runs:51,hits:123,doubles:23,triples:2,home_runs:5,runs_batted_in:33,stolen_bases:4,caught_stealing:1,walks:16,strikeouts:57,batting_avg:.256,onbase:.282,slugging:.344,ops:erc">.344,ops+:lugging">.626,bases:165,double_plays:10,hit_by_pitch:2,sac_hits:9,sac_flies:2,intentional_walks:0
pos:3B,name:Pat Kelly,age:23,games:96,plate_appearances:322,at_bats:298,runs:35,hits:72,doubles:12,triples:4,home_runs:3,runs_batted_in:23,stolen_bases:12,caught_stealing:1,walks:15,strikeouts:52,batting_avg:.242,onbase:.288,slugging:.339,ops:erc">.339,ops+:lugging">.626,bases:101,double_plays:5,hit_by_pitch:5,sac_hits:2,sac_flies:2,intentional_walks:0
pos:LF,name:Mel Hall,age:30,games:141,plate_appearances:527,at_bats:492,runs:67,hits:140,doubles:23,triples:2,home_runs:19,runs_batted_in:80,stolen_bases:0,caught_stealing:1,walks:26,strikeouts:40,batting_avg:.285,onbase:.321,slugging:.455,ops:erc">.455,ops+:lugging">.776,bases:224,double_plays:6,hit_by_pitch:3,sac_hits:0,sac_flies:6,intentional_walks:6
pos:CF,name:Bernie Williams,age:22,games:85,plate_appearances:374,at_bats:320,runs:43,hits:76,doubles:19,triples:4,home_runs:3,runs_batted_in:34,stolen_bases:10,caught_stealing:5,walks:48,strikeouts:57,batting_avg:.238,onbase:.336,slugging:.350,ops:erc">.350,ops+:lugging">.686,bases:112,double_plays:4,hit_by_pitch:1,sac_hits:2,sac_flies:3,intentional_walks:0
pos:RF,name:Jesse Barfield,age:31,games:84,plate_appearances:321,at_bats:284,runs:37,hits:64,doubles:12,triples:0,home_runs:17,runs_batted_in:48,stolen_bases:1,caught_stealing:0,walks:36,strikeouts:80,batting_avg:.225,onbase:.312,slugging:.447,ops:erc">.447,ops+:lugging">.759,bases:127,double_plays:11,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:6
pos:DH,name:Kevin Maas,age:26,games:148,plate_appearances:592,at_bats:500,runs:69,hits:110,doubles:14,triples:1,home_runs:23,runs_batted_in:63,stolen_bases:5,caught_stealing:1,walks:83,strikeouts:128,batting_avg:.220,onbase:.333,slugging:.390,ops:erc">.390,ops+:lugging">.723,bases:195,double_plays:4,hit_by_pitch:4,sac_hits:0,sac_flies:5,intentional_walks:3
pos:OF,name:Roberto Kelly,age:26,games:126,plate_appearances:543,at_bats:486,runs:68,hits:130,doubles:22,triples:2,home_runs:20,runs_batted_in:69,stolen_bases:32,caught_stealing:9,walks:45,strikeouts:77,batting_avg:.267,onbase:.333,slugging:.444,ops:erc">.444,ops+:lugging">.777,bases:216,double_plays:14,hit_by_pitch:5,sac_hits:2,sac_flies:5,intentional_walks:2
pos:LF,name:Hensley Meulens,age:24,games:96,plate_appearances:313,at_bats:288,runs:37,hits:64,doubles:8,triples:1,home_runs:6,runs_batted_in:29,stolen_bases:3,caught_stealing:0,walks:18,strikeouts:97,batting_avg:.222,onbase:.276,slugging:.319,ops:erc">.319,ops+:lugging">.595,bases:92,double_plays:7,hit_by_pitch:4,sac_hits:1,sac_flies:2,intentional_walks:1
