pos:C,name:Russell Martin,age:29,games:133,plate_appearances:485,at_bats:422,runs:50,hits:89,doubles:18,triples:0,home_runs:21,runs_batted_in:53,stolen_bases:6,caught_stealing:1,walks:53,strikeouts:95,batting_avg:.211,onbase:.311,slugging:.403,ops:erc">.403,ops+:lugging">.713,bases:170,double_plays:13,hit_by_pitch:8,sac_hits:2,sac_flies:0,intentional_walks:0
pos:1B,name:Mark Teixeira,age:32,games:123,plate_appearances:524,at_bats:451,runs:66,hits:113,doubles:27,triples:1,home_runs:24,runs_batted_in:84,stolen_bases:2,caught_stealing:1,walks:54,strikeouts:83,batting_avg:.251,onbase:.332,slugging:.475,ops:erc">.475,ops+:lugging">.807,bases:214,double_plays:11,hit_by_pitch:7,sac_hits:0,sac_flies:12,intentional_walks:1
pos:2B,name:Robinson Cano,age:29,games:161,plate_appearances:697,at_bats:627,runs:105,hits:196,doubles:48,triples:1,home_runs:33,runs_batted_in:94,stolen_bases:3,caught_stealing:2,walks:61,strikeouts:96,batting_avg:.313,onbase:.379,slugging:.550,ops:erc">.550,ops+:lugging">.929,bases:345,double_plays:22,hit_by_pitch:7,sac_hits:0,sac_flies:2,intentional_walks:10
pos:SS,name:Derek Jeter,age:38,games:159,plate_appearances:740,at_bats:683,runs:99,hits:216,doubles:32,triples:0,home_runs:15,runs_batted_in:58,stolen_bases:9,caught_stealing:4,walks:45,strikeouts:90,batting_avg:.316,onbase:.362,slugging:.429,ops:erc">.429,ops+:lugging">.791,bases:293,double_plays:24,hit_by_pitch:5,sac_hits:6,sac_flies:1,intentional_walks:1
pos:3B,name:Alex Rodriguez,age:36,games:122,plate_appearances:529,at_bats:463,runs:74,hits:126,doubles:17,triples:1,home_runs:18,runs_batted_in:57,stolen_bases:13,caught_stealing:1,walks:51,strikeouts:116,batting_avg:.272,onbase:.353,slugging:.430,ops:erc">.430,ops+:lugging">.783,bases:199,double_plays:13,hit_by_pitch:10,sac_hits:0,sac_flies:5,intentional_walks:3
pos:LF,name:Raul Ibanez,age:40,games:130,plate_appearances:425,at_bats:384,runs:50,hits:92,doubles:19,triples:3,home_runs:19,runs_batted_in:62,stolen_bases:3,caught_stealing:0,walks:35,strikeouts:67,batting_avg:.240,onbase:.308,slugging:.453,ops:erc">.453,ops+:lugging">.761,bases:174,double_plays:14,hit_by_pitch:4,sac_hits:0,sac_flies:2,intentional_walks:5
pos:CF,name:Curtis Granderson,age:31,games:160,plate_appearances:684,at_bats:596,runs:102,hits:138,doubles:18,triples:4,home_runs:43,runs_batted_in:106,stolen_bases:10,caught_stealing:3,walks:75,strikeouts:195,batting_avg:.232,onbase:.319,slugging:.492,ops:erc">.492,ops+:lugging">.811,bases:293,double_plays:5,hit_by_pitch:5,sac_hits:1,sac_flies:7,intentional_walks:4
pos:RF,name:Nick Swisher,age:31,games:148,plate_appearances:624,at_bats:537,runs:75,hits:146,doubles:36,triples:0,home_runs:24,runs_batted_in:93,stolen_bases:2,caught_stealing:3,walks:77,strikeouts:141,batting_avg:.272,onbase:.364,slugging:.473,ops:erc">.473,ops+:lugging">.837,bases:254,double_plays:9,hit_by_pitch:4,sac_hits:1,sac_flies:5,intentional_walks:2
pos:DH,name:Eric Chavez,age:34,games:113,plate_appearances:313,at_bats:278,runs:36,hits:78,doubles:12,triples:0,home_runs:16,runs_batted_in:37,stolen_bases:0,caught_stealing:0,walks:30,strikeouts:59,batting_avg:.281,onbase:.348,slugging:.496,ops:erc">.496,ops+:lugging">.845,bases:138,double_plays:10,hit_by_pitch:1,sac_hits:0,sac_flies:4,intentional_walks:3
pos:LF,name:Andruw Jones,age:35,games:94,plate_appearances:269,at_bats:233,runs:27,hits:46,doubles:7,triples:0,home_runs:14,runs_batted_in:34,stolen_bases:0,caught_stealing:0,walks:28,strikeouts:71,batting_avg:.197,onbase:.294,slugging:.408,ops:erc">.408,ops+:lugging">.701,bases:95,double_plays:2,hit_by_pitch:5,sac_hits:0,sac_flies:3,intentional_walks:1
pos:OF,name:Ichiro Suzuki,age:38,games:67,plate_appearances:240,at_bats:227,runs:28,hits:73,doubles:13,triples:1,home_runs:5,runs_batted_in:27,stolen_bases:14,caught_stealing:5,walks:5,strikeouts:21,batting_avg:.322,onbase:.340,slugging:.454,ops:erc">.454,ops+:lugging">.794,bases:103,double_plays:2,hit_by_pitch:2,sac_hits:5,sac_flies:1,intentional_walks:1
pos:UT,name:Jayson Nix,age:29,games:74,plate_appearances:202,at_bats:177,runs:24,hits:43,doubles:13,triples:0,home_runs:4,runs_batted_in:18,stolen_bases:6,caught_stealing:3,walks:14,strikeouts:53,batting_avg:.243,onbase:.306,slugging:.384,ops:erc">.384,ops+:lugging">.690,bases:68,double_plays:4,hit_by_pitch:2,sac_hits:9,sac_flies:0,intentional_walks:0
pos:C,name:Chris Stewart,age:30,games:55,plate_appearances:157,at_bats:141,runs:15,hits:34,doubles:8,triples:0,home_runs:1,runs_batted_in:13,stolen_bases:2,caught_stealing:0,walks:10,strikeouts:21,batting_avg:.241,onbase:.292,slugging:.319,ops:erc">.319,ops+:lugging">.611,bases:45,double_plays:1,hit_by_pitch:1,sac_hits:3,sac_flies:2,intentional_walks:0
pos:IF,name:Eduardo Nunez,age:25,games:38,plate_appearances:100,at_bats:89,runs:14,hits:26,doubles:4,triples:1,home_runs:1,runs_batted_in:11,stolen_bases:11,caught_stealing:2,walks:6,strikeouts:12,batting_avg:.292,onbase:.330,slugging:.393,ops:erc">.393,ops+:lugging">.723,bases:35,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:4,intentional_walks:0
pos:OF,name:Dewayne Wise,age:34,games:55,plate_appearances:63,at_bats:61,runs:11,hits:16,doubles:3,triples:1,home_runs:3,runs_batted_in:8,stolen_bases:7,caught_stealing:0,walks:2,strikeouts:12,batting_avg:.262,onbase:.286,slugging:.492,ops:erc">.492,ops+:lugging">.778,bases:30,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:CI,name:Casey McGehee,age:29,games:22,plate_appearances:59,at_bats:53,runs:9,hits:8,doubles:3,triples:0,home_runs:1,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:10,batting_avg:.151,onbase:.220,slugging:.264,ops:erc">.264,ops+:lugging">.484,bases:14,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:LF,name:Brett Gardner,age:28,games:16,plate_appearances:37,at_bats:31,runs:7,hits:10,doubles:2,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:2,caught_stealing:2,walks:5,strikeouts:7,batting_avg:.323,onbase:.417,slugging:.387,ops:erc">.387,ops+:lugging">.804,bases:12,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:1B,name:Steve Pearce,age:29,games:12,plate_appearances:30,at_bats:25,runs:6,hits:4,doubles:0,triples:0,home_runs:1,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:8,batting_avg:.160,onbase:.300,slugging:.280,ops:erc">.280,ops+:lugging">.580,bases:7,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Chris Dickerson,age:30,games:25,plate_appearances:17,at_bats:14,runs:5,hits:4,doubles:0,triples:0,home_runs:2,runs_batted_in:5,stolen_bases:3,caught_stealing:0,walks:3,strikeouts:5,batting_avg:.286,onbase:.412,slugging:.714,ops:erc">.714,ops+:lugging">1.126,bases:10,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:DH,name:Ramiro Pena,age:26,games:3,plate_appearances:4,at_bats:4,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.250,onbase:.250,slugging:.250,ops:erc">.250,ops+:lugging">.500,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Darnell McDonald,age:33,games:4,plate_appearances:4,at_bats:4,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:DH,name:Melky Mesa,age:25,games:3,plate_appearances:2,at_bats:2,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.500,onbase:.500,slugging:.500,ops:erc">.500,ops+:lugging">1.000,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Francisco Cervelli,age:26,games:3,plate_appearances:2,at_bats:1,runs:1,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:0,batting_avg:.000,onbase:.500,slugging:.000,ops:erc">.000,ops+:lugging">.500,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Ivan Nova,age:25,games:3,plate_appearances:9,at_bats:7,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:6,batting_avg:.143,onbase:.143,slugging:.143,ops:erc">.143,ops+:lugging">.286,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
