pos:C,name:Gary Sanchez,age:25,games:89,plate_appearances:374,at_bats:323,runs:51,hits:60,doubles:17,triples:0,home_runs:18,runs_batted_in:53,stolen_bases:1,caught_stealing:0,walks:46,strikeouts:94,batting_avg:.186,onbase:.291,slugging:.406,ops:erc">.406,ops+:lugging">.697,bases:131,double_plays:10,hit_by_pitch:3,sac_hits:0,sac_flies:2,intentional_walks:0
pos:1B,name:Greg Bird,age:25,games:82,plate_appearances:311,at_bats:272,runs:23,hits:54,doubles:16,triples:1,home_runs:11,runs_batted_in:38,stolen_bases:0,caught_stealing:0,walks:30,strikeouts:78,batting_avg:.199,onbase:.286,slugging:.386,ops:erc">.386,ops+:lugging">.672,bases:105,double_plays:4,hit_by_pitch:5,sac_hits:0,sac_flies:4,intentional_walks:1
pos:2B,name:Gleyber Torres,age:21,games:123,plate_appearances:484,at_bats:431,runs:54,hits:117,doubles:16,triples:1,home_runs:24,runs_batted_in:77,stolen_bases:6,caught_stealing:2,walks:42,strikeouts:122,batting_avg:.271,onbase:.340,slugging:.480,ops:erc">.480,ops+:lugging">.820,bases:207,double_plays:8,hit_by_pitch:5,sac_hits:1,sac_flies:5,intentional_walks:3
pos:SS,name:Didi Gregorius,age:28,games:134,plate_appearances:569,at_bats:504,runs:89,hits:135,doubles:23,triples:5,home_runs:27,runs_batted_in:86,stolen_bases:10,caught_stealing:6,walks:48,strikeouts:69,batting_avg:.268,onbase:.335,slugging:.494,ops:erc">.494,ops+:lugging">.829,bases:249,double_plays:8,hit_by_pitch:7,sac_hits:1,sac_flies:9,intentional_walks:3
pos:3B,name:Miguel Andujar,age:23,games:149,plate_appearances:606,at_bats:573,runs:83,hits:170,doubles:47,triples:2,home_runs:27,runs_batted_in:92,stolen_bases:2,caught_stealing:1,walks:25,strikeouts:97,batting_avg:.297,onbase:.328,slugging:.527,ops:erc">.527,ops+:lugging">.855,bases:302,double_plays:9,hit_by_pitch:4,sac_hits:0,sac_flies:4,intentional_walks:2
pos:LF,name:Brett Gardner,age:34,games:140,plate_appearances:609,at_bats:530,runs:95,hits:125,doubles:20,triples:7,home_runs:12,runs_batted_in:45,stolen_bases:16,caught_stealing:2,walks:65,strikeouts:107,batting_avg:.236,onbase:.322,slugging:.368,ops:erc">.368,ops+:lugging">.690,bases:195,double_plays:6,hit_by_pitch:5,sac_hits:4,sac_flies:5,intentional_walks:0
pos:CF,name:Aaron Hicks,age:28,games:137,plate_appearances:581,at_bats:480,runs:90,hits:119,doubles:18,triples:3,home_runs:27,runs_batted_in:79,stolen_bases:11,caught_stealing:2,walks:90,strikeouts:111,batting_avg:.248,onbase:.366,slugging:.467,ops:erc">.467,ops+:lugging">.833,bases:224,double_plays:1,hit_by_pitch:3,sac_hits:2,sac_flies:6,intentional_walks:1
pos:RF,name:Aaron Judge,age:26,games:112,plate_appearances:498,at_bats:413,runs:77,hits:115,doubles:22,triples:0,home_runs:27,runs_batted_in:67,stolen_bases:6,caught_stealing:3,walks:76,strikeouts:152,batting_avg:.278,onbase:.392,slugging:.528,ops:erc">.528,ops+:lugging">.919,bases:218,double_plays:10,hit_by_pitch:4,sac_hits:0,sac_flies:5,intentional_walks:3
pos:DH,name:Giancarlo Stanton,age:28,games:158,plate_appearances:705,at_bats:617,runs:102,hits:164,doubles:34,triples:1,home_runs:38,runs_batted_in:100,stolen_bases:5,caught_stealing:0,walks:70,strikeouts:211,batting_avg:.266,onbase:.343,slugging:.509,ops:erc">.509,ops+:lugging">.852,bases:314,double_plays:17,hit_by_pitch:8,sac_hits:0,sac_flies:10,intentional_walks:5
pos:IF,name:Neil Walker,age:32,games:113,plate_appearances:398,at_bats:347,runs:48,hits:76,doubles:12,triples:1,home_runs:11,runs_batted_in:46,stolen_bases:0,caught_stealing:0,walks:42,strikeouts:87,batting_avg:.219,onbase:.309,slugging:.354,ops:erc">.354,ops+:lugging">.664,bases:123,double_plays:3,hit_by_pitch:5,sac_hits:0,sac_flies:4,intentional_walks:3
pos:C,name:Austin Romine,age:29,games:77,plate_appearances:265,at_bats:242,runs:30,hits:59,doubles:12,triples:0,home_runs:10,runs_batted_in:42,stolen_bases:1,caught_stealing:0,walks:17,strikeouts:67,batting_avg:.244,onbase:.295,slugging:.417,ops:erc">.417,ops+:lugging">.713,bases:101,double_plays:10,hit_by_pitch:2,sac_hits:1,sac_flies:3,intentional_walks:0
