pos:C,name:Gene Tenace,age:28,games:158,plate_appearances:623,at_bats:498,runs:83,hits:127,doubles:17,triples:0,home_runs:29,runs_batted_in:87,stolen_bases:7,caught_stealing:4,walks:106,strikeouts:127,batting_avg:.255,onbase:.395,slugging:.464,ops:erc">.464,ops+:lugging">.859,bases:231,double_plays:8,hit_by_pitch:12,sac_hits:3,sac_flies:4,intentional_walks:2
pos:1B,name:Joe Rudi,age:28,games:126,plate_appearances:515,at_bats:468,runs:66,hits:130,doubles:26,triples:6,home_runs:21,runs_batted_in:75,stolen_bases:2,caught_stealing:1,walks:40,strikeouts:56,batting_avg:.278,onbase:.338,slugging:.494,ops:erc">.494,ops+:lugging">.831,bases:231,double_plays:11,hit_by_pitch:3,sac_hits:3,sac_flies:1,intentional_walks:12
pos:2B,name:Phil Garner,age:26,games:160,plate_appearances:548,at_bats:488,runs:46,hits:120,doubles:21,triples:5,home_runs:6,runs_batted_in:54,stolen_bases:4,caught_stealing:6,walks:30,strikeouts:65,batting_avg:.246,onbase:.295,slugging:.346,ops:erc">.346,ops+:lugging">.641,bases:169,double_plays:12,hit_by_pitch:5,sac_hits:21,sac_flies:3,intentional_walks:1
pos:SS,name:Bert Campaneris,age:33,games:137,plate_appearances:588,at_bats:509,runs:69,hits:135,doubles:15,triples:3,home_runs:4,runs_batted_in:46,stolen_bases:24,caught_stealing:12,walks:50,strikeouts:71,batting_avg:.265,onbase:.337,slugging:.330,ops:erc">.330,ops+:lugging">.667,bases:168,double_plays:9,hit_by_pitch:7,sac_hits:19,sac_flies:3,intentional_walks:2
pos:3B,name:Sal Bando,age:31,games:160,plate_appearances:658,at_bats:562,runs:64,hits:129,doubles:24,triples:1,home_runs:15,runs_batted_in:78,stolen_bases:7,caught_stealing:1,walks:87,strikeouts:80,batting_avg:.230,onbase:.337,slugging:.356,ops:erc">.356,ops+:lugging">.693,bases:200,double_plays:10,hit_by_pitch:5,sac_hits:2,sac_flies:2,intentional_walks:2
pos:LF,name:Claudell Washington,age:20,games:148,plate_appearances:635,at_bats:590,runs:86,hits:182,doubles:24,triples:7,home_runs:10,runs_batted_in:77,stolen_bases:40,caught_stealing:15,walks:32,strikeouts:80,batting_avg:.308,onbase:.345,slugging:.424,ops:erc">.424,ops+:lugging">.769,bases:250,double_plays:12,hit_by_pitch:5,sac_hits:1,sac_flies:7,intentional_walks:9
pos:CF,name:Bill North,age:27,games:140,plate_appearances:624,at_bats:524,runs:74,hits:143,doubles:17,triples:5,home_runs:1,runs_batted_in:43,stolen_bases:30,caught_stealing:12,walks:81,strikeouts:80,batting_avg:.273,onbase:.373,slugging:.330,ops:erc">.330,ops+:lugging">.703,bases:173,double_plays:8,hit_by_pitch:4,sac_hits:13,sac_flies:2,intentional_walks:3
pos:RF,name:Reggie Jackson,age:29,games:157,plate_appearances:669,at_bats:593,runs:91,hits:150,doubles:39,triples:3,home_runs:36,runs_batted_in:104,stolen_bases:17,caught_stealing:8,walks:67,strikeouts:133,batting_avg:.253,onbase:.329,slugging:.511,ops:erc">.511,ops+:lugging">.840,bases:303,double_plays:10,hit_by_pitch:3,sac_hits:0,sac_flies:6,intentional_walks:5
pos:DH,name:Billy Williams,age:37,games:155,plate_appearances:602,at_bats:520,runs:68,hits:127,doubles:20,triples:1,home_runs:23,runs_batted_in:81,stolen_bases:0,caught_stealing:0,walks:76,strikeouts:68,batting_avg:.244,onbase:.341,slugging:.419,ops:erc">.419,ops+:lugging">.760,bases:218,double_plays:9,hit_by_pitch:2,sac_hits:1,sac_flies:3,intentional_walks:7
pos:C,name:Ray Fosse,age:28,games:82,plate_appearances:147,at_bats:136,runs:14,hits:19,doubles:3,triples:2,home_runs:0,runs_batted_in:12,stolen_bases:0,caught_stealing:1,walks:8,strikeouts:19,batting_avg:.140,onbase:.192,slugging:.191,ops:erc">.191,ops+:lugging">.383,bases:26,double_plays:5,hit_by_pitch:1,sac_hits:1,sac_flies:1,intentional_walks:0
pos:1B,name:Jim Holt,age:31,games:102,plate_appearances:137,at_bats:123,runs:7,hits:27,doubles:3,triples:0,home_runs:2,runs_batted_in:16,stolen_bases:0,caught_stealing:0,walks:11,strikeouts:11,batting_avg:.220,onbase:.292,slugging:.293,ops:erc">.293,ops+:lugging">.585,bases:36,double_plays:5,hit_by_pitch:2,sac_hits:0,sac_flies:1,intentional_walks:2
pos:OF,name:Angel Mangual,age:28,games:62,plate_appearances:112,at_bats:109,runs:13,hits:24,doubles:3,triples:0,home_runs:1,runs_batted_in:6,stolen_bases:0,caught_stealing:1,walks:3,strikeouts:18,batting_avg:.220,onbase:.241,slugging:.275,ops:erc">.275,ops+:lugging">.516,bases:30,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:SS,name:Ted Martinez,age:27,games:86,plate_appearances:97,at_bats:87,runs:7,hits:15,doubles:0,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:1,caught_stealing:1,walks:2,strikeouts:9,batting_avg:.172,onbase:.200,slugging:.172,ops:erc">.172,ops+:lugging">.372,bases:15,double_plays:0,hit_by_pitch:1,sac_hits:7,sac_flies:0,intentional_walks:0
pos:UT,name:Tommy Harper,age:34,games:34,plate_appearances:75,at_bats:69,runs:11,hits:22,doubles:4,triples:0,home_runs:2,runs_batted_in:7,stolen_bases:7,caught_stealing:0,walks:5,strikeouts:9,batting_avg:.319,onbase:.373,slugging:.464,ops:erc">.464,ops+:lugging">.837,bases:32,double_plays:3,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:IF,name:Ted Kubiak,age:33,games:20,plate_appearances:33,at_bats:28,runs:2,hits:7,doubles:1,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:2,batting_avg:.250,onbase:.300,slugging:.286,ops:erc">.286,ops+:lugging">.586,bases:8,double_plays:1,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
