pos:C,name:Mike Heath,age:26,games:84,plate_appearances:321,at_bats:301,runs:26,hits:71,doubles:7,triples:1,home_runs:8,runs_batted_in:30,stolen_bases:3,caught_stealing:3,walks:13,strikeouts:36,batting_avg:.236,onbase:.269,slugging:.346,ops:erc">.346,ops+:lugging">.615,bases:104,double_plays:9,hit_by_pitch:1,sac_hits:5,sac_flies:1,intentional_walks:1
pos:1B,name:Jim Spencer,age:33,games:54,plate_appearances:183,at_bats:171,runs:14,hits:35,doubles:6,triples:0,home_runs:2,runs_batted_in:9,stolen_bases:1,caught_stealing:0,walks:10,strikeouts:20,batting_avg:.205,onbase:.246,slugging:.275,ops:erc">.275,ops+:lugging">.521,bases:47,double_plays:5,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:1
pos:2B,name:Shooty Babitt,age:22,games:54,plate_appearances:171,at_bats:156,runs:10,hits:40,doubles:1,triples:3,home_runs:0,runs_batted_in:14,stolen_bases:5,caught_stealing:4,walks:13,strikeouts:13,batting_avg:.256,onbase:.314,slugging:.301,ops:erc">.301,ops+:lugging">.615,bases:47,double_plays:6,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:1
pos:SS,name:Rob Picciolo,age:28,games:82,plate_appearances:195,at_bats:179,runs:23,hits:48,doubles:5,triples:3,home_runs:4,runs_batted_in:13,stolen_bases:0,caught_stealing:1,walks:5,strikeouts:22,batting_avg:.268,onbase:.290,slugging:.397,ops:erc">.397,ops+:lugging">.687,bases:71,double_plays:6,hit_by_pitch:1,sac_hits:9,sac_flies:1,intentional_walks:0
pos:3B,name:Wayne Gross,age:29,games:82,plate_appearances:287,at_bats:243,runs:29,hits:50,doubles:7,triples:1,home_runs:10,runs_batted_in:31,stolen_bases:2,caught_stealing:1,walks:34,strikeouts:28,batting_avg:.206,onbase:.304,slugging:.366,ops:erc">.366,ops+:lugging">.670,bases:89,double_plays:7,hit_by_pitch:2,sac_hits:4,sac_flies:4,intentional_walks:0
pos:LF,name:Rickey Henderson,age:22,games:108,plate_appearances:493,at_bats:423,runs:89,hits:135,doubles:18,triples:7,home_runs:6,runs_batted_in:35,stolen_bases:56,caught_stealing:22,walks:64,strikeouts:68,batting_avg:.319,onbase:.408,slugging:.437,ops:erc">.437,ops+:lugging">.845,bases:185,double_plays:7,hit_by_pitch:2,sac_hits:0,sac_flies:4,intentional_walks:4
pos:CF,name:Dwayne Murphy,age:26,games:107,plate_appearances:477,at_bats:390,runs:58,hits:98,doubles:10,triples:3,home_runs:15,runs_batted_in:60,stolen_bases:10,caught_stealing:4,walks:73,strikeouts:91,batting_avg:.251,onbase:.369,slugging:.408,ops:erc">.408,ops+:lugging">.777,bases:159,double_plays:6,hit_by_pitch:2,sac_hits:8,sac_flies:4,intentional_walks:6
pos:RF,name:Tony Armas,age:27,games:109,plate_appearances:462,at_bats:440,runs:51,hits:115,doubles:24,triples:3,home_runs:22,runs_batted_in:76,stolen_bases:5,caught_stealing:1,walks:19,strikeouts:115,batting_avg:.261,onbase:.294,slugging:.480,ops:erc">.480,ops+:lugging">.774,bases:211,double_plays:6,hit_by_pitch:2,sac_hits:0,sac_flies:1,intentional_walks:6
pos:DH,name:Cliff Johnson,age:33,games:84,plate_appearances:310,at_bats:273,runs:40,hits:71,doubles:8,triples:0,home_runs:17,runs_batted_in:59,stolen_bases:5,caught_stealing:3,walks:28,strikeouts:60,batting_avg:.260,onbase:.329,slugging:.476,ops:erc">.476,ops+:lugging">.805,bases:130,double_plays:3,hit_by_pitch:3,sac_hits:0,sac_flies:6,intentional_walks:2
pos:IF,name:Dave McKay,age:31,games:79,plate_appearances:249,at_bats:224,runs:25,hits:59,doubles:11,triples:1,home_runs:4,runs_batted_in:21,stolen_bases:4,caught_stealing:1,walks:16,strikeouts:43,batting_avg:.263,onbase:.313,slugging:.375,ops:erc">.375,ops+:lugging">.688,bases:84,double_plays:4,hit_by_pitch:2,sac_hits:3,sac_flies:4,intentional_walks:0
pos:UT,name:Jeff Newman,age:32,games:68,plate_appearances:229,at_bats:216,runs:17,hits:50,doubles:12,triples:0,home_runs:3,runs_batted_in:15,stolen_bases:0,caught_stealing:2,walks:9,strikeouts:28,batting_avg:.231,onbase:.260,slugging:.329,ops:erc">.329,ops+:lugging">.589,bases:71,double_plays:7,hit_by_pitch:0,sac_hits:2,sac_flies:2,intentional_walks:1
pos:SS,name:Fred Stanley,age:33,games:66,plate_appearances:168,at_bats:145,runs:15,hits:28,doubles:4,triples:0,home_runs:0,runs_batted_in:7,stolen_bases:2,caught_stealing:0,walks:15,strikeouts:23,batting_avg:.193,onbase:.269,slugging:.221,ops:erc">.221,ops+:lugging">.489,bases:32,double_plays:0,hit_by_pitch:0,sac_hits:8,sac_flies:0,intentional_walks:0
