pos:C,name:Damian Miller,age:34,games:110,plate_appearances:442,at_bats:397,runs:39,hits:108,doubles:25,triples:0,home_runs:9,runs_batted_in:58,stolen_bases:0,caught_stealing:1,walks:39,strikeouts:87,batting_avg:.272,onbase:.339,slugging:.403,ops:erc">.403,ops+:lugging">.742,bases:160,double_plays:19,hit_by_pitch:2,sac_hits:2,sac_flies:2,intentional_walks:0
pos:1B,name:Scott Hatteberg,age:34,games:152,plate_appearances:638,at_bats:550,runs:87,hits:156,doubles:30,triples:0,home_runs:15,runs_batted_in:82,stolen_bases:0,caught_stealing:0,walks:72,strikeouts:48,batting_avg:.284,onbase:.367,slugging:.420,ops:erc">.420,ops+:lugging">.787,bases:231,double_plays:10,hit_by_pitch:5,sac_hits:3,sac_flies:8,intentional_walks:5
pos:2B,name:Marco Scutaro,age:28,games:137,plate_appearances:477,at_bats:455,runs:50,hits:124,doubles:32,triples:1,home_runs:7,runs_batted_in:43,stolen_bases:0,caught_stealing:0,walks:16,strikeouts:58,batting_avg:.273,onbase:.297,slugging:.393,ops:erc">.393,ops+:lugging">.690,bases:179,double_plays:9,hit_by_pitch:0,sac_hits:5,sac_flies:1,intentional_walks:1
pos:SS,name:Bobby Crosby,age:24,games:151,plate_appearances:623,at_bats:545,runs:70,hits:130,doubles:34,triples:1,home_runs:22,runs_batted_in:64,stolen_bases:7,caught_stealing:3,walks:58,strikeouts:141,batting_avg:.239,onbase:.319,slugging:.426,ops:erc">.426,ops+:lugging">.744,bases:232,double_plays:20,hit_by_pitch:9,sac_hits:5,sac_flies:6,intentional_walks:0
pos:3B,name:Eric Chavez,age:26,games:125,plate_appearances:577,at_bats:475,runs:87,hits:131,doubles:20,triples:0,home_runs:29,runs_batted_in:77,stolen_bases:6,caught_stealing:3,walks:95,strikeouts:99,batting_avg:.276,onbase:.397,slugging:.501,ops:erc">.501,ops+:lugging">.898,bases:238,double_plays:21,hit_by_pitch:3,sac_hits:0,sac_flies:4,intentional_walks:10
pos:LF,name:Eric Byrnes,age:28,games:143,plate_appearances:632,at_bats:569,runs:91,hits:161,doubles:39,triples:3,home_runs:20,runs_batted_in:73,stolen_bases:17,caught_stealing:1,walks:46,strikeouts:111,batting_avg:.283,onbase:.347,slugging:.467,ops:erc">.467,ops+:lugging">.814,bases:266,double_plays:11,hit_by_pitch:12,sac_hits:0,sac_flies:5,intentional_walks:0
pos:CF,name:Mark Kotsay,age:28,games:148,plate_appearances:673,at_bats:606,runs:78,hits:190,doubles:37,triples:3,home_runs:15,runs_batted_in:63,stolen_bases:8,caught_stealing:5,walks:55,strikeouts:70,batting_avg:.314,onbase:.370,slugging:.459,ops:erc">.459,ops+:lugging">.829,bases:278,double_plays:6,hit_by_pitch:2,sac_hits:5,sac_flies:5,intentional_walks:5
pos:RF,name:Jermaine Dye,age:30,games:137,plate_appearances:590,at_bats:532,runs:87,hits:141,doubles:29,triples:4,home_runs:23,runs_batted_in:80,stolen_bases:4,caught_stealing:2,walks:49,strikeouts:128,batting_avg:.265,onbase:.329,slugging:.464,ops:erc">.464,ops+:lugging">.793,bases:247,double_plays:16,hit_by_pitch:4,sac_hits:0,sac_flies:5,intentional_walks:4
pos:DH,name:Erubiel Durazo,age:30,games:142,plate_appearances:578,at_bats:511,runs:80,hits:164,doubles:35,triples:1,home_runs:22,runs_batted_in:88,stolen_bases:3,caught_stealing:2,walks:56,strikeouts:104,batting_avg:.321,onbase:.396,slugging:.523,ops:erc">.523,ops+:lugging">.919,bases:267,double_plays:7,hit_by_pitch:9,sac_hits:0,sac_flies:2,intentional_walks:9
pos:IF,name:Mark McLemore,age:39,games:77,plate_appearances:295,at_bats:250,runs:29,hits:62,doubles:14,triples:0,home_runs:2,runs_batted_in:21,stolen_bases:0,caught_stealing:2,walks:41,strikeouts:33,batting_avg:.248,onbase:.355,slugging:.328,ops:erc">.328,ops+:lugging">.683,bases:82,double_plays:4,hit_by_pitch:1,sac_hits:2,sac_flies:1,intentional_walks:3
pos:LF,name:Bobby Kielty,age:27,games:83,plate_appearances:278,at_bats:238,runs:29,hits:51,doubles:14,triples:1,home_runs:7,runs_batted_in:31,stolen_bases:1,caught_stealing:0,walks:35,strikeouts:47,batting_avg:.214,onbase:.321,slugging:.370,ops:erc">.370,ops+:lugging">.691,bases:88,double_plays:5,hit_by_pitch:3,sac_hits:1,sac_flies:1,intentional_walks:0
