pos:C,name:Derek Norris,age:25,games:127,plate_appearances:442,at_bats:385,runs:46,hits:104,doubles:19,triples:1,home_runs:10,runs_batted_in:55,stolen_bases:2,caught_stealing:2,walks:54,strikeouts:86,batting_avg:.270,onbase:.361,slugging:.403,ops:erc">.403,ops+:lugging">.763,bases:155,double_plays:12,hit_by_pitch:1,sac_hits:1,sac_flies:1,intentional_walks:2
pos:1B,name:Brandon Moss,age:30,games:147,plate_appearances:580,at_bats:500,runs:70,hits:117,doubles:23,triples:2,home_runs:25,runs_batted_in:81,stolen_bases:1,caught_stealing:0,walks:67,strikeouts:153,batting_avg:.234,onbase:.334,slugging:.438,ops:erc">.438,ops+:lugging">.772,bases:219,double_plays:6,hit_by_pitch:10,sac_hits:0,sac_flies:3,intentional_walks:7
pos:2B,name:Eric Sogard,age:28,games:117,plate_appearances:329,at_bats:291,runs:38,hits:65,doubles:10,triples:0,home_runs:1,runs_batted_in:22,stolen_bases:11,caught_stealing:4,walks:31,strikeouts:37,batting_avg:.223,onbase:.298,slugging:.268,ops:erc">.268,ops+:lugging">.567,bases:78,double_plays:6,hit_by_pitch:1,sac_hits:4,sac_flies:2,intentional_walks:0
pos:SS,name:Jed Lowrie,age:30,games:136,plate_appearances:566,at_bats:502,runs:59,hits:125,doubles:29,triples:3,home_runs:6,runs_batted_in:50,stolen_bases:0,caught_stealing:0,walks:51,strikeouts:79,batting_avg:.249,onbase:.321,slugging:.355,ops:erc">.355,ops+:lugging">.676,bases:178,double_plays:14,hit_by_pitch:5,sac_hits:2,sac_flies:6,intentional_walks:5
pos:3B,name:Josh Donaldson,age:28,games:158,plate_appearances:695,at_bats:608,runs:93,hits:155,doubles:31,triples:2,home_runs:29,runs_batted_in:98,stolen_bases:8,caught_stealing:0,walks:76,strikeouts:130,batting_avg:.255,onbase:.342,slugging:.456,ops:erc">.456,ops+:lugging">.798,bases:277,double_plays:16,hit_by_pitch:7,sac_hits:0,sac_flies:4,intentional_walks:5
pos:LF,name:Yoenis Cespedes,age:28,games:101,plate_appearances:432,at_bats:399,runs:62,hits:102,doubles:26,triples:3,home_runs:17,runs_batted_in:67,stolen_bases:3,caught_stealing:2,walks:28,strikeouts:80,batting_avg:.256,onbase:.303,slugging:.464,ops:erc">.464,ops+:lugging">.767,bases:185,double_plays:8,hit_by_pitch:1,sac_hits:0,sac_flies:4,intentional_walks:3
pos:CF,name:Coco Crisp,age:34,games:126,plate_appearances:536,at_bats:463,runs:68,hits:114,doubles:21,triples:3,home_runs:9,runs_batted_in:47,stolen_bases:19,caught_stealing:5,walks:66,strikeouts:66,batting_avg:.246,onbase:.336,slugging:.363,ops:erc">.363,ops+:lugging">.699,bases:168,double_plays:3,hit_by_pitch:0,sac_hits:1,sac_flies:6,intentional_walks:2
pos:RF,name:Josh Reddick,age:27,games:109,plate_appearances:396,at_bats:363,runs:53,hits:96,doubles:16,triples:7,home_runs:12,runs_batted_in:54,stolen_bases:1,caught_stealing:1,walks:28,strikeouts:63,batting_avg:.264,onbase:.316,slugging:.446,ops:erc">.446,ops+:lugging">.763,bases:162,double_plays:3,hit_by_pitch:1,sac_hits:0,sac_flies:3,intentional_walks:0
pos:DH,name:Alberto Callaspo,age:31,games:127,plate_appearances:451,at_bats:404,runs:37,hits:90,doubles:15,triples:0,home_runs:4,runs_batted_in:39,stolen_bases:0,caught_stealing:1,walks:40,strikeouts:50,batting_avg:.223,onbase:.290,slugging:.290,ops:erc">.290,ops+:lugging">.580,bases:117,double_plays:18,hit_by_pitch:1,sac_hits:0,sac_flies:6,intentional_walks:1
pos:C,name:John Jaso,age:30,games:99,plate_appearances:344,at_bats:307,runs:42,hits:81,doubles:18,triples:3,home_runs:9,runs_batted_in:40,stolen_bases:2,caught_stealing:0,walks:28,strikeouts:60,batting_avg:.264,onbase:.337,slugging:.430,ops:erc">.430,ops+:lugging">.767,bases:132,double_plays:5,hit_by_pitch:7,sac_hits:0,sac_flies:2,intentional_walks:1
pos:1B,name:Stephen Vogt,age:29,games:84,plate_appearances:287,at_bats:269,runs:26,hits:75,doubles:10,triples:2,home_runs:9,runs_batted_in:35,stolen_bases:1,caught_stealing:0,walks:16,strikeouts:39,batting_avg:.279,onbase:.321,slugging:.431,ops:erc">.431,ops+:lugging">.752,bases:116,double_plays:2,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:2
