pos:C,name:Josh Phegley,age:31,games:106,plate_appearances:342,at_bats:314,runs:44,hits:75,doubles:18,triples:0,home_runs:12,runs_batted_in:62,stolen_bases:0,caught_stealing:1,walks:15,strikeouts:63,batting_avg:.239,onbase:.282,slugging:.411,ops:erc">.411,ops+:lugging">.693,bases:129,double_plays:11,hit_by_pitch:6,sac_hits:2,sac_flies:5,intentional_walks:0
pos:1B,name:Matt Olson,age:25,games:127,plate_appearances:547,at_bats:483,runs:73,hits:129,doubles:26,triples:0,home_runs:36,runs_batted_in:91,stolen_bases:0,caught_stealing:0,walks:51,strikeouts:138,batting_avg:.267,onbase:.351,slugging:.545,ops:erc">.545,ops+:lugging">.896,bases:263,double_plays:11,hit_by_pitch:12,sac_hits:0,sac_flies:1,intentional_walks:7
pos:2B,name:Jurickson Profar,age:26,games:139,plate_appearances:518,at_bats:459,runs:65,hits:100,doubles:24,triples:2,home_runs:20,runs_batted_in:67,stolen_bases:9,caught_stealing:1,walks:48,strikeouts:75,batting_avg:.218,onbase:.301,slugging:.410,ops:erc">.410,ops+:lugging">.711,bases:188,double_plays:12,hit_by_pitch:8,sac_hits:0,sac_flies:3,intentional_walks:2
pos:SS,name:Marcus Semien,age:28,games:162,plate_appearances:747,at_bats:657,runs:123,hits:187,doubles:43,triples:7,home_runs:33,runs_batted_in:92,stolen_bases:10,caught_stealing:8,walks:87,strikeouts:102,batting_avg:.285,onbase:.369,slugging:.522,ops:erc">.522,ops+:lugging">.892,bases:343,double_plays:11,hit_by_pitch:2,sac_hits:0,sac_flies:1,intentional_walks:2
pos:3B,name:Matt Chapman,age:26,games:156,plate_appearances:670,at_bats:583,runs:102,hits:145,doubles:36,triples:3,home_runs:36,runs_batted_in:91,stolen_bases:1,caught_stealing:1,walks:73,strikeouts:147,batting_avg:.249,onbase:.342,slugging:.506,ops:erc">.506,ops+:lugging">.848,bases:295,double_plays:12,hit_by_pitch:11,sac_hits:0,sac_flies:3,intentional_walks:0
pos:LF,name:Robbie Grossman,age:29,games:138,plate_appearances:482,at_bats:420,runs:57,hits:101,doubles:21,triples:3,home_runs:6,runs_batted_in:38,stolen_bases:9,caught_stealing:4,walks:59,strikeouts:86,batting_avg:.240,onbase:.334,slugging:.348,ops:erc">.348,ops+:lugging">.682,bases:146,double_plays:7,hit_by_pitch:1,sac_hits:0,sac_flies:2,intentional_walks:2
pos:CF,name:Ramon Laureano,age:24,games:123,plate_appearances:481,at_bats:434,runs:79,hits:125,doubles:29,triples:0,home_runs:24,runs_batted_in:67,stolen_bases:13,caught_stealing:2,walks:27,strikeouts:123,batting_avg:.288,onbase:.340,slugging:.521,ops:erc">.521,ops+:lugging">.860,bases:226,double_plays:7,hit_by_pitch:11,sac_hits:1,sac_flies:8,intentional_walks:0
pos:RF,name:Stephen Piscotty,age:28,games:93,plate_appearances:393,at_bats:357,runs:46,hits:89,doubles:17,triples:1,home_runs:13,runs_batted_in:44,stolen_bases:2,caught_stealing:0,walks:29,strikeouts:84,batting_avg:.249,onbase:.309,slugging:.412,ops:erc">.412,ops+:lugging">.720,bases:147,double_plays:13,hit_by_pitch:3,sac_hits:1,sac_flies:3,intentional_walks:0
pos:DH,name:Khris Davis,age:31,games:133,plate_appearances:533,at_bats:481,runs:61,hits:106,doubles:11,triples:0,home_runs:23,runs_batted_in:73,stolen_bases:0,caught_stealing:0,walks:47,strikeouts:146,batting_avg:.220,onbase:.293,slugging:.387,ops:erc">.387,ops+:lugging">.679,bases:186,double_plays:11,hit_by_pitch:3,sac_hits:0,sac_flies:2,intentional_walks:3
pos:OF,name:Mark Canha,age:30,games:126,plate_appearances:497,at_bats:410,runs:80,hits:112,doubles:16,triples:3,home_runs:26,runs_batted_in:58,stolen_bases:3,caught_stealing:2,walks:67,strikeouts:107,batting_avg:.273,onbase:.396,slugging:.517,ops:erc">.517,ops+:lugging">.913,bases:212,double_plays:10,hit_by_pitch:18,sac_hits:0,sac_flies:2,intentional_walks:1
pos:OF,name:Chad Pinder,age:27,games:124,plate_appearances:370,at_bats:341,runs:45,hits:82,doubles:21,triples:0,home_runs:13,runs_batted_in:47,stolen_bases:0,caught_stealing:1,walks:20,strikeouts:88,batting_avg:.240,onbase:.290,slugging:.416,ops:erc">.416,ops+:lugging">.706,bases:142,double_plays:11,hit_by_pitch:5,sac_hits:1,sac_flies:3,intentional_walks:0
