pos:C,name:Bob Boone,age:29,games:132,plate_appearances:495,at_bats:440,runs:55,hits:125,doubles:26,triples:4,home_runs:11,runs_batted_in:66,stolen_bases:5,caught_stealing:5,walks:42,strikeouts:54,batting_avg:.284,onbase:.343,slugging:.436,ops:erc">.436,ops+:lugging">.780,bases:192,double_plays:8,hit_by_pitch:2,sac_hits:3,sac_flies:8,intentional_walks:5
pos:1B,name:Richie Hebner,age:29,games:118,plate_appearances:466,at_bats:397,runs:67,hits:113,doubles:17,triples:4,home_runs:18,runs_batted_in:62,stolen_bases:7,caught_stealing:8,walks:61,strikeouts:46,batting_avg:.285,onbase:.381,slugging:.484,ops:erc">.484,ops+:lugging">.864,bases:192,double_plays:7,hit_by_pitch:3,sac_hits:1,sac_flies:4,intentional_walks:8
pos:2B,name:Ted Sizemore,age:32,games:152,plate_appearances:581,at_bats:519,runs:64,hits:146,doubles:20,triples:3,home_runs:4,runs_batted_in:47,stolen_bases:8,caught_stealing:11,walks:52,strikeouts:40,batting_avg:.281,onbase:.345,slugging:.355,ops:erc">.355,ops+:lugging">.700,bases:184,double_plays:25,hit_by_pitch:1,sac_hits:5,sac_flies:4,intentional_walks:21
pos:SS,name:Larry Bowa,age:31,games:154,plate_appearances:675,at_bats:624,runs:93,hits:175,doubles:19,triples:3,home_runs:4,runs_batted_in:41,stolen_bases:32,caught_stealing:3,walks:32,strikeouts:32,batting_avg:.280,onbase:.313,slugging:.340,ops:erc">.340,ops+:lugging">.652,bases:212,double_plays:11,hit_by_pitch:0,sac_hits:13,sac_flies:6,intentional_walks:2
pos:3B,name:Mike Schmidt,age:27,games:154,plate_appearances:667,at_bats:544,runs:114,hits:149,doubles:27,triples:11,home_runs:38,runs_batted_in:101,stolen_bases:15,caught_stealing:8,walks:104,strikeouts:122,batting_avg:.274,onbase:.393,slugging:.574,ops:erc">.574,ops+:lugging">.967,bases:312,double_plays:10,hit_by_pitch:9,sac_hits:1,sac_flies:9,intentional_walks:4
pos:LF,name:Greg Luzinski,age:26,games:149,plate_appearances:645,at_bats:554,runs:99,hits:171,doubles:35,triples:3,home_runs:39,runs_batted_in:130,stolen_bases:3,caught_stealing:2,walks:80,strikeouts:140,batting_avg:.309,onbase:.394,slugging:.594,ops:erc">.594,ops+:lugging">.988,bases:329,double_plays:11,hit_by_pitch:3,sac_hits:0,sac_flies:8,intentional_walks:14
pos:CF,name:Garry Maddox,age:27,games:139,plate_appearances:604,at_bats:571,runs:85,hits:167,doubles:27,triples:10,home_runs:14,runs_batted_in:74,stolen_bases:22,caught_stealing:6,walks:24,strikeouts:58,batting_avg:.292,onbase:.323,slugging:.448,ops:erc">.448,ops+:lugging">.772,bases:256,double_plays:5,hit_by_pitch:4,sac_hits:0,sac_flies:4,intentional_walks:8
pos:RF,name:Jay Johnstone,age:31,games:112,plate_appearances:411,at_bats:363,runs:64,hits:103,doubles:18,triples:4,home_runs:15,runs_batted_in:59,stolen_bases:3,caught_stealing:7,walks:38,strikeouts:38,batting_avg:.284,onbase:.349,slugging:.479,ops:erc">.479,ops+:lugging">.828,bases:174,double_plays:9,hit_by_pitch:2,sac_hits:1,sac_flies:7,intentional_walks:3
pos:OF,name:Bake McBride,age:28,games:85,plate_appearances:314,at_bats:280,runs:55,hits:95,doubles:20,triples:5,home_runs:11,runs_batted_in:41,stolen_bases:27,caught_stealing:4,walks:25,strikeouts:25,batting_avg:.339,onbase:.392,slugging:.564,ops:erc">.564,ops+:lugging">.956,bases:158,double_plays:4,hit_by_pitch:3,sac_hits:0,sac_flies:6,intentional_walks:2
pos:RF,name:Jerry Martin,age:28,games:116,plate_appearances:238,at_bats:215,runs:34,hits:56,doubles:16,triples:3,home_runs:6,runs_batted_in:28,stolen_bases:6,caught_stealing:4,walks:18,strikeouts:42,batting_avg:.260,onbase:.328,slugging:.447,ops:erc">.447,ops+:lugging">.774,bases:96,double_plays:3,hit_by_pitch:4,sac_hits:0,sac_flies:1,intentional_walks:2
pos:C,name:Tim McCarver,age:35,games:93,plate_appearances:205,at_bats:169,runs:28,hits:54,doubles:13,triples:2,home_runs:6,runs_batted_in:30,stolen_bases:3,caught_stealing:5,walks:28,strikeouts:11,batting_avg:.320,onbase:.410,slugging:.527,ops:erc">.527,ops+:lugging">.936,bases:89,double_plays:4,hit_by_pitch:2,sac_hits:0,sac_flies:6,intentional_walks:1
