pos:C,name:Darren Daulton,age:27,games:131,plate_appearances:425,at_bats:368,runs:29,hits:74,doubles:12,triples:2,home_runs:8,runs_batted_in:44,stolen_bases:2,caught_stealing:1,walks:52,strikeouts:58,batting_avg:.201,onbase:.303,slugging:.310,ops:erc">.310,ops+:lugging">.612,bases:114,double_plays:4,hit_by_pitch:2,sac_hits:1,sac_flies:1,intentional_walks:8
pos:1B,name:Ricky Jordan,age:24,games:144,plate_appearances:559,at_bats:523,runs:63,hits:149,doubles:22,triples:3,home_runs:12,runs_batted_in:75,stolen_bases:4,caught_stealing:3,walks:23,strikeouts:62,batting_avg:.285,onbase:.317,slugging:.407,ops:erc">.407,ops+:lugging">.724,bases:213,double_plays:19,hit_by_pitch:5,sac_hits:0,sac_flies:8,intentional_walks:5
pos:2B,name:Tom Herr,age:33,games:151,plate_appearances:627,at_bats:561,runs:65,hits:161,doubles:25,triples:6,home_runs:2,runs_batted_in:37,stolen_bases:10,caught_stealing:7,walks:54,strikeouts:63,batting_avg:.287,onbase:.352,slugging:.364,ops:erc">.364,ops+:lugging">.715,bases:204,double_plays:9,hit_by_pitch:3,sac_hits:6,sac_flies:2,intentional_walks:2
pos:SS,name:Dickie Thon,age:31,games:136,plate_appearances:472,at_bats:435,runs:45,hits:118,doubles:18,triples:4,home_runs:15,runs_batted_in:60,stolen_bases:6,caught_stealing:3,walks:33,strikeouts:81,batting_avg:.271,onbase:.321,slugging:.434,ops:erc">.434,ops+:lugging">.755,bases:189,double_plays:6,hit_by_pitch:0,sac_hits:1,sac_flies:3,intentional_walks:6
pos:3B,name:Charlie Hayes,age:24,games:84,plate_appearances:315,at_bats:299,runs:26,hits:77,doubles:15,triples:1,home_runs:8,runs_batted_in:43,stolen_bases:3,caught_stealing:1,walks:11,strikeouts:49,batting_avg:.258,onbase:.281,slugging:.395,ops:erc">.395,ops+:lugging">.676,bases:118,double_plays:6,hit_by_pitch:0,sac_hits:2,sac_flies:3,intentional_walks:1
pos:LF,name:John Kruk,age:28,games:81,plate_appearances:312,at_bats:281,runs:46,hits:93,doubles:13,triples:6,home_runs:5,runs_batted_in:38,stolen_bases:3,caught_stealing:0,walks:27,strikeouts:39,batting_avg:.331,onbase:.386,slugging:.473,ops:erc">.473,ops+:lugging">.859,bases:133,double_plays:5,hit_by_pitch:0,sac_hits:1,sac_flies:3,intentional_walks:2
pos:CF,name:Lenny Dykstra,age:26,games:90,plate_appearances:392,at_bats:352,runs:39,hits:78,doubles:20,triples:3,home_runs:4,runs_batted_in:19,stolen_bases:17,caught_stealing:11,walks:37,strikeouts:38,batting_avg:.222,onbase:.297,slugging:.330,ops:erc">.330,ops+:lugging">.626,bases:116,double_plays:5,hit_by_pitch:1,sac_hits:1,sac_flies:1,intentional_walks:1
pos:RF,name:Von Hayes,age:30,games:154,plate_appearances:652,at_bats:540,runs:93,hits:140,doubles:27,triples:2,home_runs:26,runs_batted_in:78,stolen_bases:28,caught_stealing:7,walks:101,strikeouts:103,batting_avg:.259,onbase:.376,slugging:.461,ops:erc">.461,ops+:lugging">.837,bases:249,double_plays:7,hit_by_pitch:4,sac_hits:0,sac_flies:7,intentional_walks:14
pos:IF,name:Steve Jeltz,age:30,games:116,plate_appearances:315,at_bats:263,runs:28,hits:64,doubles:7,triples:3,home_runs:4,runs_batted_in:25,stolen_bases:4,caught_stealing:2,walks:45,strikeouts:44,batting_avg:.243,onbase:.356,slugging:.338,ops:erc">.338,ops+:lugging">.694,bases:89,double_plays:6,hit_by_pitch:1,sac_hits:6,sac_flies:0,intentional_walks:6
pos:LF,name:Randy Ready,age:29,games:72,plate_appearances:223,at_bats:187,runs:33,hits:50,doubles:11,triples:1,home_runs:8,runs_batted_in:21,stolen_bases:4,caught_stealing:3,walks:31,strikeouts:31,batting_avg:.267,onbase:.372,slugging:.465,ops:erc">.465,ops+:lugging">.837,bases:87,double_plays:2,hit_by_pitch:2,sac_hits:0,sac_flies:3,intentional_walks:0
pos:CF,name:Juan Samuel,age:28,games:51,plate_appearances:219,at_bats:199,runs:32,hits:49,doubles:3,triples:1,home_runs:8,runs_batted_in:20,stolen_bases:11,caught_stealing:3,walks:18,strikeouts:45,batting_avg:.246,onbase:.311,slugging:.392,ops:erc">.392,ops+:lugging">.702,bases:78,double_plays:2,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:1
