pos:C,name:Mike Lieberthal,age:27,games:145,plate_appearances:574,at_bats:510,runs:84,hits:153,doubles:33,triples:1,home_runs:31,runs_batted_in:96,stolen_bases:0,caught_stealing:0,walks:44,strikeouts:86,batting_avg:.300,onbase:.363,slugging:.551,ops:erc">.551,ops+:lugging">.914,bases:281,double_plays:15,hit_by_pitch:11,sac_hits:1,sac_flies:8,intentional_walks:7
pos:1B,name:Rico Brogna,age:29,games:157,plate_appearances:679,at_bats:619,runs:90,hits:172,doubles:29,triples:4,home_runs:24,runs_batted_in:102,stolen_bases:8,caught_stealing:5,walks:54,strikeouts:132,batting_avg:.278,onbase:.336,slugging:.454,ops:erc">.454,ops+:lugging">.790,bases:281,double_plays:19,hit_by_pitch:2,sac_hits:0,sac_flies:4,intentional_walks:7
pos:2B,name:Marlon Anderson,age:25,games:129,plate_appearances:484,at_bats:452,runs:48,hits:114,doubles:26,triples:4,home_runs:5,runs_batted_in:54,stolen_bases:13,caught_stealing:2,walks:24,strikeouts:61,batting_avg:.252,onbase:.292,slugging:.361,ops:erc">.361,ops+:lugging">.652,bases:163,double_plays:6,hit_by_pitch:2,sac_hits:4,sac_flies:2,intentional_walks:1
pos:SS,name:Alex Arias,age:31,games:118,plate_appearances:390,at_bats:347,runs:43,hits:105,doubles:20,triples:1,home_runs:4,runs_batted_in:48,stolen_bases:2,caught_stealing:2,walks:36,strikeouts:31,batting_avg:.303,onbase:.373,slugging:.401,ops:erc">.401,ops+:lugging">.773,bases:139,double_plays:12,hit_by_pitch:4,sac_hits:1,sac_flies:2,intentional_walks:6
pos:3B,name:Scott Rolen,age:24,games:112,plate_appearances:497,at_bats:421,runs:74,hits:113,doubles:28,triples:1,home_runs:26,runs_batted_in:77,stolen_bases:12,caught_stealing:2,walks:67,strikeouts:114,batting_avg:.268,onbase:.368,slugging:.525,ops:erc">.525,ops+:lugging">.893,bases:221,double_plays:8,hit_by_pitch:3,sac_hits:0,sac_flies:6,intentional_walks:2
pos:LF,name:Ron Gant,age:34,games:138,plate_appearances:605,at_bats:516,runs:107,hits:134,doubles:27,triples:5,home_runs:17,runs_batted_in:77,stolen_bases:13,caught_stealing:3,walks:85,strikeouts:112,batting_avg:.260,onbase:.364,slugging:.430,ops:erc">.430,ops+:lugging">.794,bases:222,double_plays:6,hit_by_pitch:1,sac_hits:0,sac_flies:3,intentional_walks:0
pos:CF,name:Doug Glanville,age:28,games:150,plate_appearances:692,at_bats:628,runs:101,hits:204,doubles:38,triples:6,home_runs:11,runs_batted_in:73,stolen_bases:34,caught_stealing:2,walks:48,strikeouts:82,batting_avg:.325,onbase:.376,slugging:.457,ops:erc">.457,ops+:lugging">.833,bases:287,double_plays:9,hit_by_pitch:6,sac_hits:5,sac_flies:5,intentional_walks:1
pos:RF,name:Bobby Abreu,age:25,games:152,plate_appearances:662,at_bats:546,runs:118,hits:183,doubles:35,triples:11,home_runs:20,runs_batted_in:93,stolen_bases:27,caught_stealing:9,walks:109,strikeouts:113,batting_avg:.335,onbase:.446,slugging:.549,ops:erc">.549,ops+:lugging">.995,bases:300,double_plays:13,hit_by_pitch:3,sac_hits:0,sac_flies:4,intentional_walks:8
pos:IF,name:Kevin Jordan,age:29,games:120,plate_appearances:380,at_bats:347,runs:36,hits:99,doubles:17,triples:3,home_runs:4,runs_batted_in:51,stolen_bases:0,caught_stealing:0,walks:24,strikeouts:34,batting_avg:.285,onbase:.339,slugging:.386,ops:erc">.386,ops+:lugging">.726,bases:134,double_plays:12,hit_by_pitch:6,sac_hits:0,sac_flies:3,intentional_walks:1
pos:SS,name:Desi Relaford,age:25,games:65,plate_appearances:242,at_bats:211,runs:31,hits:51,doubles:11,triples:2,home_runs:1,runs_batted_in:26,stolen_bases:4,caught_stealing:3,walks:19,strikeouts:34,batting_avg:.242,onbase:.322,slugging:.327,ops:erc">.327,ops+:lugging">.649,bases:69,double_plays:5,hit_by_pitch:6,sac_hits:6,sac_flies:0,intentional_walks:2
pos:UT,name:Kevin Sefcik,age:28,games:111,plate_appearances:242,at_bats:209,runs:28,hits:58,doubles:15,triples:3,home_runs:1,runs_batted_in:11,stolen_bases:9,caught_stealing:4,walks:29,strikeouts:24,batting_avg:.278,onbase:.368,slugging:.392,ops:erc">.392,ops+:lugging">.761,bases:82,double_plays:4,hit_by_pitch:1,sac_hits:3,sac_flies:0,intentional_walks:0
