pos:C,name:Ed Ott,age:27,games:117,plate_appearances:439,at_bats:403,runs:49,hits:110,doubles:20,triples:2,home_runs:7,runs_batted_in:51,stolen_bases:0,caught_stealing:1,walks:26,strikeouts:62,batting_avg:.273,onbase:.314,slugging:.385,ops:erc">.385,ops+:lugging">.699,bases:155,double_plays:8,hit_by_pitch:0,sac_hits:6,sac_flies:4,intentional_walks:8
pos:1B,name:Willie Stargell,age:39,games:126,plate_appearances:480,at_bats:424,runs:60,hits:119,doubles:19,triples:0,home_runs:32,runs_batted_in:82,stolen_bases:0,caught_stealing:1,walks:47,strikeouts:105,batting_avg:.281,onbase:.352,slugging:.552,ops:erc">.552,ops+:lugging">.904,bases:234,double_plays:10,hit_by_pitch:3,sac_hits:0,sac_flies:6,intentional_walks:12
pos:2B,name:Rennie Stennett,age:28,games:108,plate_appearances:348,at_bats:319,runs:31,hits:76,doubles:13,triples:2,home_runs:0,runs_batted_in:24,stolen_bases:1,caught_stealing:4,walks:24,strikeouts:25,batting_avg:.238,onbase:.289,slugging:.292,ops:erc">.292,ops+:lugging">.581,bases:93,double_plays:11,hit_by_pitch:0,sac_hits:2,sac_flies:3,intentional_walks:6
pos:SS,name:Tim Foli,age:28,games:133,plate_appearances:587,at_bats:525,runs:70,hits:153,doubles:23,triples:1,home_runs:1,runs_batted_in:65,stolen_bases:6,caught_stealing:5,walks:28,strikeouts:14,batting_avg:.291,onbase:.335,slugging:.345,ops:erc">.345,ops+:lugging">.679,bases:181,double_plays:7,hit_by_pitch:9,sac_hits:19,sac_flies:6,intentional_walks:0
pos:3B,name:Bill Madlock,age:28,games:85,plate_appearances:353,at_bats:311,runs:48,hits:102,doubles:17,triples:3,home_runs:7,runs_batted_in:44,stolen_bases:21,caught_stealing:8,walks:34,strikeouts:22,batting_avg:.328,onbase:.390,slugging:.469,ops:erc">.469,ops+:lugging">.860,bases:146,double_plays:14,hit_by_pitch:1,sac_hits:2,sac_flies:5,intentional_walks:8
pos:LF,name:Bill Robinson,age:36,games:148,plate_appearances:455,at_bats:421,runs:59,hits:111,doubles:17,triples:6,home_runs:24,runs_batted_in:75,stolen_bases:13,caught_stealing:2,walks:24,strikeouts:81,batting_avg:.264,onbase:.302,slugging:.504,ops:erc">.504,ops+:lugging">.805,bases:212,double_plays:13,hit_by_pitch:1,sac_hits:4,sac_flies:5,intentional_walks:11
pos:CF,name:Omar Moreno,age:26,games:162,plate_appearances:757,at_bats:695,runs:110,hits:196,doubles:21,triples:12,home_runs:8,runs_batted_in:69,stolen_bases:77,caught_stealing:21,walks:51,strikeouts:104,batting_avg:.282,onbase:.333,slugging:.381,ops:erc">.381,ops+:lugging">.714,bases:265,double_plays:7,hit_by_pitch:3,sac_hits:6,sac_flies:2,intentional_walks:9
pos:RF,name:Dave Parker,age:28,games:158,plate_appearances:707,at_bats:622,runs:109,hits:193,doubles:45,triples:7,home_runs:25,runs_batted_in:94,stolen_bases:20,caught_stealing:4,walks:67,strikeouts:101,batting_avg:.310,onbase:.380,slugging:.526,ops:erc">.526,ops+:lugging">.906,bases:327,double_plays:7,hit_by_pitch:9,sac_hits:0,sac_flies:9,intentional_walks:14
pos:IF,name:Phil Garner,age:30,games:150,plate_appearances:612,at_bats:549,runs:76,hits:161,doubles:32,triples:8,home_runs:11,runs_batted_in:59,stolen_bases:17,caught_stealing:8,walks:55,strikeouts:74,batting_avg:.293,onbase:.359,slugging:.441,ops:erc">.441,ops+:lugging">.800,bases:242,double_plays:6,hit_by_pitch:3,sac_hits:2,sac_flies:3,intentional_walks:15
pos:UT,name:John Milner,age:29,games:128,plate_appearances:386,at_bats:326,runs:52,hits:90,doubles:9,triples:4,home_runs:16,runs_batted_in:60,stolen_bases:3,caught_stealing:5,walks:53,strikeouts:37,batting_avg:.276,onbase:.373,slugging:.475,ops:erc">.475,ops+:lugging">.849,bases:155,double_plays:5,hit_by_pitch:1,sac_hits:0,sac_flies:6,intentional_walks:6
pos:C,name:Steve Nicosia,age:23,games:70,plate_appearances:215,at_bats:191,runs:22,hits:55,doubles:16,triples:0,home_runs:4,runs_batted_in:13,stolen_bases:0,caught_stealing:2,walks:23,strikeouts:17,batting_avg:.288,onbase:.364,slugging:.435,ops:erc">.435,ops+:lugging">.799,bases:83,double_plays:5,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:7
pos:LF,name:Lee Lacy,age:31,games:84,plate_appearances:208,at_bats:182,runs:17,hits:45,doubles:9,triples:3,home_runs:5,runs_batted_in:15,stolen_bases:6,caught_stealing:1,walks:22,strikeouts:36,batting_avg:.247,onbase:.327,slugging:.412,ops:erc">.412,ops+:lugging">.739,bases:75,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:3,intentional_walks:2
pos:IF,name:Dale Berra,age:22,games:44,plate_appearances:140,at_bats:123,runs:11,hits:26,doubles:5,triples:0,home_runs:3,runs_batted_in:15,stolen_bases:0,caught_stealing:0,walks:11,strikeouts:17,batting_avg:.211,onbase:.272,slugging:.325,ops:erc">.325,ops+:lugging">.597,bases:40,double_plays:5,hit_by_pitch:0,sac_hits:2,sac_flies:2,intentional_walks:2
pos:UT,name:Manny Sanguillen,age:35,games:56,plate_appearances:80,at_bats:74,runs:8,hits:17,doubles:5,triples:2,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:5,batting_avg:.230,onbase:.247,slugging:.351,ops:erc">.351,ops+:lugging">.598,bases:26,double_plays:3,hit_by_pitch:0,sac_hits:3,sac_flies:1,intentional_walks:2
