pos:C,name:Jason Kendall,age:22,games:130,plate_appearances:471,at_bats:414,runs:54,hits:124,doubles:23,triples:5,home_runs:3,runs_batted_in:42,stolen_bases:5,caught_stealing:2,walks:35,strikeouts:30,batting_avg:.300,onbase:.372,slugging:.401,ops:erc">.401,ops+:lugging">.773,bases:166,double_plays:7,hit_by_pitch:15,sac_hits:3,sac_flies:4,intentional_walks:11
pos:1B,name:Mark Johnson,age:28,games:127,plate_appearances:396,at_bats:343,runs:55,hits:94,doubles:24,triples:0,home_runs:13,runs_batted_in:47,stolen_bases:6,caught_stealing:4,walks:44,strikeouts:64,batting_avg:.274,onbase:.361,slugging:.458,ops:erc">.458,ops+:lugging">.819,bases:157,double_plays:5,hit_by_pitch:5,sac_hits:0,sac_flies:4,intentional_walks:3
pos:2B,name:Carlos Garcia,age:28,games:101,plate_appearances:422,at_bats:390,runs:66,hits:111,doubles:18,triples:4,home_runs:6,runs_batted_in:44,stolen_bases:16,caught_stealing:6,walks:23,strikeouts:58,batting_avg:.285,onbase:.329,slugging:.397,ops:erc">.397,ops+:lugging">.727,bases:155,double_plays:3,hit_by_pitch:4,sac_hits:3,sac_flies:2,intentional_walks:3
pos:SS,name:Jay Bell,age:30,games:151,plate_appearances:598,at_bats:527,runs:65,hits:132,doubles:29,triples:3,home_runs:13,runs_batted_in:71,stolen_bases:6,caught_stealing:4,walks:54,strikeouts:108,batting_avg:.250,onbase:.323,slugging:.391,ops:erc">.391,ops+:lugging">.714,bases:206,double_plays:10,hit_by_pitch:5,sac_hits:6,sac_flies:6,intentional_walks:5
pos:3B,name:Charlie Hayes,age:31,games:128,plate_appearances:500,at_bats:459,runs:51,hits:114,doubles:21,triples:2,home_runs:10,runs_batted_in:62,stolen_bases:6,caught_stealing:0,walks:36,strikeouts:78,batting_avg:.248,onbase:.301,slugging:.368,ops:erc">.368,ops+:lugging">.669,bases:169,double_plays:16,hit_by_pitch:0,sac_hits:2,sac_flies:3,intentional_walks:4
pos:LF,name:Al Martin,age:28,games:155,plate_appearances:694,at_bats:630,runs:101,hits:189,doubles:40,triples:1,home_runs:18,runs_batted_in:72,stolen_bases:38,caught_stealing:12,walks:54,strikeouts:116,batting_avg:.300,onbase:.354,slugging:.452,ops:erc">.452,ops+:lugging">.806,bases:285,double_plays:9,hit_by_pitch:2,sac_hits:1,sac_flies:7,intentional_walks:2
pos:CF,name:Jermaine Allensworth,age:24,games:61,plate_appearances:260,at_bats:229,runs:32,hits:60,doubles:9,triples:3,home_runs:4,runs_batted_in:31,stolen_bases:11,caught_stealing:6,walks:23,strikeouts:50,batting_avg:.262,onbase:.337,slugging:.380,ops:erc">.380,ops+:lugging">.717,bases:87,double_plays:2,hit_by_pitch:4,sac_hits:2,sac_flies:2,intentional_walks:0
pos:RF,name:Orlando Merced,age:29,games:120,plate_appearances:507,at_bats:453,runs:69,hits:130,doubles:24,triples:1,home_runs:17,runs_batted_in:80,stolen_bases:8,caught_stealing:4,walks:51,strikeouts:74,batting_avg:.287,onbase:.357,slugging:.457,ops:erc">.457,ops+:lugging">.814,bases:207,double_plays:9,hit_by_pitch:0,sac_hits:0,sac_flies:3,intentional_walks:5
pos:IF,name:Jeff King,age:31,games:155,plate_appearances:672,at_bats:591,runs:91,hits:160,doubles:36,triples:4,home_runs:30,runs_batted_in:111,stolen_bases:15,caught_stealing:1,walks:70,strikeouts:95,batting_avg:.271,onbase:.346,slugging:.497,ops:erc">.497,ops+:lugging">.843,bases:294,double_plays:17,hit_by_pitch:2,sac_hits:1,sac_flies:8,intentional_walks:3
pos:CF,name:Mike Kingery,age:35,games:117,plate_appearances:304,at_bats:276,runs:32,hits:68,doubles:12,triples:2,home_runs:3,runs_batted_in:27,stolen_bases:2,caught_stealing:1,walks:23,strikeouts:29,batting_avg:.246,onbase:.304,slugging:.337,ops:erc">.337,ops+:lugging">.641,bases:93,double_plays:5,hit_by_pitch:1,sac_hits:1,sac_flies:3,intentional_walks:2
pos:OF,name:Dave Clark,age:33,games:92,plate_appearances:243,at_bats:211,runs:28,hits:58,doubles:12,triples:2,home_runs:8,runs_batted_in:35,stolen_bases:2,caught_stealing:1,walks:31,strikeouts:51,batting_avg:.275,onbase:.366,slugging:.464,ops:erc">.464,ops+:lugging">.831,bases:98,double_plays:6,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:3
pos:2B,name:Nelson Liriano,age:32,games:112,plate_appearances:234,at_bats:217,runs:23,hits:58,doubles:14,triples:2,home_runs:3,runs_batted_in:30,stolen_bases:2,caught_stealing:0,walks:14,strikeouts:22,batting_avg:.267,onbase:.308,slugging:.392,ops:erc">.392,ops+:lugging">.699,bases:85,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:3,intentional_walks:2
pos:C,name:Keith Osik,age:27,games:48,plate_appearances:156,at_bats:140,runs:18,hits:41,doubles:14,triples:1,home_runs:1,runs_batted_in:14,stolen_bases:1,caught_stealing:0,walks:14,strikeouts:22,batting_avg:.293,onbase:.361,slugging:.429,ops:erc">.429,ops+:lugging">.790,bases:60,double_plays:3,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:1
pos:UT,name:John Wehner,age:29,games:86,plate_appearances:149,at_bats:139,runs:19,hits:36,doubles:9,triples:1,home_runs:2,runs_batted_in:13,stolen_bases:1,caught_stealing:5,walks:8,strikeouts:22,batting_avg:.259,onbase:.299,slugging:.381,ops:erc">.381,ops+:lugging">.681,bases:53,double_plays:3,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:1
pos:OF,name:Midre Cummings,age:24,games:24,plate_appearances:87,at_bats:85,runs:11,hits:19,doubles:3,triples:1,home_runs:3,runs_batted_in:7,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:16,batting_avg:.224,onbase:.221,slugging:.388,ops:erc">.388,ops+:lugging">.609,bases:33,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:0
pos:CF,name:Jacob Brumfield,age:31,games:29,plate_appearances:86,at_bats:80,runs:11,hits:20,doubles:9,triples:0,home_runs:2,runs_batted_in:8,stolen_bases:3,caught_stealing:1,walks:5,strikeouts:17,batting_avg:.250,onbase:.291,slugging:.438,ops:erc">.438,ops+:lugging">.728,bases:35,double_plays:4,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:1
pos:OF,name:Trey Beamon,age:22,games:24,plate_appearances:56,at_bats:51,runs:7,hits:11,doubles:2,triples:0,home_runs:0,runs_batted_in:6,stolen_bases:1,caught_stealing:1,walks:4,strikeouts:6,batting_avg:.216,onbase:.273,slugging:.255,ops:erc">.255,ops+:lugging">.528,bases:13,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:3B,name:Dale Sveum,age:32,games:12,plate_appearances:40,at_bats:34,runs:9,hits:12,doubles:5,triples:0,home_runs:1,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:6,batting_avg:.353,onbase:.450,slugging:.588,ops:erc">.588,ops+:lugging">1.038,bases:20,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Tony Womack,age:26,games:17,plate_appearances:40,at_bats:30,runs:11,hits:10,doubles:3,triples:1,home_runs:0,runs_batted_in:7,stolen_bases:2,caught_stealing:0,walks:6,strikeouts:1,batting_avg:.333,onbase:.459,slugging:.500,ops:erc">.500,ops+:lugging">.959,bases:15,double_plays:0,hit_by_pitch:1,sac_hits:3,sac_flies:0,intentional_walks:0
pos:C,name:Angelo Encarnacion,age:27,games:7,plate_appearances:22,at_bats:22,runs:3,hits:7,doubles:2,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:5,batting_avg:.318,onbase:.318,slugging:.409,ops:erc">.409,ops+:lugging">.727,bases:9,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:1B,name:Rich Aude,age:24,games:7,plate_appearances:16,at_bats:16,runs:0,hits:4,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:8,batting_avg:.250,onbase:.250,slugging:.250,ops:erc">.250,ops+:lugging">.500,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Denny Neagle,age:27,games:30,plate_appearances:73,at_bats:55,runs:3,hits:10,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:15,batting_avg:.182,onbase:.193,slugging:.200,ops:erc">.200,ops+:lugging">.393,bases:11,double_plays:0,hit_by_pitch:0,sac_hits:16,sac_flies:1,intentional_walks:0
