pos:C,name:Ronny Paulino,age:25,games:129,plate_appearances:481,at_bats:442,runs:37,hits:137,doubles:19,triples:0,home_runs:6,runs_batted_in:55,stolen_bases:0,caught_stealing:0,walks:34,strikeouts:79,batting_avg:.310,onbase:.360,slugging:.394,ops:erc">.394,ops+:lugging">.754,bases:174,double_plays:17,hit_by_pitch:2,sac_hits:1,sac_flies:2,intentional_walks:5
pos:1B,name:Sean Casey,age:31,games:59,plate_appearances:244,at_bats:213,runs:30,hits:63,doubles:15,triples:0,home_runs:3,runs_batted_in:29,stolen_bases:0,caught_stealing:0,walks:23,strikeouts:22,batting_avg:.296,onbase:.377,slugging:.408,ops:erc">.408,ops+:lugging">.785,bases:87,double_plays:7,hit_by_pitch:6,sac_hits:0,sac_flies:2,intentional_walks:5
pos:2B,name:Jose Castillo,age:25,games:148,plate_appearances:562,at_bats:518,runs:54,hits:131,doubles:25,triples:0,home_runs:14,runs_batted_in:65,stolen_bases:6,caught_stealing:4,walks:32,strikeouts:98,batting_avg:.253,onbase:.299,slugging:.382,ops:erc">.382,ops+:lugging">.682,bases:198,double_plays:22,hit_by_pitch:5,sac_hits:1,sac_flies:6,intentional_walks:8
pos:SS,name:Jack Wilson,age:28,games:142,plate_appearances:594,at_bats:543,runs:70,hits:148,doubles:27,triples:1,home_runs:8,runs_batted_in:35,stolen_bases:4,caught_stealing:3,walks:33,strikeouts:65,batting_avg:.273,onbase:.316,slugging:.370,ops:erc">.370,ops+:lugging">.686,bases:201,double_plays:15,hit_by_pitch:4,sac_hits:9,sac_flies:5,intentional_walks:0
pos:3B,name:Freddy Sanchez,age:28,games:157,plate_appearances:632,at_bats:582,runs:85,hits:200,doubles:53,triples:2,home_runs:6,runs_batted_in:85,stolen_bases:3,caught_stealing:2,walks:31,strikeouts:52,batting_avg:.344,onbase:.378,slugging:.473,ops:erc">.473,ops+:lugging">.851,bases:275,double_plays:12,hit_by_pitch:7,sac_hits:3,sac_flies:9,intentional_walks:6
pos:LF,name:Jason Bay,age:27,games:159,plate_appearances:689,at_bats:570,runs:101,hits:163,doubles:29,triples:3,home_runs:35,runs_batted_in:109,stolen_bases:11,caught_stealing:2,walks:102,strikeouts:156,batting_avg:.286,onbase:.396,slugging:.532,ops:erc">.532,ops+:lugging">.928,bases:303,double_plays:15,hit_by_pitch:8,sac_hits:0,sac_flies:9,intentional_walks:9
pos:CF,name:Chris Duffy,age:26,games:84,plate_appearances:348,at_bats:314,runs:46,hits:80,doubles:14,triples:3,home_runs:2,runs_batted_in:18,stolen_bases:26,caught_stealing:1,walks:19,strikeouts:71,batting_avg:.255,onbase:.317,slugging:.338,ops:erc">.338,ops+:lugging">.654,bases:106,double_plays:1,hit_by_pitch:10,sac_hits:4,sac_flies:1,intentional_walks:1
pos:RF,name:Jeromy Burnitz,age:37,games:111,plate_appearances:343,at_bats:313,runs:35,hits:72,doubles:12,triples:0,home_runs:16,runs_batted_in:49,stolen_bases:1,caught_stealing:1,walks:22,strikeouts:74,batting_avg:.230,onbase:.289,slugging:.422,ops:erc">.422,ops+:lugging">.711,bases:132,double_plays:8,hit_by_pitch:5,sac_hits:0,sac_flies:2,intentional_walks:4
pos:UT,name:Jose Bautista,age:25,games:117,plate_appearances:469,at_bats:400,runs:58,hits:94,doubles:20,triples:3,home_runs:16,runs_batted_in:51,stolen_bases:2,caught_stealing:4,walks:46,strikeouts:110,batting_avg:.235,onbase:.335,slugging:.420,ops:erc">.420,ops+:lugging">.755,bases:168,double_plays:12,hit_by_pitch:16,sac_hits:3,sac_flies:4,intentional_walks:2
pos:OF,name:Nate McLouth,age:24,games:106,plate_appearances:297,at_bats:270,runs:50,hits:63,doubles:16,triples:2,home_runs:7,runs_batted_in:16,stolen_bases:10,caught_stealing:1,walks:18,strikeouts:59,batting_avg:.233,onbase:.293,slugging:.385,ops:erc">.385,ops+:lugging">.678,bases:104,double_plays:7,hit_by_pitch:5,sac_hits:3,sac_flies:1,intentional_walks:0
pos:UT,name:Craig Wilson,age:29,games:85,plate_appearances:286,at_bats:255,runs:38,hits:68,doubles:11,triples:2,home_runs:13,runs_batted_in:41,stolen_bases:1,caught_stealing:0,walks:24,strikeouts:88,batting_avg:.267,onbase:.339,slugging:.478,ops:erc">.478,ops+:lugging">.818,bases:122,double_plays:6,hit_by_pitch:5,sac_hits:0,sac_flies:2,intentional_walks:2
