pos:C,name:Francisco Cervelli,age:30,games:101,plate_appearances:393,at_bats:326,runs:42,hits:86,doubles:14,triples:1,home_runs:1,runs_batted_in:33,stolen_bases:6,caught_stealing:2,walks:56,strikeouts:72,batting_avg:.264,onbase:.377,slugging:.322,ops:erc">.322,ops+:lugging">.699,bases:105,double_plays:14,hit_by_pitch:6,sac_hits:0,sac_flies:5,intentional_walks:1
pos:1B,name:John Jaso,age:32,games:132,plate_appearances:432,at_bats:380,runs:45,hits:102,doubles:25,triples:3,home_runs:8,runs_batted_in:42,stolen_bases:0,caught_stealing:4,walks:45,strikeouts:74,batting_avg:.268,onbase:.353,slugging:.413,ops:erc">.413,ops+:lugging">.766,bases:157,double_plays:8,hit_by_pitch:5,sac_hits:1,sac_flies:1,intentional_walks:0
pos:2B,name:Josh Harrison,age:28,games:131,plate_appearances:522,at_bats:487,runs:57,hits:138,doubles:25,triples:7,home_runs:4,runs_batted_in:59,stolen_bases:19,caught_stealing:4,walks:18,strikeouts:76,batting_avg:.283,onbase:.311,slugging:.388,ops:erc">.388,ops+:lugging">.699,bases:189,double_plays:10,hit_by_pitch:5,sac_hits:4,sac_flies:8,intentional_walks:0
pos:SS,name:Jordy Mercer,age:29,games:149,plate_appearances:584,at_bats:519,runs:66,hits:133,doubles:22,triples:3,home_runs:11,runs_batted_in:59,stolen_bases:1,caught_stealing:1,walks:51,strikeouts:83,batting_avg:.256,onbase:.328,slugging:.374,ops:erc">.374,ops+:lugging">.701,bases:194,double_plays:11,hit_by_pitch:5,sac_hits:7,sac_flies:2,intentional_walks:8
pos:3B,name:Jung Ho Kang,age:29,games:103,plate_appearances:370,at_bats:318,runs:45,hits:81,doubles:19,triples:0,home_runs:21,runs_batted_in:62,stolen_bases:3,caught_stealing:1,walks:36,strikeouts:79,batting_avg:.255,onbase:.354,slugging:.513,ops:erc">.513,ops+:lugging">.867,bases:163,double_plays:11,hit_by_pitch:14,sac_hits:0,sac_flies:2,intentional_walks:1
pos:LF,name:Starling Marte,age:27,games:129,plate_appearances:529,at_bats:489,runs:71,hits:152,doubles:34,triples:5,home_runs:9,runs_batted_in:46,stolen_bases:47,caught_stealing:12,walks:23,strikeouts:104,batting_avg:.311,onbase:.362,slugging:.456,ops:erc">.456,ops+:lugging">.818,bases:223,double_plays:8,hit_by_pitch:16,sac_hits:1,sac_flies:0,intentional_walks:5
pos:CF,name:Andrew McCutchen,age:29,games:153,plate_appearances:675,at_bats:598,runs:81,hits:153,doubles:26,triples:3,home_runs:24,runs_batted_in:79,stolen_bases:6,caught_stealing:7,walks:69,strikeouts:143,batting_avg:.256,onbase:.336,slugging:.430,ops:erc">.430,ops+:lugging">.766,bases:257,double_plays:15,hit_by_pitch:5,sac_hits:0,sac_flies:3,intentional_walks:7
pos:RF,name:Gregory Polanco,age:24,games:144,plate_appearances:587,at_bats:527,runs:79,hits:136,doubles:34,triples:4,home_runs:22,runs_batted_in:86,stolen_bases:17,caught_stealing:6,walks:53,strikeouts:119,batting_avg:.258,onbase:.323,slugging:.463,ops:erc">.463,ops+:lugging">.786,bases:244,double_plays:13,hit_by_pitch:0,sac_hits:1,sac_flies:6,intentional_walks:6
pos:CI,name:David Freese,age:33,games:141,plate_appearances:492,at_bats:437,runs:63,hits:118,doubles:23,triples:0,home_runs:13,runs_batted_in:55,stolen_bases:0,caught_stealing:0,walks:45,strikeouts:142,batting_avg:.270,onbase:.352,slugging:.412,ops:erc">.412,ops+:lugging">.764,bases:180,double_plays:15,hit_by_pitch:10,sac_hits:0,sac_flies:0,intentional_walks:2
pos:UT,name:Sean Rodriguez,age:31,games:140,plate_appearances:342,at_bats:300,runs:49,hits:81,doubles:16,triples:1,home_runs:18,runs_batted_in:56,stolen_bases:2,caught_stealing:1,walks:33,strikeouts:102,batting_avg:.270,onbase:.349,slugging:.510,ops:erc">.510,ops+:lugging">.859,bases:153,double_plays:6,hit_by_pitch:5,sac_hits:1,sac_flies:3,intentional_walks:2
pos:OF,name:Matthew Joyce,age:31,games:140,plate_appearances:293,at_bats:231,runs:45,hits:56,doubles:10,triples:1,home_runs:13,runs_batted_in:42,stolen_bases:1,caught_stealing:1,walks:59,strikeouts:67,batting_avg:.242,onbase:.403,slugging:.463,ops:erc">.463,ops+:lugging">.866,bases:107,double_plays:9,hit_by_pitch:3,sac_hits:0,sac_flies:0,intentional_walks:4
pos:UT,name:Adam Frazier,age:24,games:66,plate_appearances:160,at_bats:146,runs:21,hits:44,doubles:8,triples:1,home_runs:2,runs_batted_in:11,stolen_bases:4,caught_stealing:1,walks:12,strikeouts:26,batting_avg:.301,onbase:.356,slugging:.411,ops:erc">.411,ops+:lugging">.767,bases:60,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:0
pos:UT,name:Josh Bell,age:23,games:45,plate_appearances:152,at_bats:128,runs:18,hits:35,doubles:8,triples:0,home_runs:3,runs_batted_in:19,stolen_bases:0,caught_stealing:1,walks:21,strikeouts:19,batting_avg:.273,onbase:.368,slugging:.406,ops:erc">.406,ops+:lugging">.775,bases:52,double_plays:4,hit_by_pitch:0,sac_hits:0,sac_flies:3,intentional_walks:0
