pos:C,name:Fred Kendall,age:25,games:141,plate_appearances:479,at_bats:424,runs:32,hits:98,doubles:15,triples:2,home_runs:8,runs_batted_in:45,stolen_bases:0,caught_stealing:1,walks:49,strikeouts:33,batting_avg:.231,onbase:.308,slugging:.333,ops:erc">.333,ops+:lugging">.641,bases:141,double_plays:13,hit_by_pitch:0,sac_hits:2,sac_flies:4,intentional_walks:7
pos:1B,name:Willie McCovey,age:36,games:128,plate_appearances:443,at_bats:344,runs:53,hits:87,doubles:19,triples:1,home_runs:22,runs_batted_in:63,stolen_bases:1,caught_stealing:0,walks:96,strikeouts:76,batting_avg:.253,onbase:.416,slugging:.506,ops:erc">.506,ops+:lugging">.922,bases:174,double_plays:8,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:9
pos:2B,name:Derrel Thomas,age:23,games:141,plate_appearances:585,at_bats:523,runs:48,hits:129,doubles:24,triples:6,home_runs:3,runs_batted_in:41,stolen_bases:7,caught_stealing:8,walks:51,strikeouts:58,batting_avg:.247,onbase:.313,slugging:.333,ops:erc">.333,ops+:lugging">.645,bases:174,double_plays:10,hit_by_pitch:1,sac_hits:6,sac_flies:4,intentional_walks:7
pos:SS,name:Enzo Hernandez,age:25,games:147,plate_appearances:563,at_bats:512,runs:55,hits:119,doubles:19,triples:2,home_runs:0,runs_batted_in:34,stolen_bases:37,caught_stealing:10,walks:38,strikeouts:36,batting_avg:.232,onbase:.285,slugging:.277,ops:erc">.277,ops+:lugging">.562,bases:142,double_plays:4,hit_by_pitch:0,sac_hits:12,sac_flies:1,intentional_walks:2
pos:3B,name:Dave Roberts,age:23,games:113,plate_appearances:360,at_bats:318,runs:26,hits:53,doubles:10,triples:1,home_runs:5,runs_batted_in:18,stolen_bases:2,caught_stealing:0,walks:32,strikeouts:69,batting_avg:.167,onbase:.246,slugging:.252,ops:erc">.252,ops+:lugging">.497,bases:80,double_plays:9,hit_by_pitch:2,sac_hits:4,sac_flies:2,intentional_walks:6
pos:LF,name:Dave Winfield,age:22,games:145,plate_appearances:544,at_bats:498,runs:57,hits:132,doubles:18,triples:4,home_runs:20,runs_batted_in:75,stolen_bases:9,caught_stealing:7,walks:40,strikeouts:96,batting_avg:.265,onbase:.318,slugging:.438,ops:erc">.438,ops+:lugging">.756,bases:218,double_plays:14,hit_by_pitch:1,sac_hits:0,sac_flies:5,intentional_walks:2
pos:CF,name:Johnny Grubb,age:25,games:140,plate_appearances:503,at_bats:444,runs:53,hits:127,doubles:20,triples:4,home_runs:8,runs_batted_in:42,stolen_bases:4,caught_stealing:0,walks:46,strikeouts:47,batting_avg:.286,onbase:.355,slugging:.403,ops:erc">.403,ops+:lugging">.758,bases:179,double_plays:4,hit_by_pitch:4,sac_hits:4,sac_flies:5,intentional_walks:2
pos:RF,name:Bobby Tolan,age:28,games:95,plate_appearances:394,at_bats:357,runs:45,hits:95,doubles:16,triples:1,home_runs:8,runs_batted_in:40,stolen_bases:7,caught_stealing:9,walks:20,strikeouts:41,batting_avg:.266,onbase:.320,slugging:.384,ops:erc">.384,ops+:lugging">.703,bases:137,double_plays:5,hit_by_pitch:9,sac_hits:6,sac_flies:2,intentional_walks:4
pos:UT,name:Nate Colbert,age:28,games:119,plate_appearances:437,at_bats:368,runs:53,hits:76,doubles:16,triples:0,home_runs:14,runs_batted_in:54,stolen_bases:10,caught_stealing:2,walks:62,strikeouts:108,batting_avg:.207,onbase:.319,slugging:.364,ops:erc">.364,ops+:lugging">.683,bases:134,double_plays:10,hit_by_pitch:1,sac_hits:1,sac_flies:5,intentional_walks:6
pos:RF,name:Cito Gaston,age:30,games:106,plate_appearances:289,at_bats:267,runs:19,hits:57,doubles:11,triples:0,home_runs:6,runs_batted_in:33,stolen_bases:0,caught_stealing:0,walks:16,strikeouts:51,batting_avg:.213,onbase:.259,slugging:.322,ops:erc">.322,ops+:lugging">.581,bases:86,double_plays:6,hit_by_pitch:1,sac_hits:3,sac_flies:2,intentional_walks:2
pos:3B,name:Dave Hilton,age:23,games:74,plate_appearances:234,at_bats:217,runs:17,hits:52,doubles:8,triples:2,home_runs:1,runs_batted_in:12,stolen_bases:3,caught_stealing:5,walks:13,strikeouts:28,batting_avg:.240,onbase:.281,slugging:.309,ops:erc">.309,ops+:lugging">.590,bases:67,double_plays:5,hit_by_pitch:0,sac_hits:3,sac_flies:1,intentional_walks:1
pos:2B,name:Glenn Beckert,age:33,games:64,plate_appearances:184,at_bats:172,runs:11,hits:44,doubles:1,triples:0,home_runs:0,runs_batted_in:7,stolen_bases:0,caught_stealing:0,walks:11,strikeouts:8,batting_avg:.256,onbase:.301,slugging:.262,ops:erc">.262,ops+:lugging">.562,bases:45,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:2B,name:Horace Clarke,age:34,games:42,plate_appearances:99,at_bats:90,runs:5,hits:17,doubles:1,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:8,strikeouts:6,batting_avg:.189,onbase:.255,slugging:.200,ops:erc">.200,ops+:lugging">.455,bases:18,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:C,name:Bob Barton,age:32,games:30,plate_appearances:96,at_bats:81,runs:4,hits:19,doubles:1,triples:0,home_runs:0,runs_batted_in:7,stolen_bases:0,caught_stealing:0,walks:13,strikeouts:19,batting_avg:.235,onbase:.333,slugging:.247,ops:erc">.247,ops+:lugging">.580,bases:20,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:1
pos:UT,name:Matty Alou,age:35,games:48,plate_appearances:88,at_bats:81,runs:8,hits:16,doubles:3,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:6,batting_avg:.198,onbase:.241,slugging:.235,ops:erc">.235,ops+:lugging">.476,bases:19,double_plays:3,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:1
pos:OF,name:Gene Locklear,age:24,games:39,plate_appearances:79,at_bats:74,runs:7,hits:20,doubles:3,triples:2,home_runs:1,runs_batted_in:3,stolen_bases:0,caught_stealing:1,walks:4,strikeouts:12,batting_avg:.270,onbase:.308,slugging:.405,ops:erc">.405,ops+:lugging">.713,bases:30,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:IF,name:Rich Morales,age:30,games:54,plate_appearances:73,at_bats:61,runs:8,hits:12,doubles:3,triples:0,home_runs:1,runs_batted_in:5,stolen_bases:1,caught_stealing:0,walks:8,strikeouts:6,batting_avg:.197,onbase:.290,slugging:.295,ops:erc">.295,ops+:lugging">.585,bases:18,double_plays:2,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:1
pos:C,name:Chris Cannizzaro,age:36,games:26,plate_appearances:67,at_bats:60,runs:2,hits:11,doubles:1,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:11,batting_avg:.183,onbase:.258,slugging:.200,ops:erc">.200,ops+:lugging">.458,bases:12,double_plays:3,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:LF,name:Jerry Turner,age:20,games:17,plate_appearances:51,at_bats:48,runs:4,hits:14,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:2,caught_stealing:1,walks:3,strikeouts:5,batting_avg:.292,onbase:.333,slugging:.313,ops:erc">.313,ops+:lugging">.646,bases:15,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Randy Elliott,age:23,games:13,plate_appearances:41,at_bats:33,runs:5,hits:7,doubles:1,triples:0,home_runs:1,runs_batted_in:2,stolen_bases:0,caught_stealing:1,walks:7,strikeouts:9,batting_avg:.212,onbase:.350,slugging:.333,ops:erc">.333,ops+:lugging">.683,bases:11,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:1
pos:SS,name:Bill Almon,age:21,games:16,plate_appearances:40,at_bats:38,runs:4,hits:12,doubles:1,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:1,caught_stealing:0,walks:2,strikeouts:9,batting_avg:.316,onbase:.350,slugging:.342,ops:erc">.342,ops+:lugging">.692,bases:13,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:1B,name:Mike Ivie,age:21,games:12,plate_appearances:36,at_bats:34,runs:1,hits:3,doubles:0,triples:0,home_runs:1,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:8,batting_avg:.088,onbase:.139,slugging:.176,ops:erc">.176,ops+:lugging">.315,bases:6,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Rod Gaspar,age:28,games:33,plate_appearances:18,at_bats:14,runs:4,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:3,batting_avg:.214,onbase:.389,slugging:.214,ops:erc">.214,ops+:lugging">.603,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:John Scott,age:22,games:14,plate_appearances:15,at_bats:15,runs:3,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:1,caught_stealing:0,walks:0,strikeouts:4,batting_avg:.067,onbase:.067,slugging:.067,ops:erc">.067,ops+:lugging">.133,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Bernie Williams,age:25,games:14,plate_appearances:15,at_bats:15,runs:1,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:6,batting_avg:.133,onbase:.133,slugging:.133,ops:erc">.133,ops+:lugging">.267,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Dave Freisleben,age:22,games:33,plate_appearances:80,at_bats:64,runs:4,hits:11,doubles:2,triples:1,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:7,strikeouts:20,batting_avg:.172,onbase:.254,slugging:.234,ops:erc">.234,ops+:lugging">.488,bases:15,double_plays:2,hit_by_pitch:0,sac_hits:9,sac_flies:0,intentional_walks:0
pos:P,name:Bill Greif,age:24,games:46,plate_appearances:75,at_bats:56,runs:3,hits:4,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:10,strikeouts:23,batting_avg:.071,onbase:.212,slugging:.071,ops:erc">.071,ops+:lugging">.284,bases:4,double_plays:1,hit_by_pitch:0,sac_hits:9,sac_flies:0,intentional_walks:0
pos:P,name:Randy Jones,age:24,games:46,plate_appearances:70,at_bats:65,runs:4,hits:10,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:29,batting_avg:.154,onbase:.179,slugging:.169,ops:erc">.169,ops+:lugging">.348,bases:11,double_plays:0,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Dan Spillner,age:22,games:30,plate_appearances:50,at_bats:43,runs:1,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:28,batting_avg:.023,onbase:.067,slugging:.023,ops:erc">.023,ops+:lugging">.090,bases:1,double_plays:1,hit_by_pitch:0,sac_hits:5,sac_flies:0,intentional_walks:0
pos:P,name:Lowell Palmer,age:26,games:23,plate_appearances:23,at_bats:23,runs:2,hits:2,doubles:0,triples:1,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:15,batting_avg:.087,onbase:.087,slugging:.174,ops:erc">.174,ops+:lugging">.261,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Steve Arlin,age:28,games:16,plate_appearances:19,at_bats:18,runs:0,hits:2,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:7,batting_avg:.111,onbase:.111,slugging:.167,ops:erc">.167,ops+:lugging">.278,bases:3,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Mike Corkins,age:28,games:30,plate_appearances:12,at_bats:8,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:4,batting_avg:.000,onbase:.273,slugging:.000,ops:erc">.000,ops+:lugging">.273,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Joe McIntosh,age:22,games:10,plate_appearances:11,at_bats:10,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Larry Hardy,age:26,games:76,plate_appearances:11,at_bats:10,runs:1,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:7,batting_avg:.000,onbase:.091,slugging:.000,ops:erc">.000,ops+:lugging">.091,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jim McAndrew,age:30,games:15,plate_appearances:10,at_bats:7,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:1,batting_avg:.143,onbase:.250,slugging:.143,ops:erc">.143,ops+:lugging">.393,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:P,name:Vicente Romo,age:31,games:54,plate_appearances:7,at_bats:6,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Rusty Gerhardt,age:23,games:23,plate_appearances:6,at_bats:6,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.167,onbase:.167,slugging:.167,ops:erc">.167,ops+:lugging">.333,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Bill Laxton,age:26,games:30,plate_appearances:6,at_bats:5,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:3,batting_avg:.200,onbase:.333,slugging:.200,ops:erc">.200,ops+:lugging">.533,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Dave Tomlin,age:25,games:47,plate_appearances:5,at_bats:4,runs:1,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:0,batting_avg:.000,onbase:.200,slugging:.000,ops:erc">.000,ops+:lugging">.200,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Rich Troedson,age:24,games:15,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Gary Ross,age:26,games:9,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Mike Johnson,age:23,games:18,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Ralph Garcia,age:25,games:8,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
