pos:C,name:Terry Kennedy,age:27,games:149,plate_appearances:612,at_bats:549,runs:47,hits:156,doubles:27,triples:2,home_runs:17,runs_batted_in:98,stolen_bases:1,caught_stealing:3,walks:51,strikeouts:89,batting_avg:.284,onbase:.342,slugging:.434,ops:erc">.434,ops+:lugging">.776,bases:238,double_plays:10,hit_by_pitch:2,sac_hits:1,sac_flies:9,intentional_walks:15
pos:1B,name:Steve Garvey,age:34,games:100,plate_appearances:425,at_bats:388,runs:76,hits:114,doubles:22,triples:0,home_runs:14,runs_batted_in:59,stolen_bases:4,caught_stealing:1,walks:29,strikeouts:39,batting_avg:.294,onbase:.344,slugging:.459,ops:erc">.459,ops+:lugging">.802,bases:178,double_plays:16,hit_by_pitch:3,sac_hits:0,sac_flies:5,intentional_walks:11
pos:2B,name:Juan Bonilla,age:27,games:152,plate_appearances:617,at_bats:556,runs:55,hits:132,doubles:17,triples:4,home_runs:4,runs_batted_in:45,stolen_bases:3,caught_stealing:0,walks:50,strikeouts:40,batting_avg:.237,onbase:.301,slugging:.304,ops:erc">.304,ops+:lugging">.605,bases:169,double_plays:19,hit_by_pitch:3,sac_hits:3,sac_flies:5,intentional_walks:11
pos:SS,name:Garry Templeton,age:27,games:126,plate_appearances:490,at_bats:460,runs:39,hits:121,doubles:20,triples:2,home_runs:3,runs_batted_in:40,stolen_bases:16,caught_stealing:6,walks:21,strikeouts:57,batting_avg:.263,onbase:.294,slugging:.335,ops:erc">.335,ops+:lugging">.629,bases:154,double_plays:16,hit_by_pitch:0,sac_hits:7,sac_flies:2,intentional_walks:7
pos:3B,name:Luis Salazar,age:27,games:134,plate_appearances:510,at_bats:481,runs:52,hits:124,doubles:16,triples:2,home_runs:14,runs_batted_in:45,stolen_bases:24,caught_stealing:9,walks:17,strikeouts:80,batting_avg:.258,onbase:.285,slugging:.387,ops:erc">.387,ops+:lugging">.672,bases:186,double_plays:4,hit_by_pitch:2,sac_hits:8,sac_flies:2,intentional_walks:8
pos:LF,name:Bobby Brown,age:29,games:57,plate_appearances:250,at_bats:225,runs:40,hits:60,doubles:5,triples:3,home_runs:5,runs_batted_in:22,stolen_bases:27,caught_stealing:9,walks:23,strikeouts:38,batting_avg:.267,onbase:.333,slugging:.382,ops:erc">.382,ops+:lugging">.716,bases:86,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:0
pos:CF,name:Ruppert Jones,age:28,games:133,plate_appearances:372,at_bats:335,runs:42,hits:78,doubles:12,triples:3,home_runs:12,runs_batted_in:49,stolen_bases:11,caught_stealing:11,walks:35,strikeouts:58,batting_avg:.233,onbase:.305,slugging:.394,ops:erc">.394,ops+:lugging">.699,bases:132,double_plays:8,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:4
pos:RF,name:Sixto Lezcano,age:29,games:97,plate_appearances:373,at_bats:317,runs:41,hits:74,doubles:11,triples:2,home_runs:8,runs_batted_in:49,stolen_bases:0,caught_stealing:0,walks:47,strikeouts:66,batting_avg:.233,onbase:.331,slugging:.356,ops:erc">.356,ops+:lugging">.687,bases:113,double_plays:8,hit_by_pitch:1,sac_hits:4,sac_flies:4,intentional_walks:3
pos:UT,name:Alan Wiggins,age:25,games:144,plate_appearances:585,at_bats:503,runs:83,hits:139,doubles:20,triples:2,home_runs:0,runs_batted_in:22,stolen_bases:66,caught_stealing:13,walks:65,strikeouts:43,batting_avg:.276,onbase:.360,slugging:.324,ops:erc">.324,ops+:lugging">.684,bases:163,double_plays:3,hit_by_pitch:1,sac_hits:16,sac_flies:0,intentional_walks:3
pos:OF,name:Tony Gwynn,age:23,games:86,plate_appearances:334,at_bats:304,runs:34,hits:94,doubles:12,triples:2,home_runs:1,runs_batted_in:37,stolen_bases:7,caught_stealing:4,walks:23,strikeouts:21,batting_avg:.309,onbase:.355,slugging:.372,ops:erc">.372,ops+:lugging">.726,bases:113,double_plays:9,hit_by_pitch:0,sac_hits:4,sac_flies:3,intentional_walks:5
pos:LF,name:Gene Richards,age:29,games:95,plate_appearances:252,at_bats:233,runs:37,hits:64,doubles:11,triples:3,home_runs:3,runs_batted_in:22,stolen_bases:14,caught_stealing:5,walks:17,strikeouts:17,batting_avg:.275,onbase:.325,slugging:.386,ops:erc">.386,ops+:lugging">.712,bases:90,double_plays:8,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:1
pos:3B,name:Tim Flannery,age:25,games:92,plate_appearances:245,at_bats:214,runs:24,hits:50,doubles:7,triples:3,home_runs:3,runs_batted_in:19,stolen_bases:2,caught_stealing:2,walks:20,strikeouts:23,batting_avg:.234,onbase:.309,slugging:.336,ops:erc">.336,ops+:lugging">.645,bases:72,double_plays:4,hit_by_pitch:5,sac_hits:2,sac_flies:4,intentional_walks:8
pos:1B,name:Kurt Bevacqua,age:36,games:74,plate_appearances:177,at_bats:156,runs:17,hits:38,doubles:7,triples:0,home_runs:2,runs_batted_in:24,stolen_bases:0,caught_stealing:3,walks:18,strikeouts:33,batting_avg:.244,onbase:.320,slugging:.327,ops:erc">.327,ops+:lugging">.647,bases:51,double_plays:3,hit_by_pitch:0,sac_hits:2,sac_flies:1,intentional_walks:1
pos:CF,name:Kevin McReynolds,age:23,games:39,plate_appearances:155,at_bats:140,runs:15,hits:31,doubles:3,triples:1,home_runs:4,runs_batted_in:14,stolen_bases:2,caught_stealing:1,walks:12,strikeouts:29,batting_avg:.221,onbase:.277,slugging:.343,ops:erc">.343,ops+:lugging">.620,bases:48,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:3,intentional_walks:1
pos:SS,name:Mario Ramirez,age:25,games:55,plate_appearances:131,at_bats:107,runs:11,hits:21,doubles:6,triples:3,home_runs:0,runs_batted_in:12,stolen_bases:0,caught_stealing:0,walks:20,strikeouts:23,batting_avg:.196,onbase:.326,slugging:.308,ops:erc">.308,ops+:lugging">.634,bases:33,double_plays:2,hit_by_pitch:1,sac_hits:2,sac_flies:1,intentional_walks:1
pos:C,name:Doug Gwosdz,age:23,games:39,plate_appearances:64,at_bats:55,runs:7,hits:6,doubles:1,triples:0,home_runs:1,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:7,strikeouts:19,batting_avg:.109,onbase:.210,slugging:.182,ops:erc">.182,ops+:lugging">.391,bases:10,double_plays:2,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:C,name:Bruce Bochy,age:28,games:23,plate_appearances:44,at_bats:42,runs:2,hits:9,doubles:1,triples:1,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:9,batting_avg:.214,onbase:.205,slugging:.286,ops:erc">.286,ops+:lugging">.490,bases:12,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:0
pos:RF,name:Jerry Turner,age:29,games:25,plate_appearances:24,at_bats:23,runs:1,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:8,batting_avg:.130,onbase:.167,slugging:.130,ops:erc">.130,ops+:lugging">.297,bases:3,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
