pos:C,name:Benito Santiago,age:26,games:152,plate_appearances:614,at_bats:580,runs:60,hits:155,doubles:22,triples:3,home_runs:17,runs_batted_in:87,stolen_bases:8,caught_stealing:10,walks:23,strikeouts:114,batting_avg:.267,onbase:.296,slugging:.403,ops:erc">.403,ops+:lugging">.700,bases:234,double_plays:21,hit_by_pitch:4,sac_hits:0,sac_flies:7,intentional_walks:5
pos:1B,name:Fred McGriff,age:27,games:153,plate_appearances:642,at_bats:528,runs:84,hits:147,doubles:19,triples:1,home_runs:31,runs_batted_in:106,stolen_bases:4,caught_stealing:1,walks:105,strikeouts:135,batting_avg:.278,onbase:.396,slugging:.494,ops:erc">.494,ops+:lugging">.890,bases:261,double_plays:14,hit_by_pitch:2,sac_hits:0,sac_flies:7,intentional_walks:26
pos:2B,name:Bip Roberts,age:27,games:117,plate_appearances:472,at_bats:424,runs:66,hits:119,doubles:13,triples:3,home_runs:3,runs_batted_in:32,stolen_bases:26,caught_stealing:11,walks:37,strikeouts:71,batting_avg:.281,onbase:.342,slugging:.347,ops:erc">.347,ops+:lugging">.689,bases:147,double_plays:6,hit_by_pitch:4,sac_hits:4,sac_flies:3,intentional_walks:0
pos:SS,name:Tony Fernandez,age:29,games:145,plate_appearances:621,at_bats:558,runs:81,hits:152,doubles:27,triples:5,home_runs:4,runs_batted_in:38,stolen_bases:23,caught_stealing:9,walks:55,strikeouts:74,batting_avg:.272,onbase:.337,slugging:.360,ops:erc">.360,ops+:lugging">.697,bases:201,double_plays:12,hit_by_pitch:0,sac_hits:7,sac_flies:1,intentional_walks:0
pos:3B,name:Scott Coolbaugh,age:25,games:60,plate_appearances:205,at_bats:180,runs:12,hits:39,doubles:8,triples:1,home_runs:2,runs_batted_in:15,stolen_bases:0,caught_stealing:3,walks:19,strikeouts:45,batting_avg:.217,onbase:.294,slugging:.306,ops:erc">.306,ops+:lugging">.599,bases:55,double_plays:8,hit_by_pitch:1,sac_hits:4,sac_flies:1,intentional_walks:2
pos:LF,name:Jerald Clark,age:27,games:118,plate_appearances:411,at_bats:369,runs:26,hits:84,doubles:16,triples:0,home_runs:10,runs_batted_in:47,stolen_bases:2,caught_stealing:1,walks:31,strikeouts:90,batting_avg:.228,onbase:.295,slugging:.352,ops:erc">.352,ops+:lugging">.647,bases:130,double_plays:10,hit_by_pitch:6,sac_hits:1,sac_flies:4,intentional_walks:2
pos:CF,name:Darrin Jackson,age:27,games:122,plate_appearances:394,at_bats:359,runs:51,hits:94,doubles:12,triples:1,home_runs:21,runs_batted_in:49,stolen_bases:5,caught_stealing:3,walks:27,strikeouts:66,batting_avg:.262,onbase:.315,slugging:.476,ops:erc">.476,ops+:lugging">.791,bases:171,double_plays:5,hit_by_pitch:2,sac_hits:3,sac_flies:3,intentional_walks:2
pos:RF,name:Tony Gwynn,age:31,games:134,plate_appearances:569,at_bats:530,runs:69,hits:168,doubles:27,triples:11,home_runs:4,runs_batted_in:62,stolen_bases:8,caught_stealing:8,walks:34,strikeouts:19,batting_avg:.317,onbase:.355,slugging:.432,ops:erc">.432,ops+:lugging">.787,bases:229,double_plays:11,hit_by_pitch:0,sac_hits:0,sac_flies:5,intentional_walks:8
pos:IF,name:Tim Teufel,age:32,games:97,plate_appearances:363,at_bats:307,runs:39,hits:70,doubles:16,triples:0,home_runs:11,runs_batted_in:42,stolen_bases:8,caught_stealing:2,walks:49,strikeouts:69,batting_avg:.228,onbase:.334,slugging:.388,ops:erc">.388,ops+:lugging">.722,bases:119,double_plays:8,hit_by_pitch:1,sac_hits:4,sac_flies:2,intentional_walks:4
pos:OF,name:Thomas Howard,age:26,games:106,plate_appearances:309,at_bats:281,runs:30,hits:70,doubles:12,triples:3,home_runs:4,runs_batted_in:22,stolen_bases:10,caught_stealing:7,walks:24,strikeouts:57,batting_avg:.249,onbase:.309,slugging:.356,ops:erc">.356,ops+:lugging">.665,bases:100,double_plays:4,hit_by_pitch:1,sac_hits:2,sac_flies:1,intentional_walks:4
pos:3B,name:Jack Howell,age:29,games:58,plate_appearances:179,at_bats:160,runs:24,hits:33,doubles:3,triples:1,home_runs:6,runs_batted_in:16,stolen_bases:0,caught_stealing:0,walks:18,strikeouts:33,batting_avg:.206,onbase:.287,slugging:.350,ops:erc">.350,ops+:lugging">.637,bases:56,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:1
pos:2B,name:Paul Faries,age:26,games:57,plate_appearances:149,at_bats:130,runs:13,hits:23,doubles:3,triples:1,home_runs:0,runs_batted_in:7,stolen_bases:3,caught_stealing:1,walks:14,strikeouts:21,batting_avg:.177,onbase:.262,slugging:.215,ops:erc">.215,ops+:lugging">.477,bases:28,double_plays:5,hit_by_pitch:1,sac_hits:4,sac_flies:0,intentional_walks:0
pos:CF,name:Shawn Abner,age:25,games:53,plate_appearances:125,at_bats:115,runs:15,hits:19,doubles:4,triples:1,home_runs:1,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:7,strikeouts:25,batting_avg:.165,onbase:.218,slugging:.243,ops:erc">.243,ops+:lugging">.461,bases:28,double_plays:3,hit_by_pitch:1,sac_hits:1,sac_flies:1,intentional_walks:4
pos:LF,name:Kevin Ward,age:29,games:44,plate_appearances:118,at_bats:107,runs:13,hits:26,doubles:7,triples:2,home_runs:2,runs_batted_in:8,stolen_bases:1,caught_stealing:4,walks:9,strikeouts:27,batting_avg:.243,onbase:.308,slugging:.402,ops:erc">.402,ops+:lugging">.710,bases:43,double_plays:3,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:0
