pos:C,name:Ben Davis,age:24,games:138,plate_appearances:526,at_bats:448,runs:56,hits:107,doubles:20,triples:0,home_runs:11,runs_batted_in:57,stolen_bases:4,caught_stealing:4,walks:66,strikeouts:112,batting_avg:.239,onbase:.337,slugging:.357,ops:erc">.357,ops+:lugging">.694,bases:160,double_plays:13,hit_by_pitch:4,sac_hits:1,sac_flies:7,intentional_walks:5
pos:1B,name:Ryan Klesko,age:30,games:146,plate_appearances:638,at_bats:538,runs:105,hits:154,doubles:34,triples:6,home_runs:30,runs_batted_in:113,stolen_bases:23,caught_stealing:4,walks:88,strikeouts:89,batting_avg:.286,onbase:.384,slugging:.539,ops:erc">.539,ops+:lugging">.923,bases:290,double_plays:16,hit_by_pitch:3,sac_hits:0,sac_flies:9,intentional_walks:7
pos:2B,name:Damian Jackson,age:27,games:122,plate_appearances:495,at_bats:440,runs:67,hits:106,doubles:21,triples:6,home_runs:4,runs_batted_in:38,stolen_bases:23,caught_stealing:6,walks:44,strikeouts:128,batting_avg:.241,onbase:.316,slugging:.343,ops:erc">.343,ops+:lugging">.660,bases:151,double_plays:6,hit_by_pitch:6,sac_hits:2,sac_flies:3,intentional_walks:2
pos:SS,name:D'Angelo Jimenez,age:23,games:86,plate_appearances:349,at_bats:308,runs:45,hits:85,doubles:19,triples:0,home_runs:3,runs_batted_in:33,stolen_bases:2,caught_stealing:3,walks:39,strikeouts:68,batting_avg:.276,onbase:.355,slugging:.367,ops:erc">.367,ops+:lugging">.722,bases:113,double_plays:9,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:4
pos:3B,name:Phil Nevin,age:30,games:149,plate_appearances:624,at_bats:546,runs:97,hits:167,doubles:31,triples:0,home_runs:41,runs_batted_in:126,stolen_bases:4,caught_stealing:4,walks:71,strikeouts:147,batting_avg:.306,onbase:.388,slugging:.588,ops:erc">.588,ops+:lugging">.976,bases:321,double_plays:13,hit_by_pitch:4,sac_hits:0,sac_flies:3,intentional_walks:7
pos:LF,name:Rickey Henderson,age:42,games:123,plate_appearances:465,at_bats:379,runs:70,hits:86,doubles:17,triples:3,home_runs:8,runs_batted_in:42,stolen_bases:25,caught_stealing:7,walks:81,strikeouts:84,batting_avg:.227,onbase:.366,slugging:.351,ops:erc">.351,ops+:lugging">.717,bases:133,double_plays:8,hit_by_pitch:3,sac_hits:0,sac_flies:2,intentional_walks:0
pos:CF,name:Mark Kotsay,age:25,games:119,plate_appearances:460,at_bats:406,runs:67,hits:118,doubles:29,triples:1,home_runs:10,runs_batted_in:58,stolen_bases:13,caught_stealing:5,walks:48,strikeouts:58,batting_avg:.291,onbase:.366,slugging:.441,ops:erc">.441,ops+:lugging">.807,bases:179,double_plays:11,hit_by_pitch:2,sac_hits:1,sac_flies:3,intentional_walks:1
pos:RF,name:Bubba Trammell,age:29,games:142,plate_appearances:546,at_bats:490,runs:66,hits:128,doubles:20,triples:3,home_runs:25,runs_batted_in:92,stolen_bases:2,caught_stealing:2,walks:48,strikeouts:78,batting_avg:.261,onbase:.330,slugging:.467,ops:erc">.467,ops+:lugging">.797,bases:229,double_plays:10,hit_by_pitch:4,sac_hits:0,sac_flies:4,intentional_walks:2
pos:OF,name:Mike Darr,age:25,games:105,plate_appearances:331,at_bats:289,runs:36,hits:80,doubles:13,triples:1,home_runs:2,runs_batted_in:34,stolen_bases:6,caught_stealing:2,walks:39,strikeouts:72,batting_avg:.277,onbase:.363,slugging:.349,ops:erc">.349,ops+:lugging">.712,bases:101,double_plays:8,hit_by_pitch:1,sac_hits:0,sac_flies:2,intentional_walks:3
pos:2B,name:Cesar Crespo,age:22,games:55,plate_appearances:179,at_bats:153,runs:27,hits:32,doubles:6,triples:0,home_runs:4,runs_batted_in:12,stolen_bases:6,caught_stealing:2,walks:25,strikeouts:50,batting_avg:.209,onbase:.320,slugging:.327,ops:erc">.327,ops+:lugging">.647,bases:50,double_plays:2,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:C,name:Wiki Gonzalez,age:27,games:64,plate_appearances:176,at_bats:160,runs:16,hits:44,doubles:6,triples:0,home_runs:8,runs_batted_in:27,stolen_bases:2,caught_stealing:0,walks:11,strikeouts:28,batting_avg:.275,onbase:.335,slugging:.463,ops:erc">.463,ops+:lugging">.798,bases:74,double_plays:3,hit_by_pitch:4,sac_hits:0,sac_flies:1,intentional_walks:1
pos:IF,name:Alex Arias,age:33,games:70,plate_appearances:158,at_bats:137,runs:19,hits:31,doubles:9,triples:0,home_runs:2,runs_batted_in:12,stolen_bases:1,caught_stealing:0,walks:17,strikeouts:22,batting_avg:.226,onbase:.312,slugging:.336,ops:erc">.336,ops+:lugging">.648,bases:46,double_plays:3,hit_by_pitch:1,sac_hits:1,sac_flies:2,intentional_walks:1
pos:OF,name:Ray Lankford,age:34,games:40,plate_appearances:145,at_bats:125,runs:20,hits:36,doubles:10,triples:1,home_runs:4,runs_batted_in:19,stolen_bases:6,caught_stealing:0,walks:18,strikeouts:40,batting_avg:.288,onbase:.386,slugging:.480,ops:erc">.480,ops+:lugging">.866,bases:60,double_plays:2,hit_by_pitch:2,sac_hits:0,sac_flies:0,intentional_walks:1
pos:3B,name:Dave Magadan,age:38,games:91,plate_appearances:142,at_bats:128,runs:12,hits:32,doubles:7,triples:0,home_runs:1,runs_batted_in:12,stolen_bases:0,caught_stealing:0,walks:12,strikeouts:20,batting_avg:.250,onbase:.317,slugging:.328,ops:erc">.328,ops+:lugging">.645,bases:42,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:0
pos:SS,name:Donaldo Mendez,age:23,games:46,plate_appearances:127,at_bats:118,runs:11,hits:18,doubles:2,triples:1,home_runs:1,runs_batted_in:5,stolen_bases:1,caught_stealing:2,walks:5,strikeouts:37,batting_avg:.153,onbase:.206,slugging:.212,ops:erc">.212,ops+:lugging">.418,bases:25,double_plays:2,hit_by_pitch:3,sac_hits:1,sac_flies:0,intentional_walks:2
pos:SS,name:Chris Gomez,age:30,games:40,plate_appearances:125,at_bats:112,runs:6,hits:21,doubles:3,triples:0,home_runs:0,runs_batted_in:7,stolen_bases:1,caught_stealing:0,walks:9,strikeouts:14,batting_avg:.188,onbase:.244,slugging:.214,ops:erc">.214,ops+:lugging">.458,bases:24,double_plays:5,hit_by_pitch:0,sac_hits:2,sac_flies:2,intentional_walks:0
pos:RF,name:Tony Gwynn,age:41,games:71,plate_appearances:112,at_bats:102,runs:5,hits:33,doubles:9,triples:1,home_runs:1,runs_batted_in:17,stolen_bases:1,caught_stealing:0,walks:10,strikeouts:9,batting_avg:.324,onbase:.384,slugging:.461,ops:erc">.461,ops+:lugging">.845,bases:47,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:OF,name:Mike Colangelo,age:24,games:50,plate_appearances:100,at_bats:91,runs:10,hits:22,doubles:3,triples:3,home_runs:2,runs_batted_in:8,stolen_bases:0,caught_stealing:0,walks:8,strikeouts:30,batting_avg:.242,onbase:.310,slugging:.407,ops:erc">.407,ops+:lugging">.717,bases:37,double_plays:3,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Santiago Perez,age:25,games:43,plate_appearances:97,at_bats:81,runs:13,hits:16,doubles:1,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:5,caught_stealing:1,walks:15,strikeouts:29,batting_avg:.198,onbase:.320,slugging:.210,ops:erc">.210,ops+:lugging">.529,bases:17,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:IF,name:Adam Riggs,age:28,games:12,plate_appearances:38,at_bats:36,runs:2,hits:7,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:1,caught_stealing:1,walks:2,strikeouts:8,batting_avg:.194,onbase:.237,slugging:.222,ops:erc">.222,ops+:lugging">.459,bases:8,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
