pos:C,name:Ramon Hernandez,age:28,games:111,plate_appearances:432,at_bats:384,runs:45,hits:106,doubles:23,triples:0,home_runs:18,runs_batted_in:63,stolen_bases:1,caught_stealing:0,walks:35,strikeouts:45,batting_avg:.276,onbase:.341,slugging:.477,ops:erc">.477,ops+:lugging">.818,bases:183,double_plays:16,hit_by_pitch:5,sac_hits:4,sac_flies:4,intentional_walks:0
pos:1B,name:Phil Nevin,age:33,games:147,plate_appearances:623,at_bats:547,runs:78,hits:158,doubles:31,triples:1,home_runs:26,runs_batted_in:105,stolen_bases:0,caught_stealing:0,walks:66,strikeouts:121,batting_avg:.289,onbase:.368,slugging:.492,ops:erc">.492,ops+:lugging">.859,bases:269,double_plays:16,hit_by_pitch:5,sac_hits:0,sac_flies:5,intentional_walks:5
pos:2B,name:Mark Loretta,age:32,games:154,plate_appearances:707,at_bats:620,runs:108,hits:208,doubles:47,triples:2,home_runs:16,runs_batted_in:76,stolen_bases:5,caught_stealing:3,walks:58,strikeouts:45,batting_avg:.335,onbase:.391,slugging:.495,ops:erc">.495,ops+:lugging">.886,bases:307,double_plays:10,hit_by_pitch:9,sac_hits:4,sac_flies:16,intentional_walks:3
pos:SS,name:Khalil Greene,age:24,games:139,plate_appearances:554,at_bats:484,runs:67,hits:132,doubles:31,triples:4,home_runs:15,runs_batted_in:65,stolen_bases:4,caught_stealing:2,walks:53,strikeouts:94,batting_avg:.273,onbase:.349,slugging:.446,ops:erc">.446,ops+:lugging">.795,bases:216,double_plays:9,hit_by_pitch:8,sac_hits:1,sac_flies:8,intentional_walks:10
pos:3B,name:Sean Burroughs,age:23,games:130,plate_appearances:564,at_bats:523,runs:76,hits:156,doubles:23,triples:3,home_runs:2,runs_batted_in:47,stolen_bases:5,caught_stealing:4,walks:31,strikeouts:52,batting_avg:.298,onbase:.348,slugging:.365,ops:erc">.365,ops+:lugging">.713,bases:191,double_plays:6,hit_by_pitch:9,sac_hits:1,sac_flies:0,intentional_walks:4
pos:LF,name:Ryan Klesko,age:33,games:127,plate_appearances:480,at_bats:402,runs:58,hits:117,doubles:32,triples:2,home_runs:9,runs_batted_in:66,stolen_bases:3,caught_stealing:2,walks:73,strikeouts:67,batting_avg:.291,onbase:.399,slugging:.448,ops:erc">.448,ops+:lugging">.847,bases:180,double_plays:8,hit_by_pitch:1,sac_hits:1,sac_flies:3,intentional_walks:6
pos:CF,name:Jay Payton,age:31,games:143,plate_appearances:511,at_bats:458,runs:57,hits:119,doubles:17,triples:4,home_runs:8,runs_batted_in:55,stolen_bases:2,caught_stealing:0,walks:43,strikeouts:56,batting_avg:.260,onbase:.326,slugging:.367,ops:erc">.367,ops+:lugging">.693,bases:168,double_plays:12,hit_by_pitch:4,sac_hits:2,sac_flies:4,intentional_walks:2
pos:RF,name:Brian Giles,age:33,games:159,plate_appearances:711,at_bats:609,runs:97,hits:173,doubles:33,triples:7,home_runs:23,runs_batted_in:94,stolen_bases:10,caught_stealing:3,walks:89,strikeouts:80,batting_avg:.284,onbase:.374,slugging:.475,ops:erc">.475,ops+:lugging">.849,bases:289,double_plays:12,hit_by_pitch:4,sac_hits:0,sac_flies:9,intentional_walks:6
pos:OF,name:Terrence Long,age:28,games:136,plate_appearances:313,at_bats:288,runs:31,hits:85,doubles:19,triples:4,home_runs:3,runs_batted_in:28,stolen_bases:3,caught_stealing:2,walks:19,strikeouts:51,batting_avg:.295,onbase:.335,slugging:.420,ops:erc">.420,ops+:lugging">.756,bases:121,double_plays:13,hit_by_pitch:1,sac_hits:0,sac_flies:5,intentional_walks:4
pos:C,name:Miguel Ojeda,age:29,games:62,plate_appearances:174,at_bats:156,runs:23,hits:40,doubles:3,triples:0,home_runs:8,runs_batted_in:26,stolen_bases:0,caught_stealing:0,walks:15,strikeouts:34,batting_avg:.256,onbase:.322,slugging:.429,ops:erc">.429,ops+:lugging">.751,bases:67,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:2,intentional_walks:1
pos:3B,name:Rich Aurilia,age:32,games:51,plate_appearances:158,at_bats:138,runs:22,hits:35,doubles:8,triples:2,home_runs:2,runs_batted_in:16,stolen_bases:0,caught_stealing:0,walks:15,strikeouts:28,batting_avg:.254,onbase:.331,slugging:.384,ops:erc">.384,ops+:lugging">.715,bases:53,double_plays:2,hit_by_pitch:2,sac_hits:1,sac_flies:2,intentional_walks:0
pos:IF,name:Ramon Vazquez,age:27,games:52,plate_appearances:132,at_bats:115,runs:12,hits:27,doubles:3,triples:2,home_runs:1,runs_batted_in:13,stolen_bases:1,caught_stealing:1,walks:11,strikeouts:24,batting_avg:.235,onbase:.297,slugging:.322,ops:erc">.322,ops+:lugging">.619,bases:37,double_plays:2,hit_by_pitch:0,sac_hits:4,sac_flies:2,intentional_walks:2
pos:OF,name:Kerry Robinson,age:30,games:80,plate_appearances:101,at_bats:92,runs:20,hits:27,doubles:4,triples:0,home_runs:0,runs_batted_in:5,stolen_bases:11,caught_stealing:4,walks:5,strikeouts:8,batting_avg:.293,onbase:.330,slugging:.337,ops:erc">.337,ops+:lugging">.667,bases:31,double_plays:0,hit_by_pitch:1,sac_hits:1,sac_flies:2,intentional_walks:0
pos:OF,name:Xavier Nady,age:25,games:34,plate_appearances:84,at_bats:77,runs:7,hits:19,doubles:4,triples:0,home_runs:3,runs_batted_in:9,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:13,batting_avg:.247,onbase:.301,slugging:.416,ops:erc">.416,ops+:lugging">.717,bases:32,double_plays:4,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:0
pos:IF,name:Jeff Cirillo,age:34,games:33,plate_appearances:81,at_bats:75,runs:12,hits:16,doubles:3,triples:0,home_runs:1,runs_batted_in:7,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:14,batting_avg:.213,onbase:.259,slugging:.293,ops:erc">.293,ops+:lugging">.553,bases:22,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:CF,name:Freddy Guzman,age:23,games:20,plate_appearances:80,at_bats:76,runs:8,hits:16,doubles:3,triples:0,home_runs:0,runs_batted_in:5,stolen_bases:5,caught_stealing:2,walks:3,strikeouts:13,batting_avg:.211,onbase:.250,slugging:.250,ops:erc">.250,ops+:lugging">.500,bases:19,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Humberto Quintero,age:24,games:23,plate_appearances:78,at_bats:72,runs:7,hits:18,doubles:3,triples:0,home_runs:2,runs_batted_in:10,stolen_bases:0,caught_stealing:2,walks:5,strikeouts:16,batting_avg:.250,onbase:.295,slugging:.375,ops:erc">.375,ops+:lugging">.670,bases:27,double_plays:5,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:UT,name:Brian Buchanan,age:30,games:38,plate_appearances:68,at_bats:60,runs:7,hits:12,doubles:2,triples:0,home_runs:2,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:19,batting_avg:.200,onbase:.279,slugging:.333,ops:erc">.333,ops+:lugging">.613,bases:20,double_plays:2,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:2
pos:CI,name:Dave Hansen,age:35,games:29,plate_appearances:31,at_bats:28,runs:1,hits:4,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:5,batting_avg:.143,onbase:.226,slugging:.143,ops:erc">.143,ops+:lugging">.369,bases:4,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:SS,name:Alex Gonzalez,age:31,games:11,plate_appearances:25,at_bats:23,runs:2,hits:4,doubles:1,triples:1,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:6,batting_avg:.174,onbase:.240,slugging:.304,ops:erc">.304,ops+:lugging">.544,bases:7,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:LF,name:Jon Knott,age:25,games:9,plate_appearances:15,at_bats:14,runs:1,hits:3,doubles:2,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:5,batting_avg:.214,onbase:.267,slugging:.357,ops:erc">.357,ops+:lugging">.624,bases:5,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:1B,name:Robert Fick,age:30,games:13,plate_appearances:15,at_bats:12,runs:2,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:4,batting_avg:.167,onbase:.333,slugging:.167,ops:erc">.167,ops+:lugging">.500,bases:2,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos: ,name:Darren Bragg,age:34,games:9,plate_appearances:9,at_bats:7,runs:2,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:2,batting_avg:.143,onbase:.333,slugging:.143,ops:erc">.143,ops+:lugging">.476,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Adam Eaton,age:26,games:36,plate_appearances:76,at_bats:64,runs:9,hits:13,doubles:7,triples:0,home_runs:0,runs_batted_in:8,stolen_bases:2,caught_stealing:0,walks:6,strikeouts:16,batting_avg:.203,onbase:.282,slugging:.313,ops:erc">.313,ops+:lugging">.594,bases:20,double_plays:1,hit_by_pitch:1,sac_hits:5,sac_flies:0,intentional_walks:0
pos:P,name:Brian Lawrence,age:28,games:34,plate_appearances:73,at_bats:62,runs:5,hits:6,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:25,batting_avg:.097,onbase:.138,slugging:.113,ops:erc">.113,ops+:lugging">.251,bases:7,double_plays:1,hit_by_pitch:0,sac_hits:8,sac_flies:0,intentional_walks:0
pos:P,name:David Wells,age:41,games:29,plate_appearances:69,at_bats:57,runs:2,hits:6,doubles:0,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:24,batting_avg:.105,onbase:.164,slugging:.105,ops:erc">.105,ops+:lugging">.269,bases:6,double_plays:1,hit_by_pitch:1,sac_hits:8,sac_flies:0,intentional_walks:0
pos:P,name:Jake Peavy,age:23,games:27,plate_appearances:68,at_bats:59,runs:5,hits:10,doubles:1,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:17,batting_avg:.169,onbase:.222,slugging:.186,ops:erc">.186,ops+:lugging">.409,bases:11,double_plays:1,hit_by_pitch:0,sac_hits:5,sac_flies:0,intentional_walks:0
pos:P,name:Ismael Valdez,age:30,games:21,plate_appearances:41,at_bats:35,runs:4,hits:6,doubles:3,triples:0,home_runs:0,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:9,batting_avg:.171,onbase:.211,slugging:.257,ops:erc">.257,ops+:lugging">.468,bases:9,double_plays:1,hit_by_pitch:0,sac_hits:3,sac_flies:1,intentional_walks:0
pos:P,name:Dennis Tankersley,age:25,games:8,plate_appearances:10,at_bats:8,runs:0,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:4,batting_avg:.250,onbase:.333,slugging:.250,ops:erc">.250,ops+:lugging">.583,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Justin Germano,age:21,games:7,plate_appearances:8,at_bats:7,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Sterling Hitchcock,age:33,games:4,plate_appearances:7,at_bats:7,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:4,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jay Witasick,age:31,games:41,plate_appearances:5,at_bats:5,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Brian Sweeney,age:30,games:6,plate_appearances:4,at_bats:4,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Scott Linebrink,age:27,games:68,plate_appearances:3,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Jason Szuminski,age:25,games:7,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Akinori Otsuka,age:32,games:69,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Ricky Stone,age:29,games:27,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Blaine Neal,age:26,games:39,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Rod Beck,age:35,games:22,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Andy Ashby,age:36,games:2,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Antonio Osuna,age:31,games:29,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Trevor Hoffman,age:36,games:53,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Eddie Oropesa,age:32,games:16,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Steve Watkins,age:25,games:11,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Mike Bynum,age:26,games:2,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Brandon Puffer,age:28,games:13,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Marty McLeary,age:29,games:3,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
