pos:C,name:Mike Piazza,age:37,games:126,plate_appearances:439,at_bats:399,runs:39,hits:113,doubles:19,triples:1,home_runs:22,runs_batted_in:68,stolen_bases:0,caught_stealing:0,walks:34,strikeouts:66,batting_avg:.283,onbase:.342,slugging:.501,ops:erc">.501,ops+:lugging">.843,bases:200,double_plays:13,hit_by_pitch:3,sac_hits:0,sac_flies:3,intentional_walks:2
pos:1B,name:Adrian Gonzalez,age:24,games:156,plate_appearances:631,at_bats:570,runs:83,hits:173,doubles:38,triples:1,home_runs:24,runs_batted_in:82,stolen_bases:0,caught_stealing:1,walks:52,strikeouts:113,batting_avg:.304,onbase:.362,slugging:.500,ops:erc">.500,ops+:lugging">.862,bases:285,double_plays:24,hit_by_pitch:3,sac_hits:1,sac_flies:5,intentional_walks:9
pos:2B,name:Josh Barfield,age:23,games:150,plate_appearances:578,at_bats:539,runs:72,hits:151,doubles:32,triples:3,home_runs:13,runs_batted_in:58,stolen_bases:21,caught_stealing:5,walks:30,strikeouts:81,batting_avg:.280,onbase:.318,slugging:.423,ops:erc">.423,ops+:lugging">.741,bases:228,double_plays:8,hit_by_pitch:2,sac_hits:2,sac_flies:5,intentional_walks:7
pos:SS,name:Khalil Greene,age:26,games:121,plate_appearances:460,at_bats:412,runs:56,hits:101,doubles:26,triples:2,home_runs:15,runs_batted_in:55,stolen_bases:5,caught_stealing:1,walks:39,strikeouts:87,batting_avg:.245,onbase:.320,slugging:.427,ops:erc">.427,ops+:lugging">.747,bases:176,double_plays:15,hit_by_pitch:7,sac_hits:0,sac_flies:2,intentional_walks:0
pos:3B,name:Vinny Castilla,age:38,games:72,plate_appearances:269,at_bats:254,runs:24,hits:59,doubles:10,triples:0,home_runs:4,runs_batted_in:23,stolen_bases:0,caught_stealing:0,walks:9,strikeouts:46,batting_avg:.232,onbase:.260,slugging:.319,ops:erc">.319,ops+:lugging">.579,bases:81,double_plays:5,hit_by_pitch:2,sac_hits:0,sac_flies:4,intentional_walks:0
pos:LF,name:Dave Roberts,age:34,games:129,plate_appearances:567,at_bats:499,runs:80,hits:146,doubles:18,triples:13,home_runs:2,runs_batted_in:44,stolen_bases:49,caught_stealing:6,walks:51,strikeouts:61,batting_avg:.293,onbase:.360,slugging:.393,ops:erc">.393,ops+:lugging">.752,bases:196,double_plays:5,hit_by_pitch:4,sac_hits:7,sac_flies:5,intentional_walks:2
pos:CF,name:Mike Cameron,age:33,games:141,plate_appearances:634,at_bats:552,runs:88,hits:148,doubles:34,triples:9,home_runs:22,runs_batted_in:83,stolen_bases:25,caught_stealing:9,walks:71,strikeouts:142,batting_avg:.268,onbase:.355,slugging:.482,ops:erc">.482,ops+:lugging">.837,bases:266,double_plays:8,hit_by_pitch:6,sac_hits:0,sac_flies:5,intentional_walks:2
pos:RF,name:Brian Giles,age:35,games:158,plate_appearances:717,at_bats:604,runs:87,hits:159,doubles:37,triples:1,home_runs:14,runs_batted_in:83,stolen_bases:9,caught_stealing:4,walks:104,strikeouts:60,batting_avg:.263,onbase:.374,slugging:.397,ops:erc">.397,ops+:lugging">.771,bases:240,double_plays:18,hit_by_pitch:5,sac_hits:0,sac_flies:4,intentional_walks:6
pos:IF,name:Geoff Blum,age:33,games:109,plate_appearances:299,at_bats:276,runs:27,hits:70,doubles:17,triples:1,home_runs:4,runs_batted_in:34,stolen_bases:0,caught_stealing:1,walks:17,strikeouts:51,batting_avg:.254,onbase:.293,slugging:.366,ops:erc">.366,ops+:lugging">.659,bases:101,double_plays:5,hit_by_pitch:0,sac_hits:2,sac_flies:4,intentional_walks:1
pos:3B,name:Mark Bellhorn,age:31,games:115,plate_appearances:288,at_bats:253,runs:26,hits:48,doubles:11,triples:2,home_runs:8,runs_batted_in:27,stolen_bases:0,caught_stealing:0,walks:32,strikeouts:90,batting_avg:.190,onbase:.285,slugging:.344,ops:erc">.344,ops+:lugging">.629,bases:87,double_plays:3,hit_by_pitch:2,sac_hits:0,sac_flies:1,intentional_walks:0
pos:C,name:Josh Bard,age:28,games:93,plate_appearances:263,at_bats:231,runs:28,hits:78,doubles:19,triples:0,home_runs:9,runs_batted_in:40,stolen_bases:1,caught_stealing:0,walks:27,strikeouts:39,batting_avg:.338,onbase:.406,slugging:.537,ops:erc">.537,ops+:lugging">.943,bases:124,double_plays:9,hit_by_pitch:1,sac_hits:2,sac_flies:2,intentional_walks:1
