pos:C,name:Nick Hundley,age:27,games:82,plate_appearances:308,at_bats:281,runs:34,hits:81,doubles:16,triples:5,home_runs:9,runs_batted_in:29,stolen_bases:1,caught_stealing:1,walks:22,strikeouts:74,batting_avg:.288,onbase:.347,slugging:.477,ops:erc">.477,ops+:lugging">.824,bases:134,double_plays:3,hit_by_pitch:4,sac_hits:0,sac_flies:1,intentional_walks:3
pos:1B,name:Jesus Guzman,age:27,games:76,plate_appearances:271,at_bats:247,runs:33,hits:77,doubles:22,triples:2,home_runs:5,runs_batted_in:44,stolen_bases:9,caught_stealing:2,walks:22,strikeouts:43,batting_avg:.312,onbase:.369,slugging:.478,ops:erc">.478,ops+:lugging">.847,bases:118,double_plays:6,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:2
pos:2B,name:Orlando Hudson,age:33,games:119,plate_appearances:454,at_bats:398,runs:54,hits:98,doubles:15,triples:3,home_runs:7,runs_batted_in:43,stolen_bases:19,caught_stealing:3,walks:49,strikeouts:84,batting_avg:.246,onbase:.329,slugging:.352,ops:erc">.352,ops+:lugging">.681,bases:140,double_plays:5,hit_by_pitch:2,sac_hits:1,sac_flies:4,intentional_walks:6
pos:SS,name:Jason Bartlett,age:31,games:139,plate_appearances:618,at_bats:554,runs:61,hits:136,doubles:22,triples:3,home_runs:2,runs_batted_in:40,stolen_bases:23,caught_stealing:10,walks:48,strikeouts:98,batting_avg:.245,onbase:.308,slugging:.307,ops:erc">.307,ops+:lugging">.615,bases:170,double_plays:13,hit_by_pitch:5,sac_hits:5,sac_flies:6,intentional_walks:0
pos:3B,name:Chase Headley,age:27,games:113,plate_appearances:439,at_bats:381,runs:43,hits:110,doubles:28,triples:1,home_runs:4,runs_batted_in:44,stolen_bases:13,caught_stealing:2,walks:52,strikeouts:92,batting_avg:.289,onbase:.374,slugging:.399,ops:erc">.399,ops+:lugging">.773,bases:152,double_plays:6,hit_by_pitch:2,sac_hits:1,sac_flies:3,intentional_walks:8
pos:LF,name:Ryan Ludwick,age:32,games:101,plate_appearances:425,at_bats:378,runs:42,hits:90,doubles:18,triples:0,home_runs:11,runs_batted_in:64,stolen_bases:1,caught_stealing:1,walks:32,strikeouts:87,batting_avg:.238,onbase:.301,slugging:.373,ops:erc">.373,ops+:lugging">.674,bases:141,double_plays:8,hit_by_pitch:4,sac_hits:1,sac_flies:5,intentional_walks:1
pos:CF,name:Cameron Maybin,age:24,games:137,plate_appearances:568,at_bats:516,runs:82,hits:136,doubles:24,triples:8,home_runs:9,runs_batted_in:40,stolen_bases:40,caught_stealing:8,walks:44,strikeouts:125,batting_avg:.264,onbase:.323,slugging:.393,ops:erc">.393,ops+:lugging">.716,bases:203,double_plays:6,hit_by_pitch:2,sac_hits:4,sac_flies:2,intentional_walks:2
pos:RF,name:Will Venable,age:28,games:121,plate_appearances:411,at_bats:370,runs:49,hits:91,doubles:14,triples:7,home_runs:9,runs_batted_in:44,stolen_bases:26,caught_stealing:3,walks:31,strikeouts:92,batting_avg:.246,onbase:.310,slugging:.395,ops:erc">.395,ops+:lugging">.704,bases:146,double_plays:2,hit_by_pitch:5,sac_hits:1,sac_flies:4,intentional_walks:4
pos:RF,name:Chris Denorfia,age:30,games:111,plate_appearances:340,at_bats:307,runs:38,hits:85,doubles:13,triples:2,home_runs:5,runs_batted_in:19,stolen_bases:11,caught_stealing:6,walks:28,strikeouts:49,batting_avg:.277,onbase:.337,slugging:.381,ops:erc">.381,ops+:lugging">.718,bases:117,double_plays:10,hit_by_pitch:1,sac_hits:2,sac_flies:2,intentional_walks:1
pos:MI,name:Alberto Gonzalez,age:28,games:102,plate_appearances:267,at_bats:247,runs:18,hits:53,doubles:10,triples:2,home_runs:1,runs_batted_in:32,stolen_bases:1,caught_stealing:2,walks:13,strikeouts:37,batting_avg:.215,onbase:.256,slugging:.283,ops:erc">.283,ops+:lugging">.539,bases:70,double_plays:5,hit_by_pitch:2,sac_hits:1,sac_flies:4,intentional_walks:3
pos:1B,name:Brad Hawpe,age:32,games:62,plate_appearances:216,at_bats:195,runs:19,hits:45,doubles:10,triples:0,home_runs:4,runs_batted_in:19,stolen_bases:0,caught_stealing:0,walks:19,strikeouts:68,batting_avg:.231,onbase:.301,slugging:.344,ops:erc">.344,ops+:lugging">.645,bases:67,double_plays:7,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:2
pos:C,name:Rob Johnson,age:28,games:67,plate_appearances:199,at_bats:179,runs:9,hits:34,doubles:6,triples:1,home_runs:3,runs_batted_in:16,stolen_bases:3,caught_stealing:0,walks:14,strikeouts:58,batting_avg:.190,onbase:.259,slugging:.285,ops:erc">.285,ops+:lugging">.544,bases:51,double_plays:3,hit_by_pitch:3,sac_hits:2,sac_flies:1,intentional_walks:1
pos:LF,name:Kyle Blanks,age:24,games:55,plate_appearances:190,at_bats:170,runs:21,hits:39,doubles:7,triples:1,home_runs:7,runs_batted_in:26,stolen_bases:2,caught_stealing:0,walks:16,strikeouts:51,batting_avg:.229,onbase:.300,slugging:.406,ops:erc">.406,ops+:lugging">.706,bases:69,double_plays:3,hit_by_pitch:2,sac_hits:0,sac_flies:2,intentional_walks:0
pos:IF,name:Logan Forsythe,age:24,games:62,plate_appearances:169,at_bats:150,runs:12,hits:32,doubles:9,triples:1,home_runs:0,runs_batted_in:12,stolen_bases:3,caught_stealing:1,walks:12,strikeouts:33,batting_avg:.213,onbase:.281,slugging:.287,ops:erc">.287,ops+:lugging">.568,bases:43,double_plays:3,hit_by_pitch:3,sac_hits:2,sac_flies:2,intentional_walks:3
pos:1B,name:Jorge Cantu,age:29,games:57,plate_appearances:155,at_bats:144,runs:8,hits:28,doubles:4,triples:0,home_runs:3,runs_batted_in:16,stolen_bases:0,caught_stealing:0,walks:7,strikeouts:28,batting_avg:.194,onbase:.232,slugging:.285,ops:erc">.285,ops+:lugging">.517,bases:41,double_plays:6,hit_by_pitch:1,sac_hits:0,sac_flies:3,intentional_walks:1
pos:1B,name:Anthony Rizzo,age:21,games:49,plate_appearances:153,at_bats:128,runs:9,hits:18,doubles:8,triples:1,home_runs:1,runs_batted_in:9,stolen_bases:2,caught_stealing:1,walks:21,strikeouts:46,batting_avg:.141,onbase:.281,slugging:.242,ops:erc">.242,ops+:lugging">.523,bases:31,double_plays:2,hit_by_pitch:4,sac_hits:0,sac_flies:0,intentional_walks:1
pos:UT,name:Eric Patterson,age:28,games:47,plate_appearances:104,at_bats:89,runs:8,hits:16,doubles:2,triples:1,home_runs:2,runs_batted_in:8,stolen_bases:8,caught_stealing:2,walks:12,strikeouts:22,batting_avg:.180,onbase:.272,slugging:.292,ops:erc">.292,ops+:lugging">.564,bases:26,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:0
pos:OF,name:Aaron Cunningham,age:25,games:52,plate_appearances:101,at_bats:90,runs:12,hits:16,doubles:6,triples:1,home_runs:3,runs_batted_in:9,stolen_bases:1,caught_stealing:0,walks:9,strikeouts:17,batting_avg:.178,onbase:.257,slugging:.367,ops:erc">.367,ops+:lugging">.624,bases:33,double_plays:2,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:0
pos:C,name:Kyle Phillips,age:27,games:36,plate_appearances:85,at_bats:76,runs:9,hits:13,doubles:3,triples:0,home_runs:2,runs_batted_in:10,stolen_bases:0,caught_stealing:0,walks:8,strikeouts:19,batting_avg:.171,onbase:.259,slugging:.289,ops:erc">.289,ops+:lugging">.548,bases:22,double_plays:2,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:1
pos:C,name:Luis Martinez,age:26,games:22,plate_appearances:68,at_bats:59,runs:7,hits:12,doubles:1,triples:1,home_runs:1,runs_batted_in:10,stolen_bases:1,caught_stealing:0,walks:8,strikeouts:14,batting_avg:.203,onbase:.309,slugging:.305,ops:erc">.305,ops+:lugging">.614,bases:18,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:2
