pos:C,name:Jerry Narron,age:25,games:76,plate_appearances:224,at_bats:203,runs:13,hits:45,doubles:5,triples:0,home_runs:3,runs_batted_in:17,stolen_bases:0,caught_stealing:0,walks:16,strikeouts:35,batting_avg:.222,onbase:.285,slugging:.291,ops:erc">.291,ops+:lugging">.576,bases:59,double_plays:3,hit_by_pitch:2,sac_hits:3,sac_flies:0,intentional_walks:3
pos:1B,name:Bruce Bochte,age:30,games:99,plate_appearances:385,at_bats:335,runs:39,hits:87,doubles:16,triples:0,home_runs:6,runs_batted_in:30,stolen_bases:1,caught_stealing:3,walks:47,strikeouts:53,batting_avg:.260,onbase:.354,slugging:.361,ops:erc">.361,ops+:lugging">.715,bases:121,double_plays:5,hit_by_pitch:2,sac_hits:1,sac_flies:0,intentional_walks:5
pos:2B,name:Julio Cruz,age:26,games:94,plate_appearances:401,at_bats:352,runs:57,hits:90,doubles:12,triples:3,home_runs:2,runs_batted_in:24,stolen_bases:43,caught_stealing:8,walks:39,strikeouts:40,batting_avg:.256,onbase:.332,slugging:.324,ops:erc">.324,ops+:lugging">.656,bases:114,double_plays:4,hit_by_pitch:3,sac_hits:4,sac_flies:3,intentional_walks:0
pos:SS,name:Jim Anderson,age:24,games:70,plate_appearances:181,at_bats:162,runs:12,hits:33,doubles:7,triples:0,home_runs:2,runs_batted_in:19,stolen_bases:3,caught_stealing:5,walks:17,strikeouts:29,batting_avg:.204,onbase:.283,slugging:.284,ops:erc">.284,ops+:lugging">.567,bases:46,double_plays:4,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:0
pos:3B,name:Dan Meyer,age:28,games:83,plate_appearances:266,at_bats:252,runs:26,hits:66,doubles:10,triples:1,home_runs:3,runs_batted_in:22,stolen_bases:4,caught_stealing:3,walks:10,strikeouts:16,batting_avg:.262,onbase:.291,slugging:.345,ops:erc">.345,ops+:lugging">.636,bases:87,double_plays:6,hit_by_pitch:1,sac_hits:1,sac_flies:2,intentional_walks:1
pos:LF,name:Tom Paciorek,age:34,games:104,plate_appearances:452,at_bats:405,runs:50,hits:132,doubles:28,triples:2,home_runs:14,runs_batted_in:66,stolen_bases:13,caught_stealing:10,walks:35,strikeouts:50,batting_avg:.326,onbase:.379,slugging:.509,ops:erc">.509,ops+:lugging">.888,bases:206,double_plays:10,hit_by_pitch:4,sac_hits:1,sac_flies:7,intentional_walks:3
pos:CF,name:Joe Simpson,age:29,games:91,plate_appearances:312,at_bats:288,runs:32,hits:64,doubles:11,triples:3,home_runs:2,runs_batted_in:30,stolen_bases:12,caught_stealing:3,walks:15,strikeouts:41,batting_avg:.222,onbase:.261,slugging:.302,ops:erc">.302,ops+:lugging">.564,bases:87,double_plays:3,hit_by_pitch:1,sac_hits:6,sac_flies:2,intentional_walks:0
pos:RF,name:Jeff Burroughs,age:30,games:89,plate_appearances:360,at_bats:319,runs:32,hits:81,doubles:13,triples:1,home_runs:10,runs_batted_in:41,stolen_bases:0,caught_stealing:1,walks:41,strikeouts:64,batting_avg:.254,onbase:.339,slugging:.395,ops:erc">.395,ops+:lugging">.734,bases:126,double_plays:7,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:3
pos:DH,name:Richie Zisk,age:32,games:94,plate_appearances:388,at_bats:357,runs:42,hits:111,doubles:12,triples:1,home_runs:16,runs_batted_in:43,stolen_bases:0,caught_stealing:2,walks:28,strikeouts:63,batting_avg:.311,onbase:.366,slugging:.485,ops:erc">.485,ops+:lugging">.851,bases:173,double_plays:8,hit_by_pitch:3,sac_hits:0,sac_flies:0,intentional_walks:3
pos:IF,name:Lenny Randle,age:32,games:82,plate_appearances:300,at_bats:273,runs:22,hits:63,doubles:9,triples:1,home_runs:4,runs_batted_in:25,stolen_bases:11,caught_stealing:6,walks:17,strikeouts:22,batting_avg:.231,onbase:.276,slugging:.315,ops:erc">.315,ops+:lugging">.591,bases:86,double_plays:2,hit_by_pitch:1,sac_hits:6,sac_flies:3,intentional_walks:4
pos:1B,name:Gary Gray,age:28,games:69,plate_appearances:214,at_bats:208,runs:27,hits:51,doubles:7,triples:1,home_runs:13,runs_batted_in:31,stolen_bases:2,caught_stealing:0,walks:4,strikeouts:44,batting_avg:.245,onbase:.257,slugging:.476,ops:erc">.476,ops+:lugging">.733,bases:99,double_plays:9,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:1
pos:C,name:Bud Bulling,age:28,games:62,plate_appearances:180,at_bats:154,runs:15,hits:38,doubles:3,triples:0,home_runs:2,runs_batted_in:15,stolen_bases:0,caught_stealing:0,walks:21,strikeouts:20,batting_avg:.247,onbase:.341,slugging:.305,ops:erc">.305,ops+:lugging">.646,bases:47,double_plays:2,hit_by_pitch:1,sac_hits:4,sac_flies:0,intentional_walks:0
pos:CF,name:Dave Henderson,age:22,games:59,plate_appearances:145,at_bats:126,runs:17,hits:21,doubles:3,triples:0,home_runs:6,runs_batted_in:13,stolen_bases:2,caught_stealing:1,walks:16,strikeouts:24,batting_avg:.167,onbase:.264,slugging:.333,ops:erc">.333,ops+:lugging">.597,bases:42,double_plays:4,hit_by_pitch:1,sac_hits:1,sac_flies:1,intentional_walks:1
