pos:C,name:Dan Wilson,age:33,games:115,plate_appearances:394,at_bats:359,runs:35,hits:106,doubles:16,triples:1,home_runs:6,runs_batted_in:44,stolen_bases:1,caught_stealing:0,walks:18,strikeouts:81,batting_avg:.295,onbase:.326,slugging:.396,ops:erc">.396,ops+:lugging">.721,bases:142,double_plays:8,hit_by_pitch:2,sac_hits:7,sac_flies:8,intentional_walks:1
pos:1B,name:John Olerud,age:33,games:154,plate_appearances:668,at_bats:553,runs:85,hits:166,doubles:39,triples:0,home_runs:22,runs_batted_in:102,stolen_bases:0,caught_stealing:0,walks:98,strikeouts:66,batting_avg:.300,onbase:.403,slugging:.490,ops:erc">.490,ops+:lugging">.893,bases:271,double_plays:19,hit_by_pitch:5,sac_hits:0,sac_flies:12,intentional_walks:6
pos:2B,name:Bret Boone,age:33,games:155,plate_appearances:675,at_bats:608,runs:88,hits:169,doubles:34,triples:3,home_runs:24,runs_batted_in:107,stolen_bases:12,caught_stealing:5,walks:53,strikeouts:102,batting_avg:.278,onbase:.339,slugging:.462,ops:erc">.462,ops+:lugging">.801,bases:281,double_plays:11,hit_by_pitch:6,sac_hits:2,sac_flies:6,intentional_walks:4
pos:SS,name:Carlos Guillen,age:26,games:134,plate_appearances:528,at_bats:475,runs:73,hits:124,doubles:24,triples:6,home_runs:9,runs_batted_in:56,stolen_bases:4,caught_stealing:5,walks:46,strikeouts:91,batting_avg:.261,onbase:.326,slugging:.394,ops:erc">.394,ops+:lugging">.719,bases:187,double_plays:8,hit_by_pitch:1,sac_hits:3,sac_flies:3,intentional_walks:4
pos:3B,name:Jeff Cirillo,age:32,games:146,plate_appearances:547,at_bats:485,runs:51,hits:121,doubles:20,triples:0,home_runs:6,runs_batted_in:54,stolen_bases:8,caught_stealing:4,walks:31,strikeouts:67,batting_avg:.249,onbase:.301,slugging:.328,ops:erc">.328,ops+:lugging">.629,bases:159,double_plays:12,hit_by_pitch:9,sac_hits:13,sac_flies:9,intentional_walks:0
pos:LF,name:Mark McLemore,age:37,games:104,plate_appearances:407,at_bats:337,runs:54,hits:91,doubles:17,triples:2,home_runs:7,runs_batted_in:41,stolen_bases:18,caught_stealing:10,walks:61,strikeouts:63,batting_avg:.270,onbase:.380,slugging:.395,ops:erc">.395,ops+:lugging">.774,bases:133,double_plays:3,hit_by_pitch:1,sac_hits:4,sac_flies:4,intentional_walks:1
pos:CF,name:Mike Cameron,age:29,games:158,plate_appearances:640,at_bats:545,runs:84,hits:130,doubles:26,triples:5,home_runs:25,runs_batted_in:80,stolen_bases:31,caught_stealing:8,walks:79,strikeouts:176,batting_avg:.239,onbase:.340,slugging:.442,ops:erc">.442,ops+:lugging">.782,bases:241,double_plays:8,hit_by_pitch:7,sac_hits:4,sac_flies:5,intentional_walks:3
pos:RF,name:Ichiro Suzuki,age:28,games:157,plate_appearances:728,at_bats:647,runs:111,hits:208,doubles:27,triples:8,home_runs:8,runs_batted_in:51,stolen_bases:31,caught_stealing:15,walks:68,strikeouts:62,batting_avg:.321,onbase:.388,slugging:.425,ops:erc">.425,ops+:lugging">.813,bases:275,double_plays:8,hit_by_pitch:5,sac_hits:3,sac_flies:5,intentional_walks:27
pos:DH,name:Edgar Martinez,age:39,games:97,plate_appearances:407,at_bats:328,runs:42,hits:91,doubles:23,triples:0,home_runs:15,runs_batted_in:59,stolen_bases:1,caught_stealing:1,walks:67,strikeouts:69,batting_avg:.277,onbase:.403,slugging:.485,ops:erc">.485,ops+:lugging">.888,bases:159,double_plays:6,hit_by_pitch:6,sac_hits:0,sac_flies:6,intentional_walks:8
pos:DH,name:Ruben Sierra,age:36,games:122,plate_appearances:452,at_bats:419,runs:47,hits:113,doubles:23,triples:0,home_runs:13,runs_batted_in:60,stolen_bases:4,caught_stealing:0,walks:31,strikeouts:66,batting_avg:.270,onbase:.319,slugging:.418,ops:erc">.418,ops+:lugging">.736,bases:175,double_plays:17,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:5
pos:IF,name:Desi Relaford,age:28,games:112,plate_appearances:376,at_bats:329,runs:55,hits:88,doubles:13,triples:2,home_runs:6,runs_batted_in:43,stolen_bases:10,caught_stealing:3,walks:33,strikeouts:51,batting_avg:.267,onbase:.339,slugging:.374,ops:erc">.374,ops+:lugging">.713,bases:123,double_plays:6,hit_by_pitch:6,sac_hits:1,sac_flies:7,intentional_walks:2
pos:C,name:Ben Davis,age:25,games:80,plate_appearances:253,at_bats:228,runs:24,hits:59,doubles:10,triples:1,home_runs:7,runs_batted_in:43,stolen_bases:1,caught_stealing:1,walks:18,strikeouts:58,batting_avg:.259,onbase:.313,slugging:.404,ops:erc">.404,ops+:lugging">.717,bases:92,double_plays:6,hit_by_pitch:2,sac_hits:1,sac_flies:4,intentional_walks:1
pos:OF,name:Charles Gipson,age:29,games:79,plate_appearances:84,at_bats:72,runs:22,hits:17,doubles:5,triples:2,home_runs:0,runs_batted_in:8,stolen_bases:4,caught_stealing:0,walks:9,strikeouts:14,batting_avg:.236,onbase:.329,slugging:.361,ops:erc">.361,ops+:lugging">.690,bases:26,double_plays:3,hit_by_pitch:1,sac_hits:2,sac_flies:0,intentional_walks:0
