pos:C,name:Dave Rader,age:26,games:98,plate_appearances:328,at_bats:292,runs:39,hits:85,doubles:15,triples:0,home_runs:5,runs_batted_in:31,stolen_bases:1,caught_stealing:0,walks:32,strikeouts:30,batting_avg:.291,onbase:.360,slugging:.394,ops:erc">.394,ops+:lugging">.754,bases:115,double_plays:9,hit_by_pitch:1,sac_hits:0,sac_flies:3,intentional_walks:12
pos:1B,name:Willie Montanez,age:27,games:135,plate_appearances:577,at_bats:518,runs:52,hits:158,doubles:26,triples:2,home_runs:8,runs_batted_in:85,stolen_bases:5,caught_stealing:3,walks:45,strikeouts:50,batting_avg:.305,onbase:.359,slugging:.409,ops:erc">.409,ops+:lugging">.769,bases:212,double_plays:23,hit_by_pitch:4,sac_hits:1,sac_flies:9,intentional_walks:8
pos:2B,name:Derrel Thomas,age:24,games:144,plate_appearances:611,at_bats:540,runs:99,hits:149,doubles:21,triples:9,home_runs:6,runs_batted_in:48,stolen_bases:28,caught_stealing:13,walks:57,strikeouts:56,batting_avg:.276,onbase:.347,slugging:.381,ops:erc">.381,ops+:lugging">.728,bases:206,double_plays:7,hit_by_pitch:3,sac_hits:8,sac_flies:3,intentional_walks:0
pos:SS,name:Chris Speier,age:25,games:141,plate_appearances:564,at_bats:487,runs:60,hits:132,doubles:30,triples:5,home_runs:10,runs_batted_in:69,stolen_bases:4,caught_stealing:5,walks:70,strikeouts:50,batting_avg:.271,onbase:.362,slugging:.415,ops:erc">.415,ops+:lugging">.777,bases:202,double_plays:13,hit_by_pitch:1,sac_hits:3,sac_flies:3,intentional_walks:7
pos:3B,name:Steve Ontiveros,age:23,games:108,plate_appearances:388,at_bats:325,runs:21,hits:94,doubles:16,triples:0,home_runs:3,runs_batted_in:31,stolen_bases:2,caught_stealing:0,walks:55,strikeouts:44,batting_avg:.289,onbase:.391,slugging:.366,ops:erc">.366,ops+:lugging">.757,bases:119,double_plays:9,hit_by_pitch:2,sac_hits:2,sac_flies:4,intentional_walks:4
pos:LF,name:Gary Matthews,age:24,games:116,plate_appearances:494,at_bats:425,runs:67,hits:119,doubles:22,triples:3,home_runs:12,runs_batted_in:58,stolen_bases:13,caught_stealing:4,walks:65,strikeouts:53,batting_avg:.280,onbase:.377,slugging:.431,ops:erc">.431,ops+:lugging">.807,bases:183,double_plays:13,hit_by_pitch:2,sac_hits:0,sac_flies:2,intentional_walks:5
pos:CF,name:Von Joshua,age:27,games:129,plate_appearances:545,at_bats:507,runs:75,hits:161,doubles:25,triples:10,home_runs:7,runs_batted_in:43,stolen_bases:20,caught_stealing:10,walks:32,strikeouts:75,batting_avg:.318,onbase:.359,slugging:.448,ops:erc">.448,ops+:lugging">.806,bases:227,double_plays:6,hit_by_pitch:1,sac_hits:4,sac_flies:1,intentional_walks:0
pos:RF,name:Bobby Murcer,age:29,games:147,plate_appearances:632,at_bats:526,runs:80,hits:157,doubles:29,triples:4,home_runs:11,runs_batted_in:91,stolen_bases:9,caught_stealing:5,walks:91,strikeouts:45,batting_avg:.298,onbase:.396,slugging:.432,ops:erc">.432,ops+:lugging">.828,bases:227,double_plays:11,hit_by_pitch:2,sac_hits:1,sac_flies:12,intentional_walks:6
pos:OF,name:Gary Thomasson,age:23,games:114,plate_appearances:369,at_bats:326,runs:44,hits:74,doubles:12,triples:3,home_runs:7,runs_batted_in:32,stolen_bases:9,caught_stealing:3,walks:37,strikeouts:48,batting_avg:.227,onbase:.304,slugging:.347,ops:erc">.347,ops+:lugging">.650,bases:113,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:5,intentional_walks:1
pos:IF,name:Bruce Miller,age:28,games:99,plate_appearances:328,at_bats:309,runs:22,hits:74,doubles:6,triples:3,home_runs:1,runs_batted_in:31,stolen_bases:0,caught_stealing:1,walks:15,strikeouts:26,batting_avg:.239,onbase:.275,slugging:.288,ops:erc">.288,ops+:lugging">.563,bases:89,double_plays:15,hit_by_pitch:1,sac_hits:1,sac_flies:2,intentional_walks:0
