pos:C,name:Bob Brenly,age:32,games:149,plate_appearances:560,at_bats:472,runs:60,hits:116,doubles:26,triples:0,home_runs:16,runs_batted_in:62,stolen_bases:10,caught_stealing:6,walks:74,strikeouts:97,batting_avg:.246,onbase:.350,slugging:.403,ops:erc">.403,ops+:lugging">.752,bases:190,double_plays:4,hit_by_pitch:3,sac_hits:5,sac_flies:3,intentional_walks:10
pos:1B,name:Will Clark,age:22,games:111,plate_appearances:458,at_bats:408,runs:66,hits:117,doubles:27,triples:2,home_runs:11,runs_batted_in:41,stolen_bases:4,caught_stealing:7,walks:34,strikeouts:76,batting_avg:.287,onbase:.343,slugging:.444,ops:erc">.444,ops+:lugging">.787,bases:181,double_plays:3,hit_by_pitch:3,sac_hits:9,sac_flies:4,intentional_walks:10
pos:2B,name:Robby Thompson,age:24,games:149,plate_appearances:615,at_bats:549,runs:73,hits:149,doubles:27,triples:3,home_runs:7,runs_batted_in:47,stolen_bases:12,caught_stealing:15,walks:42,strikeouts:112,batting_avg:.271,onbase:.328,slugging:.370,ops:erc">.370,ops+:lugging">.698,bases:203,double_plays:11,hit_by_pitch:5,sac_hits:18,sac_flies:1,intentional_walks:0
pos:SS,name:Jose Uribe,age:27,games:157,plate_appearances:517,at_bats:453,runs:46,hits:101,doubles:15,triples:1,home_runs:3,runs_batted_in:43,stolen_bases:22,caught_stealing:11,walks:61,strikeouts:76,batting_avg:.223,onbase:.315,slugging:.280,ops:erc">.280,ops+:lugging">.596,bases:127,double_plays:2,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:19
pos:3B,name:Chris Brown,age:24,games:116,plate_appearances:463,at_bats:416,runs:57,hits:132,doubles:16,triples:3,home_runs:7,runs_batted_in:49,stolen_bases:13,caught_stealing:9,walks:33,strikeouts:43,batting_avg:.317,onbase:.376,slugging:.421,ops:erc">.421,ops+:lugging">.796,bases:175,double_plays:9,hit_by_pitch:9,sac_hits:0,sac_flies:5,intentional_walks:4
pos:LF,name:Jeffrey Leonard,age:30,games:89,plate_appearances:368,at_bats:341,runs:48,hits:95,doubles:11,triples:3,home_runs:6,runs_batted_in:42,stolen_bases:16,caught_stealing:3,walks:20,strikeouts:62,batting_avg:.279,onbase:.322,slugging:.381,ops:erc">.381,ops+:lugging">.703,bases:130,double_plays:4,hit_by_pitch:3,sac_hits:1,sac_flies:3,intentional_walks:1
pos:CF,name:Dan Gladden,age:28,games:102,plate_appearances:402,at_bats:351,runs:55,hits:97,doubles:16,triples:1,home_runs:4,runs_batted_in:29,stolen_bases:27,caught_stealing:10,walks:39,strikeouts:59,batting_avg:.276,onbase:.357,slugging:.362,ops:erc">.362,ops+:lugging">.719,bases:127,double_plays:5,hit_by_pitch:5,sac_hits:7,sac_flies:0,intentional_walks:3
pos:RF,name:Chili Davis,age:26,games:153,plate_appearances:618,at_bats:526,runs:71,hits:146,doubles:28,triples:3,home_runs:13,runs_batted_in:70,stolen_bases:16,caught_stealing:13,walks:84,strikeouts:96,batting_avg:.278,onbase:.375,slugging:.416,ops:erc">.416,ops+:lugging">.791,bases:219,double_plays:11,hit_by_pitch:1,sac_hits:2,sac_flies:5,intentional_walks:23
pos:OF,name:Candy Maldonado,age:25,games:133,plate_appearances:432,at_bats:405,runs:49,hits:102,doubles:31,triples:3,home_runs:18,runs_batted_in:85,stolen_bases:4,caught_stealing:4,walks:20,strikeouts:77,batting_avg:.252,onbase:.289,slugging:.477,ops:erc">.477,ops+:lugging">.766,bases:193,double_plays:12,hit_by_pitch:3,sac_hits:0,sac_flies:4,intentional_walks:4
pos:C,name:Bob Melvin,age:24,games:89,plate_appearances:289,at_bats:268,runs:24,hits:60,doubles:14,triples:2,home_runs:5,runs_batted_in:25,stolen_bases:3,caught_stealing:2,walks:15,strikeouts:69,batting_avg:.224,onbase:.262,slugging:.347,ops:erc">.347,ops+:lugging">.609,bases:93,double_plays:7,hit_by_pitch:0,sac_hits:3,sac_flies:3,intentional_walks:1
pos:UT,name:Mike Aldrete,age:25,games:84,plate_appearances:256,at_bats:216,runs:27,hits:54,doubles:18,triples:3,home_runs:2,runs_batted_in:25,stolen_bases:1,caught_stealing:3,walks:33,strikeouts:34,batting_avg:.250,onbase:.353,slugging:.389,ops:erc">.389,ops+:lugging">.742,bases:84,double_plays:3,hit_by_pitch:2,sac_hits:4,sac_flies:1,intentional_walks:4
