pos:C,name:Benito Santiago,age:38,games:108,plate_appearances:434,at_bats:401,runs:53,hits:112,doubles:21,triples:2,home_runs:11,runs_batted_in:56,stolen_bases:0,caught_stealing:1,walks:29,strikeouts:69,batting_avg:.279,onbase:.329,slugging:.424,ops:erc">.424,ops+:lugging">.753,bases:170,double_plays:13,hit_by_pitch:2,sac_hits:0,sac_flies:2,intentional_walks:0
pos:1B,name:J.T. Snow,age:35,games:103,plate_appearances:396,at_bats:330,runs:48,hits:90,doubles:18,triples:3,home_runs:8,runs_batted_in:51,stolen_bases:1,caught_stealing:2,walks:55,strikeouts:55,batting_avg:.273,onbase:.387,slugging:.418,ops:erc">.418,ops+:lugging">.806,bases:138,double_plays:7,hit_by_pitch:8,sac_hits:1,sac_flies:2,intentional_walks:0
pos:2B,name:Ray Durham,age:31,games:110,plate_appearances:469,at_bats:410,runs:61,hits:117,doubles:30,triples:5,home_runs:8,runs_batted_in:33,stolen_bases:7,caught_stealing:7,walks:50,strikeouts:82,batting_avg:.285,onbase:.366,slugging:.441,ops:erc">.441,ops+:lugging">.807,bases:181,double_plays:4,hit_by_pitch:3,sac_hits:4,sac_flies:2,intentional_walks:2
pos:SS,name:Rich Aurilia,age:31,games:129,plate_appearances:545,at_bats:505,runs:65,hits:140,doubles:26,triples:1,home_runs:13,runs_batted_in:58,stolen_bases:2,caught_stealing:2,walks:36,strikeouts:82,batting_avg:.277,onbase:.325,slugging:.410,ops:erc">.410,ops+:lugging">.735,bases:207,double_plays:18,hit_by_pitch:1,sac_hits:0,sac_flies:3,intentional_walks:0
pos:3B,name:Edgardo Alfonzo,age:29,games:142,plate_appearances:586,at_bats:514,runs:56,hits:133,doubles:25,triples:2,home_runs:13,runs_batted_in:81,stolen_bases:5,caught_stealing:2,walks:58,strikeouts:41,batting_avg:.259,onbase:.334,slugging:.391,ops:erc">.391,ops+:lugging">.726,bases:201,double_plays:14,hit_by_pitch:4,sac_hits:3,sac_flies:7,intentional_walks:4
pos:LF,name:Barry Bonds,age:38,games:130,plate_appearances:550,at_bats:390,runs:111,hits:133,doubles:22,triples:1,home_runs:45,runs_batted_in:90,stolen_bases:7,caught_stealing:0,walks:148,strikeouts:58,batting_avg:.341,onbase:.529,slugging:.749,ops:erc">.749,ops+:lugging">1.278,bases:292,double_plays:7,hit_by_pitch:10,sac_hits:0,sac_flies:2,intentional_walks:61
pos:CF,name:Marquis Grissom,age:36,games:149,plate_appearances:618,at_bats:587,runs:82,hits:176,doubles:33,triples:3,home_runs:20,runs_batted_in:79,stolen_bases:11,caught_stealing:3,walks:20,strikeouts:82,batting_avg:.300,onbase:.322,slugging:.468,ops:erc">.468,ops+:lugging">.790,bases:275,double_plays:14,hit_by_pitch:2,sac_hits:3,sac_flies:6,intentional_walks:0
pos:RF,name:Jose Cruz,age:29,games:158,plate_appearances:650,at_bats:539,runs:90,hits:135,doubles:26,triples:1,home_runs:20,runs_batted_in:68,stolen_bases:5,caught_stealing:8,walks:102,strikeouts:121,batting_avg:.250,onbase:.366,slugging:.414,ops:erc">.414,ops+:lugging">.779,bases:223,double_plays:14,hit_by_pitch:0,sac_hits:2,sac_flies:7,intentional_walks:6
pos:MI,name:Neifi Perez,age:30,games:120,plate_appearances:353,at_bats:328,runs:27,hits:84,doubles:19,triples:4,home_runs:1,runs_batted_in:31,stolen_bases:3,caught_stealing:2,walks:14,strikeouts:23,batting_avg:.256,onbase:.285,slugging:.348,ops:erc">.348,ops+:lugging">.632,bases:114,double_plays:9,hit_by_pitch:0,sac_hits:9,sac_flies:2,intentional_walks:3
pos:1B,name:Andres Galarraga,age:42,games:110,plate_appearances:293,at_bats:272,runs:36,hits:82,doubles:15,triples:0,home_runs:12,runs_batted_in:42,stolen_bases:1,caught_stealing:3,walks:19,strikeouts:61,batting_avg:.301,onbase:.352,slugging:.489,ops:erc">.489,ops+:lugging">.841,bases:133,double_plays:9,hit_by_pitch:2,sac_hits:0,sac_flies:0,intentional_walks:1
pos:3B,name:Pedro Feliz,age:28,games:95,plate_appearances:249,at_bats:235,runs:31,hits:58,doubles:9,triples:3,home_runs:16,runs_batted_in:48,stolen_bases:2,caught_stealing:2,walks:10,strikeouts:53,batting_avg:.247,onbase:.278,slugging:.515,ops:erc">.515,ops+:lugging">.793,bases:121,double_plays:7,hit_by_pitch:1,sac_hits:1,sac_flies:2,intentional_walks:0
pos:C,name:Yorvit Torrealba,age:24,games:66,plate_appearances:221,at_bats:200,runs:22,hits:52,doubles:10,triples:2,home_runs:4,runs_batted_in:29,stolen_bases:1,caught_stealing:0,walks:14,strikeouts:39,batting_avg:.260,onbase:.312,slugging:.390,ops:erc">.390,ops+:lugging">.702,bases:78,double_plays:3,hit_by_pitch:2,sac_hits:3,sac_flies:2,intentional_walks:1
pos:OF,name:Jeffrey Hammonds,age:32,games:36,plate_appearances:108,at_bats:94,runs:20,hits:26,doubles:10,triples:0,home_runs:3,runs_batted_in:10,stolen_bases:1,caught_stealing:0,walks:13,strikeouts:21,batting_avg:.277,onbase:.370,slugging:.479,ops:erc">.479,ops+:lugging">.849,bases:45,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:2B,name:Eric Young Sr.,age:36,games:26,plate_appearances:82,at_bats:71,runs:9,hits:14,doubles:2,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:3,caught_stealing:5,walks:9,strikeouts:10,batting_avg:.197,onbase:.293,slugging:.225,ops:erc">.225,ops+:lugging">.518,bases:16,double_plays:3,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:0
pos:OF,name:Marvin Benard,age:32,games:46,plate_appearances:77,at_bats:71,runs:5,hits:14,doubles:3,triples:1,home_runs:0,runs_batted_in:4,stolen_bases:1,caught_stealing:0,walks:4,strikeouts:9,batting_avg:.197,onbase:.237,slugging:.268,ops:erc">.268,ops+:lugging">.504,bases:19,double_plays:3,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:0
pos:OF,name:Ruben Rivera,age:29,games:31,plate_appearances:55,at_bats:50,runs:6,hits:9,doubles:2,triples:0,home_runs:2,runs_batted_in:4,stolen_bases:1,caught_stealing:0,walks:5,strikeouts:14,batting_avg:.180,onbase:.255,slugging:.340,ops:erc">.340,ops+:lugging">.595,bases:17,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:OF,name:Todd Linden,age:23,games:18,plate_appearances:39,at_bats:38,runs:2,hits:8,doubles:1,triples:0,home_runs:1,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:8,batting_avg:.211,onbase:.231,slugging:.316,ops:erc">.316,ops+:lugging">.547,bases:12,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:SS,name:Cody Ransom,age:27,games:20,plate_appearances:28,at_bats:27,runs:7,hits:6,doubles:1,triples:0,home_runs:1,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:11,batting_avg:.222,onbase:.250,slugging:.370,ops:erc">.370,ops+:lugging">.620,bases:10,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Tony Torcato,age:23,games:14,plate_appearances:18,at_bats:16,runs:0,hits:3,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:4,batting_avg:.188,onbase:.235,slugging:.250,ops:erc">.250,ops+:lugging">.485,bases:4,double_plays:0,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:0
pos:C,name:Alberto Castillo,age:33,games:11,plate_appearances:15,at_bats:15,runs:2,hits:3,doubles:1,triples:0,home_runs:1,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:5,batting_avg:.200,onbase:.200,slugging:.467,ops:erc">.467,ops+:lugging">.667,bases:7,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Francisco Santos,age:29,games:8,plate_appearances:15,at_bats:15,runs:2,hits:3,doubles:2,triples:0,home_runs:1,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.200,onbase:.200,slugging:.533,ops:erc">.533,ops+:lugging">.733,bases:8,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Jason Ellison,age:25,games:7,plate_appearances:10,at_bats:10,runs:1,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.100,onbase:.100,slugging:.100,ops:erc">.100,ops+:lugging">.200,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Carlos Valderrama,age:25,games:7,plate_appearances:7,at_bats:7,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:1,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.143,onbase:.143,slugging:.143,ops:erc">.143,ops+:lugging">.286,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
