pos:C,name:Joe Torre,age:29,games:161,plate_appearances:704,at_bats:624,runs:89,hits:203,doubles:27,triples:9,home_runs:21,runs_batted_in:100,stolen_bases:2,caught_stealing:2,walks:70,strikeouts:91,batting_avg:.325,onbase:.398,slugging:.498,ops:erc">.498,ops+:lugging">.896,bases:311,double_plays:23,hit_by_pitch:7,sac_hits:0,sac_flies:3,intentional_walks:10
pos:1B,name:Dick Allen,age:28,games:122,plate_appearances:533,at_bats:459,runs:88,hits:128,doubles:17,triples:5,home_runs:34,runs_batted_in:101,stolen_bases:5,caught_stealing:4,walks:71,strikeouts:118,batting_avg:.279,onbase:.377,slugging:.560,ops:erc">.560,ops+:lugging">.937,bases:257,double_plays:9,hit_by_pitch:2,sac_hits:0,sac_flies:1,intentional_walks:16
pos:2B,name:Julian Javier,age:33,games:139,plate_appearances:552,at_bats:513,runs:62,hits:129,doubles:16,triples:3,home_runs:2,runs_batted_in:42,stolen_bases:6,caught_stealing:4,walks:24,strikeouts:70,batting_avg:.251,onbase:.284,slugging:.306,ops:erc">.306,ops+:lugging">.590,bases:157,double_plays:14,hit_by_pitch:1,sac_hits:9,sac_flies:4,intentional_walks:6
pos:SS,name:Dal Maxvill,age:31,games:152,plate_appearances:466,at_bats:399,runs:35,hits:80,doubles:5,triples:2,home_runs:0,runs_batted_in:28,stolen_bases:0,caught_stealing:0,walks:51,strikeouts:56,batting_avg:.201,onbase:.287,slugging:.223,ops:erc">.223,ops+:lugging">.510,bases:89,double_plays:8,hit_by_pitch:0,sac_hits:9,sac_flies:7,intentional_walks:3
pos:3B,name:Mike Shannon,age:30,games:55,plate_appearances:193,at_bats:174,runs:18,hits:37,doubles:9,triples:2,home_runs:0,runs_batted_in:22,stolen_bases:1,caught_stealing:1,walks:16,strikeouts:20,batting_avg:.213,onbase:.275,slugging:.287,ops:erc">.287,ops+:lugging">.562,bases:50,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:3,intentional_walks:4
pos:LF,name:Lou Brock,age:31,games:155,plate_appearances:729,at_bats:664,runs:114,hits:202,doubles:29,triples:5,home_runs:13,runs_batted_in:57,stolen_bases:51,caught_stealing:15,walks:60,strikeouts:99,batting_avg:.304,onbase:.361,slugging:.422,ops:erc">.422,ops+:lugging">.783,bases:280,double_plays:10,hit_by_pitch:1,sac_hits:1,sac_flies:3,intentional_walks:12
pos:CF,name:Jose Cardenal,age:26,games:148,plate_appearances:599,at_bats:552,runs:73,hits:162,doubles:32,triples:6,home_runs:10,runs_batted_in:74,stolen_bases:26,caught_stealing:9,walks:45,strikeouts:70,batting_avg:.293,onbase:.348,slugging:.428,ops:erc">.428,ops+:lugging">.775,bases:236,double_plays:14,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:0
pos:RF,name:Leron Lee,age:22,games:121,plate_appearances:294,at_bats:264,runs:28,hits:60,doubles:13,triples:1,home_runs:6,runs_batted_in:23,stolen_bases:5,caught_stealing:1,walks:24,strikeouts:66,batting_avg:.227,onbase:.290,slugging:.352,ops:erc">.352,ops+:lugging">.642,bases:93,double_plays:4,hit_by_pitch:1,sac_hits:1,sac_flies:4,intentional_walks:4
pos:UT,name:Joe Hague,age:26,games:139,plate_appearances:524,at_bats:451,runs:58,hits:122,doubles:16,triples:4,home_runs:14,runs_batted_in:68,stolen_bases:2,caught_stealing:1,walks:63,strikeouts:87,batting_avg:.271,onbase:.358,slugging:.417,ops:erc">.417,ops+:lugging">.775,bases:188,double_plays:12,hit_by_pitch:1,sac_hits:4,sac_flies:5,intentional_walks:3
pos:C,name:Ted Simmons,age:20,games:82,plate_appearances:324,at_bats:284,runs:29,hits:69,doubles:8,triples:2,home_runs:3,runs_batted_in:24,stolen_bases:2,caught_stealing:2,walks:37,strikeouts:37,batting_avg:.243,onbase:.333,slugging:.317,ops:erc">.317,ops+:lugging">.650,bases:90,double_plays:5,hit_by_pitch:2,sac_hits:0,sac_flies:1,intentional_walks:5
pos:RF,name:Carl Taylor,age:26,games:104,plate_appearances:289,at_bats:245,runs:39,hits:61,doubles:12,triples:2,home_runs:6,runs_batted_in:45,stolen_bases:5,caught_stealing:2,walks:41,strikeouts:30,batting_avg:.249,onbase:.358,slugging:.388,ops:erc">.388,ops+:lugging">.745,bases:95,double_plays:11,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:0
