pos:C,name:Ted Simmons,age:30,games:145,plate_appearances:562,at_bats:495,runs:84,hits:150,doubles:33,triples:2,home_runs:21,runs_batted_in:98,stolen_bases:1,caught_stealing:0,walks:59,strikeouts:45,batting_avg:.303,onbase:.375,slugging:.505,ops:erc">.505,ops+:lugging">.880,bases:250,double_plays:13,hit_by_pitch:2,sac_hits:0,sac_flies:6,intentional_walks:13
pos:1B,name:Keith Hernandez,age:26,games:159,plate_appearances:690,at_bats:595,runs:111,hits:191,doubles:39,triples:8,home_runs:16,runs_batted_in:99,stolen_bases:14,caught_stealing:8,walks:86,strikeouts:73,batting_avg:.321,onbase:.408,slugging:.494,ops:erc">.494,ops+:lugging">.902,bases:294,double_plays:14,hit_by_pitch:4,sac_hits:1,sac_flies:4,intentional_walks:4
pos:2B,name:Ken Oberkfell,age:24,games:116,plate_appearances:486,at_bats:422,runs:58,hits:128,doubles:27,triples:6,home_runs:3,runs_batted_in:46,stolen_bases:4,caught_stealing:4,walks:51,strikeouts:23,batting_avg:.303,onbase:.377,slugging:.417,ops:erc">.417,ops+:lugging">.794,bases:176,double_plays:11,hit_by_pitch:1,sac_hits:9,sac_flies:3,intentional_walks:8
pos:SS,name:Garry Templeton,age:24,games:118,plate_appearances:524,at_bats:504,runs:83,hits:161,doubles:19,triples:9,home_runs:4,runs_batted_in:43,stolen_bases:31,caught_stealing:15,walks:18,strikeouts:43,batting_avg:.319,onbase:.342,slugging:.417,ops:erc">.417,ops+:lugging">.759,bases:210,double_plays:13,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:6
pos:3B,name:Ken Reitz,age:29,games:151,plate_appearances:561,at_bats:523,runs:39,hits:141,doubles:33,triples:0,home_runs:8,runs_batted_in:58,stolen_bases:0,caught_stealing:1,walks:22,strikeouts:44,batting_avg:.270,onbase:.300,slugging:.379,ops:erc">.379,ops+:lugging">.679,bases:198,double_plays:16,hit_by_pitch:3,sac_hits:8,sac_flies:5,intentional_walks:5
pos:LF,name:Bobby Bonds,age:34,games:86,plate_appearances:270,at_bats:231,runs:37,hits:47,doubles:5,triples:3,home_runs:5,runs_batted_in:24,stolen_bases:15,caught_stealing:5,walks:33,strikeouts:74,batting_avg:.203,onbase:.305,slugging:.316,ops:erc">.316,ops+:lugging">.621,bases:73,double_plays:4,hit_by_pitch:2,sac_hits:1,sac_flies:3,intentional_walks:3
pos:CF,name:Tony Scott,age:28,games:143,plate_appearances:461,at_bats:415,runs:51,hits:104,doubles:19,triples:3,home_runs:0,runs_batted_in:28,stolen_bases:22,caught_stealing:10,walks:35,strikeouts:68,batting_avg:.251,onbase:.308,slugging:.311,ops:erc">.311,ops+:lugging">.619,bases:129,double_plays:8,hit_by_pitch:1,sac_hits:5,sac_flies:4,intentional_walks:9
pos:RF,name:George Hendrick,age:30,games:150,plate_appearances:614,at_bats:572,runs:73,hits:173,doubles:33,triples:2,home_runs:25,runs_batted_in:109,stolen_bases:6,caught_stealing:1,walks:32,strikeouts:67,batting_avg:.302,onbase:.342,slugging:.498,ops:erc">.498,ops+:lugging">.840,bases:285,double_plays:14,hit_by_pitch:4,sac_hits:1,sac_flies:4,intentional_walks:9
pos:OF,name:Leon Durham,age:22,games:96,plate_appearances:330,at_bats:303,runs:42,hits:82,doubles:15,triples:4,home_runs:8,runs_batted_in:42,stolen_bases:8,caught_stealing:5,walks:18,strikeouts:55,batting_avg:.271,onbase:.309,slugging:.426,ops:erc">.426,ops+:lugging">.735,bases:129,double_plays:3,hit_by_pitch:1,sac_hits:3,sac_flies:5,intentional_walks:1
pos:UT,name:Terry Kennedy,age:24,games:84,plate_appearances:281,at_bats:248,runs:28,hits:63,doubles:12,triples:3,home_runs:4,runs_batted_in:34,stolen_bases:0,caught_stealing:0,walks:28,strikeouts:34,batting_avg:.254,onbase:.325,slugging:.375,ops:erc">.375,ops+:lugging">.700,bases:93,double_plays:9,hit_by_pitch:0,sac_hits:1,sac_flies:4,intentional_walks:3
pos:LF,name:Dane Iorg,age:30,games:105,plate_appearances:275,at_bats:251,runs:33,hits:76,doubles:23,triples:1,home_runs:3,runs_batted_in:36,stolen_bases:1,caught_stealing:1,walks:20,strikeouts:34,batting_avg:.303,onbase:.349,slugging:.438,ops:erc">.438,ops+:lugging">.787,bases:110,double_plays:5,hit_by_pitch:0,sac_hits:0,sac_flies:4,intentional_walks:2
pos:2B,name:Tom Herr,age:24,games:76,plate_appearances:242,at_bats:222,runs:29,hits:55,doubles:12,triples:5,home_runs:0,runs_batted_in:15,stolen_bases:9,caught_stealing:2,walks:16,strikeouts:21,batting_avg:.248,onbase:.299,slugging:.347,ops:erc">.347,ops+:lugging">.646,bases:77,double_plays:8,hit_by_pitch:1,sac_hits:1,sac_flies:2,intentional_walks:5
pos:SS,name:Mike Phillips,age:29,games:63,plate_appearances:138,at_bats:128,runs:13,hits:30,doubles:5,triples:0,home_runs:0,runs_batted_in:7,stolen_bases:0,caught_stealing:0,walks:9,strikeouts:17,batting_avg:.234,onbase:.283,slugging:.273,ops:erc">.273,ops+:lugging">.556,bases:35,double_plays:7,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:3
pos:MI,name:Mike Ramsey,age:26,games:59,plate_appearances:129,at_bats:126,runs:11,hits:33,doubles:8,triples:1,home_runs:0,runs_batted_in:8,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:17,batting_avg:.262,onbase:.279,slugging:.341,ops:erc">.341,ops+:lugging">.620,bases:43,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:2
pos:OF,name:Tito Landrum,age:25,games:35,plate_appearances:85,at_bats:77,runs:6,hits:19,doubles:2,triples:2,home_runs:0,runs_batted_in:7,stolen_bases:3,caught_stealing:2,walks:6,strikeouts:17,batting_avg:.247,onbase:.306,slugging:.325,ops:erc">.325,ops+:lugging">.631,bases:25,double_plays:3,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:0
pos:OF,name:Keith Smith,age:27,games:24,plate_appearances:33,at_bats:31,runs:3,hits:4,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:2,batting_avg:.129,onbase:.182,slugging:.161,ops:erc">.161,ops+:lugging">.343,bases:5,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:C,name:Steve Swisher,age:28,games:18,plate_appearances:25,at_bats:24,runs:2,hits:6,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:7,batting_avg:.250,onbase:.280,slugging:.292,ops:erc">.292,ops+:lugging">.572,bases:7,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos: ,name:Bernie Carbo,age:32,games:14,plate_appearances:13,at_bats:11,runs:0,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:0,batting_avg:.182,onbase:.250,slugging:.182,ops:erc">.182,ops+:lugging">.432,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:3B,name:Ty Waller,age:23,games:5,plate_appearances:13,at_bats:12,runs:3,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:5,batting_avg:.083,onbase:.154,slugging:.083,ops:erc">.083,ops+:lugging">.237,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Joe DeSa,age:20,games:7,plate_appearances:11,at_bats:11,runs:0,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.273,onbase:.273,slugging:.273,ops:erc">.273,ops+:lugging">.545,bases:3,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
