pos:C,name:Mike LaValliere,age:25,games:110,plate_appearances:350,at_bats:303,runs:18,hits:71,doubles:10,triples:2,home_runs:3,runs_batted_in:30,stolen_bases:0,caught_stealing:1,walks:36,strikeouts:37,batting_avg:.234,onbase:.318,slugging:.310,ops:erc">.310,ops+:lugging">.628,bases:94,double_plays:7,hit_by_pitch:1,sac_hits:10,sac_flies:0,intentional_walks:5
pos:1B,name:Jack Clark,age:30,games:65,plate_appearances:280,at_bats:232,runs:34,hits:55,doubles:12,triples:2,home_runs:9,runs_batted_in:23,stolen_bases:1,caught_stealing:1,walks:45,strikeouts:61,batting_avg:.237,onbase:.362,slugging:.422,ops:erc">.422,ops+:lugging">.784,bases:98,double_plays:4,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:4
pos:2B,name:Tom Herr,age:30,games:152,plate_appearances:647,at_bats:559,runs:48,hits:141,doubles:30,triples:4,home_runs:2,runs_batted_in:61,stolen_bases:22,caught_stealing:8,walks:73,strikeouts:75,batting_avg:.252,onbase:.342,slugging:.331,ops:erc">.331,ops+:lugging">.673,bases:185,double_plays:8,hit_by_pitch:5,sac_hits:6,sac_flies:4,intentional_walks:10
pos:SS,name:Ozzie Smith,age:31,games:153,plate_appearances:609,at_bats:514,runs:67,hits:144,doubles:19,triples:4,home_runs:0,runs_batted_in:54,stolen_bases:31,caught_stealing:7,walks:79,strikeouts:27,batting_avg:.280,onbase:.376,slugging:.333,ops:erc">.333,ops+:lugging">.709,bases:171,double_plays:9,hit_by_pitch:2,sac_hits:11,sac_flies:3,intentional_walks:13
pos:3B,name:Terry Pendleton,age:25,games:159,plate_appearances:626,at_bats:578,runs:56,hits:138,doubles:26,triples:5,home_runs:1,runs_batted_in:59,stolen_bases:24,caught_stealing:6,walks:34,strikeouts:59,batting_avg:.239,onbase:.279,slugging:.306,ops:erc">.306,ops+:lugging">.585,bases:177,double_plays:12,hit_by_pitch:1,sac_hits:6,sac_flies:7,intentional_walks:10
pos:LF,name:Vince Coleman,age:24,games:154,plate_appearances:670,at_bats:600,runs:94,hits:139,doubles:13,triples:8,home_runs:0,runs_batted_in:29,stolen_bases:107,caught_stealing:14,walks:60,strikeouts:98,batting_avg:.232,onbase:.301,slugging:.280,ops:erc">.280,ops+:lugging">.581,bases:168,double_plays:4,hit_by_pitch:2,sac_hits:3,sac_flies:5,intentional_walks:0
pos:CF,name:Willie McGee,age:27,games:124,plate_appearances:539,at_bats:497,runs:65,hits:127,doubles:22,triples:7,home_runs:7,runs_batted_in:48,stolen_bases:19,caught_stealing:16,walks:37,strikeouts:82,batting_avg:.256,onbase:.306,slugging:.370,ops:erc">.370,ops+:lugging">.676,bases:184,double_plays:8,hit_by_pitch:1,sac_hits:0,sac_flies:4,intentional_walks:7
pos:RF,name:Andy Van Slyke,age:25,games:137,plate_appearances:470,at_bats:418,runs:48,hits:113,doubles:23,triples:7,home_runs:13,runs_batted_in:61,stolen_bases:21,caught_stealing:8,walks:47,strikeouts:85,batting_avg:.270,onbase:.343,slugging:.452,ops:erc">.452,ops+:lugging">.795,bases:189,double_plays:2,hit_by_pitch:1,sac_hits:1,sac_flies:3,intentional_walks:5
pos:OF,name:Curt Ford,age:25,games:85,plate_appearances:240,at_bats:214,runs:30,hits:53,doubles:15,triples:2,home_runs:2,runs_batted_in:29,stolen_bases:13,caught_stealing:5,walks:23,strikeouts:29,batting_avg:.248,onbase:.318,slugging:.364,ops:erc">.364,ops+:lugging">.682,bases:78,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:2,intentional_walks:2
pos:RF,name:Tito Landrum,age:31,games:96,plate_appearances:230,at_bats:205,runs:24,hits:43,doubles:7,triples:1,home_runs:2,runs_batted_in:17,stolen_bases:3,caught_stealing:1,walks:20,strikeouts:41,batting_avg:.210,onbase:.279,slugging:.283,ops:erc">.283,ops+:lugging">.562,bases:58,double_plays:5,hit_by_pitch:1,sac_hits:1,sac_flies:3,intentional_walks:2
pos:C,name:Mike Heath,age:31,games:65,plate_appearances:216,at_bats:190,runs:19,hits:39,doubles:8,triples:1,home_runs:4,runs_batted_in:25,stolen_bases:2,caught_stealing:3,walks:23,strikeouts:36,batting_avg:.205,onbase:.293,slugging:.321,ops:erc">.321,ops+:lugging">.614,bases:61,double_plays:5,hit_by_pitch:1,sac_hits:1,sac_flies:1,intentional_walks:4
pos:1B,name:Clint Hurdle,age:28,games:78,plate_appearances:184,at_bats:154,runs:18,hits:30,doubles:5,triples:1,home_runs:3,runs_batted_in:15,stolen_bases:0,caught_stealing:0,walks:26,strikeouts:38,batting_avg:.195,onbase:.311,slugging:.299,ops:erc">.299,ops+:lugging">.610,bases:46,double_plays:2,hit_by_pitch:1,sac_hits:1,sac_flies:2,intentional_walks:0
pos:MI,name:Jose Oquendo,age:22,games:76,plate_appearances:158,at_bats:138,runs:20,hits:41,doubles:4,triples:1,home_runs:0,runs_batted_in:13,stolen_bases:2,caught_stealing:3,walks:15,strikeouts:20,batting_avg:.297,onbase:.359,slugging:.341,ops:erc">.341,ops+:lugging">.700,bases:47,double_plays:3,hit_by_pitch:0,sac_hits:2,sac_flies:3,intentional_walks:4
pos:RF,name:John Morris,age:25,games:39,plate_appearances:108,at_bats:100,runs:8,hits:24,doubles:0,triples:1,home_runs:1,runs_batted_in:14,stolen_bases:6,caught_stealing:2,walks:7,strikeouts:15,batting_avg:.240,onbase:.287,slugging:.290,ops:erc">.290,ops+:lugging">.577,bases:29,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:2
pos:1B,name:Alan Knicely,age:31,games:34,plate_appearances:100,at_bats:82,runs:8,hits:16,doubles:3,triples:0,home_runs:1,runs_batted_in:6,stolen_bases:1,caught_stealing:1,walks:17,strikeouts:21,batting_avg:.195,onbase:.330,slugging:.268,ops:erc">.268,ops+:lugging">.598,bases:22,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:1B,name:Jim Lindeman,age:24,games:19,plate_appearances:58,at_bats:55,runs:7,hits:14,doubles:1,triples:0,home_runs:1,runs_batted_in:6,stolen_bases:1,caught_stealing:1,walks:2,strikeouts:10,batting_avg:.255,onbase:.276,slugging:.327,ops:erc">.327,ops+:lugging">.603,bases:18,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:1B,name:Mike Laga,age:26,games:18,plate_appearances:52,at_bats:46,runs:7,hits:10,doubles:4,triples:0,home_runs:3,runs_batted_in:8,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:18,batting_avg:.217,onbase:.308,slugging:.500,ops:erc">.500,ops+:lugging">.808,bases:23,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:1
pos:C,name:Steve Lake,age:29,games:26,plate_appearances:51,at_bats:49,runs:4,hits:12,doubles:1,triples:0,home_runs:2,runs_batted_in:10,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:5,batting_avg:.245,onbase:.275,slugging:.388,ops:erc">.388,ops+:lugging">.662,bases:19,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Tom Lawless,age:29,games:46,plate_appearances:45,at_bats:39,runs:5,hits:11,doubles:1,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:8,caught_stealing:1,walks:2,strikeouts:8,batting_avg:.282,onbase:.310,slugging:.308,ops:erc">.308,ops+:lugging">.617,bases:12,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:1,intentional_walks:0
pos:OF,name:Jerry White,age:33,games:25,plate_appearances:29,at_bats:24,runs:1,hits:3,doubles:0,triples:0,home_runs:1,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:3,batting_avg:.125,onbase:.179,slugging:.250,ops:erc">.250,ops+:lugging">.429,bases:6,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:2,intentional_walks:0
pos:IF,name:Fred Manrique,age:24,games:13,plate_appearances:18,at_bats:17,runs:2,hits:3,doubles:0,triples:0,home_runs:1,runs_batted_in:1,stolen_bases:1,caught_stealing:0,walks:1,strikeouts:1,batting_avg:.176,onbase:.222,slugging:.353,ops:erc">.353,ops+:lugging">.575,bases:6,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Bob Forsch,age:36,games:34,plate_appearances:88,at_bats:76,runs:7,hits:13,doubles:4,triples:1,home_runs:2,runs_batted_in:12,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:24,batting_avg:.171,onbase:.169,slugging:.329,ops:erc">.329,ops+:lugging">.498,bases:25,double_plays:1,hit_by_pitch:0,sac_hits:11,sac_flies:1,intentional_walks:0
pos:P,name:John Tudor,age:32,games:30,plate_appearances:87,at_bats:72,runs:6,hits:11,doubles:1,triples:0,home_runs:0,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:22,batting_avg:.153,onbase:.162,slugging:.167,ops:erc">.167,ops+:lugging">.329,bases:12,double_plays:0,hit_by_pitch:0,sac_hits:13,sac_flies:1,intentional_walks:0
