pos:C,name:Eli Marrero,age:24,games:83,plate_appearances:284,at_bats:254,runs:28,hits:62,doubles:18,triples:1,home_runs:4,runs_batted_in:20,stolen_bases:6,caught_stealing:2,walks:28,strikeouts:42,batting_avg:.244,onbase:.318,slugging:.370,ops:erc">.370,ops+:lugging">.688,bases:94,double_plays:5,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:5
pos:1B,name:Mark McGwire,age:34,games:155,plate_appearances:681,at_bats:509,runs:130,hits:152,doubles:21,triples:0,home_runs:70,runs_batted_in:147,stolen_bases:1,caught_stealing:0,walks:162,strikeouts:155,batting_avg:.299,onbase:.470,slugging:.752,ops:erc">.752,ops+:lugging">1.222,bases:383,double_plays:8,hit_by_pitch:6,sac_hits:0,sac_flies:4,intentional_walks:28
pos:2B,name:Delino DeShields,age:29,games:117,plate_appearances:484,at_bats:420,runs:74,hits:122,doubles:21,triples:8,home_runs:7,runs_batted_in:44,stolen_bases:26,caught_stealing:10,walks:56,strikeouts:61,batting_avg:.290,onbase:.371,slugging:.429,ops:erc">.429,ops+:lugging">.799,bases:180,double_plays:6,hit_by_pitch:0,sac_hits:4,sac_flies:4,intentional_walks:2
pos:SS,name:Royce Clayton,age:28,games:90,plate_appearances:402,at_bats:355,runs:59,hits:83,doubles:19,triples:1,home_runs:4,runs_batted_in:29,stolen_bases:19,caught_stealing:6,walks:40,strikeouts:51,batting_avg:.234,onbase:.313,slugging:.327,ops:erc">.327,ops+:lugging">.640,bases:116,double_plays:10,hit_by_pitch:2,sac_hits:3,sac_flies:2,intentional_walks:1
pos:3B,name:Gary Gaetti,age:39,games:91,plate_appearances:345,at_bats:306,runs:39,hits:81,doubles:23,triples:1,home_runs:11,runs_batted_in:43,stolen_bases:1,caught_stealing:1,walks:31,strikeouts:39,batting_avg:.265,onbase:.339,slugging:.454,ops:erc">.454,ops+:lugging">.793,bases:139,double_plays:10,hit_by_pitch:5,sac_hits:0,sac_flies:3,intentional_walks:1
pos:LF,name:Ron Gant,age:33,games:121,plate_appearances:438,at_bats:383,runs:60,hits:92,doubles:17,triples:1,home_runs:26,runs_batted_in:67,stolen_bases:8,caught_stealing:0,walks:51,strikeouts:92,batting_avg:.240,onbase:.331,slugging:.493,ops:erc">.493,ops+:lugging">.825,bases:189,double_plays:6,hit_by_pitch:2,sac_hits:0,sac_flies:2,intentional_walks:2
pos:CF,name:Ray Lankford,age:31,games:154,plate_appearances:626,at_bats:533,runs:94,hits:156,doubles:37,triples:1,home_runs:31,runs_batted_in:105,stolen_bases:26,caught_stealing:5,walks:86,strikeouts:151,batting_avg:.293,onbase:.391,slugging:.540,ops:erc">.540,ops+:lugging">.932,bases:288,double_plays:4,hit_by_pitch:3,sac_hits:0,sac_flies:4,intentional_walks:5
pos:RF,name:Brian Jordan,age:31,games:150,plate_appearances:617,at_bats:564,runs:100,hits:178,doubles:34,triples:7,home_runs:25,runs_batted_in:91,stolen_bases:17,caught_stealing:5,walks:40,strikeouts:66,batting_avg:.316,onbase:.368,slugging:.534,ops:erc">.534,ops+:lugging">.902,bases:301,double_plays:18,hit_by_pitch:9,sac_hits:0,sac_flies:4,intentional_walks:1
pos:UT,name:John Mabry,age:27,games:142,plate_appearances:413,at_bats:377,runs:41,hits:94,doubles:22,triples:0,home_runs:9,runs_batted_in:46,stolen_bases:0,caught_stealing:2,walks:30,strikeouts:76,batting_avg:.249,onbase:.305,slugging:.379,ops:erc">.379,ops+:lugging">.684,bases:143,double_plays:6,hit_by_pitch:1,sac_hits:3,sac_flies:2,intentional_walks:6
pos:OF,name:Willie McGee,age:39,games:120,plate_appearances:286,at_bats:269,runs:27,hits:68,doubles:10,triples:1,home_runs:3,runs_batted_in:34,stolen_bases:7,caught_stealing:2,walks:14,strikeouts:49,batting_avg:.253,onbase:.287,slugging:.331,ops:erc">.331,ops+:lugging">.618,bases:89,double_plays:6,hit_by_pitch:0,sac_hits:0,sac_flies:3,intentional_walks:5
pos:C,name:Tom Lampkin,age:34,games:93,plate_appearances:248,at_bats:216,runs:25,hits:50,doubles:12,triples:1,home_runs:6,runs_batted_in:28,stolen_bases:3,caught_stealing:2,walks:24,strikeouts:32,batting_avg:.231,onbase:.328,slugging:.380,ops:erc">.380,ops+:lugging">.708,bases:82,double_plays:5,hit_by_pitch:7,sac_hits:1,sac_flies:0,intentional_walks:5
