pos:C,name:Mike Matheny,age:31,games:110,plate_appearances:363,at_bats:315,runs:31,hits:77,doubles:12,triples:1,home_runs:3,runs_batted_in:35,stolen_bases:1,caught_stealing:3,walks:32,strikeouts:49,batting_avg:.244,onbase:.313,slugging:.317,ops:erc">.317,ops+:lugging">.630,bases:100,double_plays:3,hit_by_pitch:2,sac_hits:8,sac_flies:6,intentional_walks:6
pos:1B,name:Tino Martinez,age:34,games:150,plate_appearances:576,at_bats:511,runs:63,hits:134,doubles:25,triples:1,home_runs:21,runs_batted_in:75,stolen_bases:3,caught_stealing:2,walks:58,strikeouts:71,batting_avg:.262,onbase:.337,slugging:.438,ops:erc">.438,ops+:lugging">.776,bases:224,double_plays:12,hit_by_pitch:2,sac_hits:1,sac_flies:4,intentional_walks:9
pos:2B,name:Fernando Vina,age:33,games:150,plate_appearances:692,at_bats:622,runs:75,hits:168,doubles:29,triples:5,home_runs:1,runs_batted_in:54,stolen_bases:17,caught_stealing:11,walks:44,strikeouts:36,batting_avg:.270,onbase:.333,slugging:.338,ops:erc">.338,ops+:lugging">.670,bases:210,double_plays:11,hit_by_pitch:18,sac_hits:1,sac_flies:7,intentional_walks:2
pos:SS,name:Edgar Renteria,age:25,games:152,plate_appearances:609,at_bats:544,runs:77,hits:166,doubles:36,triples:2,home_runs:11,runs_batted_in:83,stolen_bases:22,caught_stealing:7,walks:49,strikeouts:57,batting_avg:.305,onbase:.364,slugging:.439,ops:erc">.439,ops+:lugging">.803,bases:239,double_plays:17,hit_by_pitch:4,sac_hits:7,sac_flies:5,intentional_walks:7
pos:3B,name:Placido Polanco,age:26,games:94,plate_appearances:367,at_bats:342,runs:47,hits:97,doubles:19,triples:1,home_runs:5,runs_batted_in:27,stolen_bases:3,caught_stealing:1,walks:12,strikeouts:27,batting_avg:.284,onbase:.316,slugging:.389,ops:erc">.389,ops+:lugging">.705,bases:133,double_plays:12,hit_by_pitch:4,sac_hits:9,sac_flies:0,intentional_walks:1
pos:LF,name:Albert Pujols,age:22,games:157,plate_appearances:675,at_bats:590,runs:118,hits:185,doubles:40,triples:2,home_runs:34,runs_batted_in:127,stolen_bases:2,caught_stealing:4,walks:72,strikeouts:69,batting_avg:.314,onbase:.394,slugging:.561,ops:erc">.561,ops+:lugging">.955,bases:331,double_plays:20,hit_by_pitch:9,sac_hits:0,sac_flies:4,intentional_walks:13
pos:CF,name:Jim Edmonds,age:32,games:144,plate_appearances:576,at_bats:476,runs:96,hits:148,doubles:31,triples:2,home_runs:28,runs_batted_in:83,stolen_bases:4,caught_stealing:3,walks:86,strikeouts:134,batting_avg:.311,onbase:.420,slugging:.561,ops:erc">.561,ops+:lugging">.981,bases:267,double_plays:9,hit_by_pitch:8,sac_hits:0,sac_flies:6,intentional_walks:14
pos:RF,name:J.D. Drew,age:26,games:135,plate_appearances:496,at_bats:424,runs:61,hits:107,doubles:19,triples:1,home_runs:18,runs_batted_in:56,stolen_bases:8,caught_stealing:2,walks:57,strikeouts:104,batting_avg:.252,onbase:.349,slugging:.429,ops:erc">.429,ops+:lugging">.778,bases:182,double_plays:4,hit_by_pitch:8,sac_hits:3,sac_flies:4,intentional_walks:4
pos:UT,name:Eli Marrero,age:28,games:131,plate_appearances:446,at_bats:397,runs:63,hits:104,doubles:19,triples:1,home_runs:18,runs_batted_in:66,stolen_bases:14,caught_stealing:2,walks:40,strikeouts:72,batting_avg:.262,onbase:.327,slugging:.451,ops:erc">.451,ops+:lugging">.777,bases:179,double_plays:5,hit_by_pitch:0,sac_hits:5,sac_flies:4,intentional_walks:11
pos:3B,name:Scott Rolen,age:27,games:55,plate_appearances:229,at_bats:205,runs:37,hits:57,doubles:8,triples:4,home_runs:14,runs_batted_in:44,stolen_bases:3,caught_stealing:2,walks:20,strikeouts:34,batting_avg:.278,onbase:.354,slugging:.561,ops:erc">.561,ops+:lugging">.915,bases:115,double_plays:10,hit_by_pitch:4,sac_hits:0,sac_flies:0,intentional_walks:2
pos:UT,name:Miguel Cairo,age:28,games:108,plate_appearances:208,at_bats:184,runs:28,hits:46,doubles:9,triples:2,home_runs:2,runs_batted_in:23,stolen_bases:1,caught_stealing:1,walks:13,strikeouts:36,batting_avg:.250,onbase:.307,slugging:.353,ops:erc">.353,ops+:lugging">.660,bases:65,double_plays:5,hit_by_pitch:3,sac_hits:6,sac_flies:2,intentional_walks:2
