pos:C,name:Yadier Molina,age:28,games:139,plate_appearances:518,at_bats:475,runs:55,hits:145,doubles:32,triples:1,home_runs:14,runs_batted_in:65,stolen_bases:4,caught_stealing:5,walks:33,strikeouts:44,batting_avg:.305,onbase:.349,slugging:.465,ops:erc">.465,ops+:lugging">.814,bases:221,double_plays:21,hit_by_pitch:1,sac_hits:5,sac_flies:4,intentional_walks:4
pos:1B,name:Albert Pujols,age:31,games:147,plate_appearances:651,at_bats:579,runs:105,hits:173,doubles:29,triples:0,home_runs:37,runs_batted_in:99,stolen_bases:9,caught_stealing:1,walks:61,strikeouts:58,batting_avg:.299,onbase:.366,slugging:.541,ops:erc">.541,ops+:lugging">.906,bases:313,double_plays:29,hit_by_pitch:4,sac_hits:0,sac_flies:7,intentional_walks:15
pos:2B,name:Skip Schumaker,age:31,games:117,plate_appearances:400,at_bats:367,runs:34,hits:104,doubles:19,triples:0,home_runs:2,runs_batted_in:38,stolen_bases:0,caught_stealing:2,walks:27,strikeouts:50,batting_avg:.283,onbase:.333,slugging:.351,ops:erc">.351,ops+:lugging">.685,bases:129,double_plays:10,hit_by_pitch:2,sac_hits:1,sac_flies:3,intentional_walks:3
pos:SS,name:Ryan Theriot,age:31,games:132,plate_appearances:483,at_bats:442,runs:46,hits:120,doubles:26,triples:1,home_runs:1,runs_batted_in:47,stolen_bases:4,caught_stealing:6,walks:29,strikeouts:41,batting_avg:.271,onbase:.321,slugging:.342,ops:erc">.342,ops+:lugging">.662,bases:151,double_plays:15,hit_by_pitch:4,sac_hits:6,sac_flies:2,intentional_walks:0
pos:3B,name:David Freese,age:28,games:97,plate_appearances:363,at_bats:333,runs:41,hits:99,doubles:16,triples:1,home_runs:10,runs_batted_in:55,stolen_bases:1,caught_stealing:0,walks:24,strikeouts:75,batting_avg:.297,onbase:.350,slugging:.441,ops:erc">.441,ops+:lugging">.791,bases:147,double_plays:18,hit_by_pitch:4,sac_hits:0,sac_flies:2,intentional_walks:0
pos:LF,name:Matt Holliday,age:31,games:124,plate_appearances:516,at_bats:446,runs:83,hits:132,doubles:36,triples:0,home_runs:22,runs_batted_in:75,stolen_bases:2,caught_stealing:1,walks:60,strikeouts:93,batting_avg:.296,onbase:.388,slugging:.525,ops:erc">.525,ops+:lugging">.912,bases:234,double_plays:21,hit_by_pitch:8,sac_hits:0,sac_flies:2,intentional_walks:4
pos:CF,name:Colby Rasmus,age:24,games:94,plate_appearances:386,at_bats:338,runs:61,hits:83,doubles:14,triples:6,home_runs:11,runs_batted_in:40,stolen_bases:5,caught_stealing:2,walks:45,strikeouts:77,batting_avg:.246,onbase:.332,slugging:.420,ops:erc">.420,ops+:lugging">.753,bases:142,double_plays:8,hit_by_pitch:0,sac_hits:1,sac_flies:2,intentional_walks:2
pos:RF,name:Lance Berkman,age:35,games:145,plate_appearances:587,at_bats:488,runs:90,hits:147,doubles:23,triples:2,home_runs:31,runs_batted_in:94,stolen_bases:2,caught_stealing:6,walks:92,strikeouts:93,batting_avg:.301,onbase:.412,slugging:.547,ops:erc">.547,ops+:lugging">.959,bases:267,double_plays:7,hit_by_pitch:3,sac_hits:0,sac_flies:4,intentional_walks:17
pos:OF,name:Jon Jay,age:26,games:159,plate_appearances:503,at_bats:455,runs:56,hits:135,doubles:24,triples:2,home_runs:10,runs_batted_in:37,stolen_bases:6,caught_stealing:7,walks:28,strikeouts:81,batting_avg:.297,onbase:.344,slugging:.424,ops:erc">.424,ops+:lugging">.768,bases:193,double_plays:11,hit_by_pitch:7,sac_hits:9,sac_flies:4,intentional_walks:1
pos:3B,name:Daniel Descalso,age:24,games:148,plate_appearances:375,at_bats:326,runs:35,hits:86,doubles:20,triples:3,home_runs:1,runs_batted_in:28,stolen_bases:2,caught_stealing:2,walks:33,strikeouts:65,batting_avg:.264,onbase:.334,slugging:.353,ops:erc">.353,ops+:lugging">.687,bases:115,double_plays:3,hit_by_pitch:3,sac_hits:10,sac_flies:3,intentional_walks:9
pos:OF,name:Allen Craig,age:26,games:75,plate_appearances:219,at_bats:200,runs:33,hits:63,doubles:15,triples:0,home_runs:11,runs_batted_in:40,stolen_bases:5,caught_stealing:0,walks:15,strikeouts:40,batting_avg:.315,onbase:.362,slugging:.555,ops:erc">.555,ops+:lugging">.917,bases:111,double_plays:7,hit_by_pitch:1,sac_hits:1,sac_flies:2,intentional_walks:0
pos:SS,name:Rafael Furcal,age:33,games:50,plate_appearances:217,at_bats:196,runs:29,hits:50,doubles:11,triples:0,home_runs:7,runs_batted_in:16,stolen_bases:4,caught_stealing:2,walks:17,strikeouts:18,batting_avg:.255,onbase:.316,slugging:.418,ops:erc">.418,ops+:lugging">.735,bases:82,double_plays:3,hit_by_pitch:1,sac_hits:2,sac_flies:1,intentional_walks:0
pos:2B,name:Nick Punto,age:33,games:63,plate_appearances:166,at_bats:133,runs:21,hits:37,doubles:8,triples:4,home_runs:1,runs_batted_in:20,stolen_bases:1,caught_stealing:1,walks:25,strikeouts:21,batting_avg:.278,onbase:.388,slugging:.421,ops:erc">.421,ops+:lugging">.809,bases:56,double_plays:3,hit_by_pitch:0,sac_hits:6,sac_flies:2,intentional_walks:3
pos:MI,name:Tyler Greene,age:27,games:58,plate_appearances:121,at_bats:104,runs:22,hits:22,doubles:5,triples:0,home_runs:1,runs_batted_in:11,stolen_bases:11,caught_stealing:0,walks:13,strikeouts:31,batting_avg:.212,onbase:.322,slugging:.288,ops:erc">.288,ops+:lugging">.611,bases:30,double_plays:3,hit_by_pitch:4,sac_hits:0,sac_flies:0,intentional_walks:2
pos:C,name:Gerald Laird,age:31,games:37,plate_appearances:108,at_bats:95,runs:11,hits:22,doubles:7,triples:1,home_runs:1,runs_batted_in:12,stolen_bases:1,caught_stealing:1,walks:9,strikeouts:19,batting_avg:.232,onbase:.302,slugging:.358,ops:erc">.358,ops+:lugging">.660,bases:34,double_plays:3,hit_by_pitch:1,sac_hits:2,sac_flies:1,intentional_walks:3
pos:UT,name:Tony Cruz,age:24,games:38,plate_appearances:72,at_bats:65,runs:8,hits:17,doubles:5,triples:0,home_runs:0,runs_batted_in:6,stolen_bases:0,caught_stealing:1,walks:6,strikeouts:13,batting_avg:.262,onbase:.333,slugging:.338,ops:erc">.338,ops+:lugging">.672,bases:22,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:1
pos:OF,name:Corey Patterson,age:31,games:44,plate_appearances:56,at_bats:51,runs:5,hits:8,doubles:4,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:1,walks:2,strikeouts:12,batting_avg:.157,onbase:.189,slugging:.235,ops:erc">.235,ops+:lugging">.424,bases:12,double_plays:1,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:UT,name:Mark Hamilton,age:26,games:38,plate_appearances:51,at_bats:47,runs:5,hits:10,doubles:3,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:16,batting_avg:.213,onbase:.275,slugging:.277,ops:erc">.277,ops+:lugging">.551,bases:13,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:RF,name:Andrew Brown,age:26,games:11,plate_appearances:22,at_bats:22,runs:1,hits:4,doubles:1,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:8,batting_avg:.182,onbase:.182,slugging:.227,ops:erc">.227,ops+:lugging">.409,bases:5,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:MI,name:Pete Kozma,age:23,games:16,plate_appearances:22,at_bats:17,runs:2,hits:3,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:4,batting_avg:.176,onbase:.333,slugging:.235,ops:erc">.235,ops+:lugging">.569,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
