pos:C,name:Donnie Scott,age:22,games:81,plate_appearances:263,at_bats:235,runs:16,hits:52,doubles:9,triples:0,home_runs:3,runs_batted_in:20,stolen_bases:0,caught_stealing:1,walks:20,strikeouts:44,batting_avg:.221,onbase:.280,slugging:.298,ops:erc">.298,ops+:lugging">.578,bases:70,double_plays:5,hit_by_pitch:0,sac_hits:6,sac_flies:2,intentional_walks:1
pos:1B,name:Pete O'Brien,age:26,games:142,plate_appearances:581,at_bats:520,runs:57,hits:149,doubles:26,triples:2,home_runs:18,runs_batted_in:80,stolen_bases:3,caught_stealing:5,walks:53,strikeouts:50,batting_avg:.287,onbase:.348,slugging:.448,ops:erc">.448,ops+:lugging">.796,bases:233,double_plays:11,hit_by_pitch:0,sac_hits:1,sac_flies:7,intentional_walks:8
pos:2B,name:Wayne Tolleson,age:28,games:118,plate_appearances:378,at_bats:338,runs:35,hits:72,doubles:9,triples:2,home_runs:0,runs_batted_in:9,stolen_bases:22,caught_stealing:4,walks:27,strikeouts:47,batting_avg:.213,onbase:.276,slugging:.251,ops:erc">.251,ops+:lugging">.528,bases:85,double_plays:12,hit_by_pitch:3,sac_hits:9,sac_flies:1,intentional_walks:0
pos:SS,name:Curt Wilkerson,age:23,games:153,plate_appearances:522,at_bats:484,runs:47,hits:120,doubles:12,triples:0,home_runs:1,runs_batted_in:26,stolen_bases:12,caught_stealing:10,walks:22,strikeouts:72,batting_avg:.248,onbase:.282,slugging:.279,ops:erc">.279,ops+:lugging">.561,bases:135,double_plays:7,hit_by_pitch:2,sac_hits:12,sac_flies:2,intentional_walks:0
pos:3B,name:Buddy Bell,age:32,games:148,plate_appearances:630,at_bats:553,runs:88,hits:174,doubles:36,triples:5,home_runs:11,runs_batted_in:83,stolen_bases:2,caught_stealing:1,walks:63,strikeouts:54,batting_avg:.315,onbase:.382,slugging:.458,ops:erc">.458,ops+:lugging">.840,bases:253,double_plays:21,hit_by_pitch:3,sac_hits:2,sac_flies:9,intentional_walks:8
pos:LF,name:Billy Sample,age:29,games:130,plate_appearances:528,at_bats:489,runs:67,hits:121,doubles:20,triples:2,home_runs:5,runs_batted_in:33,stolen_bases:18,caught_stealing:6,walks:29,strikeouts:46,batting_avg:.247,onbase:.286,slugging:.327,ops:erc">.327,ops+:lugging">.613,bases:160,double_plays:9,hit_by_pitch:0,sac_hits:4,sac_flies:6,intentional_walks:1
pos:CF,name:Gary Ward,age:30,games:155,plate_appearances:659,at_bats:602,runs:97,hits:171,doubles:21,triples:7,home_runs:21,runs_batted_in:79,stolen_bases:7,caught_stealing:5,walks:55,strikeouts:95,batting_avg:.284,onbase:.343,slugging:.447,ops:erc">.447,ops+:lugging">.790,bases:269,double_plays:22,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:3
pos:RF,name:Larry Parrish,age:30,games:156,plate_appearances:664,at_bats:613,runs:72,hits:175,doubles:42,triples:1,home_runs:22,runs_batted_in:101,stolen_bases:2,caught_stealing:4,walks:42,strikeouts:116,batting_avg:.285,onbase:.336,slugging:.465,ops:erc">.465,ops+:lugging">.801,bases:285,double_plays:20,hit_by_pitch:6,sac_hits:0,sac_flies:3,intentional_walks:7
pos:DH,name:Mickey Rivers,age:35,games:102,plate_appearances:326,at_bats:313,runs:40,hits:94,doubles:13,triples:1,home_runs:4,runs_batted_in:33,stolen_bases:5,caught_stealing:5,walks:9,strikeouts:23,batting_avg:.300,onbase:.320,slugging:.387,ops:erc">.387,ops+:lugging">.706,bases:121,double_plays:1,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:1
pos:OF,name:George Wright,age:25,games:101,plate_appearances:405,at_bats:383,runs:40,hits:93,doubles:19,triples:4,home_runs:9,runs_batted_in:48,stolen_bases:0,caught_stealing:2,walks:15,strikeouts:54,batting_avg:.243,onbase:.273,slugging:.384,ops:erc">.384,ops+:lugging">.657,bases:147,double_plays:6,hit_by_pitch:2,sac_hits:1,sac_flies:3,intentional_walks:2
pos:C,name:Ned Yost,age:29,games:80,plate_appearances:251,at_bats:242,runs:15,hits:44,doubles:4,triples:0,home_runs:6,runs_batted_in:25,stolen_bases:1,caught_stealing:2,walks:6,strikeouts:47,batting_avg:.182,onbase:.201,slugging:.273,ops:erc">.273,ops+:lugging">.474,bases:66,double_plays:5,hit_by_pitch:0,sac_hits:2,sac_flies:1,intentional_walks:0
pos:UT,name:Bob Jones,age:34,games:64,plate_appearances:156,at_bats:143,runs:14,hits:37,doubles:4,triples:0,home_runs:4,runs_batted_in:22,stolen_bases:1,caught_stealing:1,walks:10,strikeouts:19,batting_avg:.259,onbase:.308,slugging:.371,ops:erc">.371,ops+:lugging">.678,bases:53,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:2,intentional_walks:1
pos:SS,name:Jeff Kunkel,age:22,games:50,plate_appearances:150,at_bats:142,runs:13,hits:29,doubles:2,triples:3,home_runs:3,runs_batted_in:7,stolen_bases:4,caught_stealing:3,walks:2,strikeouts:35,batting_avg:.204,onbase:.218,slugging:.324,ops:erc">.324,ops+:lugging">.542,bases:46,double_plays:2,hit_by_pitch:1,sac_hits:3,sac_flies:2,intentional_walks:0
pos:2B,name:Alan Bannister,age:32,games:47,plate_appearances:135,at_bats:112,runs:20,hits:33,doubles:2,triples:1,home_runs:2,runs_batted_in:9,stolen_bases:3,caught_stealing:0,walks:21,strikeouts:17,batting_avg:.295,onbase:.407,slugging:.384,ops:erc">.384,ops+:lugging">.791,bases:43,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:0
pos:C,name:Marv Foley,age:30,games:63,plate_appearances:134,at_bats:115,runs:13,hits:25,doubles:2,triples:0,home_runs:6,runs_batted_in:19,stolen_bases:0,caught_stealing:0,walks:15,strikeouts:24,batting_avg:.217,onbase:.306,slugging:.391,ops:erc">.391,ops+:lugging">.697,bases:45,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:3,intentional_walks:1
pos:OF,name:Tom Dunbar,age:24,games:34,plate_appearances:103,at_bats:97,runs:9,hits:25,doubles:2,triples:0,home_runs:2,runs_batted_in:10,stolen_bases:1,caught_stealing:0,walks:6,strikeouts:16,batting_avg:.258,onbase:.301,slugging:.340,ops:erc">.340,ops+:lugging">.641,bases:33,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:DH,name:Dave Hostetler,age:28,games:37,plate_appearances:95,at_bats:82,runs:7,hits:18,doubles:2,triples:1,home_runs:3,runs_batted_in:10,stolen_bases:0,caught_stealing:0,walks:13,strikeouts:27,batting_avg:.220,onbase:.326,slugging:.378,ops:erc">.378,ops+:lugging">.704,bases:31,double_plays:5,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:SS,name:Jim Anderson,age:27,games:39,plate_appearances:53,at_bats:47,runs:2,hits:5,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:7,batting_avg:.106,onbase:.176,slugging:.106,ops:erc">.106,ops+:lugging">.283,bases:5,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:IF,name:Bill Stein,age:37,games:27,plate_appearances:48,at_bats:43,runs:3,hits:12,doubles:1,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:9,batting_avg:.279,onbase:.354,slugging:.302,ops:erc">.302,ops+:lugging">.656,bases:13,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:2
pos:2B,name:Mike Richardt,age:26,games:6,plate_appearances:10,at_bats:9,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:1,walks:1,strikeouts:1,batting_avg:.111,onbase:.200,slugging:.111,ops:erc">.111,ops+:lugging">.311,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:DH,name:Kevin Buckley,age:25,games:5,plate_appearances:9,at_bats:7,runs:1,hits:2,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:4,batting_avg:.286,onbase:.444,slugging:.429,ops:erc">.429,ops+:lugging">.873,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Dave Stewart,age:27,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jim Bibby,age:39,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Mike Mason,age:25,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Dickie Noles,age:27,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Charlie Hough,age:36,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Ricky Wright,age:25,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Frank Tanana,age:30,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Odell Jones,age:31,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Dave Schmidt,age:27,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Joey McLaughlin,age:27,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
