pos:C,name:Matt Treanor,age:34,games:82,plate_appearances:272,at_bats:237,runs:22,hits:50,doubles:6,triples:1,home_runs:5,runs_batted_in:27,stolen_bases:1,caught_stealing:2,walks:22,strikeouts:43,batting_avg:.211,onbase:.287,slugging:.308,ops:erc">.308,ops+:lugging">.595,bases:73,double_plays:4,hit_by_pitch:5,sac_hits:4,sac_flies:4,intentional_walks:0
pos:1B,name:Justin Smoak,age:23,games:70,plate_appearances:275,at_bats:235,runs:29,hits:49,doubles:10,triples:0,home_runs:8,runs_batted_in:34,stolen_bases:1,caught_stealing:0,walks:38,strikeouts:57,batting_avg:.209,onbase:.316,slugging:.353,ops:erc">.353,ops+:lugging">.670,bases:83,double_plays:6,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:4
pos:2B,name:Ian Kinsler,age:28,games:103,plate_appearances:460,at_bats:391,runs:73,hits:112,doubles:20,triples:1,home_runs:9,runs_batted_in:45,stolen_bases:15,caught_stealing:5,walks:56,strikeouts:57,batting_avg:.286,onbase:.382,slugging:.412,ops:erc">.412,ops+:lugging">.794,bases:161,double_plays:11,hit_by_pitch:7,sac_hits:2,sac_flies:4,intentional_walks:2
pos:SS,name:Elvis Andrus,age:21,games:148,plate_appearances:674,at_bats:588,runs:88,hits:156,doubles:15,triples:3,home_runs:0,runs_batted_in:35,stolen_bases:32,caught_stealing:15,walks:64,strikeouts:96,batting_avg:.265,onbase:.342,slugging:.301,ops:erc">.301,ops+:lugging">.643,bases:177,double_plays:6,hit_by_pitch:5,sac_hits:17,sac_flies:0,intentional_walks:0
pos:3B,name:Michael Young,age:33,games:157,plate_appearances:718,at_bats:656,runs:99,hits:186,doubles:36,triples:3,home_runs:21,runs_batted_in:91,stolen_bases:4,caught_stealing:2,walks:50,strikeouts:115,batting_avg:.284,onbase:.330,slugging:.444,ops:erc">.444,ops+:lugging">.774,bases:291,double_plays:21,hit_by_pitch:1,sac_hits:0,sac_flies:11,intentional_walks:4
pos:LF,name:Josh Hamilton,age:29,games:133,plate_appearances:571,at_bats:518,runs:95,hits:186,doubles:40,triples:3,home_runs:32,runs_batted_in:100,stolen_bases:8,caught_stealing:1,walks:43,strikeouts:95,batting_avg:.359,onbase:.411,slugging:.633,ops:erc">.633,ops+:lugging">1.044,bases:328,double_plays:11,hit_by_pitch:5,sac_hits:1,sac_flies:4,intentional_walks:5
pos:CF,name:Julio Borbon,age:24,games:137,plate_appearances:468,at_bats:438,runs:60,hits:121,doubles:11,triples:4,home_runs:3,runs_batted_in:42,stolen_bases:15,caught_stealing:7,walks:19,strikeouts:59,batting_avg:.276,onbase:.309,slugging:.340,ops:erc">.340,ops+:lugging">.649,bases:149,double_plays:5,hit_by_pitch:2,sac_hits:8,sac_flies:1,intentional_walks:0
pos:RF,name:Nelson Cruz,age:29,games:108,plate_appearances:445,at_bats:399,runs:60,hits:127,doubles:31,triples:3,home_runs:22,runs_batted_in:78,stolen_bases:17,caught_stealing:4,walks:38,strikeouts:81,batting_avg:.318,onbase:.374,slugging:.576,ops:erc">.576,ops+:lugging">.950,bases:230,double_plays:12,hit_by_pitch:1,sac_hits:1,sac_flies:6,intentional_walks:5
pos:DH,name:Vladimir Guerrero,age:35,games:152,plate_appearances:643,at_bats:593,runs:83,hits:178,doubles:27,triples:1,home_runs:29,runs_batted_in:115,stolen_bases:4,caught_stealing:5,walks:35,strikeouts:60,batting_avg:.300,onbase:.345,slugging:.496,ops:erc">.496,ops+:lugging">.841,bases:294,double_plays:19,hit_by_pitch:9,sac_hits:0,sac_flies:6,intentional_walks:5
pos:OF,name:David Murphy,age:28,games:138,plate_appearances:471,at_bats:419,runs:54,hits:122,doubles:26,triples:2,home_runs:12,runs_batted_in:65,stolen_bases:14,caught_stealing:2,walks:45,strikeouts:71,batting_avg:.291,onbase:.358,slugging:.449,ops:erc">.449,ops+:lugging">.806,bases:188,double_plays:6,hit_by_pitch:0,sac_hits:0,sac_flies:3,intentional_walks:2
pos:C,name:Bengie Molina,age:35,games:57,plate_appearances:195,at_bats:175,runs:10,hits:42,doubles:6,triples:1,home_runs:2,runs_batted_in:19,stolen_bases:0,caught_stealing:0,walks:10,strikeouts:15,batting_avg:.240,onbase:.279,slugging:.320,ops:erc">.320,ops+:lugging">.599,bases:56,double_plays:7,hit_by_pitch:1,sac_hits:5,sac_flies:4,intentional_walks:0
pos:2B,name:Andres Blanco,age:26,games:68,plate_appearances:185,at_bats:166,runs:17,hits:46,doubles:10,triples:1,home_runs:0,runs_batted_in:13,stolen_bases:0,caught_stealing:2,walks:11,strikeouts:24,batting_avg:.277,onbase:.330,slugging:.349,ops:erc">.349,ops+:lugging">.679,bases:58,double_plays:0,hit_by_pitch:3,sac_hits:3,sac_flies:2,intentional_walks:1
pos:1B,name:Mitch Moreland,age:24,games:47,plate_appearances:173,at_bats:145,runs:20,hits:37,doubles:4,triples:0,home_runs:9,runs_batted_in:25,stolen_bases:3,caught_stealing:1,walks:25,strikeouts:36,batting_avg:.255,onbase:.364,slugging:.469,ops:erc">.469,ops+:lugging">.833,bases:68,double_plays:3,hit_by_pitch:1,sac_hits:0,sac_flies:2,intentional_walks:5
pos:1B,name:Chris Davis,age:24,games:45,plate_appearances:136,at_bats:120,runs:7,hits:23,doubles:9,triples:0,home_runs:1,runs_batted_in:4,stolen_bases:3,caught_stealing:0,walks:15,strikeouts:40,batting_avg:.192,onbase:.279,slugging:.292,ops:erc">.292,ops+:lugging">.571,bases:35,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:3
pos:1B,name:Jorge Cantu,age:28,games:30,plate_appearances:105,at_bats:98,runs:9,hits:23,doubles:4,triples:1,home_runs:1,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:19,batting_avg:.235,onbase:.279,slugging:.327,ops:erc">.327,ops+:lugging">.605,bases:32,double_plays:4,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:2B,name:Joaquin Arias,age:25,games:50,plate_appearances:101,at_bats:98,runs:18,hits:27,doubles:5,triples:1,home_runs:0,runs_batted_in:9,stolen_bases:1,caught_stealing:0,walks:2,strikeouts:17,batting_avg:.276,onbase:.290,slugging:.347,ops:erc">.347,ops+:lugging">.637,bases:34,double_plays:2,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:C,name:Max Ramirez,age:25,games:28,plate_appearances:85,at_bats:69,runs:8,hits:15,doubles:3,triples:0,home_runs:2,runs_batted_in:8,stolen_bases:0,caught_stealing:0,walks:12,strikeouts:22,batting_avg:.217,onbase:.341,slugging:.348,ops:erc">.348,ops+:lugging">.689,bases:24,double_plays:3,hit_by_pitch:2,sac_hits:0,sac_flies:2,intentional_walks:0
pos:C,name:Taylor Teagarden,age:26,games:28,plate_appearances:85,at_bats:71,runs:10,hits:11,doubles:1,triples:0,home_runs:4,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:8,strikeouts:34,batting_avg:.155,onbase:.259,slugging:.338,ops:erc">.338,ops+:lugging">.597,bases:24,double_plays:0,hit_by_pitch:2,sac_hits:4,sac_flies:0,intentional_walks:0
pos:OF,name:Jeff Francoeur,age:26,games:15,plate_appearances:56,at_bats:53,runs:9,hits:18,doubles:2,triples:0,home_runs:2,runs_batted_in:11,stolen_bases:0,caught_stealing:1,walks:1,strikeouts:5,batting_avg:.340,onbase:.357,slugging:.491,ops:erc">.491,ops+:lugging">.848,bases:26,double_plays:2,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:0
pos:MI,name:Cristian Guzman,age:32,games:15,plate_appearances:50,at_bats:46,runs:4,hits:7,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:10,batting_avg:.152,onbase:.204,slugging:.174,ops:erc">.174,ops+:lugging">.378,bases:8,double_plays:2,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:DH,name:Ryan Garko,age:29,games:15,plate_appearances:38,at_bats:33,runs:0,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:4,batting_avg:.091,onbase:.167,slugging:.091,ops:erc">.091,ops+:lugging">.258,bases:3,double_plays:1,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:1
pos:OF,name:Craig Gentry,age:26,games:20,plate_appearances:35,at_bats:33,runs:4,hits:7,doubles:0,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:1,caught_stealing:0,walks:1,strikeouts:11,batting_avg:.212,onbase:.229,slugging:.212,ops:erc">.212,ops+:lugging">.441,bases:7,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:UT,name:Esteban German,age:32,games:13,plate_appearances:16,at_bats:13,runs:5,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:4,caught_stealing:1,walks:3,strikeouts:2,batting_avg:.231,onbase:.375,slugging:.231,ops:erc">.231,ops+:lugging">.606,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Brandon Boggs,age:27,games:4,plate_appearances:8,at_bats:7,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:4,batting_avg:.000,onbase:.125,slugging:.000,ops:erc">.000,ops+:lugging">.125,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:IF,name:Alex Cora,age:34,games:4,plate_appearances:7,at_bats:7,runs:0,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.286,onbase:.286,slugging:.286,ops:erc">.286,ops+:lugging">.571,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Jarrod Saltalamacchia,age:25,games:2,plate_appearances:5,at_bats:5,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.200,onbase:.200,slugging:.200,ops:erc">.200,ops+:lugging">.400,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Colby Lewis,age:30,games:2,plate_appearances:8,at_bats:7,runs:1,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.286,onbase:.286,slugging:.286,ops:erc">.286,ops+:lugging">.571,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Scott Feldman,age:27,games:2,plate_appearances:6,at_bats:6,runs:1,hits:1,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.167,onbase:.167,slugging:.333,ops:erc">.333,ops+:lugging">.500,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:C.J. Wilson,age:29,games:3,plate_appearances:5,at_bats:4,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Rich Harden,age:28,games:1,plate_appearances:2,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
